"Time Step" "mass-flux"
20210 2.508417618063419e-08
20220 1.174627291267161e-09
20230 1.39158090398106e-08
20240 -8.626838952918714e-08
20250 -7.27695897637104e-08
20260 5.061049854898636e-08
20270 9.683421327982833e-08
20280 7.933856962377694e-08
20290 3.18231443280359e-08
20300 -7.057803984994448e-08
20310 -1.188067243126922e-07
20320 4.553033697979325e-08
20330 5.49942040170559e-08
20340 4.917173238722095e-08
20350 -5.658636061806055e-08
20360 -5.534195526846197e-08
20370 -6.975097555789178e-08
20380 3.922265701811201e-08
20390 3.86876985239426e-08
20400 -8.793429190356861e-08
20410 -3.136649280588433e-09
20420 5.992852075004107e-08
20430 5.316376432140668e-08
20440 7.823378622706656e-08
20450 3.384019565261243e-08
20460 -4.512011679558281e-08
20470 4.574298050064041e-08
20480 5.85727234839184e-08
20490 9.503879814382055e-08
20500 8.579103101535868e-08
20510 1.051859197936933e-07
20520 9.071650770853257e-08
20530 9.787835882069107e-09
20540 -1.066448318196023e-07
20550 -8.988331020448603e-08
20560 6.948123132399786e-09
20570 3.710272941659376e-08
20580 -3.277873899393269e-08
20590 8.676975972454759e-08
20600 3.544484362266731e-08
20610 -1.38335509367038e-08
20620 -7.283186960471699e-08
20630 -8.127475737557122e-08
20640 -7.794976952801846e-08
20650 -6.349006402561752e-08
20660 6.039163050891583e-08
20670 1.650257800550614e-08
20680 6.288122825909293e-08
20690 -5.753274723296897e-08
20700 4.742307840172044e-08
20710 1.067465492457509e-07
20720 5.978213092616702e-08
20730 -3.542027773861811e-08
20740 -8.703485513544829e-08
20750 -6.707914231018908e-08
20760 -5.182468761077974e-08
20770 -4.538708557599858e-08
20780 -7.35686731881402e-08
20790 -2.077427838781398e-08
20800 7.67723874472992e-08
20810 5.306778855240779e-08
20820 5.668898025307234e-08
20830 -7.34225486381801e-08
20840 -6.236249786018e-08
20850 6.047790900715055e-08
20860 3.928412593140473e-08
20870 -8.197429048062421e-09
20880 -4.078581834071615e-08
20890 4.404818659820009e-08
20900 6.442984560456333e-08
20910 4.191572594569593e-08
20920 -4.004117911543537e-08
20930 -6.107257864707005e-08
20940 -6.034226492784844e-08
20950 -5.236343093156792e-08
20960 -7.306136644985584e-08
20970 -7.593592363241974e-08
20980 -6.706049753696375e-08
20990 -3.371024073772766e-08
21000 -3.835506347249495e-08
21010 -7.653094348525347e-08
21020 -2.431935146318676e-09
21030 6.083393119804548e-08
21040 4.671915639770097e-08
21050 -7.772642074410641e-08
21060 1.683427186538466e-08
21070 4.82231783324738e-08
21080 3.715278980992442e-08
21090 -7.741728696303296e-08
21100 -6.162534885167936e-08
21110 1.324125345480986e-08
21120 -2.529535245848757e-08
21130 -6.422619425877629e-08
