"Time Step" "point-ho-a"
20210 5.806691115139984e-05
20220 5.80435516894795e-05
20230 5.802224040962756e-05
20240 5.800301369163208e-05
20250 5.798545680590905e-05
20260 5.796882032882422e-05
20270 5.795273318653926e-05
20280 5.793716991320252e-05
20290 5.792258161818609e-05
20300 5.79092484258581e-05
20310 5.7896992075257e-05
20320 5.788549606222659e-05
20330 5.78743674850557e-05
20340 5.786233305116184e-05
20350 5.784865425084718e-05
20360 5.78330218559131e-05
20370 5.78151666559279e-05
20380 5.779489947599359e-05
20390 5.777228579972871e-05
20400 5.774787132395431e-05
20410 5.772208533016965e-05
20420 5.769530980614945e-05
20430 5.766774484072812e-05
20440 5.763957960880361e-05
20450 5.761114152846858e-05
20460 5.758295083069243e-05
20470 5.755569509346969e-05
20480 5.752961806138046e-05
20490 5.75047561142128e-05
20500 5.748099283664487e-05
20510 5.745820453739725e-05
20520 5.743595465901308e-05
20530 5.741423228755593e-05
20540 5.739283733419143e-05
20550 5.737144238082692e-05
20560 5.734976002713665e-05
20570 5.732747740694322e-05
20580 5.730446719098836e-05
20590 5.728084579459392e-05
20600 5.725707524106838e-05
20610 5.723342837882228e-05
20620 5.720955959986895e-05
20630 5.718479224015027e-05
20640 5.715844599762931e-05
20650 5.712993151973933e-05
20660 5.709866672987118e-05
20670 5.706437877961434e-05
20680 5.702686758013442e-05
20690 5.698580207535997e-05
20700 5.694094579666853e-05
20710 5.689251702278852e-05
20720 5.684137067873962e-05
20730 5.678845263901167e-05
20740 5.673485065926798e-05
20750 5.668205267284065e-05
20760 5.663144838763401e-05
20770 5.658428563037887e-05
20780 5.654168126056902e-05
20790 5.650417369906791e-05
20800 5.647217039950192e-05
20810 5.644606426358223e-05
20820 5.642599717248231e-05
20830 5.641204188577831e-05
20840 5.640430026687682e-05
20850 5.64025467610918e-05
20860 5.640637391479686e-05
20870 5.641536336042918e-05
20880 5.642939868266694e-05
20890 5.64484616916161e-05
20900 5.647243233397603e-05
20910 5.650091770803556e-05
20920 5.653345579048619e-05
20930 5.656963548972271e-05
20940 5.660906390403397e-05
20950 5.665145363309421e-05
20960 5.669630627380684e-05
20970 5.674303247360513e-05
20980 5.679114474332891e-05
20990 5.684040297637694e-05
21000 5.689073441317305e-05
21010 5.694224455510266e-05
21020 5.699502071365714e-05
21030 5.7049015595112e-05
21040 5.710388722945936e-05
21050 5.715949737350456e-05
21060 5.721567504224367e-05
21070 5.727221287088469e-05
21080 5.732934369007125e-05
21090 5.738726758863777e-05
21100 5.744608642999083e-05
21110 5.750668788095936e-05
21120 5.75697049498558e-05
