"Time Step" "p-in"
20210 -26220.49168783892
20220 -26263.65749207305
20230 -26073.2972884098
20240 -26306.91007355465
20250 -26567.84272256874
20260 -26637.30371094898
20270 -26327.63706136209
20280 -25981.84451340611
20290 -25811.45213515907
20300 -26034.14143543562
20310 -26389.99652884318
20320 -26411.12486384788
20330 -26276.71650687299
20340 -26119.71092151968
20350 -26113.20080472621
20360 -26442.42507442773
20370 -26735.93686164464
20380 -26777.08516709001
20390 -26641.04994453884
20400 -26678.48826672761
20410 -26802.30427081044
20420 -26535.56081573605
20430 -26003.2971569389
20440 -25531.36861882056
20450 -25369.43166892205
20460 -25448.3669551424
20470 -25459.14965879055
20480 -25362.48982612081
20490 -25170.28424667536
20500 -24882.47664086254
20510 -24602.83288743469
20520 -24357.25563358038
20530 -24298.77098778497
20540 -24459.27582071462
20550 -24745.88591690244
20560 -24845.67930734992
20570 -24827.30496105069
20580 -24799.6424501641
20590 -24668.91457945385
20600 -24420.11873295247
20610 -24918.44902224584
20620 -25501.49937124877
20630 -25715.64269722485
20640 -25942.48848988048
20650 -26163.55362424916
20660 -26043.73877014315
20670 -25885.9917733407
20680 -25808.04831160576
20690 -25797.0565043109
20700 -25642.81397148505
20710 -25305.53899362383
20720 -25016.74384907524
20730 -24918.26652751774
20740 -25129.70767210678
20750 -25312.2425580366
20760 -25451.72974648911
20770 -25651.01458907339
20780 -25706.37205842544
20790 -25825.73164945289
20800 -25723.08536679748
20810 -25337.17442485582
20820 -25070.87398309351
20830 -25028.4162876164
20840 -25209.82774606357
20850 -25117.37642645402
20860 -24967.83085922096
20870 -24925.24874653865
20880 -24921.58657469238
20890 -24807.03640028934
20900 -24648.25376762801
20910 -24536.35851921745
20920 -24529.39721058758
20930 -24687.31900477595
20940 -24988.4325839917
20950 -25246.25322347202
20960 -25447.20024421335
20970 -25592.86214994974
20980 -25664.73051388236
20990 -25625.13138988424
21000 -25953.10753690704
21010 -26350.21304511361
21020 -26471.70285463216
21030 -26330.53857359048
21040 -26031.86611837393
21050 -26011.54689515731
21060 -26066.37955863285
21070 -25939.26527418615
21080 -25749.09670224025
21090 -25822.06415521274
21100 -26048.87727910824
21110 -25997.0653150908
21120 -25969.79721244159
21130 -26121.19056559042
21140 -26340.11717103875
21150 -26511.03340598721
21160 -26710.36736967776
21170 -27007.29225504931
21180 -27161.88787336429
21190 -26959.1697938802
21200 -26678.53838875871
21210 -26527.90346332417
21220 -26482.01367377385
21230 -26584.27735017812
21240 -26866.35541626583
21250 -26898.84077397567
21260 -26652.56395635899
21270 -26457.49695510068
21280 -26059.67269165962
21290 -25498.85478362409
21300 -25106.72959730114
21310 -24934.59304023127
21320 -24527.8964111827
21330 -24090.16654075188
21340 -24125.12618734597
21350 -24127.80600419463
21360 -23957.33066810223
21370 -24057.17220726302
21380 -24320.07937603516
21390 -24502.72270983642
21400 -24770.17527296545
21410 -25322.44708014862
21420 -25760.44034504042
21430 -25863.12123327417
21440 -26241.76934919
21450 -26620.62483824618
21460 -26916.90198901582
21470 -26925.53804431755
21480 -26777.43436269978
21490 -26816.99028746754
21500 -26985.09049183507
21510 -26992.6406292795
21520 -26775.24367741203
21530 -26670.50593139412
21540 -26828.37275118356
21550 -26927.234717382
21560 -26938.7913443293
21570 -26929.35581069961
21580 -26955.39555472186
21590 -27161.34705907055
21600 -27416.85445575277
21610 -27542.06458524686
21620 -27301.10822705619
21630 -26668.66513647277
21640 -26028.27896037533
21650 -25590.71517201912
21660 -25279.9602227161
21670 -25150.8831685465
21680 -25116.98755871252
21690 -24987.02912763977
21700 -24776.60445799929
21710 -24374.80838302101
21720 -24035.96881929737
21730 -23946.63663692635
21740 -24141.5507456576
21750 -24464.60084002466
21760 -24918.06415525073
21770 -25210.52761599653
21780 -25285.59932764001
21790 -25427.47788072533
21800 -25555.82994380525
21810 -25800.79263652035
21820 -25517.80231698751
21830 -25504.45547330149
21840 -25384.05357140376
21850 -25301.7951271077
21860 -25382.61202423809
21870 -25416.77911463191
21880 -25418.12081558449
21890 -25610.37648940133
21900 -25914.35425281519
21910 -26214.8965207272
21920 -26303.75214639277
21930 -26224.28308080553
21940 -26277.4193178281
21950 -26464.71893526727
21960 -26784.89254466098
21970 -26991.80701165469
21980 -26854.86778531366
21990 -26697.77674546718
22000 -26735.70157139996
22010 -26744.65373877942
22020 -26503.57974083429
22030 -26000.65599924697
22040 -25462.47687074521
22050 -24974.79814918569
22060 -24419.31648602062
22070 -23982.46028163846
22080 -23825.49874924411
22090 -23566.98289063993
22100 -23376.00917348407
22110 -23304.54293566628
22120 -23280.08328206183
22130 -23336.2562574014
22140 -23450.00388000896
22150 -23654.92571707915
22160 -23901.95006880067
22170 -24177.13665886461
22180 -24691.11983350207
22190 -25102.82349852496
22200 -24686.51270317943
22210 -24219.62359311976
22220 -24423.35357116423
22230 -25184.28018101427
22240 -25404.32711347906
22250 -25576.15198702207
22260 -26156.93197752197
22270 -26755.30151168688
22280 -27285.99093195547
22290 -27551.8462013386
22300 -27577.94303958526
22310 -27242.21045966735
22320 -26705.61888609949
22330 -26339.95614402255
22340 -26045.15612232481
22350 -25830.01774768588
22360 -26109.79715382808
22370 -26446.94465795827
22380 -26588.43984239815
22390 -26633.79107873389
22400 -26748.73768413537
22410 -26973.56175416772
22420 -27289.33011393451
22430 -27517.31811830071
22440 -27554.00314100254
22450 -27316.7938652338
22460 -26877.36420225222
22470 -26383.86703487208
22480 -25801.1347790739
22490 -25169.72298514402
22500 -24556.70096408786
22510 -23989.99528397104
22520 -23528.72528032848
22530 -23345.77288453618
22540 -23515.48007698055
22550 -23835.63956425947
22560 -24156.20985651786
22570 -24364.54660807175
22580 -24574.74341035882
22590 -24895.39297788421
22600 -25205.99424085833
22610 -25376.74056773254
22620 -25486.87290839196
22630 -25771.98020913528
22640 -26005.5666396296
22650 -26175.93449182348
22660 -26132.94577308844
22670 -26222.67244064991
22680 -26334.21008544669
22690 -26372.15027179081
22700 -26382.86540320099
22710 -26423.54078940855
22720 -26660.48068776357
22730 -26978.86849971224
22740 -27222.19958457414
22750 -27383.07218837864
22760 -27284.24153866791
22770 -27063.68000170407
22780 -26879.16295886195
22790 -26627.7838090903
22800 -26283.82437365329
22810 -25962.36538813775
22820 -25817.52381452737
22830 -25704.2492964029
22840 -25519.19600415932
22850 -25433.26533810559
22860 -25411.08366099984
22870 -25487.36989749242
22880 -25503.91188300422
22890 -25217.32173566548
22900 -24712.26615022403
22910 -24179.01415880732
22920 -23900.6671405333
22930 -23941.4893457357
22940 -24354.69784061516
22950 -24925.26063740281
22960 -25474.73352569188
22970 -25866.54587230237
22980 -26218.8568341414
22990 -26561.75024812463
23000 -26843.81102244313
23010 -27101.74544148379
23020 -27222.87044231199
23030 -27075.19632965708
23040 -26755.11367722379
23050 -26828.08162478208
23060 -26950.36286521466
23070 -27132.19949648006
23080 -27397.58081683327
23090 -27642.16151577138
23100 -27560.6735053708
23110 -27298.43127002976
23120 -27022.82680290626
23130 -26626.67819293443
23140 -26353.44877111304
23150 -26101.04242871621
23160 -25755.01996817746
23170 -25380.2228396082
23180 -25047.09225457847
23190 -24868.90803346148
23200 -24861.6765699956
23210 -25108.42058496146
23220 -25511.29987604173
23230 -25764.99358553366
23240 -25872.01714176959
23250 -25819.11874415623
23260 -25697.6648309662
23270 -25591.29944867317
23280 -25306.86029715488
23290 -24891.10591152722
23300 -24609.87214451883
23310 -24361.2693853272
23320 -24112.10123974304
23330 -24034.85967811636
23340 -24059.73118200976
23350 -24144.57280137957
23360 -24389.39803506924
23370 -24653.53041063553
23380 -24819.0784377602
23390 -24870.59149257539
23400 -24591.93512401854
23410 -24517.77981062099
23420 -24828.65429868345
23430 -25143.61676517123
23440 -25331.87423602193
23450 -25478.455348637
23460 -25629.46190454964
23470 -25687.16858021046
23480 -25590.31432304555
23490 -25107.36801401444
23500 -24827.73269457898
23510 -25174.28817025658
23520 -25911.89619277443
23530 -26084.81597740138
23540 -26082.45156660868
23550 -26196.27487476718
23560 -26266.44563621312
23570 -26323.0228195312
23580 -26569.09761399304
23590 -26769.20125895785
23600 -26803.27905419037
23610 -26754.1119911768
23620 -26687.77347578266
23630 -26544.18961418827
23640 -26240.87276014139
23650 -25822.28788211431
23660 -25390.60588610797
23670 -25082.34493853722
23680 -24843.70601848713
23690 -24576.1341379996
23700 -24227.79335390487
23710 -23859.77840558183
23720 -23686.75130318023
23730 -23598.7129537185
23740 -23736.88921599348
23750 -23999.28805732317
23760 -24399.96322200184
23770 -24628.3686655192
23780 -24807.36032281474
23790 -25155.6280026212
23800 -25445.50099962893
23810 -25742.08875245324
23820 -26151.68486731514
23830 -26497.16420932486
23840 -26767.05896155236
23850 -26900.08504022119
23860 -26997.42319199257
23870 -27149.99876417749
23880 -27140.11663238253
23890 -26913.60681941962
23900 -26410.82507238165
23910 -25928.51978289546
23920 -25791.30725293614
23930 -26014.94283510656
23940 -26045.01651521154
23950 -26028.61898495182
23960 -25995.49980221549
23970 -25854.63406041505
23980 -25765.67522352446
23990 -25960.27275627728
24000 -26275.11616678665
13410 -26672.45437831033
13420 -27063.07001790843
13430 -27183.48488422406
13440 -27219.80052199908
13450 -27172.36887589463
13460 -26928.3340346139
13470 -26465.863910492
13480 -26127.52877666996
13490 -25782.48644134324
13500 -25393.65516501773
13510 -25445.34786883247
13520 -25572.35234458417
13530 -25805.96057949401
13540 -26228.01971677876
13550 -26461.59295415719
13560 -26609.46045891351
13570 -26547.93190620248
13580 -26158.37516606822
13590 -25533.35432294172
13600 -25061.54794574597
13610 -24903.96942182195
13620 -24964.97247747267
13630 -25081.76678703286
13640 -25375.45221990061
13650 -25529.80111892251
13660 -25234.66918792814
13670 -24961.32395750479
13680 -24648.86353977125
13690 -24352.31777585434
13700 -24103.43856901875
13710 -23859.62901124196
13720 -23880.34753858478
13730 -24194.73389443054
13740 -24785.53453110071
13750 -25301.98689917711
13760 -25560.16876333094
13770 -25763.73724722565
13780 -26066.57295107351
13790 -26455.05189889261
13800 -26910.93040238605
13810 -27205.79897255751
13820 -27477.42531667714
13830 -27549.8194069802
13840 -27416.15908702512
13850 -27296.10841308393
13860 -27148.10431023067
13870 -26856.37243405714
13880 -26646.94197670281
13890 -26498.44158542008
13900 -26422.03721528036
13910 -26427.00590137076
13920 -26418.40284710122
13930 -26298.94694635488
13940 -26302.33694150061
13950 -26335.77643074588
13960 -26117.18263354787
13970 -26028.39779245045
13980 -26037.86767803192
13990 -26198.7611158728
14000 -26678.85987723685
14010 -27217.35088290822
14020 -27269.03256595346
14030 -27094.59822840863
14040 -27041.63248028307
14050 -26834.199634049
14060 -26364.21585839014
14070 -25825.81593723665
14080 -25278.75301379288
14090 -24867.07655127197
14100 -24564.74474447278
14110 -24549.85292232191
14120 -24594.06445497472
14130 -24705.36897738393
14140 -24918.45484442514
14150 -25242.30489143093
14160 -25505.33631464498
14170 -25508.68135587455
14180 -25423.43931739864
14190 -25125.58129120987
14200 -24877.88722356955
14210 -24984.80536444111
14220 -24689.13295834154
14230 -24612.95484962084
14240 -25052.57841410431
14250 -25365.14606514486
14260 -25808.61478814729
14270 -26112.79304053157
14280 -26207.49765096175
14290 -26183.1598700771
14300 -26323.56975667378
14310 -26547.55125503251
14320 -26772.16130585853
14330 -26710.40231237403
14340 -26535.02029718739
14350 -26409.52222188266
14360 -26367.51004251686
14370 -26270.4528602854
14380 -26081.38546376198
14390 -26043.56519474642
14400 -26385.93627781804
14410 -26565.39587335274
14420 -26919.09187786493
14430 -27003.21411387808
14440 -27098.04452926669
14450 -27004.0073048501
14460 -26411.33785830635
14470 -25864.94133634768
14480 -25381.88651256675
14490 -24989.68952356782
14500 -24796.50700209765
14510 -24711.62900697758
14520 -24537.35122663116
14530 -24611.08719888286
14540 -24875.40343317619
14550 -25177.13697745579
14560 -25464.92849357183
14570 -25712.8336303331
14580 -25818.69727959644
14590 -25871.85891670656
14600 -25988.91177385332
14610 -26126.76056529214
14620 -26085.08145174893
14630 -26330.35881167086
14640 -26736.58391863886
14650 -27234.37966927915
14660 -27187.36716207705
14670 -26980.08376596466
14680 -26809.06756854351
14690 -26839.16848237533
14700 -27086.32157789081
14710 -26985.31994959478
14720 -26780.60898571241
14730 -26818.51497241318
14740 -26978.49643440203
14750 -26765.55092955377
14760 -26204.05155927312
14770 -25683.337967108
14780 -25495.41955662225
14790 -25259.00387795519
14800 -24957.10202841839
14810 -24846.25605395806
14820 -25010.93742919224
14830 -25440.89242226337
14840 -25686.08092267199
14850 -25636.9731597464
14860 -25546.83347136752
14870 -25477.32182815398
14880 -25304.34666724414
14890 -25040.67323066549
14900 -24625.69389418124
14910 -24114.55238273286
14920 -23836.27815139355
14930 -23933.30678286885
14940 -23981.49317986073
14950 -23963.61032645311
14960 -24169.25660120857
14970 -24520.02156570038
14980 -24879.24080097472
14990 -25196.71106038318
15000 -25438.16026185809
15010 -25607.96686747765
15020 -25883.10795686074
15030 -26034.74562962018
15040 -26199.10255059073
15050 -26357.50378432145
15060 -26573.6566202047
15070 -26904.98607764747
15080 -27250.41696615411
15090 -27565.44558061668
15100 -27613.06594994174
15110 -27428.62481720098
15120 -27104.12814225327
15130 -26846.27178152353
15140 -26717.88458042002
15150 -26510.17057067922
15160 -26251.78353251906
15170 -26155.83610762903
15180 -26260.74146948358
15190 -26333.95786338463
15200 -26402.33343751055
15210 -26433.91091356382
15220 -26408.7378883631
15230 -26378.99815467659
15240 -26403.98507455103
15250 -26531.43400348731
15260 -26586.03520486024
15270 -26268.20393710768
15280 -26085.65178518303
15290 -26126.26969087574
15300 -25948.80718492467
15310 -25397.54733022051
15320 -24765.92245652294
15330 -24505.88613236583
15340 -24302.21185724235
15350 -24184.31839519279
15360 -24245.27533369017
15370 -24495.52132441802
15380 -24850.1565434064
15390 -25103.80281625819
15400 -25421.63132516823
15410 -25787.13739538083
15420 -26060.92166016572
15430 -26456.02151143591
15440 -26842.9096110506
15450 -27000.6706530861
15460 -26977.0765975586
15470 -26942.54190299411
15480 -27078.89686651625
15490 -27341.45382314041
15500 -27583.06495943922
15510 -27531.33554549373
15520 -27183.889435912
15530 -26909.37321971991
15540 -26877.31177072039
15550 -26928.2828080517
15560 -26888.30225550937
15570 -26742.23443405056
15580 -26511.56484687325
15590 -26260.38554011561
15600 -26060.24511919006
15610 -26075.1414275782
15620 -26214.67057035008
15630 -26282.04731784506
15640 -26186.51717803749
15650 -25927.2890636411
15660 -25548.06905339194
15670 -25190.34389577224
15680 -24919.71567902287
15690 -24783.30125304664
15700 -24493.71922335854
15710 -24128.05707857285
15720 -24079.18983142746
15730 -24370.82952586858
15740 -24817.89038953013
15750 -25195.59996040386
15760 -25488.93904615484
15770 -25936.17855881008
15780 -26610.05238882573
15790 -26686.49578033202
15800 -26635.72859637889
15810 -26794.82108151575
15820 -26940.6900555042
15830 -26847.30858523213
15840 -26927.55991097884
15850 -26998.22837638603
15860 -27081.00116872728
15870 -26791.58585293603
15880 -26473.53844728209
15890 -26639.96486229263
15900 -26658.30680138302
15910 -26461.31108509282
15920 -26149.84700687417
15930 -25721.97718396054
15940 -25350.73250439515
15950 -24996.10070688093
15960 -24898.51275524477
15970 -24945.74086915634
15980 -24988.23203310594
15990 -25338.13055873807
16000 -25630.57521928735
16010 -25861.65452648517
16020 -26188.04800154977
16030 -26321.29302085157
16040 -26135.80218757633
16050 -26098.94255354577
16060 -26010.63142030598
16070 -25762.19944383983
16080 -25614.46118609552
16090 -25307.6624892701
16100 -24712.98691399333
16110 -24253.94626966651
16120 -24029.21546249226
16130 -23940.63868658465
16140 -24013.26212755406
16150 -24261.65385748238
16160 -24540.68571721261
16170 -24679.16630630991
16180 -24612.92394555522
16190 -24523.21689778335
16200 -24776.31630850066
16210 -25208.40158260367
16220 -25446.13826417183
16230 -25728.41846607365
16240 -25851.70235865557
16250 -25794.90989512431
16260 -26100.62864834646
16270 -26537.04726495139
16280 -26820.55255894628
16290 -26639.58166489259
16300 -26098.7468889352
16310 -25793.52859819194
16320 -25784.97146543516
16330 -25702.71833127374
16340 -25859.97350221919
16350 -26150.3105794617
16360 -26334.97139824104
16370 -26354.49982521011
16380 -26383.22418873532
16390 -26719.47038733742
16400 -27047.69811563342
16410 -26994.32844739076
16420 -26856.09341705424
16430 -26720.2714944205
16440 -26435.54389784625
16450 -26138.15238824788
16460 -25915.23146725144
16470 -25661.10686791355
16480 -25329.93329771523
16490 -25012.56675352505
16500 -24684.61952168339
16510 -24364.18732822798
16520 -24367.72318191971
16530 -24442.95196340962
16540 -24425.38568647964
16550 -24407.80737119282
16560 -24367.69247553357
16570 -24418.98809891973
16580 -24761.10578307792
16590 -25723.51216775597
16600 -25955.22478386798
16610 -25865.62597692851
16620 -26063.15558082347
16630 -26039.08692283484
16640 -26120.5584758532
16650 -26159.91240279904
16660 -26157.46166077834
16670 -25987.65435712685
16680 -26012.28063089313
16690 -26409.41059923853
16700 -26680.15919284424
16710 -26694.83598455011
16720 -27520.40319511296
16730 -28227.40204354424
16740 -27876.97551164327
16750 -27888.78599411467
16760 -27879.48470795634
16770 -27808.32074640522
16780 -27419.92015478498
16790 -26871.65889083545
16800 -26327.44124251655
16810 -25933.81504618746
16820 -25606.17660766913
16830 -25506.13841828902
16840 -25525.33218894529
16850 -25350.56111493048
16860 -25123.11315752891
16870 -24713.50048971406
16880 -24326.21686217644
16890 -24181.16830567817
16900 -24125.51006436443
16910 -24071.46345243106
16920 -24065.51644998839
16930 -24104.25399317543
16940 -24324.30335719299
16950 -24571.12822669472
16960 -24843.28391294687
16970 -25145.44021603628
16980 -25064.43014145342
16990 -25149.77329330476
17000 -25235.69401262036
17010 -25560.24100403463
17020 -26266.14137878838
17030 -26921.7873206614
17040 -27037.66114259312
17050 -26814.13521164885
17060 -26658.12810619561
17070 -26570.68785789546
17080 -26488.41932313375
17090 -26453.66587542765
17100 -26527.35672244684
17110 -26471.28701138315
17120 -26334.75680472933
17130 -26128.41289993296
17140 -25901.7951141411
17150 -25863.97757107035
17160 -25968.58095884779
17170 -25664.9299654507
17180 -25317.26844319303
17190 -25006.06789370352
17200 -24713.70581297782
17210 -24439.58942562246
17220 -24460.90030508876
17230 -24772.16677257777
17240 -25028.93962103716
17250 -25052.2331664238
17260 -24959.09746219781
17270 -24829.39030730085
17280 -24610.85877400856
17290 -24285.06034747263
17300 -23972.90137051694
17310 -23746.43444193531
17320 -23698.81545939238
17330 -23853.86119043427
17340 -24122.42106084387
17350 -24484.00642456404
17360 -24835.74166201948
17370 -25184.26400571586
17380 -25513.48648759937
17390 -25716.61383723501
17400 -25832.79659626662
17410 -25942.01592484165
17420 -26085.38822380294
17430 -26269.22535021245
17440 -26596.40411235385
17450 -26865.99790596058
17460 -27105.97847578596
17470 -27066.02038969141
17480 -27109.88411114316
17490 -27323.90264145504
17500 -27599.48603814459
17510 -27713.14993986658
17520 -27566.28590024049
17530 -27517.56940586735
17540 -27527.49398017108
17550 -27347.13515292157
17560 -26989.40444085981
17570 -26671.84203691283
17580 -26556.33282796449
17590 -26896.45949601997
17600 -27140.09117296223
17610 -26977.45297671332
17620 -26737.82904015214
17630 -26604.41899150241
17640 -26641.29778510433
17650 -26705.24264604075
17660 -26447.0984657352
17670 -25986.49781937123
17680 -25513.06874088417
17690 -25096.07381985244
17700 -24653.00659088543
17710 -24211.37200053234
17720 -23762.63843165853
17730 -23568.2314752112
17740 -23623.40732554603
17750 -23758.87819905183
17760 -24082.03455621651
17770 -24471.06253260508
17780 -24887.41525684018
17790 -25263.13728568327
17800 -25528.17977743278
17810 -25829.02326041252
17820 -26227.0803580019
17830 -26623.78702805625
17840 -26781.84904124194
17850 -26716.55193403272
17860 -26896.0970150001
17870 -27520.67647001543
17880 -27949.44438191411
17890 -27765.14950255661
17900 -27590.53800550872
17910 -27458.24663067345
17920 -27386.57225953289
17930 -27144.90948440698
17940 -26874.9222858584
17950 -26827.24496185255
17960 -26752.89613170266
17970 -26689.09783413483
17980 -26540.80787317604
17990 -26081.81328676153
18000 -25689.40380091178
18010 -25235.52402222946
18020 -25126.72989949506
18030 -25015.35581165839
18040 -25040.21165497881
18050 -24910.96853615629
18060 -24607.59924519966
18070 -24830.82445799709
18080 -25234.31908043338
18090 -25402.16891659738
18100 -25312.89971958258
18110 -25033.27777524407
18120 -24823.57886719196
18130 -24785.16380194928
18140 -24734.11079263869
18150 -24689.9914721815
18160 -24726.10409520217
18170 -24983.93677403625
18180 -25340.38471419672
18190 -25930.91058108681
18200 -26481.4435258864
18210 -26651.54278494233
18220 -26582.60411696412
18230 -26572.77112946798
18240 -26713.32665871317
18250 -27180.98594466382
18260 -27564.83504391152
18270 -28009.99006220385
18280 -28357.88379129336
18290 -28174.27898565042
18300 -27601.98412769923
18310 -27249.79212354512
18320 -27075.44018501202
18330 -27064.0199068369
18340 -27069.16042497985
18350 -26981.57242817279
18360 -26602.49236234322
18370 -26256.10964261609
18380 -26314.3283289857
18390 -26598.9902323439
18400 -26975.73388871165
18410 -27118.35667799302
18420 -26925.40809330442
18430 -26753.68697763638
18440 -26691.52168724368
18450 -26658.20491566764
18460 -26487.75311137755
18470 -26176.88807207437
18480 -25727.25440420557
18490 -25270.12619909798
18500 -24789.34632996948
18510 -24357.5246979118
18520 -24202.83415352007
18530 -24254.5789351626
18540 -24414.65820286997
18550 -24837.60666052075
18560 -25545.10464978962
18570 -26194.21050167189
18580 -26671.66101462988
18590 -26942.51657641687
18600 -26830.16583115408
18610 -26852.21589581096
18620 -26780.82338225006
18630 -26946.36609321115
18640 -26993.07484333406
18650 -26900.82122973989
18660 -26797.71559016778
18670 -26699.44229009184
18680 -26671.10335126407
18690 -26745.88408174015
18700 -26694.75224743137
18710 -26689.98027731641
18720 -26861.3599905414
18730 -26753.27540322318
18740 -26584.90435113776
18750 -26905.30023820435
18760 -27353.62631300613
18770 -27762.563730842
18780 -28010.37389245096
18790 -28072.80581773941
18800 -27947.00061715295
18810 -27670.03761326371
18820 -27332.27817930959
18830 -26937.38697817718
18840 -26426.76698171156
18850 -25882.73936967703
18860 -25332.82933266995
18870 -25077.29866138199
18880 -24665.30447932245
18890 -24466.47977770116
18900 -24272.01119024225
18910 -23826.32257433323
18920 -23489.1321517138
18930 -23542.88534223664
18940 -23796.09714184729
18950 -24179.40400630331
18960 -24611.62523369241
18970 -24779.98630399456
18980 -24780.11792213408
18990 -24679.31896425427
19000 -24527.80338045091
19010 -24698.85812541316
19020 -25229.96937245943
19030 -25694.21675594808
19040 -25939.78834937909
19050 -26183.61601300456
19060 -26307.78391172091
19070 -26106.73296386387
19080 -25945.10660348511
19090 -26045.27574501908
19100 -26268.28573223766
19110 -26498.16871024735
19120 -26953.62606997561
19130 -27483.40599940133
19140 -27800.92692148201
19150 -27636.32413125765
19160 -27193.41270800183
19170 -26762.38222318817
19180 -26302.81157315216
19190 -26294.37100349543
19200 -26568.20487745541
19210 -26650.04754897667
19220 -26544.81007736612
19230 -26356.94115151577
19240 -26148.57996468464
19250 -25748.96661106354
19260 -25425.75169692596
19270 -25207.95440276661
19280 -25050.44270265478
19290 -24966.00482798757
19300 -24815.23812764144
19310 -24406.71555851756
19320 -24071.42423074081
19330 -23963.70880049718
19340 -23918.43988489273
19350 -24116.41164803777
19360 -24665.13753460376
19370 -25483.56535854651
19380 -26134.74305195973
19390 -26449.90612349908
19400 -26688.03905592988
19410 -26892.92953649553
19420 -27051.36926906874
19430 -26907.61135234741
19440 -26551.91862004361
19450 -26144.00622921621
19460 -25919.53355869491
19470 -25992.94822129455
19480 -26097.36331593728
19490 -26114.50602758382
19500 -26010.77301873011
19510 -25938.76850653
19520 -25829.35759864285
19530 -25727.33521321714
19540 -25761.62622715242
19550 -26041.38180731495
19560 -26456.21680821479
19570 -26777.19692606958
19580 -26970.68745457236
19590 -27186.06622188093
19600 -27210.63128112315
19610 -27106.93144799193
19620 -26962.71228636785
19630 -26814.52931816858
19640 -26707.63372386185
19650 -26584.08376206029
19660 -26315.9006958898
19670 -25919.10236999701
19680 -25499.57497384039
19690 -24948.17137647282
19700 -24498.48793177287
19710 -24103.00792876984
19720 -23879.03936873586
19730 -23837.70206253731
19740 -23913.41036140098
19750 -24072.62419996484
19760 -24439.40839620327
19770 -24807.85152079241
19780 -25065.717022533
