"Time Step" "mass-flux"
2890 4.779308469121668e-08
2900 5.99022405151084e-08
2910 1.69800318819413e-07
2920 -7.160871858674644e-08
2930 1.294232377518911e-07
2940 4.678206811520313e-08
2950 -1.330752942493851e-07
2960 5.201082487610309e-08
2970 1.614641577524223e-07
2980 4.854976969753677e-08
2990 1.806858270711476e-07
3000 -1.274842679477306e-07
3010 -1.690050355426798e-07
3020 1.723882874157812e-07
3030 2.025053540688493e-07
3040 2.734696451928142e-08
3050 -4.377466258920215e-08
3060 -5.636670362407781e-08
3070 -1.185714974746843e-07
3080 1.954357838479526e-07
3090 -2.154264429760078e-07
3100 -1.943056977746216e-07
3110 2.192861559627279e-07
3120 6.575854873819287e-08
3130 4.509393974200249e-08
3140 6.5727757937728e-08
3150 -2.903129023290596e-07
3160 2.600670040570074e-07
3170 2.458822304443609e-07
3180 -5.700613443793134e-08
3190 -8.349555647574336e-08
3200 -2.00232160019187e-07
3210 1.340572147179309e-07
3220 1.407259470204147e-07
3230 8.022989324285579e-08
3240 6.613980400860253e-08
3250 -1.213309323150336e-08
3260 1.572532794605341e-07
3270 -5.726049851634274e-08
3280 -2.581884531657752e-07
3290 1.150619736989267e-07
3300 1.773807405611172e-07
3310 2.039602044062727e-07
3320 1.905882255834324e-07
3330 -4.275789934615748e-08
3340 1.399171280919154e-08
3350 1.895171735030732e-07
3360 -6.592695153684325e-09
3370 5.569155095419553e-09
3380 2.725272205128526e-08
3390 1.741767484408907e-08
3400 1.798644864367538e-07
3410 1.70392188372781e-07
3420 2.269980832331209e-07
3430 -2.457111424464253e-07
3440 2.448326911347332e-07
3450 -6.988667777124702e-08
3460 -6.410720573141182e-08
3470 -1.592578518852528e-07
3480 -7.36765019063168e-08
3490 2.139726473851522e-07
3500 1.741144422112706e-07
3510 1.362790215675425e-07
3520 2.214742411896231e-07
3530 1.933925279293258e-07
3540 1.929853025994799e-08
3550 -1.582024421048489e-07
3560 -1.781257756364174e-07
3570 -6.752192677206281e-08
3580 2.352196893512515e-08
3590 9.446514092487091e-08
3600 4.415811149377502e-08
0 3.708691647109214e-05
10 2.672474606196795e-08
20 1.206877215872981e-07
30 6.020537510198487e-08
40 -9.153194194949643e-08
50 -1.381170232628293e-07
60 1.734709011644298e-07
70 2.34431161393045e-07
80 2.398585774998629e-07
90 -1.29089255514192e-07
100 -1.199741966745327e-07
110 5.060211692026195e-08
120 3.281408556682353e-08
130 1.633635492576113e-07
140 -1.444035621286921e-07
150 1.324050761392082e-08
160 1.689129717138971e-07
170 8.647588537608053e-08
180 1.746847272665608e-07
190 1.300963930264687e-07
200 4.370584677504397e-08
210 -8.203695462533078e-08
220 -1.819561446167461e-07
230 -1.172873120361406e-07
240 1.491740030598598e-07
250 1.966625802207744e-07
260 1.491921725535472e-07
270 -2.28023741832839e-08
