"Time Step" "point-ho-a"
2890 5.02538625823945e-07
2900 5.03504452353809e-07
2910 5.041608233113948e-07
2920 5.039445341026294e-07
2930 5.031823775425437e-07
2940 5.01933413943334e-07
2950 5.004394552088343e-07
2960 5.000049441150622e-07
2970 5.016773343413661e-07
2980 5.053166205470916e-07
2990 5.098105475553893e-07
3000 5.140593657415593e-07
3010 5.174134116714413e-07
3020 5.193461447561276e-07
3030 5.193574565964809e-07
3040 5.183227358429576e-07
3050 5.177090542929363e-07
3060 5.180270363780437e-07
3070 5.185253826311964e-07
3080 5.186374210097711e-07
3090 5.186405473978084e-07
3100 5.1860803296222e-07
3110 5.183430289434909e-07
3120 5.181684059607505e-07
3130 5.181813662602508e-07
3140 5.179962272450211e-07
3150 5.173773161004647e-07
3160 5.167743211131892e-07
3170 5.169173959984619e-07
3180 5.17464968652348e-07
3190 5.175281785341213e-07
3200 5.168657821741363e-07
3210 5.158046860742616e-07
3220 5.14795374328969e-07
3230 5.1425593028398e-07
3240 5.142166514815472e-07
3250 5.149769322088105e-07
3260 5.164922640688019e-07
3270 5.183496796234977e-07
3280 5.199250381338061e-07
3290 5.210621338846977e-07
3300 5.218680598773062e-07
3310 5.223389507591492e-07
3320 5.229006774243317e-07
3330 5.244575618235103e-07
3340 5.272629550745478e-07
3350 5.306065986587782e-07
3360 5.335129458217125e-07
3370 5.351731715563801e-07
3380 5.346961984287191e-07
3390 5.325225060914818e-07
3400 5.305720947035297e-07
3410 5.300528869156551e-07
3420 5.306884531819378e-07
3430 5.31341356690973e-07
3440 5.316616125128348e-07
3450 5.319362230693514e-07
3460 5.323187224348658e-07
3470 5.327422059053788e-07
3480 5.332308887773252e-07
3490 5.336272010936227e-07
3500 5.337845436770294e-07
3510 5.33500895016914e-07
3520 5.332457817530667e-07
3530 5.337922743819945e-07
3540 5.346440161702048e-07
3550 5.348911713554116e-07
3560 5.34630089532584e-07
3570 5.341817654880288e-07
3580 5.339559265848948e-07
3590 5.342574240785325e-07
3600 5.351049026103283e-07
0 0
10 1.214676643712664e-07
20 2.28544337232961e-07
30 3.125946932414081e-07
40 3.726119075508905e-07
50 4.111025191377848e-07
60 4.339466670444381e-07
70 4.466541838610283e-07
80 4.533297612852039e-07
90 4.572185900997283e-07
100 4.599096996571461e-07
110 4.612215889210347e-07
120 4.606519041772117e-07
130 4.589396951359959e-07
140 4.573183218781196e-07
150 4.559335593512515e-07
160 4.550555559035274e-07
170 4.551728522983467e-07
180 4.562684523534699e-07
190 4.574231979859178e-07
200 4.580043366786413e-07
210 4.581343659992854e-07
220 4.584784392136498e-07
230 4.589948900957097e-07
240 4.595327709466801e-07
250 4.602415515364555e-07
260 4.612883230947773e-07
