"Time Step" "point-pressure-c"
2890 -8369.296875
2900 -7606.86669921875
2910 -6755.55224609375
2920 -6295.13134765625
2930 -6390.77783203125
2940 -6492.4091796875
2950 -6928.140625
2960 -7704.19384765625
2970 -8538.689453125
2980 -8845.146484375
2990 -7346.07470703125
3000 -6387.38134765625
3010 -7766.88037109375
3020 -7356.6630859375
3030 -6373.18017578125
3040 -6159.6337890625
3050 -6269.76953125
3060 -7807.70068359375
3070 -8040.2529296875
3080 -6859.705078125
3090 -6167.67236328125
3100 -7622.1708984375
3110 -7640.607421875
3120 -8312.275390625
3130 -8028.24169921875
3140 -7765.873046875
3150 -9922.9736328125
3160 -9650.0654296875
3170 -6961.96533203125
3180 -6374.25244140625
3190 -6842.05908203125
3200 -8324.0205078125
3210 -8175.0869140625
3220 -8353.0576171875
3230 -8183.96533203125
3240 -8232.0615234375
3250 -7015.29150390625
3260 -7335.9833984375
3270 -6540.7021484375
3280 -7896.7041015625
3290 -9721.375
3300 -8964.2998046875
3310 -7837.5087890625
3320 -7671.21630859375
3330 -7970.41015625
3340 -8508.0087890625
3350 -7556.25390625
3360 -6449.95654296875
3370 -6630.072265625
3380 -7447.40234375
3390 -7385.98974609375
3400 -7623.59716796875
3410 -7473.42626953125
3420 -7515.53955078125
3430 -7715.640625
3440 -7759.2724609375
3450 -7000.15478515625
3460 -7036.681640625
3470 -8032.828125
3480 -9361.90234375
3490 -8883.861328125
3500 -8828.3046875
3510 -10411.3525390625
3520 -9219.7880859375
3530 -7050.068359375
3540 -5443.3515625
3550 -5617.70654296875
3560 -6154.1455078125
3570 -8078.03173828125
3580 -9063.7724609375
3590 -8548.0107421875
3600 -9148.955078125
0 -9246.5458984375
10 -11664.9638671875
20 -9219.798828125
30 -6644.5947265625
40 -7274.1474609375
50 -9044.66796875
60 -9408.2705078125
70 -8582.123046875
80 -7597.1435546875
90 -8797.544921875
100 -11141.3994140625
110 -11374.73828125
120 -8271.044921875
130 -7801.7421875
140 -7678.0947265625
150 -8814.125
160 -8428.271484375
170 -7060.9169921875
