"gw-hemolysis"
"Time_Step" "gw-hemolysis"
("Time_Step" "gw-hemolysis")
0 0
10 5.945102113938673e-10
20 1.221559019581121e-09
30 1.846783412352228e-09
40 2.468703713980811e-09
50 3.086664728016165e-09
60 3.700593537920452e-09
70 4.310724622810119e-09
80 4.917577261499639e-09
90 5.521261647047802e-09
100 6.12270824033633e-09
110 6.721923004373791e-09
120 7.319636900355284e-09
130 7.915932682919612e-09
140 8.510912439437685e-09
150 9.105777237975512e-09
160 9.700276481598781e-09
170 1.029394144580251e-08
180 1.088711958382968e-08
190 1.148049324772543e-08
200 1.207397662118313e-08
210 1.266755638680539e-08
220 1.32611763613347e-08
230 1.385453068485059e-08
240 1.444708006233041e-08
250 1.504009077465008e-08
260 1.563286176708795e-08
270 1.622578905143709e-08
280 1.681867600501129e-08
290 1.741131522648051e-08
300 1.800271845687427e-08
310 1.859478297966912e-08
320 1.918692708226661e-08
330 1.977938228066531e-08
340 2.037037892644063e-08
350 2.096110229199617e-08
360 2.155233957408313e-08
370 2.214198901665814e-08
380 2.273096138757308e-08
390 2.332108228224763e-08
400 2.391054696694778e-08
410 2.449907340195836e-08
420 2.50866536238537e-08
430 2.567309801086869e-08
440 2.625996057212114e-08
450 2.684621129766836e-08
460 2.743209571759782e-08
470 2.801604136998661e-08
480 2.860072730490181e-08
490 2.918445197653882e-08
500 2.976723919150748e-08
510 3.035049433966235e-08
520 3.093216826490627e-08
530 3.151253243443254e-08
540 3.209351785470415e-08
550 3.267361816775183e-08
560 3.325383927852281e-08
570 3.383231840477014e-08
580 3.441084848306175e-08
590 3.498811439649429e-08
600 3.556524121503724e-08
610 3.614036323639938e-08
620 3.671752478950845e-08
630 3.729248140790362e-08
640 3.786714292222021e-08
650 3.844011136549811e-08
660 3.901291261788707e-08
670 3.958565017361496e-08
680 4.015701712146521e-08
690 4.07278735065577e-08
700 4.12985887287636e-08
710 4.186791697361609e-08
720 4.243665462158787e-08
730 4.300616109057722e-08
740 4.357307034172539e-08
750 4.414023279781952e-08
760 4.470668869323928e-08
770 4.527265713025813e-08
780 4.583797891469239e-08
790 4.640317168381334e-08
800 4.696916439212524e-08
810 4.753370898194401e-08
820 4.809703036686547e-08
830 4.866092282417623e-08
840 4.922273441485526e-08
850 4.97844116124027e-08
860 5.034806983279585e-08
870 5.091098192573107e-08
880 5.147442538332851e-08
890 5.203599933758983e-08
900 5.259610568641397e-08
910 5.315722593068558e-08
920 5.371844853440534e-08
930 5.427906296354281e-08
940 5.483909480127497e-08
950 5.539888060753259e-08
960 5.595839665444002e-08
970 5.65172444642939e-08
980 5.707570545073228e-08
990 5.763452195876993e-08
1000 5.8194105404178e-08
1010 5.875103069463232e-08
1020 5.930853769615932e-08
1030 5.986717903907733e-08
1040 6.04248196475199e-08
1050 6.098173738904973e-08
1060 6.153949295542213e-08
1070 6.209395747848857e-08
1080 6.265110955225131e-08
1090 6.320877556291209e-08
1100 6.376232089501719e-08
1110 6.43189755371149e-08
1120 6.487707046392425e-08
1130 6.543113030364869e-08
1140 6.598505234776517e-08
1150 6.653959996237103e-08
1160 6.709486553117469e-08
1170 6.764957749909529e-08
1180 6.820239990470147e-08
1190 6.875735229371796e-08
1200 6.931137282327458e-08
1210 6.986319233042949e-08
1220 7.041956399987023e-08
1230 7.096959332296981e-08
1240 7.152323372579013e-08
1250 7.207397964310113e-08
1260 7.262562191453165e-08
1270 7.317839980869935e-08
1280 7.372952779156816e-08
1290 7.427984883464402e-08
1300 7.483080155122629e-08
1310 7.538011559271817e-08
1320 7.592868190076182e-08
1330 7.647838252871814e-08
1340 7.702768955033982e-08
1350 7.757698243821393e-08
1360 7.812489820931001e-08
1370 7.867241377236627e-08
1380 7.921794429772766e-08
1390 7.976377216741631e-08
1400 8.031240393271494e-08
1410 8.085698492901452e-08
1420 8.140109171744243e-08
1430 8.194589272915024e-08
1440 8.24916466329638e-08
1450 8.303485038959605e-08
1460 8.358085497047059e-08
1470 8.412380699931886e-08
1480 8.466394270529727e-08
1490 8.520970965044335e-08
1500 8.575241480503898e-08
1510 8.62966331824474e-08
1520 8.683851102755381e-08
1530 8.738356191547513e-08
1540 8.792467448897972e-08
1550 8.846803750516646e-08
1560 8.901195662999644e-08
1570 8.955616483779545e-08
1580 9.009630647698793e-08
1590 9.063857207982402e-08
1600 9.117991535829166e-08
1610 9.172288668036891e-08
1620 9.226691127307245e-08
1630 9.28069988358342e-08
1640 9.335005611977962e-08
1650 9.389030526281858e-08
1660 9.443577951776988e-08
1670 9.497556206277637e-08
1680 9.552064963801833e-08
1690 9.606342806320021e-08
1700 9.660309719255105e-08
1710 9.714648359174895e-08
1720 9.769007494486609e-08
1730 9.823121412882933e-08
1740 9.877399571984169e-08
1750 9.931685114443711e-08
1760 9.986338646349001e-08
1770 1.004080125934358e-07
1780 1.009507862835276e-07
1790 1.014959228289578e-07
1800 1.020370850815707e-07
1810 1.025843997623426e-07
1820 1.031281892210013e-07
1830 1.036762113965403e-07
1840 1.042224458409186e-07
1850 1.047679348603379e-07
1860 1.053154117907436e-07
1870 1.058599907860281e-07
1880 1.064054050389316e-07
1890 1.069548090489433e-07
1900 1.075005967690582e-07
1910 1.08048182943137e-07
1920 1.08598988481702e-07
1930 1.091493211239827e-07
1940 1.096979672611834e-07
1950 1.102456442757767e-07
1960 1.10795151541238e-07
1970 1.113441748146834e-07
1980 1.11897530085429e-07
1990 1.12450704312482e-07
2000 1.130048808568035e-07
2010 1.135576937845126e-07
2020 1.141119606171403e-07
2030 1.146655151783899e-07
2040 1.15225698073729e-07
2050 1.157757035346577e-07
2060 1.163369645351007e-07
2070 1.168933756734908e-07
2080 1.174514556561862e-07
2090 1.180078158385561e-07
2100 1.185651146351394e-07
2110 1.191266139340649e-07
2120 1.196868025725882e-07
2130 1.20246507366068e-07
2140 1.208079273877574e-07
2150 1.213698732475432e-07
2160 1.219279427841851e-07
2170 1.224936934674519e-07
2180 1.230543753928118e-07
2190 1.236187652056587e-07
2200 1.241808632289418e-07
2210 1.247465240056684e-07
2220 1.253112180212159e-07
2230 1.258756129478894e-07
2240 1.264436657593896e-07
2250 1.27009201247423e-07
2260 1.275774379924676e-07
2270 1.281456426439667e-07
2280 1.28713469102761e-07
2290 1.292847096091219e-07
2300 1.298505445238583e-07
2310 1.304223639503942e-07
2320 1.309982965274452e-07
2330 1.315666042901689e-07
2340 1.321424515338094e-07
2350 1.327145714793655e-07
2360 1.332904162958612e-07
2370 1.338637143006327e-07
2380 1.344441685114865e-07
2390 1.350208495832724e-07
2400 1.355932936856748e-07
2410 1.361719768772624e-07
2420 1.367500662800187e-07
2430 1.373290991415225e-07
2440 1.379091116745101e-07
2450 1.384906279959547e-07
2460 1.390720223826686e-07
2470 1.396538953910966e-07
2480 1.402382353724099e-07
2490 1.408209909154657e-07
2500 1.414040110697247e-07
2510 1.419886833657857e-07
2520 1.425737356576096e-07
2530 1.431609824793248e-07
2540 1.43746161397024e-07
2550 1.443313360732973e-07
2560 1.449194972277014e-07
2570 1.455070059739793e-07
2580 1.460971391240291e-07
2590 1.466855389096677e-07
2600 1.472777697753352e-07
2610 1.478655441713277e-07
2620 1.484610546904253e-07
2630 1.490490535784501e-07
2640 1.496415483269383e-07
2650 1.502306087322161e-07
2660 1.508231450733164e-07
2670 1.514164290846349e-07
2680 1.52013594978886e-07
2690 1.526047512186397e-07
2700 1.531973372214142e-07
2710 1.537910751648323e-07
2720 1.543862210770194e-07
2730 1.549832364518934e-07
2740 1.555776059530697e-07
2750 1.561731806628367e-07
2760 1.567694286878563e-07
2770 1.573647785531298e-07
2780 1.579611941568929e-07
2790 1.585571633867152e-07
2800 1.591535802575529e-07
2810 1.597511900747333e-07
2820 1.603478977112234e-07
2830 1.609437114441198e-07
2840 1.615398032913315e-07
2850 1.621334251091335e-07
2860 1.627303168447265e-07
2870 1.633281839707017e-07
2880 1.639244993976424e-07
2890 1.645215390576412e-07
2900 1.651245026508035e-07
2910 1.657213197058534e-07
2920 1.663184025408758e-07
2930 1.6691370748379e-07
2940 1.675139221707696e-07
2950 1.681116334851405e-07
2960 1.687092801513436e-07
2970 1.693090691066668e-07
2980 1.69909364747037e-07
2990 1.705072409244351e-07
3000 1.711085222428656e-07
3010 1.717084251728185e-07
3020 1.723060235398215e-07
3030 1.729074341052221e-07
3040 1.735038276884957e-07
3050 1.741108079204688e-07
3060 1.747103603744396e-07
3070 1.753094912120084e-07
3080 1.759107581234573e-07
3090 1.765149731949246e-07
3100 1.771215343511259e-07
3110 1.777184722347546e-07
3120 1.783228109411102e-07
3130 1.789254916379987e-07
3140 1.795335208148662e-07
3150 1.801336349862749e-07
3160 1.807343337723758e-07
3170 1.813374211895012e-07
3180 1.819415775971411e-07
3190 1.825453521853651e-07
3200 1.831521067607111e-07
3210 1.837582250499639e-07
3220 1.843638004380975e-07
3230 1.849687180841247e-07
3240 1.85567225961437e-07
3250 1.861787450661781e-07
3260 1.867867452139921e-07
3270 1.873859447076143e-07
3280 1.87995383350545e-07
3290 1.886024502120536e-07
3300 1.892073083744224e-07
3310 1.898154311946799e-07
3320 1.904230720756444e-07
3330 1.910399381527768e-07
3340 1.916467638925937e-07
3350 1.922474747734891e-07
