"point-pressure-c"
"Time_Step" "point-pressure-c"
("Time_Step" "point-pressure-c")
0 -9063.9560546875
10 -12067.9443359375
20 -11717.474609375
30 -11182.7724609375
40 -10494.7412109375
50 -9395.8505859375
60 -8065.05419921875
70 -6834.7744140625
80 -6248.95556640625
90 -6365.21484375
100 -6929.5791015625
110 -7667.595703125
120 -7908.4951171875
130 -8246.2197265625
140 -8548.5576171875
150 -8724.1103515625
160 -8768.595703125
170 -9304.6533203125
180 -8591.8505859375
190 -8885.1083984375
200 -8839.3037109375
210 -8154.0048828125
220 -8494.458984375
230 -9992.603515625
240 -12273.314453125
250 -11365.5439453125
260 -11489.13671875
270 -10281.671875
280 -10707.716796875
290 -9893.9521484375
300 -8693.1083984375
310 -7576.57177734375
320 -6895.30419921875
330 -7226.265625
340 -7872.82861328125
350 -7693.18798828125
360 -7747.0771484375
370 -8250.0615234375
380 -7857.119140625
390 -7840.5341796875
400 -8688.5576171875
410 -10107.3125
420 -10870.53125
430 -10381.625
440 -9026.8779296875
450 -7947.3798828125
460 -8449.7783203125
470 -9484.1142578125
480 -10067.8671875
490 -9678.4287109375
500 -8992.046875
510 -8608.962890625
520 -8900.1201171875
530 -7748.29931640625
540 -7376.498046875
550 -7597.74365234375
560 -7627.4580078125
570 -8361.9013671875
580 -9472.826171875
590 -10198.5947265625
600 -9645.9765625
610 -9632.4716796875
620 -9287.130859375
630 -9702.9990234375
640 -10683.4521484375
650 -10322.5380859375
660 -10100.2548828125
670 -9662.6494140625
680 -10131.849609375
690 -9752.9736328125
700 -10343.6416015625
710 -9719.84375
720 -10085.091796875
730 -10259.3037109375
740 -9547.7431640625
750 -9568.25390625
760 -9845.634765625
770 -10215.55859375
780 -9122.193359375
790 -8617.353515625
800 -8537.568359375
810 -8572.47265625
820 -8537.580078125
830 -9252.2490234375
840 -8933.1611328125
850 -8966.50390625
860 -9615.140625
870 -8282.671875
880 -8312.88671875
890 -9034.9638671875
900 -10051.619140625
910 -10568.0458984375
920 -10201.08984375
930 -10100.6328125
940 -10405.7578125
950 -10110.697265625
960 -9582.3466796875
970 -9071.4208984375
980 -8159.0673828125
990 -7697.8349609375
1000 -8593.0537109375
1010 -8650.4765625
1020 -7283.7724609375
1030 -7351.24853515625
1040 -7229.6708984375
1050 -7894.677734375
1060 -8534.361328125
1070 -9449.60546875
1080 -10806.259765625
1090 -12126.4404296875
1100 -11950.822265625
1110 -11581.3359375
1120 -11009.181640625
1130 -11288.8994140625
1140 -11202.70703125
1150 -10732.5244140625
1160 -10253.251953125
1170 -9674.09765625
1180 -9983.1728515625
1190 -9926.9482421875
1200 -9227.4248046875
1210 -9052.8740234375
1220 -8425.7822265625
1230 -8534.953125
1240 -6919.21826171875
1250 -6840.6171875
1260 -5927.71044921875
1270 -6044.11279296875
1280 -6260.8515625
1290 -6733.7314453125
1300 -7224.0625
1310 -7299.0419921875
1320 -7603.6337890625
1330 -7696.6630859375
1340 -7447.2939453125
1350 -7977.1396484375
1360 -8835.8232421875
1370 -9483.6376953125
1380 -9846.953125
1390 -9117.060546875
1400 -9612.63671875
1410 -9196.54296875
1420 -9042.2353515625
1430 -9484.94921875
1440 -9609.322265625
1450 -8207.6845703125
1460 -7843.98876953125
1470 -7984.89208984375
1480 -7564.4296875
1490 -8497.318359375
1500 -7630.87890625
1510 -6577.93701171875
1520 -6501.2998046875
1530 -7175.0615234375
1540 -7575.20361328125
1550 -7752.98779296875
1560 -7900.5654296875
1570 -8256.9755859375
1580 -9342.4482421875
1590 -10004.3603515625
1600 -10103.185546875
1610 -10118.6513671875
1620 -10425.38671875
1630 -10056.28125
1640 -9888.490234375
1650 -10271.8525390625
1660 -10510.822265625
1670 -10506.23828125
1680 -10938.240234375
1690 -11326.537109375
1700 -11269.9375
1710 -10820.013671875
1720 -10458.185546875
1730 -9266.97265625
1740 -8813.984375
1750 -7116.19970703125
1760 -6451.548828125
1770 -6565.6279296875
1780 -6788.669921875
1790 -8667.3759765625
1800 -10190.119140625
1810 -7098.67919921875
1820 -6791.2548828125
1830 -6652.435546875
1840 -6945.97705078125
1850 -8084.51806640625
1860 -8862.755859375
1870 -9463.013671875
1880 -9798.103515625
1890 -9818.8671875
1900 -10370.5791015625
1910 -11181.5693359375
1920 -9661.8671875
1930 -8273.6298828125
1940 -8759.8359375
1950 -9295.0078125
1960 -9179.0625
1970 -7787.55029296875
1980 -6603.201171875
1990 -6128.556640625
2000 -6921.7880859375
2010 -6965.546875
2020 -8118.140625
2030 -8174.0888671875
2040 -8548.6650390625
2050 -9181.0146484375
2060 -9648.5986328125
2070 -9701.88671875
2080 -10005.27734375
2090 -9972.310546875
2100 -9458.5068359375
2110 -9467.2216796875
2120 -9869.046875
2130 -10144.115234375
2140 -10409.92578125
2150 -11372.451171875
2160 -11625.8017578125
2170 -12050.2109375
2180 -11479.2099609375
2190 -10493.3466796875
2200 -9279.193359375
2210 -8178.15283203125
2220 -7076.6044921875
2230 -7013.62158203125
2240 -7137.06201171875
2250 -8137.35400390625
2260 -8182.3759765625
2270 -8098.3857421875
2280 -8384.0888671875
2290 -9764.572265625
2300 -10011.0341796875
2310 -9346.5751953125
2320 -9360.7119140625
2330 -9206.4755859375
2340 -8659.5693359375
2350 -8295.3486328125
2360 -8281.7265625
2370 -7905.71875
2380 -8290.1650390625
2390 -9752.58984375
2400 -10360.248046875
2410 -9968.60546875
2420 -9797.5439453125
2430 -9078.447265625
2440 -9319.0078125
2450 -7766.306640625
2460 -7741.26953125
2470 -7572.07470703125
2480 -7004.4853515625
2490 -7173.96923828125
2500 -8074.23095703125
2510 -8644.5830078125
2520 -8543.423828125
2530 -8965.3076171875
2540 -9743.7431640625
2550 -9340.513671875
2560 -8718.5869140625
2570 -8340.5859375
2580 -8545.3447265625
2590 -8307.90625
2600 -7867.42333984375
2610 -8503.580078125
2620 -9871.505859375
2630 -10804.048828125
2640 -11307.7421875
2650 -10341.1591796875
2660 -9029.365234375
2670 -8574.1376953125
2680 -9039.5888671875
2690 -8256.431640625
2700 -8533.0341796875
2710 -7751.5732421875
2720 -7188.14697265625
2730 -7525.07275390625
2740 -7283.11767578125
2750 -7325.19677734375
2760 -7994.44091796875
2770 -9178.0927734375
2780 -9906.6181640625
2790 -9985.03125
2800 -10058.302734375
2810 -10037.1123046875
2820 -10541.75390625
2830 -10980.251953125
2840 -11381.216796875
2850 -11100.5234375
2860 -10830.201171875
2870 -11091.7783203125
2880 -10869.923828125
2890 -8811.5712890625
2900 -10137.86328125
2910 -11055.826171875
2920 -9943.220703125
2930 -9146.92578125
2940 -8019.5908203125
2950 -7805.2626953125
2960 -7855.6943359375
2970 -7323.81005859375
2980 -7264.4287109375
2990 -7549.326171875
3000 -7939.451171875
3010 -8762.2470703125
3020 -9506.1328125
3030 -10075.83984375
3040 -10400.21875
3050 -10373.919921875
3060 -10346.96875
3070 -9955.83203125
3080 -9653.9853515625
3090 -9197.3046875
3100 -10281.466796875
3110 -11305.8447265625
3120 -11118.126953125
3130 -9927.3662109375
3140 -10779.279296875
3150 -11104.486328125
3160 -10616.6015625
3170 -9379.72265625
3180 -8937.8251953125
3190 -7112.02734375
3200 -7149.8583984375
3210 -7385.3544921875
3220 -7868.1005859375
3230 -8207.93359375
3240 -8157.5537109375
3250 -8569.458984375
3260 -10166.3515625
3270 -10888.3388671875
3280 -9456.3779296875
3290 -9312.4375
3300 -9217.29296875
3310 -9079.294921875
3320 -8525.9375
3330 -8569.6630859375
3340 -9040.1259765625
3350 -9549.9306640625
3360 -9871.0224609375
3370 -9485.513671875
3380 -9915.82421875
3390 -10392.8505859375
3400 -10331.8564453125
3410 -10585.9208984375
3420 -10475.4404296875
3430 -10042.3330078125
3440 -9662.2978515625
3450 -9475.6357421875
3460 -9236.29296875
3470 -9404.3310546875
3480 -9179.763671875
3490 -9102.9541015625
3500 -9236.025390625
3510 -10366.3974609375
3520 -10914.861328125
3530 -11216.7275390625
3540 -10875.220703125
