"Time Step" "mass-flux"
20410 -6.11368949909874e-08
20420 -7.407220720123675e-08
20430 6.239856233797303e-08
20440 5.678699321887137e-08
20450 6.789999493217458e-08
20460 3.647147649166183e-08
20470 7.728051688166149e-08
20480 7.901395115972321e-08
20490 1.155302047292639e-07
20500 1.025565875417689e-07
20510 7.439437790107695e-08
20520 2.621938675895219e-08
20530 -6.261870406920611e-08
20540 -7.651183441675924e-08
20550 -6.246969111445289e-08
20560 -1.305948460483819e-07
20570 -7.270989798441319e-08
20580 -7.908305399428883e-08
20590 -4.782300097594394e-08
20600 -5.285476172012249e-08
20610 4.095147310145819e-08
20620 -6.285676270451068e-08
20630 -6.730012352268444e-08
20640 -7.112758895061466e-08
20650 -4.779781682950901e-08
20660 6.643058977212624e-08
20670 -5.730250357549593e-09
20680 -4.556301013564079e-08
20690 -6.641105644578094e-08
20700 -5.07078012357276e-08
20710 2.825909652115488e-09
20720 -6.109347399502196e-08
20730 -7.521237591068264e-08
20740 6.388886023001028e-08
20750 6.417917355200364e-08
20760 2.667861961902496e-08
20770 4.909571500039123e-08
20780 6.612131172450963e-08
20790 5.868686504123533e-08
20800 -3.984093157466395e-08
20810 -8.561657618977314e-08
20820 -9.903479722406239e-08
20830 -6.501604436770503e-08
20840 -8.239677457694272e-08
20850 -7.548056987771723e-08
20860 -4.688279673509266e-08
20870 2.497539439844099e-08
20880 7.016010755700464e-08
20890 8.844167215249499e-08
20900 5.143728266238101e-08
20910 7.978482320647462e-08
20920 9.255971081256753e-08
20930 4.775687181823862e-08
20940 -6.774086783872812e-08
20950 -7.205908339469325e-08
20960 -7.429965587918419e-08
20970 -7.248155056011063e-08
20980 -8.001757101361306e-08
20990 -8.718544593916411e-08
21000 -1.012454754270586e-07
21010 -8.459373245645052e-08
21020 -8.171002147117079e-08
21030 -3.879775054699275e-08
21040 5.874217234858037e-08
21050 4.386305649251021e-08
21060 -4.815651787060116e-08
21070 -7.581847602522451e-08
21080 -8.608537135912364e-08
21090 8.3449777275868e-08
21100 9.92173354932846e-08
21110 7.340575099851199e-08
21120 7.032518857530423e-08
21130 4.089556306097197e-08
21140 -6.667054187892152e-08
21150 -6.279355111576956e-08
21160 -6.043222234436429e-08
21170 -4.982876289361116e-08
21180 -8.522086007017871e-08
21190 -8.175512987429467e-08
21200 -5.5592042670638e-08
21210 5.306774616964383e-08
21220 6.125385706989839e-08
21230 5.807897989623667e-08
21240 5.686944877514311e-08
21250 3.968567944406809e-08
21260 -5.034793394698145e-09
21270 8.208768324108329e-08
21280 8.664693772197918e-08
21290 1.04780615670097e-07
21300 9.193107306654236e-08
21310 1.07435610768869e-07
21320 -6.778394055079184e-08
21330 -6.063973696790459e-08
21340 -6.735118152079167e-08
21350 -7.611877273633327e-08
