"Time Step" "p-in"
20410 -26440.69763513829
20420 -26564.93965257653
20430 -26502.18442319905
20440 -26244.77746637192
20450 -25970.73169459846
20460 -25771.43672595581
20470 -25626.448258715
20480 -25195.90765079073
20490 -24586.06244123552
20500 -24006.53457239203
20510 -23581.77788226235
20520 -23406.14105192772
20530 -23459.80465283207
20540 -23496.11720513996
20550 -23728.77984357984
20560 -24113.51892497242
20570 -24827.6728624762
20580 -25245.45579240644
20590 -25222.07971681554
20600 -25579.35238350195
20610 -25535.09350810656
20620 -25589.58819065684
20630 -25795.87743350412
20640 -26055.96209085676
20650 -26442.16488987101
20660 -26215.06489971037
20670 -26029.97931417474
20680 -26122.23895628743
20690 -26369.79345544481
20700 -26483.23450642217
20710 -26475.89957172387
20720 -26487.27399848704
20730 -26590.9922538682
20740 -26549.6720835278
20750 -26215.72530403132
20760 -26048.61826202338
20770 -25967.19125385645
20780 -25720.2106101229
20790 -25534.25698489178
20800 -25488.64256846026
20810 -25647.45545104536
20820 -25850.66136120487
20830 -26259.6969711637
20840 -26533.54883386639
20850 -26625.4059848446
20860 -26722.13298260195
20870 -26692.87188033925
20880 -26557.55556573028
20890 -25996.11449879352
20900 -25225.24480052196
20910 -24671.51551927687
20920 -24066.45522445732
20930 -23726.71865154096
20940 -23860.76991718889
20950 -23989.6237352447
20960 -24178.49958385513
20970 -24277.92285763292
20980 -24562.8028856767
20990 -24851.41925835767
21000 -25242.21932731819
21010 -25746.09462619468
21020 -26162.29389082793
21030 -26331.36481820604
21040 -26310.35672394475
21050 -26179.35994779563
21060 -26172.11204189736
21070 -26275.66630114751
21080 -26562.8243071255
21090 -26308.31611721687
21100 -25758.11075726083
21110 -25321.68436705374
21120 -24935.75968115297
21130 -24669.79476130509
21140 -24713.08454864176
21150 -24920.37100690763
21160 -25010.220833186
21170 -25150.78806039784
21180 -25212.37094986619
21190 -25557.61412166611
21200 -25799.27968871775
21210 -25701.71671395274
21220 -25549.69523199668
21230 -25393.88995667093
21240 -25254.74963086018
21250 -25219.9358829248
21260 -25177.71832080403
21270 -25082.27806273489
21280 -24765.49979079797
21290 -24437.86509987222
21300 -23892.1965919532
21310 -23395.72156102688
21320 -23280.05007778876
21330 -23353.64841679397
21340 -23472.7658405526
21350 -23600.03944857325
21360 -23822.31442778916
21370 -24109.79084436223
21380 -24427.9704431891
21390 -24828.07756812971
21400 -25097.56827961579
21410 -25479.95636806675
21420 -25878.78392067173
21430 -26032.25889410768
21440 -26134.62122657992
21450 -26343.45875457738
21460 -26634.88459263246
21470 -26951.83566551499
21480 -27005.77099004785
21490 -26944.96936717294
21500 -26887.62976465112
21510 -26812.77997359608
21520 -26850.67352063808
21530 -26806.83469702556
21540 -26831.37378672104
21550 -26948.74155806492
21560 -26985.45724185709
21570 -26959.05859224656
21580 -27211.95591085839
21590 -27333.98377444345
21600 -27052.58729986905
21610 -26513.66075692955
21620 -26119.30316642291
21630 -25930.36232088941
21640 -25956.60941989854
21650 -25993.30942331021
21660 -25718.79285772757
21670 -25308.23141721769
21680 -24842.56696759335
21690 -24477.53143093249
21700 -24244.35272980779
21710 -24089.449128245
21720 -24052.40433885591
21730 -24200.71298665589
21740 -24096.96227018245
21750 -23949.41357927476
21760 -23940.538614872
21770 -23951.96348220571
21780 -24075.72057767803
21790 -24438.63478200899
21800 -24917.08773837194
21810 -25198.81789029902
21820 -25189.41751849534
21830 -25141.08860829854
21840 -25430.52512616988
21850 -26135.61210846705
21860 -26904.29772591801
21870 -27227.73910762868
21880 -27056.11700081301
21890 -26898.98472527644
21900 -26741.43630366114
21910 -26442.82871085201
21920 -26258.48621937618
21930 -26069.66522865725
21940 -26099.69401196497
21950 -26196.96877586026
21960 -26074.24569665979
21970 -25793.31651060496
21980 -25809.7314023643
21990 -25954.70807027783
22000 -25682.2565243706
22010 -25259.99460366132
22020 -24924.53610759658
22030 -24743.05563025522
22040 -24788.1497971907
22050 -24996.1268956201
22060 -25263.15167725602
22070 -25257.75279064226
22080 -24821.78006974053
22090 -24336.53508770095
22100 -24029.51848940188
22110 -23893.52057386197
22120 -23710.38454230102
22130 -23660.97149983574
22140 -23798.67243346557
22150 -23895.37376424593
22160 -23894.56791784838
22170 -23981.31579992381
22180 -24375.12889041676
22190 -24795.27534690455
22200 -25276.9271373451
22210 -25825.43996173543
22220 -26550.23178827325
22230 -27059.16513766445
22240 -27239.34820811392
22250 -26950.47562284917
22260 -26431.92677065648
22270 -26088.13503910138
22280 -26025.54612464795
22290 -25914.5206966096
22300 -26143.42631234614
22310 -26325.2450876592
22320 -26620.62244121174
22330 -26795.71413227773
22340 -26874.81028969634
22350 -26827.08281886073
22360 -26809.41829759539
22370 -26721.33871205732
22380 -26550.16739788587
22390 -26213.39028457264
22400 -25864.12412998259
22410 -25676.26888969341
22420 -25669.17014900821
22430 -25736.41612076392
22440 -25747.2074862472
22450 -25695.06182240928
22460 -25427.98076523047
22470 -25146.51361015847
22480 -24724.23076200652
22490 -24406.07161026265
22500 -24178.9335137646
22510 -23783.07835256547
22520 -23092.89198765722
22530 -22845.35021883461
22540 -22897.7006221859
22550 -23120.86646718244
22560 -23470.47847895798
22570 -23737.94750644737
22580 -24303.12045636763
22590 -24907.64055425503
22600 -25352.477625729
22610 -25803.62099749412
22620 -26182.51215590813
22630 -26438.74756791341
22640 -26628.64891648672
22650 -27096.22510163111
22660 -27394.38908233491
22670 -27159.07742156254
22680 -27078.25511453486
22690 -27128.30222708211
22700 -27000.44295342522
22710 -26866.95748210954
22720 -26835.34624413463
22730 -26644.32549307732
22740 -26487.61439602018
22750 -26891.34120721692
22760 -27306.93575478609
22770 -27306.60413177525
22780 -26938.15383007217
22790 -26715.28091576862
22800 -26945.62745843398
22810 -26981.27105169933
22820 -26671.87078869126
22830 -26331.16199948825
22840 -26146.67242011791
22850 -25993.08910600511
22860 -25556.73385755639
22870 -25217.06245558816
22880 -25011.34662155626
22890 -24655.40251317477
22900 -23905.77206328553
22910 -23567.78202425127
22920 -23547.37062110054
22930 -23869.94341539908
22940 -24314.99588623779
22950 -24568.58213348699
22960 -24725.11809180639
22970 -24833.7137689427
22980 -24905.12744505883
22990 -24852.58472646566
23000 -24695.37902934623
23010 -24728.8297136715
23020 -24959.27144910796
23030 -25166.08898226399
23040 -25289.87593186892
23050 -25493.52980720678
23060 -25570.67739508891
23070 -25380.77575034914
23080 -25211.9639634696
23090 -25277.54114993245
23100 -25347.3015044839
23110 -25426.58775040671
23120 -25434.82168260194
23130 -25298.33230796995
23140 -25033.12958074962
23150 -24759.54392933418
23160 -24856.18631021161
23170 -24861.2441182911
23180 -24926.39140375248
23190 -25093.15360168037
23200 -25130.99325603534
23210 -25096.75305752029
23220 -25135.81637826328
23230 -25155.18436527305
23240 -25216.77589657444
23250 -25359.00529933889
23260 -25462.43272323598
23270 -25262.08252829573
23280 -24871.56920089834
23290 -24255.78071322773
23300 -23874.33631252772
23310 -23624.72049728335
23320 -23344.9230832248
23330 -23192.82820816099
23340 -23277.49299981819
23350 -23528.58410908268
23360 -23698.53187915917
23370 -23742.66833622783
23380 -24061.54928539774
23390 -24586.47149004469
23400 -24992.90127588877
23410 -25241.06148656343
23420 -25618.91448438118
23430 -26045.10052523362
23440 -26648.67802522785
23450 -26982.15450958504
23460 -26809.89131938594
23470 -26346.50360839912
23480 -26606.88741592564
23490 -26906.54834470225
23500 -26944.34130263011
23510 -27042.7413351379
23520 -27191.15670091221
23530 -27350.70334543605
23540 -27343.47010386338
23550 -27036.49069412631
23560 -26594.34787647784
23570 -26189.99518285537
23580 -25876.66995981288
23590 -25641.62452780739
23600 -25451.4442219186
23610 -25320.26013425755
23620 -25246.05954283568
23630 -25193.15629483401
23640 -25120.05610916334
23650 -25192.79047898437
23660 -25411.42685282547
23670 -25420.55839417845
23680 -25169.00256018783
23690 -25141.11712810878
23700 -25092.39750718751
23710 -25079.32498196733
23720 -25002.63020369122
23730 -25036.6952830986
23740 -25182.9737762578
23750 -25293.59586764667
23760 -25361.69946283165
23770 -25388.91776436008
23780 -25471.38041030951
23790 -25767.2624381493
23800 -26224.97638099364
23810 -26441.83418004582
23820 -26684.99179232013
23830 -26845.98207057508
23840 -26785.93760384262
23850 -27076.99618095277
23860 -27223.08985036784
23870 -26857.7370553086
23880 -26448.91574995137
23890 -26356.54594992375
23900 -26624.40265317492
23910 -26885.37734099075
23920 -26887.52615564965
23930 -26698.05449831409
23940 -26543.77942362482
23950 -26439.28374172553
23960 -26354.464355144
23970 -26123.56548343902
23980 -25869.32192043672
23990 -25712.62210519578
24000 -25586.34697525622
13810 -25605.95962852434
13820 -25571.11158551335
13830 -25407.24209299765
13840 -25606.8692930018
13850 -25825.64380179365
13860 -26061.26941272536
13870 -26400.95130666617
13880 -26674.73847702654
13890 -26726.16758080806
13900 -26670.51379433106
13910 -26472.71919361793
13920 -26054.64844960612
13930 -25902.95703014321
13940 -25843.15637669782
13950 -25566.59292460456
13960 -25145.92889099854
13970 -24804.25694657355
13980 -25254.31642845741
13990 -25742.32839472659
14000 -25701.85983442924
14010 -25819.0335028953
14020 -25817.08096583713
14030 -25366.85521430504
14040 -24723.4194014739
