"Time Step" "point-gw-a"
20210 2.466307023496483e-06
20220 2.461834583300515e-06
20230 2.455607955198502e-06
20240 2.447604629196576e-06
20250 2.438243654978578e-06
20260 2.428915422569844e-06
20270 2.422174702587654e-06
20280 2.418118356217747e-06
20290 2.415922608633991e-06
20300 2.415681137790671e-06
20310 2.417903260720777e-06
20320 2.424237436571275e-06
20330 2.434525413264055e-06
20340 2.446953658363782e-06
20350 2.45899514084158e-06
20360 2.469212859068648e-06
20370 2.477581347193336e-06
20380 2.484510787326144e-06
20390 2.49052118306281e-06
20400 2.495768057997338e-06
20410 2.500095206414699e-06
20420 2.503349151083967e-06
20430 2.505409611330833e-06
20440 2.506449391148635e-06
20450 2.506351620468195e-06
20460 2.505335714886314e-06
20470 2.503844370949082e-06
20480 2.502077904864564e-06
20490 2.50013454206055e-06
20500 2.498327830835478e-06
20510 2.496035904187011e-06
20520 2.492228304618038e-06
20530 2.487206529622199e-06
20540 2.481764340700465e-06
20550 2.475703695381526e-06
20560 2.469083483447321e-06
20570 2.462146085235872e-06
20580 2.455193452988169e-06
20590 2.448602117510745e-06
20600 2.44331567955669e-06
20610 2.439613126625773e-06
20620 2.436303930153372e-06
20630 2.433102963550482e-06
20640 2.431594339213916e-06
20650 2.431789198453771e-06
20660 2.432393102935748e-06
20670 2.43249928644218e-06
20680 2.432747578495764e-06
20690 2.433480403851718e-06
20700 2.434625230307574e-06
20710 2.434303269183147e-06
20720 2.431860139040509e-06
20730 2.429128926451085e-06
20740 2.427288336548372e-06
20750 2.426062565064058e-06
20760 2.423322939648642e-06
20770 2.418695430606022e-06
20780 2.413117044852697e-06
20790 2.408852196822409e-06
20800 2.404752649454167e-06
20810 2.401116489636479e-06
20820 2.397871412540553e-06
20830 2.395573346802848e-06
20840 2.394087005086476e-06
20850 2.392219357716385e-06
20860 2.389094788668444e-06
20870 2.385735569987446e-06
20880 2.383514356552041e-06
20890 2.382996626693057e-06
20900 2.385008656347054e-06
20910 2.38971074395522e-06
20920 2.396891431999393e-06
20930 2.405371787972399e-06
20940 2.41364932662691e-06
20950 2.420845930828364e-06
20960 2.427146682748571e-06
20970 2.433287818348617e-06
20980 2.439510353724472e-06
20990 2.444265192025341e-06
21000 2.447795395710273e-06
21010 2.451869249853189e-06
21020 2.458021299389657e-06
21030 2.466689466018579e-06
21040 2.477104089848581e-06
21050 2.488044401616207e-06
21060 2.49796948992298e-06
21070 2.505468273739098e-06
21080 2.509153773644357e-06
21090 2.507866383893997e-06
21100 2.502457846276229e-06
21110 2.494797172403196e-06
21120 2.486031917214859e-06
21130 2.478387614246458e-06
21140 2.473075028319727e-06
21150 2.469695800755289e-06
21160 2.467698095642845e-06
21170 2.466408204782056e-06
21180 2.465351826685946e-06
21190 2.463337068547844e-06
21200 2.460357791278511e-06
21210 2.456243464621366e-06
21220 2.449521616654238e-06
21230 2.440029675199185e-06
21240 2.428662355669076e-06
21250 2.416420329609537e-06
21260 2.404369752184721e-06
21270 2.393876684436691e-06
21280 2.385413381489343e-06
21290 2.378983253947808e-06
21300 2.374955784034682e-06
21310 2.373180223003146e-06
21320 2.373895767959766e-06
21330 2.377998043812113e-06
21340 2.386477490290417e-06
21350 2.397877096882439e-06
21360 2.409468834230211e-06
21370 2.420321379759116e-06
21380 2.431077973596985e-06
21390 2.441735205138684e-06
21400 2.451538193781744e-06
21410 2.460003770465846e-06
21420 2.46574882112327e-06
21430 2.468131697241915e-06
21440 2.468657157805865e-06
21450 2.467134208927746e-06
21460 2.462567636030144e-06
21470 2.455805770296138e-06
21480 2.447969791319338e-06
21490 2.439580612190184e-06
21500 2.431328312013648e-06
21510 2.424249032628722e-06
21520 2.418335043330444e-06
21530 2.412953790553729e-06
21540 2.405747864031582e-06
21550 2.397325488345814e-06
21560 2.389393330304301e-06
21570 2.383120545346173e-06
21580 2.378857516305288e-06
21590 2.376075144638889e-06
21600 2.374131327087525e-06
21610 2.372942844885984e-06
21620 2.373922825427144e-06
21630 2.378641738687293e-06
21640 2.387655740676564e-06
21650 2.399914819761761e-06
21660 2.414256414340343e-06
21670 2.430128233754658e-06
21680 2.448714212732739e-06
21690 2.472260575814289e-06
21700 2.498928097338649e-06
21710 2.524321189412149e-06
21720 2.546559016991523e-06
21730 2.565142949606525e-06
21740 2.580487262093811e-06
