"Time Step" "point-pressure-a"
20210 -10065.3505859375
20220 -9835.2275390625
20230 -10075.67578125
20240 -11263.7724609375
20250 -12900.615234375
20260 -12980.642578125
20270 -12394.65234375
20280 -12351.3974609375
20290 -12940.7705078125
20300 -13119.5712890625
20310 -13089.08984375
20320 -13223.45703125
20330 -13288.1650390625
20340 -13581.1396484375
20350 -13805.458984375
20360 -13995.818359375
20370 -14399.615234375
20380 -14579.12890625
20390 -13968.3974609375
20400 -13956.9423828125
20410 -13925.36328125
20420 -14029.171875
20430 -13549.0654296875
20440 -13121.111328125
20450 -12505.771484375
20460 -11698.2998046875
20470 -10922.390625
20480 -10097.224609375
20490 -9507.6572265625
20500 -8955.275390625
20510 -8272.87890625
20520 -7885.0498046875
20530 -8013.4619140625
20540 -8112.22265625
20550 -7744.2294921875
20560 -7863.712890625
20570 -9546.89453125
20580 -10086.4697265625
20590 -11222.669921875
20600 -11200.259765625
20610 -10457.8857421875
20620 -9986.166015625
20630 -10043.2353515625
20640 -10427.65625
20650 -11223.4912109375
20660 -11531.2626953125
20670 -11496.712890625
20680 -11549.830078125
20690 -11300.9443359375
20700 -10828.9072265625
20710 -11079.8330078125
20720 -11582.4580078125
20730 -11787.4794921875
20740 -11776.3779296875
20750 -12282.2861328125
20760 -12815.8056640625
20770 -12937.3134765625
20780 -12955.5107421875
20790 -12322.298828125
20800 -11725.669921875
20810 -11640.486328125
20820 -11752.76953125
20830 -11307.8251953125
20840 -11205.6025390625
20850 -11505.9921875
20860 -11259.880859375
20870 -11151.5126953125
20880 -10775.501953125
20890 -9830.0869140625
20900 -8751.1669921875
20910 -8411.9453125
20920 -8267.185546875
20930 -8022.349609375
20940 -8390.466796875
20950 -9664.703125
20960 -10800.17578125
20970 -11667.7529296875
20980 -11857.1337890625
20990 -11620.64453125
21000 -11463.4453125
21010 -11395.0986328125
21020 -11686.359375
21030 -11736.0458984375
21040 -11408.0654296875
21050 -11114.310546875
21060 -10992.607421875
21070 -11443.7236328125
21080 -11722.51171875
21090 -11586.0478515625
21100 -11620.9287109375
21110 -12029.5771484375
21120 -12709.73828125
21130 -13211.205078125
21140 -13297.724609375
21150 -13137.556640625
21160 -13243.1552734375
21170 -13475.677734375
21180 -12774.4306640625
21190 -12363.5888671875
21200 -12525.212890625
21210 -12726.8408203125
21220 -12767.810546875
21230 -11801.8876953125
21240 -11246.5
21250 -10821.81640625
21260 -10430.4990234375
21270 -10251.83203125
21280 -9749.3310546875
21290 -9369.833984375
21300 -8947.0751953125
21310 -8227.25390625
21320 -7406.76025390625
21330 -6705.22021484375
21340 -6261.9306640625
21350 -6458.84716796875
21360 -7272.83447265625
21370 -8887.8173828125
21380 -10193.923828125
21390 -10326.2978515625
21400 -9708.173828125
21410 -10129.69921875
21420 -10742.994140625
21430 -10975.8076171875
21440 -10901.640625
21450 -10952.326171875
21460 -11414.1611328125
21470 -12146.517578125
21480 -12885.890625
21490 -12761.6083984375
21500 -12433.4609375
21510 -12196.20703125
21520 -12059.55078125
21530 -12063.171875
21540 -12283.513671875
21550 -12510.4375
21560 -12573.810546875
21570 -12981.7607421875
21580 -13332.3544921875
21590 -13202.01953125
21600 -13028.8623046875
21610 -13219.4501953125
21620 -13583.1923828125
21630 -12852.3173828125
21640 -12460.9208984375
21650 -12142.7841796875
21660 -11864.7607421875
21670 -11695.2666015625
21680 -11135.927734375
21690 -10723.83984375
21700 -10259.4296875
21710 -9491.193359375
21720 -8270.3837890625
21730 -7173.71875
21740 -7233.85693359375
21750 -7819.875
21760 -8973.09375
21770 -10295.1982421875
21780 -11532.8583984375
21790 -11993.8623046875
21800 -12087.970703125
21810 -12056.3505859375
21820 -12598.64453125
21830 -12774.4775390625
21840 -12525.06640625
21850 -12383.4072265625
21860 -11873.7568359375
21870 -12559.9814453125
21880 -12797.560546875
21890 -13497.65625
21900 -14269.0078125
21910 -14108.603515625
21920 -13545.8544921875
21930 -12896.3427734375
21940 -12999.599609375
21950 -13135.1748046875
21960 -13220.1484375
21970 -13446.6748046875
21980 -13633.2783203125
21990 -13479.2236328125
22000 -12859.5791015625
22010 -12516.3271484375
22020 -12118.525390625
22030 -11688.2890625
22040 -11273.6904296875
22050 -10428.1767578125
22060 -9866.294921875
22070 -9457
22080 -8792.009765625
22090 -8107.06640625
22100 -7675.8046875
22110 -7770.025390625
22120 -7685.3271484375
22130 -7768.958984375
22140 -8499.107421875
22150 -9793.927734375
22160 -11291.1494140625
22170 -12809.7734375
22180 -13101.736328125
22190 -13046.2890625
22200 -13478.0234375
22210 -13942.951171875
22220 -13737.3876953125
22230 -13506.0849609375
22240 -13698.4345703125
22250 -13231.8857421875
22260 -12743.056640625
22270 -13000.107421875
22280 -13177.673828125
22290 -13066.2724609375
22300 -12995.330078125
22310 -13192.6083984375
22320 -12514.65625
22330 -11968.095703125
22340 -12419.5673828125
22350 -12737.4462890625
22360 -12660.2666015625
22370 -12606.369140625
22380 -12841.1826171875
22390 -12997.80859375
22400 -13064.8447265625
22410 -13115.2939453125
22420 -13076.279296875
22430 -12753.521484375
22440 -12585.724609375
22450 -12685.1591796875
22460 -12326.83203125
22470 -11738.482421875
22480 -11209.6484375
22490 -10137.30859375
22500 -8923.908203125
22510 -8206.1796875
22520 -7791.30810546875
22530 -7488.65087890625
22540 -6875.865234375
22550 -6481.18408203125
22560 -6377.23193359375
22570 -8663
22580 -10727.91796875
22590 -10770.5693359375
22600 -10733.3564453125
22610 -10862.7236328125
22620 -11356.962890625
22630 -11809.7734375
22640 -11940.748046875
22650 -12171.826171875
22660 -12127.509765625
22670 -12695.728515625
22680 -12691.048828125
22690 -12006.6962890625
22700 -11856.044921875
22710 -12022.3291015625
22720 -12138.775390625
22730 -11791.3349609375
22740 -11811.30078125
22750 -11919.373046875
22760 -11657.0888671875
22770 -11696.1328125
22780 -11980.0888671875
22790 -11773.0400390625
22800 -11979.9208984375
22810 -12093.70703125
22820 -11592.4326171875
22830 -11036.3330078125
22840 -10754.9189453125
22850 -10730.9814453125
22860 -10555.7021484375
22870 -10306.9345703125
22880 -10152.490234375
22890 -9456.2646484375
22900 -8477.6982421875
22910 -7556.13623046875
22920 -6744.642578125
