"Time Step" "point-gw-a"
2890 6.035442652319034e-07
2900 6.048734348951257e-07
2910 6.064571493880067e-07
2920 6.073400413697527e-07
2930 6.08181608185987e-07
2940 6.077269176785194e-07
2950 6.06971980232629e-07
2960 6.089013027121837e-07
2970 6.126344942458672e-07
2980 6.161510555102723e-07
2990 6.169610742290388e-07
3000 6.140274422250513e-07
3010 6.112919663792127e-07
3020 6.095716003073903e-07
3030 6.090435817895923e-07
3040 6.11777011272352e-07
3050 6.139064794297155e-07
3060 6.151489060357562e-07
3070 6.162615022731188e-07
3080 6.172001576487673e-07
3090 6.175547468956211e-07
3100 6.168328354760888e-07
3110 6.150889362288581e-07
3120 6.156101903798117e-07
3130 6.161636747492594e-07
3140 6.148956686047313e-07
3150 6.137075843071216e-07
3160 6.155855203360261e-07
3170 6.17291789239971e-07
3180 6.156818699309952e-07
3190 6.114939310464251e-07
3200 6.081110655031807e-07
3210 6.061025601411529e-07
3220 6.042890277058177e-07
3230 6.041522055966198e-07
3240 6.055502126400825e-07
3250 6.076757586015447e-07
3260 6.091695468057878e-07
3270 6.103485929997987e-07
3280 6.112227310950402e-07
3290 6.120559987721208e-07
3300 6.112767891863768e-07
3310 6.10127528943849e-07
3320 6.110211643317598e-07
3330 6.141393100733694e-07
3340 6.168718300614273e-07
3350 6.169441917336371e-07
3360 6.139125048321148e-07
3370 6.114829034231661e-07
3380 6.097744744693046e-07
3390 6.091800628382771e-07
3400 6.118731903370644e-07
3410 6.138941444078228e-07
3420 6.148883358036983e-07
3430 6.153931053631823e-07
3440 6.156736276352603e-07
3450 6.157675898066373e-07
3460 6.144872486402164e-07
3470 6.122328386481968e-07
3480 6.125950449131778e-07
3490 6.132334533504036e-07
3500 6.121134106251702e-07
3510 6.102666247898014e-07
3520 6.112452410889091e-07
3530 6.117443831499259e-07
3540 6.090455713092524e-07
3550 6.049511966921273e-07
3560 6.022823413331935e-07
3570 6.003882049299136e-07
3580 5.983982873658533e-07
3590 5.976192483103659e-07
3600 5.985155553389632e-07
0 0
10 2.852257807717251e-07
20 4.478411312902608e-07
30 5.046277919973363e-07
40 5.187229703551566e-07
50 5.210251288190193e-07
60 5.202418833505362e-07
70 5.186510065868788e-07
80 5.181666438147658e-07
90 5.191405989535269e-07
100 5.197163090997492e-07
110 5.184747919884103e-07
120 5.146677040102077e-07
130 5.110035203870211e-07
140 5.086772603135614e-07
150 5.086033638690424e-07
160 5.121097501614713e-07
170 5.148335731064435e-07
180 5.166223786545743e-07
190 5.180420998840418e-07
200 5.192883349991462e-07
210 5.202340389587334e-07
220 5.19381501362659e-07
230 5.178099513614143e-07
240 5.184796236790135e-07
250 5.188992986404628e-07
260 5.179812205824419e-07
270 5.17282444434386e-07
280 5.188012437429279e-07
