"Time Step" "p-in"
2890 -6360.090700376452
2900 -5782.984631902288
2910 -4720.727096884695
2920 -9063.104017863485
2930 -8404.981392675762
2940 -8483.120590185874
2950 -7773.57589336734
2960 -9655.84264029411
2970 -9604.295073204719
2980 -8941.925315225633
2990 -7368.272348187465
3000 -4179.797209110301
3010 -7352.807535280442
3020 -7286.059460135788
3030 -7424.440249979408
3040 -9376.524424349071
3050 -9798.063983340571
3060 -7224.05608737703
3070 -6831.723481659813
3080 -5355.968704747286
3090 -1260.850601249841
3100 -4739.186098771057
3110 -5647.770852711405
3120 -7550.588975935326
3130 -7971.61828207329
3140 -8247.84129004633
3150 -8403.725055814852
3160 -7871.816871148561
3170 -5223.872656088032
3180 -4471.485528383029
3190 -8749.682150168484
3200 -7994.060636234415
3210 -7300.808959705103
3220 -5878.66053862886
3230 -7030.970279009976
3240 -9146.844834893447
3250 -8562.06208447923
3260 -6218.671328553565
3270 -3699.704639271683
3280 -7227.787997716298
3290 -7577.845520868986
3300 -9251.793448248434
3310 -8561.561263096663
3320 -10424.83032510564
3330 -11035.09120955364
3340 -9029.412268052436
3350 -8436.072014358255
3360 -6964.691221563074
3370 -11142.79657310521
3380 -11374.76206142508
3390 -11519.92836614779
3400 -10382.1817614074
3410 -10318.41253451013
3420 -8568.316091605677
3430 -7442.446480624983
3440 -5344.055804832383
3450 -3354.622524823372
3460 -5756.950554133792
3470 -5383.728850281695
3480 -6049.288641412797
3490 -5779.635075208426
3500 -7005.691529520004
3510 -7358.643365990682
3520 -6910.14448851472
3530 -5089.650761167685
3540 -3352.020319705584
3550 -7907.718601702838
3560 -9762.736154412723
3570 -9270.838846874551
3580 -8834.476868727705
3590 -8607.315697843876
3600 -9493.572400231898
0 -6331.845245864761
10 -7356.194548667148
20 -343.3829986152143
30 6084.57101277151
40 3250.153680943221
50 2245.330885792573
60 -287.2271733724824
70 -2542.137304389435
80 -4637.54819082258
90 -6357.841224330232
100 -6812.435100047893
110 -4374.896089463444
120 -2153.98865502514
130 -4005.16431388092
140 -2655.791759442932
150 -2228.469697088679
160 -3766.844061434604
170 -5836.29281193833
180 -5939.813501604438
190 -5196.467673952322
200 -3598.73034608164
210 -2708.454141325561
220 -6299.06209843458
230 -6713.740781291065
240 -8053.569201820238
250 -6939.54667710668
260 -5728.481563041197
270 -8521.619710597321
280 -7894.878016196657
290 -6306.41714368759
300 -3294.685614879061
310 -6138.737433489843
320 -6174.145350141504
330 -8030.405642188922
340 -7391.544441613151
350 -9162.874409286069
360 -10559.80463353826
370 -11300.96594493785
380 -9335.465178935649
390 -4887.52599833217
400 -9410.98803792921
410 -9626.546282550931
420 -10060.42313146891
430 -9719.015683014102
440 -6657.617608091867
450 -5570.096043148779
460 -6775.353379007714
470 -4921.545132665161
480 -1170.32043004511
490 -4005.670596300681
500 -4049.609818484527
510 -6600.36786092906
520 -8918.595985824113
530 -7812.371870668043
540 -9080.476871482522
550 -9280.438030357891
560 -7251.034621732463
570 -4501.913326010444
580 -8093.349250749626
590 -8852.349977662196
600 -10051.56367707023
610 -9900.440152866118
620 -6783.747947465778
630 -8752.407450940727
640 -7929.860148676851
650 -3980.358181797318
660 -1086.120754955173
670 -5940.889274978827
680 -8709.211325985294
690 -9595.857974288345
700 -8187.284597204836
710 -7363.983440786844
720 -6978.45067757109
730 -6982.922124517724
740 -5280.90927779751
750 -1905.651561663087
760 -6376.904296027494
770 -8011.769181939217
780 -7353.953334966955
790 -9156.615820532881
800 -9426.878167720504
810 -7693.314856535393
820 -6701.16502406118
830 -5114.161660855721
840 -1360.988223433158
850 -4588.225948619563
860 -5898.72421127287
870 -7080.692258795858
880 -6161.587080395272
890 -5389.43031986294
900 -5667.035821696248
910 -5971.522358853975
920 -4670.884935366995
930 -2072.953848214971
940 -5165.275167470717
950 -6071.625584538137
960 -8421.976338470084
970 -8096.938699395542
980 -7735.136796920636
990 -6684.312241143452
1000 -5734.548271257425
1010 -5266.430162284994
1020 -3893.48399465958
1030 -6430.064178374245
1040 -6126.421473879072
1050 -6313.423054618717
1060 -6988.952930304489
1070 -7600.438793294815
1080 -7771.478178977335
1090 -6150.118004414275
1100 -3734.517510693209
1110 -1925.73841133701
1120 -5314.513161174304
1130 -7717.442411216593
1140 -8247.165927788774
1150 -8379.013563520528
1160 -7019.885357472435
1170 -6999.4712988707
1180 -5479.015964001644
1190 -3150.808933723264
1200 -1946.179595600771
1210 -7778.434441940233
1220 -8872.525358704723
1230 -8355.500815856056
1240 -8306.999067354574
1250 -9168.524749365908
1260 -8249.781537797411
1270 -8425.824698359227
1280 -7391.378820469372
1290 -4652.001174667083
1300 -8012.150557042408
1310 -9053.878492510124
1320 -8843.904504177533
1330 -8865.260426516317
1340 -9616.274438508377
1350 -8167.686916217645
1360 -6663.048897348261
1370 -4572.535429033564
1380 -2175.163221476354
1390 -6882.446641099687
1400 -6245.157267601986
1410 -6245.903399359312
1420 -5809.982252500829
1430 -8271.925648195491
1440 -9800.31077469499
1450 -8868.112638206567
1460 -7572.661363384535
1470 -5099.611459948689
1480 -7524.050827095748
1490 -7311.831603622099
1500 -10154.57658918222
1510 -10891.23149751526
1520 -9261.414956631386
1530 -9049.563575667527
1540 -9552.385588140203
1550 -7594.778032822465
1560 -5364.671302978112
1570 -9073.232990177989
1580 -8632.56915539263
1590 -8480.972970867197
1600 -8813.750582570241
1610 -9748.049326022034
1620 -8683.623286524684
1630 -6432.364349459249
1640 -3953.602274837364
1650 -2449.491010360292
1660 -6406.220465610415
1670 -6292.481287005119
1680 -6091.224378560414
1690 -7087.111772686009
1700 -7189.513754340205
1710 -7011.550155426854
1720 -6712.664217092437
1730 -4813.709953572444
1740 -2928.378783530589
1750 -9239.098109424644
1760 -11069.1063963542
1770 -10893.06572933085
1780 -10341.86207273791
1790 -9632.27998947481
1800 -8455.779405555981
1810 -7672.322313904945
1820 -6136.085647731573
1830 -2792.165273884611
1840 -6610.16694889763
1850 -7328.415584097858
1860 -8547.043736217393
1870 -7283.831093621466
1880 -5633.438054960517
1890 -5759.239392074257
