"Time Step" "point-gw-a"
21210 2.261764348077122e-05
21220 2.245778887299821e-05
21230 2.229868005088065e-05
21240 2.214922824350651e-05
21250 2.201794086431619e-05
21260 2.190982559113763e-05
21270 2.182894422730897e-05
21280 2.177081660192925e-05
21290 2.172668428102043e-05
21300 2.168880018871278e-05
21310 2.165036676160526e-05
21320 2.161366683139931e-05
21330 2.159260293410625e-05
21340 2.159410360036418e-05
21350 2.161763768526725e-05
21360 2.165759906347375e-05
21370 2.170205516449641e-05
21380 2.174007749999873e-05
21390 2.176349516957998e-05
21400 2.176771704398561e-05
21410 2.175461486331187e-05
21420 2.172162385249976e-05
21430 2.166790000046603e-05
21440 2.160361691494472e-05
21450 2.152869456040207e-05
21460 2.143928213627078e-05
21470 2.133352973032743e-05
21480 2.121345823979937e-05
21490 2.108241460518911e-05
21500 2.094660339935217e-05
21510 2.081507409457117e-05
21520 2.069632319035009e-05
21530 2.059379767160863e-05
21540 2.050377952400595e-05
21550 2.042441883531865e-05
21560 2.035939360212069e-05
21570 2.031442272709683e-05
21580 2.029282040894032e-05
21590 2.029539791692514e-05
21600 2.031943949987181e-05
21610 2.036172372754663e-05
21620 2.041340849245898e-05
21630 2.046836380031891e-05
21640 2.0519091776805e-05
21650 2.055974618997425e-05
21660 2.058957215922419e-05
21670 2.060938822978642e-05
21680 2.063248575723264e-05
21690 2.068146750389133e-05
21700 2.075216798402835e-05
21710 2.082439277728554e-05
21720 2.088583278236911e-05
21730 2.093001057801303e-05
21740 2.095704985549673e-05
21750 2.097105243592523e-05
21760 2.097599644912407e-05
21770 2.097599463013466e-05
21780 2.097655851684976e-05
21790 2.098333061439916e-05
21800 2.099919583997689e-05
21810 2.102354847011156e-05
21820 2.105498606397305e-05
21830 2.109395791194402e-05
21840 2.114127164531965e-05
21850 2.119816235790495e-05
21860 2.126788604073226e-05
21870 2.135324393748306e-05
21880 2.145579310308676e-05
21890 2.157838025595993e-05
21900 2.171982123400085e-05
21910 2.187570862588473e-05
21920 2.204238990088925e-05
21930 2.220664464402944e-05
21940 2.235859392385464e-05
21950 2.248473720101174e-05
21960 2.257292180729564e-05
21970 2.261917688883841e-05
21980 2.262230918859132e-05
21990 2.258853601233568e-05
22000 2.25310905079823e-05
22010 2.246565782115795e-05
22020 2.240502180939075e-05
22030 2.235750071122311e-05
22040 2.233281520602759e-05
22050 2.233792474726215e-05
22060 2.237661101389676e-05
22070 2.244735333079007e-05
22080 2.254023456771392e-05
22090 2.264065369672608e-05
22100 2.274339567520656e-05
22110 2.285055597894825e-05
22120 2.296060665685218e-05
22130 2.306867645529564e-05
22140 2.31688409257913e-05
22150 2.325670357095078e-05
22160 2.332743679289706e-05
22170 2.338337981200311e-05
22180 2.343211235711351e-05
22190 2.348751513636671e-05
22200 2.355151627853047e-05
22210 2.362228406127542e-05
22220 2.369428329984657e-05
22230 2.376486736466177e-05
22240 2.383967148489319e-05
22250 2.391991620243061e-05
22260 2.399813456577249e-05
22270 2.406759449513629e-05
22280 2.412498906778637e-05
22290 2.417402174614836e-05
22300 2.421646240691189e-05
22310 2.424292870273348e-05
22320 2.424533340672497e-05
22330 2.422419311187696e-05
22340 2.418121221126057e-05
22350 2.411968853266444e-05
22360 2.403373036941048e-05
22370 2.392812166363001e-05
22380 2.381294143560808e-05
22390 2.36969117395347e-05
22400 2.358146593905985e-05
22410 2.347070403629914e-05
22420 2.337485420866869e-05
22430 2.330241659365129e-05
22440 2.324968227185309e-05
22450 2.32129586947849e-05
22460 2.318819861102384e-05
22470 2.317613507329952e-05
22480 2.317920552741271e-05
22490 2.319658051419538e-05
22500 2.323114858882036e-05
22510 2.328385562577751e-05
22520 2.334888267796487e-05
22530 2.341655635973439e-05
22540 2.347569534322247e-05
22550 2.351739749428816e-05
22560 2.35370662267087e-05
22570 2.353340642002877e-05
22580 2.350789873162284e-05
22590 2.345456232433207e-05
22600 2.338089143449906e-05
22610 2.329642484255601e-05
22620 2.320610838069115e-05
22630 2.311478419869673e-05
22640 2.302789835084695e-05
22650 2.295209196745418e-05
22660 2.28901844820939e-05
22670 2.284425863763317e-05
22680 2.280992157466244e-05
22690 2.278314241266344e-05
22700 2.277103703818284e-05
22710 2.277364546898752e-05
22720 2.279068939969875e-05
22730 2.282032437506132e-05
22740 2.285598930029664e-05
22750 2.288835457875393e-05
22760 2.290971133334097e-05
22770 2.29154229600681e-05
22780 2.291320924996398e-05
22790 2.290867632837035e-05
22800 2.290020711370744e-05
22810 2.288517680426594e-05
22820 2.286429844389204e-05
22830 2.284453694301192e-05
22840 2.283546018588822e-05
22850 2.284646325279027e-05
22860 2.288252471771557e-05
22870 2.294696605531499e-05
22880 2.303369728906546e-05
22890 2.313378354301676e-05
22900 2.323739317944273e-05
22910 2.333587690372951e-05
22920 2.342843799851835e-05
22930 2.352929732296616e-05
22940 2.364620922890026e-05
22950 2.378135468461551e-05
22960 2.392923306615558e-05
22970 2.407854299235623e-05
22980 2.42186233663233e-05
22990 2.434338966850191e-05
23000 2.445233621983789e-05
23010 2.454973946441896e-05
23020 2.463382406858727e-05
23030 2.470380422892049e-05
23040 2.477021371305455e-05
23050 2.483214120729826e-05
23060 2.488466998329386e-05
23070 2.492345447535627e-05
23080 2.494773070793599e-05
23090 2.495872467989102e-05
23100 2.496027445886284e-05
23110 2.495938861102331e-05
23120 2.49636905209627e-05
23130 2.497659443179145e-05
23140 2.499471702321898e-05
23150 2.50174525717739e-05
23160 2.505028714949731e-05
23170 2.51013279921608e-05
23180 2.517559187253937e-05
23190 2.527647484384943e-05
23200 2.540448258514516e-05
23210 2.555021637817845e-05
23220 2.570650940469932e-05
23230 2.586589107522741e-05
23240 2.601566120574716e-05
23250 2.614874210848939e-05
23260 2.626356763357762e-05
23270 2.636124736454803e-05
23280 2.645254789968021e-05
23290 2.655775278981309e-05
23300 2.667111402843148e-05
23310 2.676858093764167e-05
23320 2.683444472495466e-05
23330 2.685878826014232e-05
23340 2.684040555323008e-05
23350 2.678325290617067e-05
23360 2.669231616891921e-05
23370 2.657553523022216e-05
23380 2.644338383106515e-05
23390 2.630621020216495e-05
23400 2.616994061099831e-05
