"Time Step" "point-ho-a"
21210 5.145443356013857e-05
21220 5.11397811351344e-05
21230 5.082979259896092e-05
21240 5.054187931818888e-05
21250 5.029254680266604e-05
21260 5.009034066461027e-05
21270 4.994132905267179e-05
21280 4.983647522749379e-05
21290 4.975831325282343e-05
21300 4.969120345776901e-05
21310 4.961951344739646e-05
21320 4.95482818223536e-05
21330 4.950475704390556e-05
21340 4.950271249981597e-05
21350 4.954022006131709e-05
21360 4.960759906680323e-05
21370 4.968249777448364e-05
21380 4.974417606717907e-05
21390 4.977631033398211e-05
21400 4.977128264727071e-05
21410 4.973284012521617e-05
21420 4.96568827657029e-05
21430 4.9542126362212e-05
21440 4.940732469549403e-05
21450 4.925276516587473e-05
21460 4.907086622552015e-05
21470 4.885710950475186e-05
21480 4.861475099460222e-05
21490 4.835022264160216e-05
21500 4.807600635103881e-05
21510 4.781064126291312e-05
21520 4.757248461828567e-05
21530 4.73699728900101e-05
21540 4.719738353742287e-05
21550 4.705067112809047e-05
21560 4.693497976404615e-05
21570 4.686103056883439e-05
21580 4.683429870055988e-05
21590 4.685368912760168e-05
21600 4.691396316047758e-05
21610 4.700921999756247e-05
21620 4.712141890195198e-05
21630 4.723742677015252e-05
21640 4.734181493404321e-05
21650 4.742426972370595e-05
21660 4.748383071273565e-05
21670 4.752051245304756e-05
21680 4.756050111609511e-05
21690 4.764755794894882e-05
21700 4.777504000230692e-05
21710 4.790612365468405e-05
21720 4.801814429811202e-05
21730 4.809869278687984e-05
21740 4.814755084225908e-05
21750 4.817235821974464e-05
21760 4.817992157768458e-05
21770 4.817754961550236e-05
21780 4.817643639398739e-05
21790 4.818888191948645e-05
21800 4.822116170544177e-05
21810 4.827244265470654e-05
21820 4.834016726817936e-05
21830 4.842491034651175e-05
21840 4.852780330111273e-05
21850 4.865110531682149e-05
21860 4.880089181824587e-05
21870 4.89828635181766e-05
21880 4.919961429550312e-05
21890 4.945624095853418e-05
21900 4.974760668119416e-05
21910 5.006543506169692e-05
21920 5.04034869663883e-05
21930 5.073636202723719e-05
21940 5.104252340970561e-05
21950 5.129638157086447e-05
21960 5.147534466232173e-05
21970 5.157118721399456e-05
21980 5.158147541806102e-05
21990 5.151868026587181e-05
22000 5.140910798218101e-05
22010 5.128425982547924e-05
22020 5.116995453136042e-05
22030 5.108311597723514e-05
22040 5.104314550408162e-05
22050 5.106415119371377e-05
22060 5.115405292599462e-05
22070 5.130960198584944e-05
22080 5.151034565642476e-05
22090 5.172534292796627e-05
22100 5.194304321776144e-05
22110 5.216590943746269e-05
22120 5.239059828454629e-05
22130 5.260745456325822e-05
22140 5.280378900351934e-05
22150 5.297184543451294e-05
22160 5.310404594638385e-05
22170 5.320620039128698e-05
22180 5.329466148396023e-05
22190 5.339672134141438e-05
22200 5.351667277864181e-05
22210 5.365114338928834e-05
22220 5.37890664418228e-05
22230 5.392414459493011e-05
22240 5.406600394053385e-05
22250 5.421675450634211e-05
22260 5.436191349872388e-05
22270 5.448863885249011e-05
22280 5.459093881654553e-05
22290 5.467668597702868e-05
22300 5.475115176523104e-05
22310 5.479854007717222e-05
22320 5.480432082549669e-05
22330 5.476887599797919e-05
22340 5.469405732583255e-05
22350 5.458408486447297e-05
22360 5.442693145596422e-05
22370 5.423052789410576e-05
22380 5.401323141995817e-05
22390 5.379091089707799e-05
22400 5.356708061299287e-05
22410 5.334940215107054e-05
22420 5.315825546858832e-05
22430 5.300976408761926e-05
22440 5.289851105771959e-05
22450 5.282045458443463e-05
22460 5.276622687233612e-05
22470 5.273653368931264e-05
22480 5.273598799249157e-05
22490 5.276346564642154e-05
22500 5.282482015900314e-05
22510 5.292211062624119e-05
22520 5.304364458424971e-05
22530 5.316968963597901e-05
22540 5.327771577867679e-05
22550 5.33501006430015e-05
22560 5.337820039130747e-05
22570 5.335966125130653e-05
22580 5.329800114850514e-05
22590 5.31832774868235e-05
22600 5.303118814481422e-05
22610 5.286080340738408e-05
22620 5.268223321763799e-05
22630 5.25054638274014e-05
22640 5.234042328083888e-05
22650 5.219934610067867e-05
22660 5.20877874805592e-05
22670 5.200901432544924e-05
22680 5.195549601921812e-05
22690 5.191723539610393e-05
22700 5.190627416595817e-05
22710 5.192362004891038e-05
22720 5.196532583795488e-05
22730 5.202660395298153e-05
22740 5.209588562138379e-05
22750 5.215618875809014e-05
22760 5.219406739342958e-05
22770 5.220102320890874e-05
22780 5.219237937126309e-05
22790 5.218028309172951e-05
22800 5.216248246142641e-05
22810 5.213452459429391e-05
22820 5.209869777900167e-05
22830 5.206939749768935e-05
22840 5.20653702551499e-05
22850 5.210466042626649e-05
22860 5.219548984314315e-05
22870 5.234216587268747e-05
22880 5.253215203993022e-05
22890 5.274696013657376e-05
22900 5.296658127917908e-05
22910 5.317215618561022e-05
22920 5.336253161658533e-05
22930 5.356546535040252e-05
22940 5.379609865485691e-05
22950 5.405708361649886e-05
22960 5.434008198790252e-05
22970 5.462364424602129e-05
22980 5.488849637913518e-05
22990 5.512306233868003e-05
23000 5.532816794584505e-05
23010 5.551231515710242e-05
23020 5.567322659771889e-05
23030 5.580991637543775e-05
23040 5.594212416326627e-05
23050 5.606805643765256e-05
23060 5.617769784294069e-05
23070 5.626138226944022e-05
23080 5.631643580272794e-05
23090 5.634465924231336e-05
23100 5.635336128761992e-05
23110 5.635672641801648e-05
23120 5.637119102175348e-05
23130 5.640507879434153e-05
23140 5.645378405461088e-05
23150 5.651620085700415e-05
23160 5.66010749025736e-05
23170 5.672348561347462e-05
23180 5.689189492841251e-05
23190 5.710994446417317e-05
23200 5.737836909247562e-05
23210 5.767984839621931e-05
23220 5.799990685773082e-05
23230 5.832269016536884e-05
23240 5.862293255631812e-05
23250 5.888710438739508e-05
23260 5.911225161980838e-05
23270 5.929961480433121e-05
23280 5.947060708422214e-05
23290 5.966379467281513e-05
23300 5.986988253425807e-05
23310 6.004525130265392e-05
23320 6.016090992488898e-05
23330 6.019820648361929e-05
23340 6.015416511218064e-05
23350 6.003546150168404e-05
23360 5.985119787510484e-05
23370 5.961578062851913e-05
23380 5.934896398684941e-05
23390 5.907200102228671e-05
23400 5.879793388885446e-05
23410 5.852977847098373e-05
23420 5.826826964039356e-05
23430 5.801799488835968e-05
23440 5.77835162403062e-05
23450 5.756952305091545e-05
23460 5.738655818277039e-05
23470 5.724717993871309e-05
23480 5.71626442251727e-05
23490 5.712751953979023e-05
23500 5.713614518754184e-05
23510 5.718740430893376e-05
23520 5.726076415157877e-05
23530 5.732661156798713e-05
23540 5.736669845646247e-05
23550 5.735323429689743e-05
23560 5.726066956412978e-05
23570 5.707757009076886e-05
23580 5.679896275978535e-05
23590 5.643901022267528e-05
23600 5.602767123491503e-05
23610 5.560194404097274e-05
23620 5.519434489542618e-05
23630 5.482673077494837e-05
23640 5.452235927805305e-05
23650 5.429841985460371e-05
23660 5.41657027497422e-05
23670 5.412429163698107e-05
23680 5.415616033133119e-05
23690 5.423201582743786e-05
23700 5.434417107608169e-05
23710 5.449823584058322e-05
23720 5.468765084515326e-05
23730 5.48972784599755e-05
23740 5.511415292858146e-05
23750 5.53174686501734e-05
23760 5.549724301090464e-05
23770 5.565528772422113e-05
23780 5.581715231528506e-05
23790 5.599940413958393e-05
23800 5.620315641863272e-05
23810 5.64300462428946e-05
23820 5.666957440553233e-05
23830 5.691315163858235e-05
23840 5.716973100788891e-05
23850 5.743711153627373e-05
23860 5.769596100435592e-05
23870 5.792914453195408e-05
23880 5.812818199046887e-05
23890 5.83020482736174e-05
23900 5.845828854944557e-05
23910 5.858445729245432e-05
23920 5.867161962669343e-05
23930 5.872391193406656e-05
23940 5.874530324945226e-05
23950 5.874210910405964e-05
23960 5.870635141036473e-05
23970 5.864608829142526e-05
23980 5.858061922481284e-05
23990 5.852516551385634e-05
24000 5.848028013133444e-05
15410 0.0001522625971119851
15420 0.0001527721324237064
15430 0.0001534766342956573
15440 0.0001543848193250597
15450 0.0001555013295728713
15460 0.0001568279985804111
15470 0.0001583812263561413
15480 0.000160141076776199
15490 0.0001620861294213682
15500 0.0001642029819777235
15510 0.0001664534793235362
15520 0.0001687897893134505
15530 0.0001711533550405875
15540 0.0001734795514494181
15550 0.0001757180434651673
15560 0.0001778314326656982
15570 0.0001797883451217785
15580 0.0001815701107261702
15590 0.0001831740519264713
15600 0.0001846214290708303
15610 0.0001859508774941787
15620 0.0001872039429144934
15630 0.0001884187950054184
15640 0.0001896298927022144
15650 0.0001908710401039571
15660 0.0001921873772516847
15670 0.0001936148182721809
15680 0.00019515460007824
15690 0.0001967751741176471
15700 0.0001984322007047012
15710 0.0002000897511607036
15720 0.0002017038204940036
15730 0.0002032216434599832
15740 0.0002045980072580278
15750 0.0002058021200355142
15760 0.0002068322210106999
15770 0.0002077313838526607
15780 0.0002085257292492315
15790 0.0002092221984639764
15800 0.0002098516852129251
15810 0.0002104347076965496
15820 0.0002109703054884449
15830 0.0002114298258675262
15840 0.0002117831318173558
15850 0.0002120016724802554
15860 0.0002120559220202267
15870 0.0002119381533702835
15880 0.0002116669493261725
15890 0.0002112743386533111
15900 0.000210797370527871
15910 0.0002102668804582208
15920 0.0002096942625939846
15930 0.0002090757043333724
15940 0.000208394558285363
15950 0.0002076321397908032
15960 0.000206760989385657
15970 0.0002057500096270815
15980 0.000204575655516237
15990 0.0002032287011388689
16000 0.0002017250080825761
16010 0.0002000877575483173
16020 0.0001983411639230326
16030 0.0001965175470104441
16040 0.0001946759439306334
16050 0.0001928773999679834
16060 0.0001911709841806442
16070 0.0001895994791993871
16080 0.0001881963980849832
16090 0.0001869807601906359
16100 0.0001859621988842264
16110 0.0001851292327046394
16120 0.0001844410580815747
16130 0.0001838326279539615
16140 0.0001832280977396294
16150 0.0001825617364374921
16160 0.000181787516339682
16170 0.0001808860979508609
16180 0.0001798662706278265
16190 0.0001787512301234528
16200 0.0001775728596840054
16210 0.000176354922587052
16220 0.0001751265372149646
16230 0.0001739268773235381
16240 0.0001728010975057259
16250 0.0001717851118883118
16260 0.0001709153002593666
16270 0.0001702225563349202
16280 0.0001697164989309385
16290 0.000169394799740985
16300 0.0001692703372100368
16310 0.0001693124504527077
16320 0.0001694863894954324
16330 0.0001697604020591825
16340 0.0001700955908745527
16350 0.0001704520254861563
16360 0.0001707893679849803
16370 0.0001710710785118863
16380 0.0001712810189928859
16390 0.0001714255049591884
16400 0.0001715110411169007
16410 0.0001715549879008904
16420 0.0001715996477287263
16430 0.0001717029663268477
16440 0.0001719236897770315
16450 0.0001723197783576325
16460 0.0001729235664242879
16470 0.0001737305574351922
16480 0.0001747164060361683
16490 0.0001758404832798988
16500 0.0001770478702383116
16510 0.0001782772742444649
16520 0.000179480470251292
16530 0.0001806249929359183
16540 0.0001816767471609637
16550 0.000182625706656836
16560 0.0001834716240409762
16570 0.000184213015018031
16580 0.0001848578394856304
16590 0.0001854321453720331
16600 0.0001859500189311802
16610 0.0001864152727648616
16620 0.0001868364633992314
16630 0.0001872269785962999
16640 0.0001875876914709806
16650 0.0001879010233096778
16660 0.0001881362695712596
16670 0.0001882420328911394
16680 0.0001881814969237894
16690 0.0001879429328255355
16700 0.0001875445304904133
16710 0.0001870337582658976
16720 0.0001864790683612227
16730 0.0001859383482951671
16740 0.0001854532602010295
16750 0.0001850304834078997
16760 0.0001846554514486343
16770 0.0001843022473622113
16780 0.0001839492324506864
16790 0.000183583892066963
16800 0.0001832078996812925
16810 0.000182829171535559
16820 0.0001824774371925741
16830 0.0001821556070353836
16840 0.0001818478631321341
16850 0.0001815428258851171
16860 0.000181245370185934
16870 0.00018097429710906
16880 0.000180753311724402
16890 0.0001805872307159007
16900 0.0001804576168069616
16910 0.0001803298364393413
16920 0.0001801693579182029
16930 0.0001799350866349414
16940 0.0001795862917788327
16950 0.0001790913665900007
16960 0.00017843276145868
16970 0.0001776160061126575
16980 0.000176680347067304
16990 0.0001756945566739887
17000 0.0001747289497870952
17010 0.0001738360879244283
17020 0.0001730569929350168
17030 0.0001724195026326925
