"Time Step" "point-pressure-a"
21210 -11779.775390625
21220 -11763.2109375
21230 -11753.5380859375
21240 -11563.7900390625
21250 -11153.947265625
21260 -11002.7529296875
21270 -11026.017578125
21280 -10877.384765625
21290 -10851.2421875
21300 -10547.94140625
21310 -9899.7255859375
21320 -8895.5537109375
21330 -8255.45703125
21340 -8414.419921875
21350 -8741.7900390625
21360 -9548.224609375
21370 -10426.654296875
21380 -10746.76171875
21390 -10785.8369140625
21400 -11000.71875
21410 -11484.291015625
21420 -12323.330078125
21430 -13093.0927734375
21440 -13201.3427734375
21450 -12540.7568359375
21460 -11632.5634765625
21470 -11370.814453125
21480 -11635.599609375
21490 -11496.0224609375
21500 -11424.6669921875
21510 -11813.826171875
21520 -12117.853515625
21530 -11610.3876953125
21540 -11607.8173828125
21550 -11922.009765625
21560 -12343.9404296875
21570 -12450.6357421875
21580 -12320.2880859375
21590 -11708.6220703125
21600 -11316.8798828125
21610 -11062.498046875
21620 -10674.9736328125
21630 -10186.6513671875
21640 -10129.146484375
21650 -9757.2705078125
21660 -8907.310546875
21670 -8695.2431640625
21680 -8325.884765625
21690 -7667.49560546875
21700 -6771.7041015625
21710 -6284.513671875
21720 -6681.2314453125
21730 -7036.248046875
21740 -7807.00048828125
21750 -8831.666015625
21760 -9585.4755859375
21770 -10320.98828125
21780 -10979.9853515625
21790 -11137.134765625
21800 -11325.591796875
21810 -11356.2197265625
21820 -11340.1162109375
21830 -11331.4052734375
21840 -11086.01171875
21850 -10849.802734375
21860 -10834.2978515625
21870 -10864.609375
21880 -11186.650390625
21890 -11464.556640625
21900 -11385.2041015625
21910 -11661.64453125
21920 -12132.357421875
21930 -12351.69921875
21940 -12402.0966796875
21950 -12254.2080078125
21960 -12407.2744140625
21970 -12444.8955078125
21980 -12250.0166015625
21990 -12264.755859375
22000 -12647.5283203125
22010 -12968.904296875
22020 -12985.6650390625
22030 -12473.939453125
22040 -12058.921875
22050 -11487.984375
22060 -10561.4580078125
22070 -9800.896484375
22080 -9401.751953125
22090 -9172.171875
22100 -8799.203125
22110 -7918.4052734375
22120 -6901.02587890625
22130 -5831.0341796875
22140 -5428.68310546875
22150 -6062.6513671875
22160 -7127.142578125
22170 -8095.7373046875
22180 -8846.1728515625
22190 -9251.4453125
22200 -9204.2568359375
22210 -9379.7890625
22220 -9974.0078125
22230 -10693.7041015625
22240 -11457.111328125
22250 -12417.1953125
22260 -13264.0390625
22270 -13069.2412109375
22280 -12699.9208984375
22290 -12524.05078125
22300 -12272.0283203125
22310 -12531.9091796875
22320 -12178.587890625
22330 -12030.3046875
22340 -11772.6455078125
22350 -11377.8896484375
22360 -11253.1572265625
22370 -11390.5263671875
22380 -11663.296875
22390 -11788.8935546875
22400 -11682.986328125
22410 -11663.2001953125
22420 -11465.34375
22430 -11172.1875
22440 -10956.26171875
22450 -11118.2158203125
22460 -10923.5439453125
22470 -10168.65625
22480 -9102.5244140625
22490 -8161.00927734375
22500 -7269.4296875
22510 -6903.22412109375
22520 -6592.21435546875
22530 -6637.53076171875
22540 -7501.6240234375
22550 -7975.69921875
22560 -8332.287109375
22570 -8867.0390625
22580 -9494.7177734375
22590 -10047.875
22600 -9841.501953125
22610 -9811.6318359375
22620 -10087.01953125
22630 -10338.978515625
22640 -10623.642578125
22650 -11300.046875
22660 -11808.4208984375
22670 -11599.7587890625
22680 -10724.31640625
22690 -10670.654296875
22700 -11223.03515625
22710 -11521.859375
22720 -11700.001953125
22730 -12299.76171875
22740 -12568.8134765625
22750 -12650.5302734375
22760 -12909.4619140625
22770 -12684.0078125
22780 -12618.2470703125
22790 -13282.8759765625
22800 -13525.6884765625
22810 -13044.01953125
22820 -13125.6865234375
22830 -12701.24609375
22840 -12516.04296875
22850 -12637.5576171875
22860 -12590.69921875
22870 -11934.982421875
22880 -10759.91015625
22890 -9686.0380859375
22900 -9071.8125
22910 -8124.2490234375
22920 -7238.1982421875
22930 -7360.67041015625
22940 -7502.01904296875
22950 -7906.63037109375
22960 -8588.7626953125
22970 -10317.169921875
22980 -11444.3125
22990 -11116.3515625
23000 -11168.595703125
23010 -10962.84375
23020 -10736.6025390625
23030 -10568.1474609375
23040 -11610.783203125
23050 -12893.4609375
23060 -13640.751953125
23070 -13603.1845703125
23080 -13350.322265625
23090 -13135.00390625
23100 -13474.5380859375
23110 -13651.146484375
23120 -13164.919921875
23130 -13072.5869140625
23140 -12641.5283203125
23150 -12432.4033203125
23160 -11825.2333984375
23170 -11276.505859375
23180 -11314.8125
23190 -11102.8759765625
23200 -10655.1787109375
23210 -10290.2392578125
23220 -10323.8232421875
23230 -10686.966796875
23240 -10816.6689453125
23250 -10860.052734375
23260 -10632.7255859375
23270 -9971.5380859375
23280 -8857.9013671875
