"Time Step" "point-pressure-d"
21210 -958.8421630859375
21220 -1012.503845214844
21230 -874.12548828125
21240 -803.6812744140625
21250 -748.982177734375
21260 -889.0828247070312
21270 -1332.60009765625
21280 -1012.185424804688
21290 -835.7108154296875
21300 -465.2148132324219
21310 186.2834167480469
21320 883.0447998046875
21330 1808.978271484375
21340 1196.874389648438
21350 702.0104370117188
21360 844.89794921875
21370 -380.3563232421875
21380 -219.4533996582031
21390 -665.9720458984375
21400 -278.0467834472656
21410 -862.2742919921875
21420 -1671.462280273438
21430 -2381.87646484375
21440 -3072.620361328125
21450 -2429.330078125
21460 -1166.489379882812
21470 -842.7554931640625
21480 -1142.6435546875
21490 -988.4961547851562
21500 -896.346435546875
21510 -1381.83837890625
21520 -1505.824462890625
21530 -1007.413757324219
21540 -1172.546875
21550 -1310.1826171875
21560 -1355.6376953125
21570 -1367.412475585938
21580 -1153.717041015625
21590 -697.8212280273438
21600 -404.6289367675781
21610 -250.6114807128906
21620 80.02970886230469
21630 320.7188415527344
21640 336.5605163574219
21650 567.1077880859375
21660 1118.798461914062
21670 1104.630004882812
21680 1517.248046875
21690 1850.908203125
21700 2397.1953125
21710 2819.1572265625
21720 2921.243408203125
21730 2955.8134765625
21740 2342.727783203125
21750 1339.39990234375
21760 192.7871704101562
21770 418.919189453125
21780 -251.2619323730469
21790 -961.5385131835938
21800 -1316.070556640625
21810 -636.5098876953125
21820 -529.5241088867188
21830 -94.67741394042969
21840 -59.28690719604492
21850 -162.5823364257812
21860 94.039794921875
21870 172.6514892578125
21880 -259.1561584472656
21890 -425.9465637207031
21900 -422.9490356445312
21910 -747.1502685546875
21920 -1340.375732421875
21930 -1580.705200195312
21940 -1525.050537109375
21950 -1272.271484375
21960 -1554.158447265625
21970 -1376.16064453125
21980 -1159.314453125
21990 -1288.215087890625
22000 -1779.8046875
22010 -2376.408447265625
22020 -2388.73681640625
22030 -1811.345458984375
22040 -1258.176513671875
22050 -869.3426513671875
22060 -90.91734313964844
22070 340.9856872558594
22080 198.2048950195312
22090 -42.07059478759766
22100 285.8800354003906
22110 1586.676635742188
22120 2637.138427734375
22130 3110.19873046875
22140 3973.015869140625
22150 3486.065673828125
22160 2550.76904296875
22170 1705.511962890625
22180 724.6971435546875
22190 510.64501953125
22200 1008.110778808594
22210 953.672607421875
22220 579.81103515625
22230 -341.0140380859375
22240 -650.163330078125
22250 -1511.431640625
22260 -1945.8408203125
22270 -1907.050537109375
22280 -1999.469970703125
22290 -2176.93017578125
22300 -1653.723388671875
22310 -1827.353393554688
22320 -1217.362670898438
22330 -1092.400390625
22340 -932.9597778320312
22350 -527.16943359375
22360 -663.251708984375
22370 -994.6119384765625
22380 -1157.21728515625
22390 -1182.365844726562
22400 -775.234619140625
22410 -635.6661376953125
22420 -912.76025390625
22430 -606.4102172851562
22440 -236.8739318847656
22450 -409.9000244140625
22460 -375.7589111328125
22470 117.9715042114258
22480 802.930419921875
22490 1281.689086914062
22500 1874.269897460938
22510 2451.54833984375
22520 2765.846923828125
22530 2516.46728515625
22540 1981.166137695312
22550 2125.76513671875
22560 1883.095458984375
22570 1290.537353515625
22580 1026.749633789062
22590 267.094482421875
22600 683.152099609375
22610 970.3150634765625
22620 644.6265258789062
22630 86.66619110107422
22640 -392.9315795898438
22650 -832.36181640625
22660 -1020.678833007812
22670 -829.3407592773438
22680 -172.492431640625
22690 -48.16541290283203
22700 -410.4736328125
22710 -694.8256225585938
22720 -929.0512084960938
22730 -1403.816040039062
22740 -1879.014282226562
22750 -1827.783203125
22760 -2003.97607421875
22770 -1803.1318359375
22780 -1772.274658203125
22790 -2301.18115234375
22800 -2544.31640625
22810 -2264.2275390625
22820 -2298.92333984375
22830 -2344.73486328125
22840 -2284.793701171875
22850 -1916.373779296875
22860 -1837.2060546875
22870 -1483.864990234375
22880 -809.0858154296875
22890 -184.6223602294922
22900 319.3079833984375
22910 1275.7314453125
22920 2183.998779296875
22930 2343.1953125
22940 1715.459716796875
22950 213.7744293212891
22960 812.79248046875
22970 -197.6618347167969
22980 -773.8414306640625
22990 -376.3026733398438
23000 -374.9775085449219
23010 -564.2022705078125
23020 75.80987548828125
23030 -53.21873474121094
23040 -891.9219970703125
23050 -2046.35400390625
23060 -2480.138671875
23070 -2389.47265625
23080 -2334.7509765625
23090 -2106.12890625
23100 -2551.89306640625
23110 -2477.94921875
23120 -2226.0791015625
23130 -2266.6865234375
23140 -2243.482666015625
23150 -2056.09765625
23160 -1147.810302734375
23170 -792.7808837890625
23180 -666.3330078125
23190 -361.261474609375
23200 183.8856201171875
23210 146.3980255126953
23220 -276.4896240234375
23230 -402.9656982421875
23240 -207.5148315429688
23250 -116.8324508666992
23260 355.5654296875
23270 580.1375122070312
23280 990.239501953125
23290 1928.91064453125
23300 2880.931884765625
23310 3382.290771484375
23320 4250.5673828125
23330 4470.5546875
23340 4676.6259765625
23350 4040.150146484375
23360 3235.64306640625
23370 2382.91357421875
23380 1163.61279296875
23390 607.2313232421875
23400 -270.2556457519531
23410 -513.5322875976562
23420 -870.3619384765625
23430 -1190.072265625
23440 -1654.179443359375
23450 -2167.098388671875
23460 -2667.94140625
