"Time Step" "point-pressure-e"
21210 -9339.298828125
21220 -9843.830078125
21230 -10623.3779296875
21240 -9933.515625
21250 -9811.125
21260 -9421.0576171875
21270 -10108.94921875
21280 -11972.91796875
21290 -9284.375
21300 -10101.5009765625
21310 -11311.650390625
21320 -9786.9384765625
21330 -10205.6494140625
21340 -12230.224609375
21350 -12072.4482421875
21360 -9979.9970703125
21370 -9712.736328125
21380 -9403.55078125
21390 -11098.3056640625
21400 -12750.2314453125
21410 -9812.2431640625
21420 -8321.314453125
21430 -8532.4677734375
21440 -8343.3681640625
21450 -11428.2333984375
21460 -9943.1962890625
21470 -9714.3291015625
21480 -11226.00390625
21490 -9276.830078125
21500 -8488.55078125
21510 -9766.6357421875
21520 -9200.7255859375
21530 -9757.9111328125
21540 -10066.9677734375
21550 -9256.486328125
21560 -9311.3759765625
21570 -9324.94921875
21580 -9068.0703125
21590 -11456.4208984375
21600 -10020.3642578125
21610 -9580.083984375
21620 -10448.9619140625
21630 -10777.203125
21640 -10433.9287109375
21650 -9267.751953125
21660 -9652.6923828125
21670 -11094.21875
21680 -9702.1884765625
21690 -8794.53125
21700 -8385.74609375
21710 -7666.4443359375
21720 -7902.55859375
21730 -8365.259765625
21740 -10816.568359375
21750 -8868.91015625
21760 -11086.69140625
21770 -9399.01171875
21780 -8369.0048828125
21790 -10560.728515625
21800 -10571.1708984375
21810 -10543.7568359375
21820 -12011.3486328125
21830 -12456.154296875
21840 -10581.947265625
21850 -10384.171875
21860 -10026.9033203125
21870 -9742.2646484375
21880 -10246.8232421875
21890 -7581.1328125
21900 -8518.9990234375
21910 -12236.673828125
21920 -11240.037109375
21930 -10741.1650390625
21940 -9159.72265625
21950 -7991.75927734375
21960 -8723.3154296875
21970 -6909.8740234375
21980 -6188.37939453125
21990 -7328.08056640625
22000 -11464.484375
22010 -7503.634765625
22020 -7345.978515625
22030 -8978.88671875
22040 -9924.7041015625
22050 -12504.72265625
22060 -10487.2060546875
22070 -9982.2314453125
22080 -10021.7373046875
22090 -9723.36328125
22100 -9742.849609375
22110 -9765.73046875
22120 -10010.47265625
22130 -9346.474609375
22140 -10488.6435546875
22150 -10898.294921875
22160 -10131.40234375
22170 -10214.3349609375
22180 -9324.6435546875
22190 -8351.5205078125
22200 -9893.6875
22210 -9844.5791015625
22220 -9712.857421875
22230 -10610.16015625
22240 -13527.0791015625
22250 -12058.07421875
22260 -9565.712890625
22270 -9281.724609375
22280 -8235.00390625
22290 -8206.4599609375
22300 -12962.623046875
22310 -9936.8857421875
