"Time Step" "point-pressure-b"
22610 -13170.6728515625
22620 -13851.091796875
22630 -14478.1552734375
22640 -15318.9755859375
22650 -15391.3408203125
22660 -15343.5595703125
22670 -14864.2080078125
22680 -14218.47265625
22690 -13834.751953125
22700 -14100.8759765625
22710 -13507.3544921875
22720 -13369.4921875
22730 -13699.7783203125
22740 -13372.1015625
22750 -13440.9326171875
22760 -13825.3759765625
22770 -14525.1123046875
22780 -15690.783203125
22790 -17241.646484375
22800 -17353.52734375
22810 -18533.6171875
22820 -20384.74609375
22830 -17906.28125
22840 -17169.708984375
22850 -14290.01171875
22860 -13767.197265625
22870 -13824.7138671875
22880 -13548.7138671875
22890 -13005.8388671875
22900 -12122.4970703125
22910 -10744.3720703125
22920 -10140.5166015625
22930 -9471.001953125
22940 -8332.248046875
22950 -8288.951171875
22960 -9743.27734375
22970 -11911.01953125
22980 -12708.431640625
22990 -12999.7333984375
23000 -12637.451171875
23010 -13450.0732421875
23020 -14284.8955078125
23030 -15039.5771484375
23040 -13998.8291015625
23050 -13594.3046875
23060 -13178.6240234375
23070 -13061.5625
23080 -12484.51171875
23090 -11628.39453125
23100 -11807.1103515625
23110 -12314.6796875
23120 -11851.7275390625
23130 -11048.078125
23140 -12243.1201171875
23150 -13354.9130859375
23160 -14045.4677734375
23170 -14749.673828125
23180 -16169.646484375
23190 -18249.32421875
23200 -19619.802734375
23210 -17665.068359375
23220 -18251.619140625
23230 -16179.2646484375
23240 -16521.484375
23250 -16732.5859375
23260 -17362.5859375
23270 -16978.58984375
23280 -15809.7724609375
23290 -13786.478515625
23300 -12799.8525390625
23310 -10376.1494140625
23320 -9515.6875
23330 -8314.41796875
23340 -8662.3056640625
23350 -8987.15234375
23360 -9129.8369140625
23370 -9059.2421875
23380 -9910.623046875
23390 -11121.849609375
23400 -10100.8935546875
23410 -9726.04296875
23420 -10951.3388671875
23430 -11378.357421875
23440 -11395.05859375
23450 -12056.3037109375
23460 -12501.646484375
23470 -12114.134765625
23480 -12447.7421875
23490 -12117.6650390625
23500 -12373.4599609375
23510 -12131.27734375
23520 -12804.328125
23530 -12671.5966796875
23540 -12393.4130859375
23550 -12192.0810546875
23560 -12474.490234375
23570 -12825.53125
23580 -13654.1083984375
23590 -16532.505859375
23600 -18010.68359375
23610 -14707.2763671875
23620 -15921.9130859375
23630 -13655.224609375
23640 -13996.5517578125
23650 -12373.8681640625
23660 -12294.263671875
23670 -11309.916015625
23680 -10680.1279296875
23690 -9514.6171875
23700 -9436.0595703125
23710 -8740.9384765625
23720 -7522.8037109375
23730 -5817.115234375
23740 -6004.74609375
23750 -6546.06884765625
23760 -7755.10107421875
23770 -9042.599609375
23780 -10138.1044921875
23790 -11434.1943359375
23800 -12308.701171875
23810 -11372.892578125
23820 -10921.953125
23830 -11701.162109375
23840 -11317.8896484375
23850 -11010.44140625
23860 -10923.61328125
23870 -10554.7568359375
23880 -9603.470703125
23890 -9816.6025390625
23900 -11590.36328125
23910 -13712.7890625
23920 -14155.083984375
23930 -13446.244140625
23940 -13161
23950 -12636.685546875
23960 -12119.8447265625
23970 -12286.248046875
23980 -13786.4521484375
23990 -16541.763671875
24000 -16006.3037109375
15010 -11422.234375
15020 -13333.005859375
15030 -14646.392578125
15040 -15369.43359375
15050 -15971.3603515625
15060 -16658.33203125
15070 -15714.9013671875
15080 -14811.1005859375
15090 -13917.3369140625
15100 -13272.7451171875
15110 -13178.1240234375
15120 -12557.4013671875
15130 -12256.27734375
15140 -11585.619140625
15150 -10835.3349609375
15160 -11899.35546875
15170 -12039.9677734375
15180 -12679.765625
15190 -15291.44140625
15200 -14440.849609375
15210 -16850.083984375
15220 -11594.4794921875
15230 -15996.279296875
15240 -12328.3212890625
15250 -13072.1025390625
15260 -12515.267578125
15270 -10246.458984375
15280 -9231.201171875
15290 -9154.099609375
15300 -8273.4462890625
15310 -8271.6640625
15320 -8266.7470703125
15330 -7378.82177734375
15340 -7718.240234375
15350 -8249.8291015625
15360 -8245.703125
15370 -7277.39404296875
15380 -7443.31982421875
15390 -11912.361328125
15400 -12135.783203125
15410 -12679.966796875
15420 -11326.908203125
15430 -10890.556640625
15440 -11191.8701171875
15450 -12944.365234375
15460 -14593.9462890625
15470 -14155.474609375
15480 -14237.537109375
15490 -14554.4345703125
15500 -15035.453125
15510 -15051.3681640625
15520 -15253.681640625
15530 -15530.6572265625
15540 -15514.0029296875
15550 -15783.525390625
15560 -15820.7470703125
15570 -15759.7578125
15580 -16803.35546875
15590 -18917.326171875
15600 -19332.74609375
15610 -19339.875
15620 -22921.6953125
15630 -22919.302734375
15640 -15024.896484375
15650 -14989.3974609375
15660 -15644.978515625
15670 -15746.6474609375
15680 -14679.95703125
15690 -13146.7958984375
15700 -11773.3466796875
15710 -10355.5419921875
15720 -8997.4111328125
15730 -7858.18603515625
15740 -8122.64208984375
15750 -8989.291015625
15760 -9921.876953125
15770 -10748.33203125
15780 -10603.9716796875
15790 -10556.201171875
15800 -10061.3125
15810 -9697.8544921875
15820 -10150.1171875
15830 -11582.6484375
15840 -12597.736328125
15850 -13243.1572265625
15860 -13526.1953125
15870 -13093.1005859375
15880 -11868.4873046875
15890 -11472.6064453125
15900 -10674.21875
15910 -10710.62109375
15920 -10980.166015625
15930 -11956.712890625
15940 -12647.4658203125
15950 -13012.3828125
15960 -13819.240234375
15970 -14545.14453125
15980 -15409.5712890625
15990 -17824.021484375
16000 -18595.51171875
16010 -17330.91015625
16020 -17737.46484375
16030 -17250.5859375
16040 -16523.00390625
16050 -17210.58984375
16060 -14613.7177734375
16070 -13401.32421875
16080 -11692.9677734375
16090 -10562.62109375
16100 -9890.2685546875
16110 -9669.3408203125
16120 -9749.02734375
16130 -9923.5400390625
16140 -9749.802734375
16150 -9620.4609375
16160 -9338.412109375
16170 -9737.9873046875
16180 -11575.306640625
16190 -11441.966796875
16200 -11474.3134765625
16210 -11291.2080078125
16220 -11196.107421875
16230 -11785.876953125
16240 -11685.3232421875
16250 -12211.4619140625
16260 -12055.916015625
16270 -12874.8544921875
16280 -13724.5263671875
16290 -13713.28125
16300 -13496.544921875
16310 -13276.369140625
16320 -13318.927734375
16330 -13443.9208984375
16340 -12904.9140625
16350 -11962.9443359375
16360 -11524.251953125
16370 -11384.1533203125
16380 -11714.61328125
16390 -13835.033203125
16400 -15414.376953125
16410 -10438.857421875
16420 -13298.4775390625
16430 -15741.375
16440 -15478.859375
16450 -15155.515625
16460 -13119.1943359375
16470 -11290.9580078125
16480 -11398.3896484375
16490 -9379.2158203125
16500 -9885.873046875
16510 -9424.3515625
16520 -8334.220703125
