"Time Step" "point-pressure-c"
22610 -13392.3720703125
22620 -13452.9609375
22630 -13975.716796875
22640 -15336.7294921875
22650 -15876.251953125
22660 -15605.1962890625
22670 -15036.8564453125
22680 -14378.4189453125
22690 -14073.990234375
22700 -14347.90234375
22710 -13854.466796875
22720 -13632.1943359375
22730 -14019.2666015625
22740 -13831.734375
22750 -13477.66015625
22760 -14048.697265625
22770 -14559.09765625
22780 -14942.57421875
22790 -15082.4326171875
22800 -14947.5869140625
22810 -14451.5
22820 -12996.6953125
22830 -12243.0927734375
22840 -12356.7607421875
22850 -12751.8671875
22860 -13476.806640625
22870 -14037.0009765625
22880 -15002.345703125
22890 -15067.8359375
22900 -12516.314453125
22910 -10979.025390625
22920 -10688.517578125
22930 -10912.5859375
22940 -8733.322265625
22950 -8116.2236328125
22960 -8945.06640625
22970 -9884.3583984375
22980 -11415.82421875
22990 -12050.119140625
23000 -12172.439453125
23010 -12612.6435546875
23020 -13470.2744140625
23030 -13932.126953125
23040 -13801.953125
23050 -13905.1875
23060 -12854.720703125
23070 -12845.01953125
23080 -12220.2568359375
23090 -12597.3251953125
23100 -12722.4619140625
23110 -12557.5390625
23120 -11867.390625
23130 -11213.818359375
23140 -12384.71875
23150 -13702.90234375
23160 -14542.05859375
23170 -14870.939453125
23180 -15115.791015625
23190 -15883.24609375
23200 -15272.4892578125
23210 -14158.8173828125
23220 -14231.8720703125
23230 -13792.642578125
23240 -13372.322265625
23250 -14227.7509765625
23260 -14932.986328125
23270 -14726.33203125
23280 -13831.7802734375
23290 -12698.455078125
23300 -11205.435546875
23310 -9702.4599609375
23320 -8985.376953125
23330 -9008.923828125
23340 -9445.3310546875
23350 -9271.2802734375
23360 -9335.0380859375
23370 -9590.1689453125
23380 -9874.857421875
23390 -10674.60546875
23400 -10848.2109375
23410 -9689.3447265625
23420 -11453.2451171875
23430 -10886.716796875
23440 -11530.7685546875
23450 -12180.8896484375
23460 -11956.7568359375
23470 -11929.7119140625
23480 -12145.7587890625
23490 -12496.3212890625
23500 -12871.51953125
23510 -12541.9267578125
23520 -12967.669921875
23530 -12851.8359375
