"Time Step" "point-pressure-d"
22610 -11910.9765625
22620 -11486.81640625
22630 -12307.8427734375
22640 -13544.236328125
22650 -13780.013671875
22660 -13631.3193359375
22670 -13433.4892578125
22680 -13138.09765625
22690 -12383.861328125
22700 -12540.234375
22710 -12123.265625
22720 -11731.1953125
22730 -12095.6005859375
22740 -12458.57421875
22750 -12672.5556640625
22760 -12540.541015625
22770 -12730.509765625
22780 -13027.7275390625
22790 -12232.140625
22800 -11722.515625
22810 -11540.619140625
22820 -10852.3056640625
22830 -10417.2421875
22840 -10580.923828125
22850 -10759.607421875
22860 -11082.3671875
22870 -11499.2333984375
22880 -11848.9921875
22890 -11606.30078125
22900 -11426.6796875
22910 -10000.841796875
22920 -8636.23828125
22930 -7869.68505859375
22940 -6921.13671875
22950 -6902.90234375
22960 -7596.353515625
22970 -8511.30859375
22980 -9615.595703125
22990 -10737.3974609375
23000 -11185.224609375
23010 -12056.6572265625
23020 -12434.26171875
23030 -13566.90234375
23040 -13035.236328125
23050 -12669.787109375
23060 -11741.76953125
23070 -12511.544921875
23080 -12617.4599609375
23090 -10902.8173828125
23100 -10482.69921875
23110 -11043.93359375
23120 -11386.18359375
23130 -11093.0625
23140 -11555.486328125
23150 -12477.3798828125
23160 -12515.103515625
23170 -12729.2255859375
23180 -12847.349609375
23190 -12383.154296875
23200 -12051.451171875
23210 -11860.111328125
23220 -11372.6630859375
23230 -11459.5556640625
23240 -11903.033203125
23250 -12215.1015625
23260 -12392.298828125
23270 -12499.64453125
23280 -12186.3828125
23290 -11373.0576171875
23300 -10238.8310546875
23310 -9712.1923828125
23320 -8610.916015625
23330 -8151.390625
23340 -9062.6416015625
23350 -8424.439453125
23360 -8422.001953125
23370 -8404.3466796875
23380 -9268.0576171875
23390 -9986.91015625
23400 -9569.103515625
23410 -9388.451171875
23420 -10309.70703125
23430 -10124.62890625
23440 -9820.916015625
23450 -10368.4130859375
23460 -10787.318359375
23470 -10945.384765625
23480 -11689.779296875
23490 -11335.3515625
23500 -11338.533203125
23510 -11245.53515625
23520 -11774.5546875
23530 -11655.07421875
23540 -11004.595703125
23550 -10454.1884765625
23560 -10194.2568359375
23570 -10226.603515625
23580 -10039.87109375
23590 -10088.783203125
23600 -10248.9375
23610 -10090.4619140625
23620 -9334.654296875
23630 -9024.134765625
23640 -9115.2734375
23650 -9014.5703125
23660 -9059.0625
23670 -8997.51171875
23680 -9325.84765625
23690 -9199.224609375
23700 -8672.021484375
23710 -7843.1142578125
23720 -6733.181640625
23730 -5318.20751953125
23740 -5887.7724609375
23750 -6279.5888671875
23760 -7407.880859375
23770 -9007.8720703125
23780 -9603.2666015625
23790 -10173.9248046875
23800 -10273.7421875
23810 -9591.25
23820 -10001.57421875
23830 -11111.34765625
23840 -10724.6875
23850 -10031.88671875
23860 -9372.134765625
23870 -9081.64453125
23880 -8880.080078125
23890 -9552.734375
23900 -10906.3486328125
23910 -11764.306640625
23920 -12389.248046875
23930 -11734.15234375
23940 -11080.42578125
23950 -10243.599609375
23960 -10238.3125
23970 -10383.869140625
23980 -10496.27734375
23990 -10574.10546875
24000 -10226.44921875
15010 -10543.1875
15020 -12138.201171875
15030 -13354.15234375
15040 -13625.2392578125
15050 -13602.97265625
15060 -13589.85546875
15070 -13927.0625
15080 -13582.07421875
15090 -13392.4140625
15100 -12838.03515625
15110 -12312.03125
15120 -11352.787109375
15130 -10891.59375
15140 -9911.43359375
15150 -9993.755859375
15160 -11749.7890625
15170 -10564.728515625
15180 -9894.83203125
15190 -10195.9892578125
15200 -10490.123046875
15210 -9896.130859375
15220 -9831.966796875
15230 -9719.73046875
15240 -9782.9609375
15250 -8844.8232421875
15260 -8566.697265625
15270 -8391.7607421875
15280 -7918.265625
15290 -7477.109375
15300 -7202.37353515625
15310 -6567.65380859375
15320 -6305.0048828125
15330 -6248.6083984375
15340 -6154.8388671875
15350 -6383.9033203125
15360 -6426.0634765625
15370 -6223.8388671875
15380 -7056.09619140625
15390 -10331.87109375
