"Time Step" "point-pressure-e"
22610 -9654.9599609375
22620 -9715.21484375
22630 -10033.17578125
22640 -9865.6640625
22650 -9263.0380859375
22660 -8827.517578125
22670 -8805.603515625
22680 -8790.3134765625
22690 -9190.1552734375
22700 -9548.0107421875
22710 -9948.37890625
22720 -10543.943359375
22730 -10533.923828125
22740 -10366.755859375
22750 -9741.62890625
22760 -9596.7705078125
22770 -9161.888671875
22780 -8750.1689453125
22790 -9082.654296875
22800 -8879.427734375
22810 -9076.6484375
22820 -9330.669921875
22830 -9311.486328125
22840 -8818.3017578125
22850 -8911.69140625
22860 -9078.58203125
22870 -9102.947265625
22880 -8462.642578125
22890 -8040.17626953125
22900 -7741.1416015625
22910 -7615.36572265625
22920 -7900.3505859375
22930 -8436.0322265625
22940 -8849.296875
22950 -8971.6328125
22960 -9542.7294921875
22970 -10114.22265625
22980 -10725.4677734375
22990 -10975.4013671875
23000 -10919.2353515625
23010 -10888.498046875
23020 -11284.7880859375
23030 -12026.234375
23040 -12359.9794921875
23050 -11646.435546875
23060 -10966.14453125
23070 -10448.41796875
23080 -9601.580078125
23090 -8476.37109375
23100 -7834.4365234375
23110 -7540.1025390625
23120 -8034.82568359375
23130 -8519.56640625
23140 -9250.197265625
23150 -9545.8173828125
23160 -8923.30078125
23170 -8097.8720703125
23180 -7331.00244140625
23190 -7771.751953125
23200 -6630.892578125
23210 -6854.7685546875
23220 -7141.30126953125
23230 -7448.5244140625
23240 -7622.8779296875
23250 -8168.7861328125
23260 -8593.5869140625
23270 -9131.642578125
23280 -9683.107421875
23290 -10028.470703125
23300 -10391.6689453125
23310 -11018.8369140625
23320 -11261.1875
23330 -11018.7109375
23340 -10758.162109375
23350 -10456.34765625
23360 -10177.0498046875
23370 -10252.380859375
23380 -10469.56640625
23390 -10215.955078125
23400 -10210.80859375
23410 -10339.91015625
23420 -10356.1474609375
23430 -9991.8515625
23440 -9523.388671875
23450 -9413.43359375
23460 -9252.6064453125
23470 -9424.125
23480 -9539.5380859375
23490 -9389.541015625
23500 -9341.662109375
23510 -9743.4404296875
23520 -9288
23530 -9490.771484375
23540 -9237.92578125
23550 -9633.0703125
23560 -9758.27734375
23570 -9792.115234375
23580 -9728.1416015625
23590 -9455.716796875
23600 -9064.869140625
23610 -8996.0107421875
23620 -9263.478515625
23630 -9488.8935546875
23640 -9551.16796875
23650 -9472.4951171875
23660 -9359.619140625
23670 -9266.791015625
23680 -9306.2236328125
23690 -9519.095703125
23700 -9471.2412109375
23710 -9263.3017578125
23720 -8997.30859375
23730 -9086.427734375
23740 -9097.564453125
23750 -8982.431640625
23760 -9028.1953125
23770 -9112.9541015625
23780 -9167.869140625
23790 -9091.56640625
23800 -9194.4541015625
23810 -9982.30859375
23820 -10416.9931640625
23830 -10032.1640625
23840 -10054.96484375
23850 -10113.7060546875
23860 -9355.81640625
23870 -8793.2978515625
23880 -7955.0947265625
23890 -7149.8818359375
23900 -6892.26513671875
23910 -7451.19091796875
23920 -7372.66552734375
23930 -7953.71337890625
23940 -8522.384765625
23950 -8535.7001953125
23960 -8470.0517578125
23970 -8677.8251953125
23980 -8682.5302734375
23990 -8594.2236328125
24000 -8264.6328125
15010 -9300.283203125
15020 -8895.9306640625
15030 -8680.9150390625
15040 -8609.2578125
15050 -8533.35546875
15060 -8386.98828125
15070 -8160.833984375
15080 -8070.18603515625
15090 -8221.451171875
15100 -8258.0439453125
15110 -8039.3896484375
15120 -8235.7314453125
15130 -8604.6044921875
15140 -9033.2109375
15150 -9439.4794921875
15160 -9575.5
15170 -9460.978515625
15180 -9565.4794921875
15190 -9374.53125
15200 -9211.5654296875
15210 -8906.591796875
15220 -8774.650390625
15230 -8600.72265625
15240 -8459.5234375
15250 -9368.8505859375
15260 -9813.9619140625
15270 -9707.0322265625
15280 -9386.19921875
