"Time Step" "point-pressure-a"
3250 -38195.2578125
3260 -35078.82421875
3270 -32163.234375
3280 -34947.71484375
3290 -38977.02734375
3300 -39083.83984375
3310 -37916.53515625
3320 -37010.640625
3330 -34495.3125
3340 -33586.15625
3350 -34677.78125
3360 -35133.9921875
3370 -37812.5390625
3380 -38595.92578125
3390 -39234.671875
3400 -36500.80078125
3410 -36832.4609375
3420 -36269.3203125
3430 -36506.0078125
3440 -35419.75
3450 -34246.25390625
3460 -36437.0390625
3470 -36332.89453125
3480 -37346.03515625
3490 -37671.3125
3500 -39232.1484375
3510 -39201.6796875
3520 -38469.5
3530 -34859.07421875
3540 -32011.01953125
3550 -34996.60546875
3560 -37593.515625
3570 -37547.2578125
3580 -38725.66796875
3590 -39596.80859375
3600 -38222.71484375
730 -37487.76953125
740 -32890.80078125
750 -29586.025390625
760 -35210.80859375
770 -40211.3359375
780 -41327.0859375
790 -41893.2421875
800 -39916.86328125
810 -37003.23828125
820 -36059.31640625
830 -33440.66796875
840 -29560.630859375
850 -33808.484375
860 -37510.96484375
870 -41612.1328125
880 -40391.81640625
890 -37711.31640625
900 -36658.44140625
910 -35916.671875
920 -35400.31640625
930 -33820.08203125
940 -38683.9375
950 -39857.54296875
960 -42190.66015625
970 -41199.19140625
980 -37997.91015625
990 -35066
1000 -34358.4765625
1010 -33700.48046875
1020 -32245.837890625
1030 -35989.8203125
1040 -38087.46484375
1050 -37607.58984375
1060 -37517.21484375
1070 -37295.0703125
1080 -38450.5859375
1090 -37987.26171875
1100 -34419.1015625
1110 -31964.103515625
1120 -37956.48828125
1130 -39297.11328125
1140 -38009.5546875
1150 -37929.0859375
1160 -38004.28515625
1170 -36860.734375
1180 -36512.82421875
1190 -35835.58984375
1200 -33984.828125
1210 -36699.375
1220 -36867.86328125
1230 -38419.91796875
1240 -39704.61328125
1250 -39161.78125
1260 -38464.453125
1270 -38456.00390625
1280 -34570.56640625
1290 -30910.857421875
1300 -34710.3984375
1310 -36997.66796875
1320 -36911.234375
1330 -38362.31640625
1340 -39580.06640625
1350 -39380.85546875
1360 -37130.16796875
1370 -34474.5390625
1380 -32450.09375
1390 -34574.7421875
1400 -37108.73046875
1410 -38600.6640625
1420 -38620.37109375
1430 -37906.390625
1440 -37718.109375
1450 -36139.359375
1460 -33493.19140625
1470 -29614.8046875
1480 -31405.294921875
1490 -34532.20703125
1500 -37397.23046875
1510 -38570.2421875
1520 -38436.9140625
1530 -37650.18359375
1540 -36694.34375
1550 -33934.5078125
1560 -31792.751953125
1570 -37668.11328125
1580 -39692.3125
1590 -40197.7734375
1600 -38833.45703125
1610 -37111.96484375
1620 -36281.57421875
1630 -36712.1328125
1640 -34553.76171875
1650 -31602.78515625
1660 -33413.015625
1670 -37419.79296875
1680 -38017.9296875
1690 -36718.5390625
1700 -37986.28125
1710 -37342.44140625
1720 -37808.45703125
1730 -35248.87109375
1740 -32949.3984375
1750 -35266.875
1760 -35082.52734375
1770 -34199.57421875
1780 -35150.3671875
1790 -37474.1328125
1800 -39848.48046875
1810 -40566.171875
1820 -35552.1953125
1830 -31004.447265625
1840 -34357.75
1850 -36712.57421875
1860 -36358.37890625
1870 -39005.4765625
1880 -37978.59375
1890 -36791.25
1900 -34701.13671875
1910 -34426.22265625
1920 -32465.79296875
1930 -37565.48828125
1940 -37843.140625
1950 -36753.44140625
1960 -36010.19921875
1970 -37613.51953125
1980 -39439.12109375
1990 -39698.4453125
2000 -35580.0625
2010 -32537.146484375
2020 -36350.70703125
2030 -38093.68359375
2040 -40589.9609375
2050 -40503.30859375
2060 -36451.21875
2070 -36272.63671875
2080 -36625.33203125
2090 -33271.05859375
2100 -32455.193359375
2110 -38632.046875
2120 -39380.6171875
2130 -39665.1875
2140 -36983.9296875
2150 -36877.4765625
2160 -37812.28125
2170 -39406.609375
2180 -36245.7421875
2190 -31712.529296875
2200 -33878.31640625
2210 -37335.6796875
2220 -37020.12109375
2230 -35823.25
2240 -37225.42578125
2250 -37479.32421875
2260 -38398.546875
2270 -36603.6328125
2280 -33421.12890625
2290 -35242.5
2300 -36580.34375
2310 -38419.8359375
2320 -40146.23046875
2330 -40220.35546875
2340 -36242.0625
2350 -36074.03125
2360 -34247.94140625
2370 -32532.54296875
2380 -35534.4140625
2390 -37867.296875
2400 -38104.20703125
2410 -35322.41015625
2420 -33573.484375
2430 -35816.62890625
2440 -37980.19140625
2450 -37697.18359375
2460 -34824.64453125
2470 -36741.88671875
2480 -37602.84375
2490 -39070.125
2500 -41591.9609375
2510 -40961.453125
2520 -38804.1875
2530 -36697.8828125
2540 -33671.0703125
2550 -32689.90625
2560 -36722.16015625
2570 -39377.44921875
2580 -39334.17578125
2590 -39813.34375
2600 -39459.3984375
2610 -37534.671875
2620 -37153.48828125
2630 -34023.6328125
2640 -32401.4453125
2650 -36310.04296875
2660 -35923.0234375
2670 -35768.80859375
2680 -36575.4140625
2690 -39464.58984375
2700 -40178.5546875
2710 -37547.12890625
2720 -35319.125
2730 -32812.4765625
2740 -37577.6875
2750 -38177.98828125
2760 -40477.96484375
2770 -41472.80078125
2780 -42105.51171875
2790 -39088.65625
2800 -37069.703125
2810 -33071.84765625
2820 -30059.001953125
2830 -33900.37109375
2840 -37474.44140625
2850 -38584.16015625
2860 -36339.4375
2870 -36438.7734375
2880 -37088.359375
2890 -36885.98046875
2900 -34833.20703125
2910 -31140.490234375
2920 -37328.5390625
2930 -38658.1875
2940 -37421.12109375
2950 -39975.8828125
2960 -41052.05078125
2970 -39797.41015625
2980 -38106.3046875
2990 -34157.21875
3000 -30850.46484375
3010 -36403.42578125
3020 -37435.56640625
3030 -37520.46875
3040 -39484.94921875
3050 -40469.765625
3060 -41232.546875
3070 -39216.7578125
3080 -33239.94921875
3090 -30347.34375
3100 -33230.55859375
3110 -35705.265625
3120 -36694.78125
3130 -36873.3203125
3140 -35080.03125
3150 -37781.99609375
3160 -37837.1875
3170 -37105.01171875
3180 -35213.4453125
3190 -37726.23828125
3200 -36247.46484375
3210 -36035.45703125
3220 -38765.4609375
3230 -39821.10546875
3240 -40604.4765625
3250 -38190.73828125
3260 -35081.06640625
3270 -32161.673828125
3280 -34969.7109375
3290 -38987.734375
3300 -39089.1875
3310 -37930.40234375
3320 -37037.47265625
3330 -34496.19140625
3340 -33577.96875
0 -40547.43359375
10 -44438.15625
20 -37048.91796875
30 -26800.869140625
40 -29329.361328125
50 -32532.134765625
60 -33808.3046875
70 -34875.69921875
80 -36323.046875
90 -38089.17578125
100 -40554.01953125
110 -38253.1640625
120 -34522.45703125
130 -37156.61328125
140 -39158.05078125
150 -38574.71484375
160 -38824.13671875
170 -35897.05078125
180 -33309.5703125
190 -29947.93359375
200 -29903.1640625
210 -31017.802734375
220 -37563.296875
230 -39036.43359375
240 -39960.1171875
250 -41147.0078125
260 -41185.421875
270 -37579.0390625
280 -37579.72265625
290 -36744.72265625
300 -34171.49609375
310 -37601.9375
320 -41043.91015625
330 -39438.26953125
340 -37947.92578125
350 -38032.94921875
360 -39074.828125
370 -40974.375
380 -37169.62890625
390 -31794.775390625
400 -36799.046875
410 -41628.84765625
420 -42419.3125
430 -42054.9609375
440 -42095.37109375
450 -40871.68359375
