"Time Step" "point-pressure-b"
3250 -10991.2060546875
3260 -7641.4248046875
3270 -4035.953369140625
3280 -6062.8515625
3290 -9903.4541015625
3300 -9493.9970703125
3310 -8132.13671875
3320 -7308.54833984375
3330 -10244.7060546875
3340 -6483.66845703125
3350 -6945.6611328125
3360 -6706.9375
3370 -9026.9228515625
3380 -9800.9599609375
3390 -9868.505859375
3400 -6787.13720703125
3410 -7168.0068359375
3420 -11843.8173828125
3430 -10643.900390625
3440 -7992.85986328125
3450 -6917.30517578125
3460 -8065.5693359375
3470 -7553.974609375
3480 -7919.1650390625
3490 -7925.63720703125
3500 -9573.3857421875
3510 -14116.0048828125
3520 -11804.9208984375
3530 -7868.052734375
3540 -3666.76708984375
3550 -6707.4677734375
3560 -8036.015625
3570 -8341.7626953125
3580 -9371.3798828125
3590 -10607.2919921875
3600 -13928.650390625
730 -11799.009765625
740 -5943.4677734375
750 -1522.345581054688
760 -6553.70166015625
770 -11384.2470703125
780 -12028.4853515625
790 -12297.0078125
800 -10299.4677734375
810 -13469.39453125
820 -10118.4111328125
830 -5765.03857421875
840 -1435.567138671875
850 -5669.10400390625
860 -8939.2724609375
870 -12722.447265625
880 -11049.935546875
890 -8269.2578125
900 -11897.2265625
910 -9408.125
920 -8037.5087890625
930 -5660.09033203125
940 -10240.2412109375
950 -11061.5869140625
960 -13051.6103515625
970 -11604.9638671875
980 -8165.11474609375
990 -9140.08203125
1000 -7068.33544921875
1010 -7129.6669921875
1020 -3921.17822265625
1030 -7949.693359375
1040 -9149.8857421875
1050 -8293.54296875
1060 -8127.92626953125
1070 -7992.9248046875
1080 -13850.56640625
1090 -12045.603515625
1100 -6566.32861328125
1110 -3043.91357421875
1120 -9337.98828125
1130 -10647.337890625
1140 -8326.9443359375
1150 -7950.32177734375
1160 -7731.46142578125
1170 -10596.5400390625
1180 -9641.55078125
1190 -8530.181640625
1200 -5565.509765625
1210 -7964.90283203125
1220 -8053.115234375
1230 -9062.6083984375
1240 -10001.0068359375
1250 -9201.73828125
1260 -12714.8828125
1270 -11852.86328125
1280 -7788.62841796875
1290 -2883.970458984375
1300 -6616.2919921875
1310 -7937.158203125
1320 -7560.7890625
1330 -8596.23046875
1340 -10067.35546875
1350 -15395.9111328125
1360 -12127.84765625
1370 -7383.6630859375
1380 -3149.08837890625
1390 -5434.4951171875
1400 -7985.02392578125
1410 -10087.58203125
1420 -9218.95703125
1430 -8329.8154296875
1440 -13713.6181640625
1450 -9024.708984375
1460 -6407.5244140625
1470 -1204.448608398438
1480 -2767.722900390625
1490 -5233.25146484375
1500 -8191.7646484375
1510 -9045.8447265625
1520 -8701.4091796875
1530 -14185.94921875
1540 -9390.375
1550 -6189.0703125
1560 -3985.398681640625
1570 -9034.3798828125
1580 -10491.5869140625
1590 -10740.4677734375
1600 -9216.3125
1610 -7483.0732421875
1620 -11720.2646484375
1630 -9062.5458984375
1640 -6609.10302734375
1650 -3097.84814453125
1660 -4560.11669921875
1670 -8288.72265625
1680 -8330.9375
1690 -7106.712890625
1700 -7877.05712890625
1710 -11971.3935546875
1720 -11498.6533203125
1730 -7614.4091796875
1740 -5248.4609375
1750 -6996.20458984375
1760 -5699.3955078125
1770 -4891.2490234375
1780 -5136.6796875
1790 -7397.11083984375
1800 -14976.09375
1810 -14858.337890625
1820 -8299.8623046875
1830 -2603.56201171875
1840 -5146.869140625
1850 -7330.578125
1860 -6641.5654296875
1870 -9265.701171875
1880 -8458.5859375
1890 -12868.634765625
1900 -7877.4775390625
1910 -6947.09130859375
1920 -4228.685546875
1930 -9218.296875
1940 -8550.123046875
1950 -6998.9892578125
1960 -5907.302734375
1970 -7688.60107421875
1980 -14778.8662109375
1990 -12061.28515625
2000 -8017.1220703125
2010 -4041.491455078125
2020 -7735.44189453125
2030 -8910.7041015625
2040 -10883.94140625
2050 -10428.068359375
2060 -6494.12060546875
2070 -10364.8837890625
2080 -11470.109375
2090 -6092.8388671875
2100 -4052.87353515625
2110 -10195.412109375
2120 -10232.16015625
2130 -10361.0068359375
2140 -7394.95361328125
2150 -7195.90625
2160 -12719.900390625
2170 -12190.193359375
2180 -8695.154296875
2190 -3385.366455078125
2200 -6265.29736328125
2210 -8149.26220703125
2220 -7179.02490234375
2230 -6110.5634765625
2240 -7450.50634765625
2250 -13527.3798828125
2260 -13266.0380859375
2270 -9648.75
2280 -5126.24658203125
2290 -6899.82373046875
2300 -7281.73486328125
2310 -9160.5029296875
2320 -10609.7509765625
2330 -11089.169921875
2340 -11970.1318359375
2350 -10273.8857421875
2360 -6282.00927734375
2370 -3821.6767578125
2380 -6684.4326171875
2390 -8504.771484375
2400 -8647.9814453125
2410 -5647.64501953125
2420 -4180.64697265625
2430 -11988.1591796875
2440 -10923.701171875
2450 -9567.95703125
2460 -6326.61865234375
2470 -8179.494140625
2480 -8446.0234375
2490 -9231.69921875
2500 -11724.759765625
2510 -11084.8427734375
2520 -14152.76171875
2530 -9996.8779296875
2540 -6406.79443359375
2550 -4071.653076171875
2560 -8160.41845703125
2570 -10175.8681640625
2580 -9650.353515625
2590 -10712.607421875
2600 -9641.4013671875
2610 -14141.6123046875
2620 -11464.6123046875
2630 -6922.95458984375
2640 -4162.42529296875
2650 -8064.01708984375
2660 -6598.91650390625
2670 -6165.6630859375
2680 -6904.7275390625
2690 -9825.669921875
2700 -15267.6640625
2710 -10517.9521484375
2720 -7777.134765625
2730 -4573.0361328125
2740 -9061.50390625
2750 -8866.06640625
2760 -10897.45703125
2770 -11578.548828125
2780 -12634.6103515625
2790 -15148.9736328125
2800 -10323.9970703125
2810 -5494.1826171875
2820 -1608.87890625
2830 -5085.3779296875
2840 -8365.1279296875
2850 -9787.2373046875
2860 -6995.666015625
2870 -7142.00341796875
2880 -13010.8916015625
2890 -11452.6494140625
2900 -7167.69677734375
2910 -2703.585693359375
2920 -8297.3037109375
2930 -9223.0703125
2940 -7860.9921875
2950 -10266.65625
2960 -11163.4072265625
2970 -13865.291015625
2980 -10082.3134765625
2990 -6387.05712890625
3000 -2757.85986328125
3010 -7900.2021484375
3020 -8162.048828125
3030 -8434.8046875
3040 -10146.26171875
3050 -11262.8349609375
3060 -17316.927734375
3070 -13151.5048828125
3080 -5429.99658203125
3090 -2288.265869140625
3100 -4174.1904296875
3110 -6639.73291015625
3120 -7345.95166015625
3130 -7542.994140625
3140 -5992.173828125
3150 -13368.591796875
3160 -12033.8134765625
3170 -9762.0185546875
3180 -7004.822265625
3190 -8789.255859375
3200 -6878.583984375
3210 -5809.64501953125
3220 -8798.935546875
3230 -9897.4052734375
3240 -15683.59375
3250 -10987.0810546875
3260 -7644.06591796875
3270 -4036.362060546875
3280 -6086.34521484375
3290 -9913.9453125
3300 -9500.0234375
3310 -8145.21240234375
3320 -7333.47900390625
3330 -10244.6494140625
3340 -6477.1083984375
0 -11269.1767578125
10 -17095.4921875
20 -9809.5
30 1562.2783203125
40 -230.6344146728516
50 -3091.243408203125
60 -4182.55712890625
70 -5093.8876953125
80 -6137.0791015625
90 -11903.802734375
100 -15352.2021484375
110 -11613.904296875
120 -7093.53466796875
130 -8819.951171875
140 -9273.4853515625
150 -8282.2236328125
160 -8413.4873046875
170 -5444.43896484375
180 -7074.15283203125
190 -3155.091552734375
200 -2429.57177734375
210 -2217.570068359375
220 -8797.4501953125
230 -10146.90234375
240 -10986.1123046875
250 -11959.3759765625
260 -11854.4130859375
270 -10931.33984375
280 -13081.8095703125
290 -8818.642578125
300 -5722.2119140625
310 -9196.04296875
320 -11846.380859375
330 -10321.326171875
340 -7799.130859375
350 -8297.15625
360 -13596.96875
370 -15000.8818359375
380 -10459.1015625
390 -3418.42822265625
400 -7946.3974609375
410 -12879.376953125
420 -13473.7060546875
430 -12820.5966796875
440 -12871.388671875
450 -14375.736328125
460 -14976.7939453125
470 -9156.0283203125
480 -6727.3857421875
490 -11306.65625
500 -10443.3994140625
510 -10641.81640625
520 -12499.66015625
530 -12731.802734375
