"Time Step" "point-pressure-d"
3250 -7101.8857421875
3260 -5564.029296875
3270 -2837.46826171875
3280 -4539.21533203125
3290 -8353.0625
3300 -8121.02685546875
3310 -6813.2197265625
3320 -6505.7763671875
3330 -4012.02978515625
3340 -3119.390869140625
3350 -5107.5556640625
3360 -5576.50634765625
3370 -7641.30859375
3380 -7827.767578125
3390 -8816.0859375
3400 -5802.8388671875
3410 -5900.01953125
3420 -5367.1611328125
3430 -5838.0625
3440 -6290.26416015625
3450 -5388.845703125
3460 -6777.3369140625
3470 -6311.81103515625
3480 -6822.619140625
3490 -6622.5595703125
3500 -8098.7548828125
3510 -7921.5400390625
3520 -7489.5576171875
3530 -5727.609375
3540 -3847.05322265625
3550 -5194.83935546875
3560 -7423.73291015625
3570 -7509.78662109375
3580 -7899.59375
3590 -8400.041015625
3600 -7020.107421875
730 -7009.1962890625
740 -4751.439453125
750 -1251.704345703125
760 -5185.939453125
770 -9333.453125
780 -10271.837890625
790 -10647.720703125
800 -8639.271484375
810 -5946.8662109375
820 -5650.3564453125
830 -5072.0087890625
840 -1243.0947265625
850 -4734.35546875
860 -6961.9404296875
870 -11141.958984375
880 -9365.25390625
890 -6858.46875
900 -6223.6337890625
910 -5394.7744140625
920 -6530.7763671875
930 -4546.873046875
940 -8653.73828125
950 -9618.7890625
960 -10992.3955078125
970 -10056.486328125
980 -7569.4990234375
990 -4774.794921875
1000 -4126.4990234375
1010 -4555.59521484375
1020 -3149.11767578125
1030 -6306.6689453125
1040 -8229.0888671875
1050 -7060.5830078125
1060 -6941.294921875
1070 -6296.7080078125
1080 -7029.541015625
1090 -7420.3974609375
1100 -5840.0673828125
1110 -2628.931396484375
1120 -8067.5615234375
1130 -9202.595703125
1140 -7544.9375
1150 -7162.03955078125
1160 -7218.369140625
1170 -5919.49169921875
1180 -5805.12109375
1190 -6526.41455078125
1200 -4625.61181640625
1210 -6774.1689453125
1220 -6649.14306640625
1230 -7709.98291015625
1240 -8275.7861328125
1250 -7504.14453125
1260 -7118.44140625
1270 -7394.31494140625
1280 -5549.4091796875
1290 -1867.05322265625
1300 -5721.5224609375
1310 -6762.5107421875
1320 -6441.5400390625
1330 -7490.6826171875
1340 -7778.6083984375
1350 -7596.8857421875
1360 -5930.158203125
1370 -4805.345703125
1380 -3460.291748046875
1390 -4384.12890625
1400 -6699.55615234375
1410 -7741.81396484375
1420 -7491.84912109375
1430 -6917.47412109375
1440 -6815.5537109375
1450 -5740.5068359375
1460 -4424.5693359375
1470 -1228.855712890625
1480 -2733.86376953125
1490 -4454.33349609375
1500 -6243.59765625
1510 -7456.6572265625
1520 -7248.4111328125
1530 -6596.03515625
