"Time Step" "point-pressure-e"
3250 -4226.1904296875
3260 -4618.50927734375
3270 -4853.5107421875
3280 -4663.4423828125
3290 -4143.7568359375
3300 -3852.815185546875
3310 -4230.26318359375
3320 -4542.96484375
3330 -4539.2236328125
3340 -4302.046875
3350 -4606.408203125
3360 -4683.1455078125
3370 -4271.58203125
3380 -4345.73388671875
3390 -4289.32470703125
3400 -4672.23095703125
3410 -5161.794921875
3420 -4590.884765625
3430 -4316.96875
3440 -4607.07666015625
3450 -4597.00634765625
3460 -4482.64697265625
3470 -4614.50439453125
3480 -4463.85009765625
3490 -5042.1201171875
3500 -4689.30810546875
3510 -4221.92529296875
3520 -4069.409423828125
3530 -4804.92041015625
3540 -4642.552734375
3550 -4251.05322265625
3560 -4297.9990234375
3570 -3936.31982421875
3580 -4912.89306640625
3590 -4326.9423828125
3600 -4044.856689453125
730 -4942.75830078125
740 -4667.83935546875
750 -4290.62744140625
760 -4194.7529296875
770 -4298.5478515625
780 -4560.64599609375
790 -5149.998046875
800 -4870.49560546875
810 -4587.2548828125
820 -4766.6494140625
830 -5038.185546875
840 -4537.9697265625
850 -3954.841552734375
860 -4299.767578125
870 -4938.22412109375
880 -5291.40234375
890 -5220.82763671875
900 -5067.6806640625
910 -5057.26416015625
920 -5217.2470703125
930 -4954.87841796875
940 -4781.7880859375
950 -4670.275390625
960 -4842.23486328125
970 -5253.58740234375
980 -5415.4697265625
990 -5295.1826171875
1000 -4825.69775390625
1010 -4916.53369140625
1020 -5039.146484375
1030 -4558.6142578125
1040 -4796.251953125
1050 -5022.8916015625
1060 -4984.2578125
1070 -4948.39306640625
1080 -4582.42333984375
1090 -4526.85009765625
1100 -4922.77880859375
1110 -5320.2412109375
1120 -4487.111328125
1130 -4184.822265625
1140 -4075.3955078125
1150 -4177.9658203125
1160 -4317.20849609375
1170 -4255.078125
1180 -4435.89501953125
1190 -4377.14794921875
1200 -4539.40966796875
1210 -4398.390625
1220 -3898.404296875
1230 -4317.22021484375
1240 -4685.8310546875
1250 -4553.6005859375
1260 -4286.60986328125
1270 -4351.27734375
1280 -4519.431640625
1290 -4204.84326171875
1300 -4134.72998046875
1310 -4086.139404296875
1320 -3922.5634765625
1330 -4149.63525390625
1340 -4593.15673828125
1350 -4397.568359375
1360 -4448.53173828125
1370 -4640.78369140625
1380 -4227.13916015625
1390 -4094.213623046875
1400 -4008.3251953125
1410 -3950.24365234375
1420 -4909.18994140625
1430 -4308.330078125
1440 -4582.427734375
1450 -4843.36279296875
1460 -4998.587890625
1470 -4539.0869140625
1480 -4084.6279296875
1490 -4347.92138671875
1500 -4328.255859375
1510 -4134.78173828125
1520 -3840.645263671875
1530 -4391.85693359375
1540 -5004.16162109375
1550 -4879.02783203125
1560 -4636.2626953125
