"Time Step" "mass-flux"
7610 -1.777622701121251e-07
7620 -2.037687059086579e-07
7630 -2.629670448339727e-07
7640 -3.200118837559662e-07
7650 -3.103531166920304e-07
7660 -2.179858528406076e-07
7670 -3.289402314837764e-07
7680 -8.736774215201137e-08
7690 -2.424062861966503e-07
7700 -2.329748239882079e-07
7710 -3.896446754414473e-07
7720 -2.885590156265216e-07
7730 -2.335274662951248e-07
7740 -1.58767539615301e-07
7750 -3.278271049761416e-07
7760 -2.602795137474079e-07
7770 -1.819288261845076e-07
7780 -1.848348448463266e-07
7790 -2.79813190187661e-07
7800 -3.803796346651955e-07
7810 -2.926232591099476e-07
7820 7.81970166396917e-09
7830 -4.531046158134933e-07
7840 -1.500294849882122e-07
7850 -3.936863866155216e-07
7860 -3.159230081706266e-07
7870 -5.885822193518742e-08
7880 -2.289376709457835e-07
7890 -2.634215139907248e-07
7900 -3.773021525349529e-07
7910 -1.879635337653784e-07
7920 -3.146116143576405e-07
7930 -1.830520040269068e-07
7940 -6.084661545585623e-07
7950 -4.142203598178629e-08
7960 -1.970240508519794e-07
7970 -1.02592623826836e-07
7980 -3.56442793891798e-08
7990 -2.318794556921411e-07
8000 -1.574353179212284e-07
6210 3.686513261325075e-09
6220 -4.562640101013482e-07
6230 -2.89636394812387e-07
6240 -1.862457673779128e-07
6250 8.247917721027065e-08
6260 -5.955763224263499e-07
6270 -7.976724868130614e-08
6280 -5.691751320535676e-07
6290 -1.51560671568518e-07
6300 -1.130953471983887e-07
6310 -4.218332100569544e-07
6320 -1.17899999929616e-07
6330 -1.521970205003997e-07
6340 1.449833383904142e-07
6350 -2.667636051223443e-07
6360 6.584024811462363e-09
6370 -4.521643395538621e-07
6380 -1.56232336082085e-07
6390 -2.688417408691635e-07
6400 -3.804209057767238e-07
6410 -9.709807080593436e-08
6420 -4.191581830514934e-07
6430 -2.150731152894547e-08
6440 -3.852948213395324e-07
6450 -5.894267318257151e-07
6460 -4.223371580236446e-08
6470 -3.835202787016989e-07
6480 -4.388095737467568e-07
6490 1.346681363645352e-08
6500 -1.561728774496229e-07
6510 8.4607553824112e-08
6520 -9.265003457492593e-08
6530 -3.22131382943236e-07
6540 -1.660590011609564e-07
