"Time Step" "point-gw-a"
0 3.00940009765327e-05
10 3.009190550073981e-05
20 3.010342516063247e-05
30 3.012675551872235e-05
40 3.016219307028223e-05
50 3.02115804515779e-05
60 3.027578168257605e-05
70 3.035597364942078e-05
80 3.04542754747672e-05
90 3.057204230572097e-05
100 3.071176615776494e-05
110 3.087660297751427e-05
120 3.106923759332858e-05
130 3.129179458483122e-05
140 3.154478326905519e-05
150 3.182753425789997e-05
160 3.213879244867712e-05
170 3.247715721954592e-05
180 3.284062040620483e-05
190 3.322293923702091e-05
200 3.36200937454123e-05
210 3.402886068215594e-05
220 3.444603134994395e-05
230 3.486995046841912e-05
240 3.529991226969287e-05
250 3.573531648726203e-05
260 3.617702896008268e-05
270 3.662938252091408e-05
280 3.709326119860634e-05
290 3.756398291443475e-05
300 3.803978324867785e-05
310 3.852404915960506e-05
320 3.901734453393146e-05
330 3.951998587581329e-05
340 4.003436333732679e-05
350 4.056697434862144e-05
360 4.112160240765661e-05
370 4.170027386862785e-05
380 4.230692138662562e-05
390 4.294365498935804e-05
400 4.360860111773945e-05
410 4.429759064805694e-05
420 4.500515569816343e-05
430 4.572725083562545e-05
440 4.6461311285384e-05
450 4.720620199805126e-05
460 4.796198118128814e-05
470 4.873154102824628e-05
480 4.951720984536223e-05
490 5.032041008234955e-05
500 5.114197847433388e-05
510 5.198100188863464e-05
520 5.283710561343469e-05
530 5.371541919885203e-05
540 5.462131230160594e-05
550 5.555234747589566e-05
560 5.650373714161105e-05
570 5.746733222622424e-05
580 5.843085455126129e-05
590 5.938652611803263e-05
600 6.03243061050307e-05
610 6.123274943092838e-05
620 6.209859566297382e-05
630 6.29088026471436e-05
640 6.365774606820196e-05
650 6.43406601739116e-05
660 6.495423440355808e-05
670 6.549518002429977e-05
680 6.596371531486511e-05
690 6.636228499701247e-05
700 6.669506547041237e-05
710 6.69683504384011e-05
720 6.719151861034334e-05
730 6.737336661899462e-05
740 6.75195551593788e-05
750 6.763374403817579e-05
760 6.771904008928686e-05
770 6.77793868817389e-05
780 6.781697447877377e-05
790 6.783186108805239e-05
800 6.78228898323141e-05
810 6.778668466722593e-05
820 6.772158667445183e-05
830 6.762339035049081e-05
840 6.748924351995811e-05
850 6.731772009516135e-05
860 6.711143942084163e-05
870 6.687321001663804e-05
880 6.660888175247237e-05
890 6.633496377617121e-05
900 6.605962698813528e-05
910 6.578290776815265e-05
920 6.550356920342892e-05
930 6.521862087538466e-05
940 6.492600368801504e-05
950 6.462342571467161e-05
960 6.430758367059752e-05
970 6.397540710167959e-05
980 6.362477870425209e-05
990 6.325521826511249e-05
1000 6.286548159550875e-05
1010 6.245429540285841e-05
1020 6.202116492204368e-05
1030 6.156610470497981e-05
1040 6.108806701377034e-05
1050 6.058602230041288e-05
1060 6.006021067150868e-05
1070 5.951198181719519e-05
1080 5.894375863135792e-05
1090 5.83557048230432e-05
1100 5.775005047325976e-05
1110 5.712818165193312e-05
1120 5.649173544952646e-05
1130 5.584377140621655e-05
1140 5.518825128092431e-05
1150 5.452699406305328e-05
