"Time Step" "point-pressure-a"
0 -40251.484375
10 -45691.9453125
20 -45255.69140625
30 -44736.65625
40 -43842.79296875
50 -42926.44921875
60 -41738.796875
70 -40173.09375
80 -38466.3046875
90 -36383.31640625
100 -33633.54296875
110 -30946.490234375
120 -28339.478515625
130 -26449.546875
140 -25867.005859375
150 -26155.267578125
160 -26573.64453125
170 -26830.29296875
180 -27768.759765625
190 -30397.2890625
200 -31627.07421875
210 -31004.931640625
220 -30460.724609375
230 -30475.48046875
240 -30931.025390625
250 -31217.435546875
260 -31348.234375
270 -31676.662109375
280 -32063.189453125
290 -32648.1484375
300 -33370.41015625
310 -33912.0546875
320 -34372.15234375
330 -34741.4921875
340 -34897.4453125
350 -34915.32421875
360 -34842.55078125
370 -34916.34375
380 -35195.98828125
390 -35402.6796875
400 -35599.76171875
410 -36593.50390625
420 -38223.953125
430 -39497.859375
440 -40405.75
450 -41052.94140625
460 -41432.55859375
470 -41238.6875
480 -40280.09765625
490 -38549.2734375
500 -36996.359375
510 -35668.9375
520 -34311.40234375
530 -33188.06640625
540 -32696.11328125
550 -32646.26953125
560 -33065.12109375
570 -33929.2265625
580 -34988.70703125
590 -34863.5546875
600 -34720.609375
610 -34971.94140625
620 -35531.5078125
630 -35632.4140625
640 -35309.234375
650 -34510.4765625
660 -34190.3125
670 -34298.78515625
680 -35290.63671875
690 -36460.0625
700 -37700.26171875
710 -38520.328125
720 -39355.82421875
730 -39867.09375
740 -40154.13671875
750 -39873.05078125
760 -39789.41015625
770 -39012.45703125
780 -38265.78515625
790 -38012.6796875
800 -38069.6484375
810 -38585.09375
820 -39569.125
830 -39893.921875
840 -39644.5
850 -38739.80859375
860 -37115.4375
870 -35240.453125
880 -34923.6796875
890 -35070.96484375
900 -34910.6328125
910 -34658.5
920 -34550.4375
930 -34775.28125
940 -35611.6640625
950 -35823.890625
960 -36492.3671875
970 -37971.01171875
980 -39346.32421875
990 -39729.27734375
1000 -39444.43359375
1010 -38484.61328125
1020 -38902.61328125
1030 -38952.66015625
1040 -38635.41796875
1050 -38421.43359375
1060 -38680.83984375
1070 -39828.75390625
1080 -40678.015625
1090 -40703.5546875
1100 -41161.1328125
1110 -41871.546875
1120 -41901.25390625
1130 -41106.81640625
1140 -40246.3515625
1150 -40252.48046875
1160 -40840.08984375
1170 -40804.265625
1180 -40266.28515625
1190 -40657.4375
1200 -41204.6328125
1210 -40992.265625
1220 -40659.74609375
1230 -40621.84375
1240 -40943.16015625
1250 -41050.73046875
1260 -41416.390625
1270 -42382.39453125
1280 -43038.69140625
1290 -42353.59765625
1300 -41753.89453125
1310 -40702.42578125
1320 -38589.9765625
1330 -36545.33984375
1340 -36487.9609375
1350 -35785.109375
1360 -36605.37109375
1370 -38017.11328125
1380 -39550.44140625
1390 -39973.4453125
1400 -39013.95703125
1410 -38321.22265625
1420 -39118.65625
1430 -40213.09765625
1440 -40694.359375
1450 -41221.6484375
1460 -41553.1953125
1470 -40740.9375
1480 -39527.78125
1490 -38802.3828125
1500 -38482.8203125
1510 -39123.78125
1520 -39859.77734375
1530 -39842.46875
1540 -40107.8671875
1550 -39548.2734375
1560 -38556.89453125
1570 -38577.6171875
1580 -38488.76171875
1590 -38608.390625
