"Time Step" "point-pressure-b"
7610 -13222.53515625
7620 -13339.3173828125
7630 -16632.099609375
7640 -17109.416015625
7650 -16784.494140625
7660 -14436.0625
7670 -12193.232421875
7680 -14096.26953125
7690 -11334.427734375
7700 -9357.0517578125
7710 -8210.21484375
7720 -5743.13232421875
7730 -4228.9462890625
7740 -6591.6435546875
7750 -4689.767578125
7760 -6929.56640625
7770 -9050.9677734375
7780 -9545.2158203125
7790 -10324.8515625
7800 -9995.1767578125
7810 -9710.14453125
7820 -8033.2216796875
7830 -8358.318359375
7840 -9742.0419921875
7850 -8562.68359375
7860 -8735.6455078125
7870 -8074.6982421875
7880 -8223.3935546875
7890 -8725.494140625
7900 -9470.6552734375
7910 -9353.712890625
7920 -9796.568359375
7930 -10682.8759765625
7940 -10592.4921875
7950 -11240.4482421875
7960 -11189.10546875
7970 -11668.1533203125
7980 -12611.5263671875
7990 -14572.21875
8000 -20209.384765625
6210 -8438.2294921875
6220 -9801.365234375
6230 -11728.7333984375
6240 -11447.9970703125
6250 -11399.90234375
6260 -11598.576171875
6270 -12376.73828125
6280 -13066.95703125
6290 -13199.8330078125
6300 -13359.5205078125
6310 -13552.13671875
6320 -13503.38671875
6330 -13586.1728515625
6340 -12582.875
6350 -10176.4091796875
6360 -9029.158203125
6370 -8986.7724609375
6380 -10932.494140625
6390 -14299.029296875
6400 -15051.732421875
6410 -10047.6708984375
6420 -8936.90234375
6430 -13078.0537109375
6440 -11016.666015625
6450 -9771.296875
6460 -10459.1181640625
6470 -10087.6171875
6480 -11872.44921875
6490 -11470.9912109375
6500 -9236.1015625
6510 -7347.5947265625
6520 -7750.8779296875
6530 -5867.4638671875
6540 -6548.203125
6550 -7110.837890625
6560 -5513.03466796875
6570 -6631.7958984375
6580 -8017.16455078125
6590 -9244.5341796875
6600 -9536.7900390625
6610 -9251.7265625
6620 -8975.578125
6630 -9703.3447265625
6640 -10262.7861328125
6650 -11858.28515625
6660 -12504.703125
6670 -13594.16015625
6680 -13895.7470703125
6690 -13225.76171875
6700 -12755.03125
6710 -12579.4130859375
6720 -11243.8916015625
6730 -9355.291015625
6740 -9004.904296875
6750 -9540.9296875
6760 -10162.640625
6770 -10642.728515625
6780 -11689.0166015625
6790 -14367.5244140625
6800 -14571.525390625
6810 -15879.00390625
6820 -14018.56640625
6830 -13839.369140625
6840 -13714.4111328125
6850 -12223.3818359375
6860 -12266.16015625
6870 -10394.009765625
6880 -9592.78125
6890 -7158.8466796875
6900 -6158.58984375
6910 -4774.8798828125
6920 -5262.33984375
6930 -7386.138671875
6940 -6705.5625
6950 -6694.92333984375
6960 -5710.4326171875
6970 -5955.3896484375
6980 -6452.70361328125
6990 -8290.8466796875
7000 -8978.14453125
7010 -10138.7216796875
7020 -10361.623046875
7030 -10192.732421875
7040 -9936.5390625
7050 -9732.140625
7060 -10597.3359375
7070 -10873.2216796875
7080 -10115.943359375
7090 -9519.1591796875
7100 -10771.736328125
7110 -9815.103515625
7120 -10190.158203125
7130 -9815.87890625
7140 -9055.5400390625
7150 -10903.744140625
7160 -11598.46484375
7170 -11862.4208984375
7180 -13467.5751953125
7190 -16434.455078125
7200 -17171.82421875
7210 -17892.677734375
7220 -16915.673828125
7230 -18332.357421875
7240 -17832.603515625
7250 -13988.1640625
7260 -10858.7763671875
7270 -10495.267578125
7280 -9515.095703125
7290 -9009.0615234375
7300 -9924.009765625
7310 -9790.884765625
7320 -7120.00048828125
7330 -5454.6962890625
7340 -5872.708984375
7350 -6743.25244140625
7360 -7513.759765625
7370 -8072.369140625
7380 -8225.1064453125
7390 -8681.1435546875
7400 -10206.1171875
7410 -9755.5703125
7420 -9017.02734375
7430 -8590.8447265625
7440 -7513.59375
7450 -7497.39599609375
7460 -8107.5361328125
7470 -10089.77734375
7480 -9924.8310546875
7490 -11957.55078125
7500 -13408.615234375
7510 -12961.8955078125
7520 -13196.75390625
7530 -12061.396484375
7540 -12259.28125
7550 -10896.7529296875
7560 -9390.3994140625
7570 -9814.3427734375
7580 -10218.33203125
7590 -11420.5302734375
7600 -15261.0166015625
7610 -13084.1044921875
7620 -13340.580078125
7630 -16751.56640625
7640 -16890.744140625
7650 -16737.96875
7660 -14317.3203125
7670 -12117.4521484375
7680 -14067.56640625
7690 -11279.8935546875
4410 -20596.27734375
4420 -20365.791015625
4430 -20875.513671875
4440 -15404.7685546875
4450 -14335.8564453125
4460 -12217.890625
4470 -11094.9267578125
4480 -10386.4892578125
4490 -10010.18359375
4500 -9761.419921875
4510 -9081.103515625
4520 -7541.46337890625
4530 -6182.53515625
4540 -5857.33740234375
4550 -6378.7490234375
4560 -6917.87451171875
4570 -7407.5927734375
4580 -7209.50927734375
4590 -7671.396484375
4600 -9742.244140625
4610 -9879.2607421875
4620 -9632.0283203125
4630 -10160.1279296875
4640 -10371.0869140625
4650 -9770.3828125
4660 -10277.1943359375
4670 -10346.4716796875
4680 -11066.0810546875
4690 -10954.255859375
4700 -9734.943359375
4710 -9213.31640625
4720 -9392.0830078125
4730 -9086.96484375
4740 -8350.6953125
4750 -8291.287109375
4760 -9416.67578125
4770 -9924.0322265625
4780 -10011.5966796875
4790 -13457.5859375
4800 -16903.921875
4810 -14221.3759765625
4820 -12899.998046875
4830 -14702.0234375
4840 -13628.791015625
4850 -13213.61328125
4860 -12563.380859375
4870 -11200.02734375
4880 -9456.328125
4890 -8455.2021484375
4900 -8437.1650390625
4910 -8586.4462890625
4920 -8121.2451171875
4930 -8354.1123046875
4940 -8317.35546875
4950 -8734.2978515625
4960 -8929.474609375
4970 -10027.48828125
4980 -10641.4013671875
4990 -10619.32421875
5000 -10386.744140625
5010 -11612.1591796875
5020 -12266.6318359375
5030 -11885.59765625
5040 -11958.234375
5050 -12474.3388671875
5060 -12717.8681640625
5070 -12800.0869140625
5080 -13300.17578125
5090 -14056.7822265625
5100 -14674.55078125
5110 -15233.6689453125
5120 -14975.208984375
5130 -14636.4072265625
5140 -12957.15234375
5150 -11294.1884765625
5160 -9950.466796875
5170 -9412.6884765625
5180 -10424.8017578125
5190 -13507.78125
5200 -15057.4228515625
5210 -16390.76953125
5220 -11433.4404296875
5230 -13056.154296875
5240 -13137.6669921875
5250 -13257.3056640625
5260 -11734.6806640625
5270 -10148.994140625
5280 -11015.40625
5290 -9954.2958984375
5300 -9084.8017578125
5310 -5552.06494140625
5320 -5848.484375
5330 -8135.75732421875
5340 -6129.0791015625
5350 -6595.41015625
5360 -6483.8271484375
5370 -7245.77294921875
5380 -6757.501953125
5390 -8414.548828125
5400 -10357.9775390625
5410 -12296.0830078125
5420 -11931.7978515625
5430 -12129.8115234375
5440 -11549.265625
5450 -11618.7265625
5460 -10965.583984375
5470 -11080.703125
5480 -11052.7392578125
5490 -10557.669921875
5500 -9464.90625
5510 -9084.6240234375
5520 -8082.29345703125
5530 -7602.4765625
5540 -7265.41357421875
5550 -7508.77392578125
5560 -6678.435546875
5570 -7333.041015625
5580 -9317.7802734375
5590 -11805.1728515625
5600 -14119.6748046875
