"Time Step" "point-pressure-c"
7610 -13172.4296875
7620 -11418.373046875
7630 -11948.337890625
7640 -12998.95703125
7650 -14752.814453125
7660 -13554.52734375
7670 -13176.998046875
7680 -12122.8515625
7690 -10619.619140625
7700 -9326.6220703125
7710 -8174.2841796875
7720 -7139.27490234375
7730 -7034.10546875
7740 -7085.5478515625
7750 -6245.22607421875
7760 -5893.6611328125
7770 -6116.591796875
7780 -6721.04443359375
7790 -7968.29150390625
7800 -8176.61376953125
7810 -9264.751953125
7820 -7980.21142578125
7830 -8335.4833984375
7840 -7885.2392578125
7850 -7770.79248046875
7860 -8421.4091796875
7870 -7779.68505859375
7880 -8423.59765625
7890 -9664.578125
7900 -9751.65234375
7910 -9409.232421875
7920 -9716.90234375
7930 -10505.7099609375
7940 -10133.646484375
7950 -10193.935546875
7960 -10816.9443359375
7970 -11356.95703125
7980 -11774.5693359375
7990 -12570.12109375
8000 -12929.9501953125
6210 -7342.4267578125
6220 -8878.25
6230 -10990.4111328125
6240 -11603.1181640625
6250 -11871.2998046875
6260 -12032.8701171875
6270 -12542.8447265625
6280 -13005.1806640625
6290 -13536.5947265625
6300 -13667.8583984375
6310 -13631.4580078125
6320 -13208.7158203125
6330 -12128.5166015625
6340 -10783.314453125
6350 -10341.322265625
6360 -9872.763671875
6370 -9960.7490234375
6380 -11072.8115234375
6390 -11820.7158203125
6400 -10971.9033203125
6410 -8876.828125
6420 -10443.720703125
6430 -13315.3525390625
6440 -13032.806640625
6450 -9895.0625
6460 -10663.2958984375
6470 -10852.916015625
6480 -11706.2490234375
6490 -12061.025390625
6500 -10642.0078125
6510 -7746.76416015625
6520 -6955.662109375
6530 -6257.8896484375
6540 -5824.8681640625
6550 -7551.30126953125
6560 -6276.02978515625
6570 -5635.44970703125
6580 -7498.484375
6590 -8535.111328125
6600 -9564.35546875
6610 -9960.072265625
6620 -9710.181640625
6630 -10399.1171875
6640 -10361.1142578125
6650 -11520.677734375
6660 -12219.61328125
6670 -12428.705078125
6680 -12937.1328125
6690 -15157.92578125
6700 -14049.8837890625
6710 -12676.064453125
6720 -11398.7822265625
6730 -10444.6357421875
6740 -9525.927734375
6750 -10647.810546875
6760 -10602.2177734375
6770 -12824.0107421875
6780 -12339.64453125
6790 -13101.1611328125
6800 -13235.791015625
6810 -12139.216796875
6820 -15570.2294921875
6830 -11713.4404296875
6840 -11829.9638671875
6850 -13851.6357421875
6860 -14095.5703125
6870 -12642.76171875
6880 -8946.6259765625
6890 -7572.92041015625
6900 -6377.77099609375
6910 -4570.07470703125
6920 -4173.86572265625
6930 -4461.01806640625
6940 -5302.2783203125
6950 -6315.17041015625
6960 -5041.85546875
6970 -5225.4033203125
6980 -6783.61181640625
6990 -8494.2294921875
7000 -9042.689453125
7010 -9896.5615234375
7020 -10488.2919921875
7030 -10032.84375
7040 -9672.4248046875
7050 -9310.98828125
7060 -10187.0361328125
7070 -11617.0048828125
7080 -12573.451171875
7090 -10743.041015625
7100 -9932.1650390625
7110 -9913.9658203125
7120 -10482.736328125
7130 -10151.501953125
7140 -9428.05078125
7150 -10893.63671875
7160 -12406.3349609375
7170 -14089.8173828125
7180 -15330.6005859375
7190 -14893.958984375
7200 -15137.2353515625
7210 -19112.3671875
7220 -14407.8359375
7230 -12426.8291015625
7240 -12611.0595703125
7250 -12089.0185546875
7260 -10716.0546875
7270 -9792.05078125
7280 -8918.583984375
7290 -9343.53125
7300 -8583.9228515625
7310 -6749.77734375
7320 -5788.6171875
7330 -5520.634765625
7340 -6723.06201171875
7350 -6990.28759765625
7360 -7880.6533203125
7370 -8044.62158203125
7380 -8456.900390625
7390 -8203.119140625
7400 -9900.1201171875
7410 -9934.0986328125
7420 -8982.390625
7430 -8674.90234375
7440 -8405.9833984375
7450 -8643.349609375
7460 -8972.005859375
7470 -9230.0859375
7480 -10626.28125
7490 -12638.1474609375
7500 -13392.9130859375
7510 -13567.6162109375
7520 -13336.6953125
7530 -12448.06640625
7540 -11712.9208984375
7550 -11419.1103515625
7560 -10477.5458984375
7570 -10414.130859375
7580 -10747.3525390625
7590 -11799.27734375
7600 -13756.54296875
7610 -13048.634765625
7620 -11421.966796875
7630 -12065.53515625
7640 -12794.5751953125
7650 -14704.763671875
7660 -13445.9453125
7670 -13113.6328125
7680 -12093.9287109375
7690 -10563.630859375
4410 -14126.2080078125
4420 -13816.3046875
4430 -16066.44140625
4440 -14383.2744140625
4450 -14761.54296875
4460 -13796.453125
4470 -12400.3125
4480 -9857.26953125
4490 -9493.0732421875
4500 -7110.58642578125
4510 -8088.712890625
4520 -6975.962890625
4530 -6585.990234375
4540 -7753.392578125
4550 -7186.0947265625
4560 -6607.29052734375
4570 -6423.3603515625
4580 -7216.30224609375
4590 -7836.6845703125
4600 -9305.8486328125
4610 -10079.4853515625
4620 -9673.9853515625
4630 -9695.482421875
4640 -9734.19921875
4650 -9734.1162109375
4660 -10293.6162109375
4670 -10638.5146484375
4680 -12000.556640625
4690 -11410.92578125
4700 -9768.75390625
4710 -9600.033203125
4720 -10163.1298828125
4730 -9764.787109375
4740 -9455.7412109375
4750 -9758.0654296875
4760 -9864.455078125
4770 -10280.3369140625
4780 -11620.86328125
4790 -13782.4072265625
4800 -18041.791015625
4810 -18103.708984375
4820 -14060.3212890625
4830 -17332.41015625
4840 -14498.7236328125
4850 -12886.0087890625
4860 -12063.2890625
4870 -11504.001953125
4880 -10953.6298828125
4890 -9731.986328125
4900 -8720.7548828125
4910 -8866.4013671875
4920 -8138.0625
4930 -7654.6083984375
4940 -8103.19140625
4950 -7972.48193359375
4960 -7928.58154296875
4970 -8197.55078125
4980 -9150.052734375
4990 -10060.1337890625
5000 -11232.6533203125
5010 -12424.4609375
5020 -13420.03125
5030 -12294.3251953125
5040 -12576.4140625
5050 -13007.220703125
5060 -13428.234375
5070 -13496.931640625
5080 -13797.12890625
5090 -14128.7802734375
5100 -14615.46484375
5110 -14966.7421875
5120 -14407.5478515625
5130 -13855.3720703125
5140 -13464.115234375
5150 -12138.41015625
5160 -11204.546875
5170 -11050.443359375
5180 -11601.8505859375
5190 -12753.146484375
5200 -12737.7568359375
5210 -17948.5234375
5220 -10787.412109375
5230 -11572.623046875
5240 -13093.990234375
5250 -13123.404296875
5260 -11884.3974609375
5270 -12127.4619140625
5280 -11186.4404296875
5290 -9868.6220703125
