"Time Step" "point-pressure-d"
7610 -8354.802734375
7620 -8668.7880859375
7630 -9358.6689453125
7640 -10106.19140625
7650 -9995.326171875
7660 -9936.50390625
7670 -9455.1484375
7680 -9556.125
7690 -9185.8076171875
7700 -8562.4912109375
7710 -7724.65380859375
7720 -6330.4345703125
7730 -5360.47021484375
7740 -5499.814453125
7750 -5470.25390625
7760 -5587.83447265625
7770 -5560.853515625
7780 -6261.5341796875
7790 -7909.65380859375
7800 -8148.3818359375
7810 -9352.251953125
7820 -8728.2724609375
7830 -8551.9765625
7840 -8414.375
7850 -7973.00830078125
7860 -8268.806640625
7870 -8487.763671875
7880 -9502.6357421875
7890 -9223.6767578125
7900 -9597.251953125
7910 -9742.81640625
7920 -9501.3388671875
7930 -9761.3916015625
7940 -9907.1005859375
7950 -9730.1748046875
7960 -9899.5234375
7970 -9443.587890625
7980 -9105.642578125
7990 -8523.525390625
8000 -8740.826171875
6210 -7215.03173828125
6220 -8369.83203125
6230 -10070.83203125
6240 -10918.74609375
6250 -11890.5791015625
6260 -12135.4765625
6270 -13385.76953125
6280 -13948.978515625
6290 -13220.775390625
6300 -12801.6767578125
6310 -12499.65234375
6320 -12530.5244140625
6330 -11790.9541015625
6340 -11452.9375
6350 -10283.724609375
6360 -8804.8193359375
6370 -8438.73046875
6380 -8704.7529296875
6390 -8288.451171875
6400 -7508.8583984375
6410 -7124.22998046875
6420 -6748.93115234375
6430 -6619.04736328125
6440 -6365.00439453125
6450 -5888.10693359375
6460 -5931.611328125
6470 -7077.466796875
6480 -8159.412109375
6490 -8569.1943359375
6500 -8134.70849609375
6510 -7289.7138671875
6520 -6505.841796875
6530 -5772.515625
6540 -6210.25
6550 -7028.7919921875
6560 -7183.8740234375
6570 -6578.91455078125
6580 -7837.83056640625
6590 -9724.27734375
6600 -9875.7275390625
6610 -10077.8515625
6620 -9240.826171875
6630 -9977.748046875
6640 -9991.005859375
6650 -10977.896484375
6660 -11719.7978515625
6670 -12190.849609375
6680 -12638.4521484375
6690 -12709.701171875
6700 -12121.740234375
6710 -11582.7119140625
6720 -10839.828125
6730 -11078.9169921875
6740 -9839.1171875
6750 -9854.4833984375
6760 -10461.3486328125
6770 -10768.798828125
6780 -10232.3369140625
6790 -9951.9833984375
6800 -9357.0634765625
6810 -9105.970703125
6820 -8464.8583984375
6830 -8513.5673828125
6840 -9085.15625
6850 -8892.91796875
6860 -8648.0244140625
6870 -8317.8857421875
6880 -7602.65576171875
6890 -6626.04638671875
6900 -5435.8720703125
6910 -4463.4560546875
6920 -4199.40234375
6930 -4210.27978515625
6940 -4693.4912109375
6950 -5260.29638671875
6960 -4993.3525390625
6970 -5835.0517578125
6980 -6837.57470703125
6990 -8603.0927734375
7000 -8418.5947265625
7010 -10026.939453125
7020 -9073.787109375
7030 -10155.80078125
7040 -10839.7216796875
7050 -10193.39453125
7060 -9735.0849609375
7070 -10837.6875
7080 -10852.525390625
7090 -10832.171875
7100 -10614.0576171875
7110 -10332.0361328125
7120 -10436.603515625
7130 -9915.2421875
7140 -9134.9091796875
7150 -9821.5283203125
7160 -10622.28515625
7170 -10850.744140625
7180 -10597.681640625
7190 -10080.21484375
7200 -10166.0908203125
7210 -10989.39453125
7220 -11597.490234375
7230 -10413.796875
7240 -9319.453125
7250 -8605.7470703125
7260 -7679.48486328125
7270 -7381.095703125
7280 -7127.0068359375
7290 -7533.29296875
7300 -7297.814453125
7310 -7200.55126953125
7320 -6708.978515625
7330 -4997.068359375
7340 -8479.1357421875
7350 -8350.6796875
7360 -6483.58056640625
7370 -7010.15380859375
7380 -7048.9384765625
7390 -7393.1767578125
7400 -8779.984375
7410 -10202.50390625
7420 -8646.42578125
7430 -8168.369140625
7440 -7957.13037109375
7450 -8228.744140625
7460 -7960.2314453125
7470 -9234.125
7480 -11488.2177734375
7490 -12937.2333984375
7500 -13329.310546875
7510 -13544.919921875
7520 -12765.80078125
7530 -11648.4892578125
7540 -11554.7734375
7550 -10196.0693359375
7560 -9563.1376953125
7570 -9333.0634765625
7580 -8761.4462890625
7590 -8284.603515625
7600 -8361.869140625
7610 -8236.921875
7620 -8675.341796875
7630 -9463.55859375
7640 -9912.5234375
7650 -9955
7660 -9832.8369140625
7670 -9392.9228515625
7680 -9526.9501953125
7690 -9137.2001953125
4410 -10498.4482421875
4420 -11100.3916015625
4430 -10850.5166015625
4440 -10338.390625
4450 -10321.392578125
4460 -9873.15625
4470 -9277.6435546875
4480 -8326.7998046875
4490 -8368.189453125
4500 -7846.47998046875
4510 -7234.876953125
4520 -6706.91552734375
4530 -6526.61376953125
4540 -6445.33251953125
4550 -5792.22509765625
4560 -5657.9208984375
4570 -5369.650390625
4580 -6474.04541015625
4590 -7742.2158203125
4600 -7895.19189453125
4610 -8764.8974609375
4620 -9829.1552734375
4630 -9571.2587890625
4640 -9495.7392578125
4650 -10410.828125
4660 -10811.9052734375
4670 -10594.8896484375
4680 -11181.26953125
4690 -11530.091796875
4700 -10755.349609375
4710 -9875.435546875
4720 -9793.427734375
4730 -9734.5029296875
4740 -9479.916015625
4750 -9888.2470703125
4760 -10028.33984375
4770 -9739.203125
4780 -9135.3134765625
4790 -9310.193359375
4800 -10103.970703125
4810 -10914.9462890625
4820 -10723.625
4830 -10900.4560546875
4840 -10408.61328125
4850 -9524.4951171875
4860 -8771.787109375
4870 -8629.91796875
4880 -8257.3095703125
4890 -8723.1044921875
4900 -8441.1845703125
4910 -7492.09716796875
4920 -7194.52685546875
4930 -7257.830078125
4940 -9874.5234375
4950 -8426.1220703125
4960 -7437.05810546875
4970 -9266.3603515625
4980 -10705.890625
4990 -10347.8056640625
5000 -10141.2841796875
5010 -11117.240234375
5020 -11420.396484375
5030 -10591.33984375
5040 -11295.158203125
5050 -12591.9287109375
5060 -13114.8486328125
5070 -12119.57421875
5080 -12825.2578125
5090 -13255.140625
5100 -14009.12890625
5110 -14864.158203125
5120 -13584.75390625
5130 -13261.048828125
5140 -12960.03125
5150 -11589.814453125
5160 -10634.818359375
5170 -9880.6259765625
5180 -9259.125
5190 -9185.59765625
5200 -9277.9609375
5210 -9789.8916015625
5220 -9179.3349609375
5230 -8267.9677734375
5240 -7872.9873046875
5250 -7906.4833984375
5260 -7742.4755859375
5270 -8042.98046875
5280 -8475.681640625
5290 -8449.599609375
5300 -7857.9248046875
5310 -6873.087890625
5320 -6129.60546875
5330 -5355.57177734375
5340 -5583.42041015625
5350 -7530.10498046875
5360 -8433.1640625
5370 -7420.255859375
5380 -6930.75634765625
5390 -8057.74609375
5400 -8767.841796875
5410 -10413.7587890625
5420 -10849.333984375
5430 -10595.8369140625
5440 -11556.345703125
5450 -12285.646484375
5460 -11288.8095703125
5470 -11153.203125
5480 -10736.173828125
5490 -10474.662109375
5500 -10024.6328125
5510 -8961.853515625
5520 -8034.49658203125
5530 -7752.60986328125
5540 -7590.416015625
5550 -7458.2373046875
5560 -7114.30322265625
5570 -7235.822265625
5580 -7663.4736328125
5590 -7174.70703125
5600 -7275.27392578125
5610 -7856.83935546875
5620 -8366.205078125
5630 -8369.62890625
5640 -7923.79736328125
5650 -8030.5849609375
5660 -7898.2294921875
5670 -8273.408203125
5680 -8295.2412109375
5690 -8316.7041015625
5700 -8589.6611328125
5710 -7163.11572265625
5720 -5151.392578125
5730 -4024.090576171875
5740 -4205.95947265625
5750 -4591.3681640625
5760 -4620.9677734375
5770 -5735.2841796875
5780 -6681.43310546875
5790 -7229.775390625
5800 -6612.34716796875
5810 -6358.1484375
5820 -6843.04638671875
5830 -7136.79443359375
5840 -6736.46923828125
5850 -7001.64453125
5860 -8039.8330078125
5870 -8826.244140625
5880 -9736.8212890625
5890 -10494.59375
5900 -10190.91015625
5910 -10554.517578125
5920 -11091.8037109375
5930 -11712.00390625
5940 -10901.7509765625
5950 -10493.6982421875
5960 -11226.4853515625
5970 -10243.173828125
5980 -10363.49609375
5990 -10761.419921875
6000 -10522.33203125
6010 -10475.37109375
6020 -10573.671875
6030 -10764.55078125
6040 -10262.3955078125
6050 -9503.14453125
6060 -9325.869140625
6070 -8676.41796875
6080 -7475.3544921875
6090 -6779.12744140625
6100 -6311.40966796875
6110 -5579.4677734375
6120 -5131.93212890625
6130 -7786.62646484375
6140 -5976.169921875
6150 -5876.52490234375
6160 -4744.43359375
6170 -4731.630859375
6180 -6221.6953125
6190 -6010.2109375
6200 -7173.34423828125
6210 -7084.083984375
6220 -8523.0029296875
6230 -10006.990234375
6240 -10918.53515625
6250 -11897.3037109375
6260 -12332.9482421875
6270 -13351.1982421875
6280 -13977.24609375
6290 -13154.94140625
6300 -12800.5849609375
6310 -12259.251953125
6320 -12500.4619140625
6330 -11812.8193359375
6340 -11406.046875
6350 -10478.4130859375
6360 -8740.23046875
6370 -8698.80078125
6380 -8627.9580078125
6390 -7890.751953125
2810 -8901.8857421875
2820 -8494.689453125
2830 -8467.513671875
2840 -8666.126953125
2850 -8582.5068359375
2860 -8722.388671875
2870 -8796.95703125
2880 -9823.3896484375
2890 -9710.0556640625
2900 -9383.900390625
2910 -8134.3662109375
2920 -6498.94873046875
2930 -5346.68994140625
2940 -6649.1796875
2950 -6895.287109375
2960 -8163.6923828125
2970 -7077.6318359375
2980 -7378.43212890625
2990 -8912.62890625
3000 -9821.8466796875
3010 -10419.333984375
3020 -10084.9111328125
3030 -9872.8505859375
3040 -9144.51953125
3050 -8971.0361328125
3060 -8201.9521484375
3070 -8050.45654296875
3080 -7947.93359375
3090 -8271.037109375
3100 -8538.78515625
3110 -8488.232421875
3120 -8393.05078125
3130 -8011.48681640625
3140 -8113.7705078125
3150 -8047.1708984375
3160 -7291.93994140625
3170 -7136.56787109375
3180 -7076.23876953125
3190 -7786.9453125
3200 -7922.31982421875
3210 -7933.4609375
3220 -8449.06640625
3230 -9358.875
3240 -10228.005859375
3250 -10496.4951171875
3260 -10475.8232421875
3270 -11179.208984375
3280 -10962.9697265625
3290 -10184.693359375
3300 -8940.46484375
3310 -7373.59033203125
3320 -6351.13720703125
3330 -5726.58349609375
3340 -5648.005859375
3350 -5377.994140625
3360 -5781.96484375
3370 -6996.9560546875
3380 -5870.8525390625
3390 -8429.42578125
3400 -9261.5810546875
3410 -9558.138671875
3420 -8887.458984375
3430 -9255.16796875
3440 -9423.640625
3450 -9276.4384765625
3460 -9649.2314453125
3470 -11708.294921875
3480 -11438.228515625
3490 -10908.744140625
3500 -11098.38671875
3510 -12327.8486328125
3520 -12125.630859375
3530 -11453.29296875
3540 -11041.734375
3550 -10973.6884765625
3560 -10508.615234375
3570 -10294.67578125
3580 -10233.451171875
3590 -10653.173828125
3600 -10727.041015625
3610 -10264.7001953125
3620 -9204.68359375
3630 -9440.00390625
3640 -10056.904296875
3650 -8815.80859375
3660 -7851.2294921875
3670 -8197.2373046875
3680 -8905.724609375
