"Time Step" "point-pressure-e"
0 -6260.39892578125
10 -4453.3271484375
20 -4473.1484375
30 -4605.61279296875
40 -4549.72021484375
50 -4582.84326171875
60 -4596.8037109375
70 -4484.208984375
80 -4482.74267578125
90 -4524.2236328125
100 -4336.11572265625
110 -4421.87548828125
120 -4357.80126953125
130 -4210.4794921875
140 -4165.44677734375
150 -4140.1669921875
160 -4027.10107421875
170 -3900.91162109375
180 -3795.051025390625
190 -3766.7060546875
200 -3572.86865234375
210 -3438.745361328125
220 -3314.1669921875
230 -3167.6826171875
240 -3042.593994140625
250 -2978.54248046875
260 -2916.506103515625
270 -2836.81298828125
280 -2848.119384765625
290 -2932.936767578125
300 -3041.51123046875
310 -3376.75537109375
320 -4078.8642578125
330 -3839.749267578125
340 -4117.0185546875
350 -4488.921875
360 -4835.50830078125
370 -5401.966796875
380 -5350.4990234375
390 -6325.4775390625
400 -6488.31201171875
410 -6840.21435546875
420 -6919.52685546875
430 -6529.1064453125
440 -5916.701171875
450 -5227.79296875
460 -4655.365234375
470 -4564.2861328125
480 -4850.478515625
490 -5368.158203125
500 -6186.03173828125
510 -6937.43017578125
520 -7147.0087890625
530 -6689.00439453125
540 -7213.74365234375
550 -6350.8740234375
560 -5853.93994140625
570 -5479.54443359375
580 -4976.587890625
590 -5679.1201171875
600 -7288.62109375
610 -7159.44091796875
620 -5673.244140625
630 -6006.61328125
640 -7007.8466796875
650 -8521.4228515625
660 -10616.54296875
670 -9928.322265625
680 -5452.75634765625
690 -4461.38330078125
700 -4105.71435546875
710 -4470.29345703125
720 -4340.04443359375
730 -4154.28515625
740 -3427.64111328125
750 -2797.783203125
760 -3771.601318359375
770 -4955.634765625
780 -5154.9228515625
790 -5662.1494140625
800 -6346.65625
810 -7031.87646484375
820 -7535.7080078125
830 -7243.21337890625
840 -7579.33984375
850 -8249.171875
860 -9283.7275390625
870 -8758.56640625
880 -8656.9404296875
890 -8485.0322265625
900 -9820.5771484375
910 -9395.943359375
920 -10377.7958984375
930 -10505.2626953125
940 -10753.6611328125
950 -10672.8740234375
960 -10694.103515625
970 -10566.19140625
980 -9840.046875
990 -11761.8232421875
1000 -12357.439453125
1010 -8327.8984375
1020 -4518.9384765625
1030 -4289.9755859375
1040 -4285.974609375
1050 -4478.06396484375
1060 -4935.14892578125
1070 -5914.5478515625
1080 -6440.2548828125
1090 -7202.67822265625
1100 -8844.27734375
1110 -9172.37109375
1120 -9590.2373046875
1130 -9685.91015625
1140 -9706.109375
1150 -10206.9169921875
1160 -10547.1533203125
1170 -10397.005859375
1180 -10806.931640625
1190 -10985.8359375
1200 -10900.203125
1210 -10543.03125
1220 -10258.34375
1230 -10114.1328125
1240 -9797.05859375
1250 -9188.2880859375
1260 -9541.2734375
1270 -9641.21875
1280 -9039.28125
1290 -8904.04296875
1300 -8690.4951171875
1310 -8370.3896484375
1320 -8526.6015625
1330 -8775.6630859375
1340 -9600.189453125
1350 -10026.619140625
1360 -9902.873046875
1370 -9426.5390625
1380 -9468.3564453125
1390 -9588.5791015625
1400 -9513.6513671875
1410 -9503.68359375
1420 -9419.6142578125
1430 -9466.6748046875
1440 -9526.4873046875
1450 -9217.228515625
1460 -9264.5615234375
1470 -9013.0283203125
1480 -8875.7236328125
1490 -8490.408203125
1500 -8156.49609375
1510 -8468.943359375
1520 -8607.78125
1530 -9482.7978515625
1540 -8356.990234375
1550 -8506.068359375
1560 -8545.98046875
1570 -8653.9833984375
1580 -8718.3720703125
1590 -8524.2294921875
1600 -8090.7333984375
1610 -8427.419921875
1620 -8153.3662109375
1630 -8142.1328125
1640 -9109.16796875
1650 -9811.1201171875
1660 -9550.1240234375
1670 -8898.7578125
1680 -8367.7822265625
1690 -7892.814453125
1700 -7565.150390625
1710 -7267.638671875
1720 -6959.201171875
1730 -7108.96630859375
1740 -7427.19580078125
1750 -7564.630859375
1760 -7746.7353515625
1770 -7950.21533203125
1780 -8046.46435546875
1790 -7841.8310546875
1800 -7443.953125
1810 -7263.51806640625
1820 -7503.10546875
1830 -6690.453125
1840 -6254.2216796875
1850 -6367.93359375
1860 -6570.95458984375
1870 -6846.4912109375
1880 -7242.0361328125
1890 -7743.13525390625
1900 -8026.0380859375
1910 -8447.1591796875
1920 -8689.525390625
1930 -8766.08203125
1940 -8183.8134765625
1950 -8783.5859375
1960 -9271.2197265625
1970 -9246.630859375
1980 -9077.525390625
1990 -9517.0341796875
2000 -9470.7626953125
2010 -8629.265625
2020 -8465.0712890625
2030 -8678.51171875
2040 -8856.185546875
2050 -9179.505859375
2060 -9081.8203125
2070 -9615.154296875
2080 -10807.9765625
2090 -10192.38671875
2100 -9815.505859375
2110 -9657.048828125
2120 -9832.1611328125
2130 -9636.90234375
2140 -10680.7685546875
2150 -10823.3212890625
2160 -10221.4658203125
2170 -9655.1572265625
2180 -10223.16796875
2190 -9644.859375
2200 -9090.5224609375
2210 -8360.470703125
2220 -8364.75390625
2230 -9134.546875
2240 -7487.125
2250 -8071.75927734375
2260 -9460.70703125
2270 -8773.484375
2280 -8257.9755859375
2290 -8661.93359375
2300 -9372.669921875
2310 -8888.2041015625
2320 -8235.7685546875
2330 -8354.3515625
2340 -7393.2666015625
2350 -7311.046875
2360 -8672.5302734375
2370 -9370.7802734375
2380 -10372.708984375
2390 -10343.373046875
2400 -9284.671875
2410 -8246.7099609375
2420 -8209.55859375
2430 -7862.52880859375
2440 -7485.23828125
2450 -7946.26416015625
2460 -7943.2021484375
2470 -7914.421875
2480 -7782.802734375
2490 -7282.50146484375
2500 -6643.759765625
2510 -6789.2490234375
2520 -7128.48046875
2530 -8017.27490234375
2540 -8653.3779296875
2550 -8900.4140625
2560 -8783.3212890625
2570 -8929.5009765625
2580 -9446.294921875
2590 -9959.119140625
2600 -10044.9619140625
2610 -9546.5126953125
2620 -9162.4658203125
2630 -8989.7626953125
2640 -8756.7275390625
2650 -8730.95703125
2660 -8632.80859375
2670 -8734.4033203125
2680 -8959.2919921875
2690 -9830.0625
2700 -10430.552734375
2710 -10401.0498046875
2720 -10311.201171875
2730 -8491.0458984375
2740 -8985.482421875
2750 -8921.8896484375
2760 -9066.33203125
2770 -8252.734375
2780 -7788.56884765625
2790 -7612.68408203125
2800 -7653.5439453125
2810 -7796.865234375
2820 -7999.845703125
2830 -7581.728515625
2840 -7762.05859375
2850 -7779.83349609375
2860 -7968.8427734375
2870 -7819.09033203125
2880 -8131.283203125
2890 -8669.9775390625
2900 -9156.541015625
2910 -9562.0302734375
2920 -9053.265625
2930 -7893.28125
2940 -6843.39306640625
2950 -6402.3662109375
2960 -6297.0791015625
2970 -6219.6220703125
2980 -6357.8212890625
2990 -6857.12451171875
3000 -7147.18994140625
3010 -7453.96533203125
3020 -7760.85546875
3030 -7980.44482421875
3040 -8034.88037109375
3050 -7921.8203125
3060 -7805.5859375
3070 -7516.23876953125
3080 -7510.2236328125
3090 -8214.984375
3100 -8600.794921875
3110 -8069.02001953125
3120 -8453.623046875
3130 -8281.60546875
3140 -8233.4189453125
3150 -8000.91015625
3160 -8538.771484375
3170 -8122.28857421875
3180 -7551.9794921875
3190 -7089.2705078125
3200 -7390.970703125
3210 -7702.55615234375
3220 -7923.9921875
3230 -7463.4052734375
3240 -7545.900390625
3250 -7707.33740234375
3260 -7934.99853515625
3270 -7986.0107421875
3280 -8190.939453125
3290 -8407.2109375
3300 -8545.8095703125
3310 -8791.82421875
3320 -8958.8984375
3330 -8934.4736328125
3340 -8887.3427734375
3350 -8641.634765625
3360 -8652.6005859375
3370 -8819.5556640625
3380 -8721.9716796875
3390 -8535.9091796875
3400 -8105.32421875
3410 -7535.7265625
3420 -7575.51220703125
3430 -7741.6884765625
3440 -7871.595703125
3450 -8806.6171875
3460 -9243.20703125
3470 -8808.8212890625
3480 -8683.830078125
3490 -9067.2470703125
3500 -9575.2900390625
3510 -9092.53515625
3520 -9620.388671875
3530 -9133.109375
3540 -8885.193359375
3550 -8535.9287109375
3560 -8482.228515625
3570 -8292.35546875
3580 -8384.216796875
3590 -8337.958984375
3600 -8373.1875
3610 -8444.658203125
3620 -8146.03125
3630 -7766.3603515625
3640 -7863.294921875
3650 -7607.04931640625
3660 -7721.55029296875
3670 -8256.6005859375
3680 -8493.0859375
3690 -8392.1337890625
3700 -8514.154296875
3710 -8546.078125
3720 -8664.232421875
3730 -8625.8203125
3740 -8337.0244140625
3750 -8460.9921875
3760 -8506.2314453125
3770 -8580.060546875
3780 -8330.2470703125
3790 -7994.55322265625
3800 -8055.77490234375
3810 -7776.65673828125
3820 -7325.13037109375
3830 -6909.408203125
3840 -6638.7265625
3850 -6751.0205078125
3860 -6769.44873046875
3870 -6941.5087890625
3880 -7434.634765625
3890 -7558.185546875
3900 -7452.49462890625
3910 -7398.61962890625
3920 -7803.31689453125
3930 -8640.6025390625
3940 -8516.4697265625
3950 -8603.8876953125
3960 -8848.6669921875
3970 -8857.4267578125
3980 -8295.611328125
3990 -7870.9423828125
4000 -8098.634765625
4010 -8322.978515625
4020 -8418.521484375
4030 -8372.1337890625
4040 -8358.1962890625
4050 -7837.8583984375
4060 -7284.75
4070 -7546.361328125
4080 -7507.640625
4090 -7315.53466796875
4100 -7439.61083984375
4110 -7649.3564453125
4120 -7650.697265625
4130 -7617.17431640625
4140 -7537.8505859375
4150 -7255.1484375
4160 -7317.1875
4170 -7651.7158203125
4180 -7939.19873046875
4190 -7628.1220703125
4200 -7716.63134765625
4210 -7858.29443359375
4220 -7971.0693359375
4230 -8136.4150390625
4240 -8172.1005859375
4250 -8453.365234375
4260 -8619.5869140625
4270 -8973.21484375
4280 -9929.30078125
4290 -10293.01953125
4300 -9813.7685546875
4310 -9448.3994140625
4320 -10339.9892578125
4330 -9057.28515625
4340 -8274.060546875
4350 -8605.52734375
4360 -9032.84375
4370 -8839.978515625
4380 -8554.1552734375
4390 -8095.5009765625
4400 -7644.67626953125
4410 -7132.92431640625
4420 -7596.50830078125
4430 -7238.4189453125
4440 -7049.04736328125
4450 -6947.513671875
4460 -6992.2998046875
4470 -7167.85986328125
4480 -7732.3251953125
4490 -7859.78662109375
4500 -7979.1826171875
4510 -8321.5966796875
4520 -8953.634765625
