"Time Step" "p-in"
7610 -35917.61170313786
7620 -35874.57693383054
7630 -36754.88576452716
7640 -37776.06276599126
7650 -37371.43723806526
7660 -36755.75047074087
7670 -36322.01323874923
7680 -35575.51758435822
7690 -34530.18269719402
7700 -33351.54906796199
7710 -32039.77122938793
7720 -30839.58437933841
7730 -30029.54577791631
7740 -30141.13262062057
7750 -29864.32954246351
7760 -29691.53896484596
7770 -30033.54835694427
7780 -30696.14261981863
7790 -32576.17937923617
7800 -33321.78497287212
7810 -33843.88691309791
7820 -33108.05745405876
7830 -33720.68680047757
7840 -33797.84116018792
7850 -33908.61774584297
7860 -34338.79667302686
7870 -34361.60181655519
7880 -34534.69290045493
7890 -34720.21944947824
7900 -35124.84210638192
7910 -35479.74735075826
7920 -35935.95563424395
7930 -36722.48051335444
7940 -37072.96367864466
7950 -37382.64537923184
7960 -37249.51381892952
7970 -37262.58960720176
7980 -36911.08687688054
7990 -36331.97850442095
8000 -36589.02549228737
6210 -32423.65384324496
6220 -34556.16710582366
6230 -36751.96538893727
6240 -37434.22747150398
6250 -37635.37739258107
6260 -37625.21148711459
6270 -38565.84568239186
6280 -39346.46992999681
6290 -39920.41289217904
6300 -40165.84224892414
6310 -40193.37474393524
6320 -40003.40266629226
6330 -38955.37363122171
6340 -37900.63915207231
6350 -37073.55247805733
6360 -35738.39168428797
6370 -35220.74747635084
6380 -35513.43360855572
6390 -35188.46263523732
6400 -34441.84599671069
6410 -33759.22994171191
6420 -33581.35530844737
6430 -33623.88268540629
6440 -33407.77485549764
6450 -32721.17838980598
6460 -32150.23353762171
6470 -33116.33772642016
6480 -34083.25131646965
6490 -33909.91749492962
6500 -32967.4218802917
6510 -31546.82415093046
6520 -30697.2967688803
6530 -30111.03629614119
6540 -30363.27811691459
6550 -30856.16256593673
6560 -30526.22460385939
6570 -30494.66191199057
6580 -32314.89955578717
6590 -33938.83857767171
6600 -34627.0130836836
6610 -34936.24920726308
6620 -34893.98445198997
6630 -35905.44416712424
6640 -35783.97265482049
6650 -37330.32520533592
6660 -38349.78127432949
6670 -38903.2177962194
6680 -39599.79630799135
6690 -39754.83869203107
6700 -39850.57813369522
6710 -39190.72497309675
6720 -37783.3079025554
6730 -36472.02832159371
6740 -35978.44252399066
6750 -36814.10751811728
6760 -37273.40866450012
6770 -37385.13123338423
6780 -37151.25944548555
6790 -36960.2587889125
6800 -36758.11867069564
6810 -36509.76973055886
6820 -35868.02035496928
6830 -36173.98021204775
6840 -35793.6788423866
6850 -35540.74017539719
6860 -35568.96678796515
6870 -34726.82752997369
6880 -33077.99402497391
6890 -31561.61449029396
6900 -29609.10221519473
6910 -28403.55013845659
6920 -28247.79207776023
6930 -28371.59687414436
6940 -28801.77386243919
6950 -29600.00062385876
6960 -29875.40509913501
6970 -30242.43969347957
6980 -31632.64954615677
6990 -33204.43824878448
7000 -33516.6994603012
7010 -34637.63901493826
7020 -35655.85901719345
7030 -36053.00878226335
7040 -35739.04712632328
7050 -35349.10854298645
7060 -35701.66730038009
7070 -36699.68368386161
7080 -36726.25028286461
7090 -36080.27230066186
7100 -36031.57896942118
7110 -36259.05568896236
7120 -37032.928855906
7130 -36484.01261786901
7140 -35697.46907903322
7150 -36905.57041678468
7160 -37949.77585758857
7170 -38537.53872790089
7180 -38423.15596002447
7190 -37876.82923655422
7200 -37674.64228769955
7210 -37719.74482561459
7220 -37536.27296288044
7230 -37281.929122617
7240 -36487.05403048337
7250 -35590.41482135476
7260 -34117.40379519763
7270 -32769.49308705809
7280 -32232.94801538458
7290 -32116.39102064233
7300 -31393.26514813016
7310 -30547.01912425111
7320 -29619.35372990503
7330 -28840.19391276477
7340 -29638.39090165964
7350 -30534.06256318429
