Time_Step point-gw-e point-pressure-a point-vel-b point-vel-c gw-hemolysis point-vel-e point-vel-d point-shear-a point-gw-b point-gw-c mass-flux eds-hemolysis point-pressure-b point-pressure-c p-in point-vel-a point-shear-d point-shear-e point-gw-a point-shear-c point-shear-b max-vel-rotor point-pressure-e point-pressure-d
0 0 -24331.990234375 3.790546894073486 5.445427894592285 0 5.15434455871582 5.15434455871582 529.1852416992188 0 0 -0.0001096875757679236 0 -7090.83935546875 -9063.9560546875 -24222.01252104514 0.1826866418123245 1513.573486328125 1513.573486328125 0 2893.1328125 1370.167602539062 8.090072299293318 -1485.52392578125 -7007.8759765625
10 2.835951420365745e-07 -26740.62890625 3.974245071411133 5.49053955078125 3.568815079172006e-10 5.143330097198486 5.143330097198486 554.039794921875 4.80744972719549e-07 3.744285095308442e-06 6.296911145287076e-08 8.094876452873296e-12 -9980.9755859375 -11995.076171875 -26619.87466594503 0.1825570315122604 1530.155517578125 1530.155517578125 1.188601750357066e-08 3295.97119140625 1579.755615234375 8.116147400504675 -1087.424682617188 -6597.04443359375
20 6.205536919878796e-07 -26783.294921875 4.194648742675781 5.393365859985352 7.338683567975084e-10 5.146278858184814 5.146278858184814 555.5418701171875 6.241309165488929e-06 1.093461742129875e-05 2.534624525332707e-07 1.659587522328961e-11 -9758.5947265625 -12068.2666015625 -26666.40165682657 0.182158574461937 1551.683349609375 1551.683349609375 2.376551933025439e-08 3918.7734375 2052.393310546875 8.184845513654311 -1082.519409179688 -6654.4931640625
30 9.867933385976357e-07 -26814.00390625 4.028383731842041 5.293408393859863 1.110772144223489e-09 5.133057594299316 5.133057594299316 557.216796875 2.700325785554014e-05 1.031601550494088e-05 3.817686978976886e-07 2.508465584264492e-11 -9360.58203125 -11977.224609375 -26700.23987116113 0.1817979663610458 1570.006103515625 1570.006103515625 3.487555844117196e-08 3332.269775390625 4001.197998046875 8.356274244362188 -1108.647705078125 -6752.90234375
40 1.344697352578805e-06 -26443.607421875 4.622156620025635 5.281550407409668 1.486931804914993e-09 5.105346202850342 5.105346202850342 559.1002807617188 6.087058500270359e-05 1.011478980217362e-05 -3.213200440374542e-07 3.356398564026828e-11 -9589.29296875 -11432.6923828125 -26337.7757130039 0.1814659982919693 1560.6357421875 1560.6357421875 4.528751418320098e-08 2272.6142578125 5524.4111328125 8.594497799481488 -882.874755859375 -6505.1357421875
50 1.67627842984075e-06 -26148.447265625 4.102790355682373 5.407388687133789 1.861766155371833e-09 5.061622619628906 5.061622619628906 561.0035400390625 3.811131318798289e-05 3.270932211307809e-06 5.173502203442704e-07 4.203416657818043e-11 -9622.3466796875 -11136.2568359375 -26033.54865140265 0.1811778396368027 1577.317626953125 1577.317626953125 5.504950451040713e-08 2190.7021484375 4492.302734375 8.61321026384875 -884.9049072265625 -6398.95947265625
60 1.98526140593458e-06 -25842.677734375 3.867074489593506 5.754745483398438 2.235225509200174e-09 5.005122184753418 5.005122184753418 562.9678344726562 2.190343138863682e-06 9.200834028888494e-06 1.646071893374179e-07 5.049486736418032e-11 -9219.029296875 -10809.513671875 -25737.15321989245 0.1809249371290207 1603.24072265625 1603.24072265625 6.421468157213894e-08 2862.126220703125 1302.168334960938 8.544602718632355 -804.3951416015625 -6282.7275390625
70 2.321118699910585e-06 -25262.37109375 4.13748836517334 6.166893005371094 2.60707302681013e-09 4.936413288116455 4.936413288116455 565.0615234375 3.484320245661365e-07 4.48523178420146e-06 7.896631676676535e-07 5.894508831230533e-11 -8536.4326171875 -10324.0703125 -25148.71774028011 0.1806910187005997 1643.45068359375 1643.45068359375 7.284123171302781e-08 2497.17333984375 765.34912109375 8.538265636375309 -659.4286499023438 -5990.00634765625
80 2.943443178082816e-06 -24664.658203125 4.286900997161865 6.113595962524414 2.977464667708091e-09 4.85250186920166 4.85250186920166 567.3392333984375 4.165102041042701e-07 2.124330876540625e-06 5.172670882944153e-07 6.738436511527683e-11 -7846.59326171875 -9678.767578125 -24553.67225052536 0.180469810962677 1676.254638671875 1676.254638671875 8.098582782167796e-08 1861.321044921875 676.5272827148438 8.658464662246461 -612.5562133789062 -5754.3837890625
90 5.053334007243393e-06 -23966.5859375 4.375619411468506 6.038361072540283 3.346309341781253e-09 4.754271984100342 4.754271984100342 569.816162109375 6.956350375730835e-07 1.444242116122041e-06 5.992832529735925e-07 7.581189032406852e-11 -7139.5263671875 -8874.37109375 -23849.87474562549 0.1802734136581421 1692.733642578125 1692.733642578125 8.870266299254581e-08 1371.129272460938 793.0018920898438 8.704372899512501 -555.8370361328125 -5473.576171875
100 1.148791488958523e-05 -23174.701171875 4.41502571105957 6.011765480041504 3.713708614544785e-09 4.653393268585205 4.653393268585205 572.4061889648438 1.906086140479601e-06 1.270501343242358e-06 6.567296005274836e-07 8.42272797618738e-11 -6290.0712890625 -7951.8701171875 -23059.5159836428 0.1801134943962097 1909.162109375 1909.162109375 9.603219552900555e-08 1224.730834960938 1007.736145019531 8.839253653034648 -462.2385559082031 -5031.951171875
110 2.54689839493949e-05 -22566.3203125 4.425426483154297 5.984013080596924 4.079916825163875e-09 4.502440452575684 4.502440452575684 575.1085205078125 2.681628302525496e-06 1.090133082470857e-06 -3.310424103869503e-07 9.263048207921194e-11 -5642.0419921875 -7241.0615234375 -22434.30306867366 0.1799990087747574 2594.386474609375 2594.386474609375 1.030054690431825e-07 1103.767211914062 1190.368041992188 8.945281442381862 -418.9380493164062 -4584.97119140625
120 4.530282967607491e-05 -22105.96484375 4.505501747131348 5.955812931060791 4.444642433611021e-09 4.136314392089844 4.136314392089844 577.885986328125 1.961526095328736e-06 8.447228765362524e-07 1.730407948319357e-07 1.010209162832419e-10 -5146.0068359375 -6680.77587890625 -21996.49285033374 0.1799236238002777 3732.46435546875 3732.46435546875 1.096393447141963e-07 968.0590209960938 1211.31640625 8.881778157045204 -404.7711181640625 -4148.50390625
130 2.476642475812696e-05 -21783.8828125 4.557026386260986 5.942055225372314 4.808460185860557e-09 3.585294485092163 3.585294485092163 580.6654052734375 2.337427531529102e-06 6.264017429202795e-07 -7.654051302347087e-07 1.093993396782596e-10 -4767.85302734375 -6273.5234375 -21680.25795135416 0.1798811703920364 3068.03662109375 3068.03662109375 1.159244362725076e-07 787.8320922851562 1225.5341796875 8.830709766116636 -304.1321105957031 -3777.7431640625
