"gw-eds-hemolysis"
"Time_Step" "eds-hemolysis"
("Time_Step" "eds-hemolysis")
2410 6.623816147545454e-09
2420 6.671563872316346e-09
2430 6.72087627918107e-09
2440 6.771724674960728e-09
2450 6.824103709906733e-09
2460 6.878056193803855e-09
2470 6.933560280044612e-09
2480 6.990643211771129e-09
2490 7.049289049596361e-09
2500 7.109519242945514e-09
2510 7.171326124160383e-09
2520 7.234722822742579e-09
2530 7.299702968425307e-09
2540 7.366151161039983e-09
2550 7.43402385935662e-09
2560 7.503265017951389e-09
2570 7.57391130918039e-09
2580 7.645922696017062e-09
2590 7.719233073013892e-09
2600 7.793803852969891e-09
2610 7.869646873630088e-09
2620 7.946817424372299e-09
2630 8.025267692020611e-09
2640 8.104814845891488e-09
2650 8.185099145792524e-09
2660 8.265787068314024e-09
2670 8.346812117188753e-09
2680 8.428147446661914e-09
2690 8.509761744116675e-09
2700 8.5916839190259e-09
2710 8.673941318667699e-09
2720 8.756495443703803e-09
2730 8.839271365828265e-09
2740 8.922112638372816e-09
2750 9.004903929771479e-09
2760 9.087885170956813e-09
2770 9.170876688997874e-09
2780 9.254252058973877e-09
2790 9.338721494940582e-09
2800 9.424693757572839e-09
2810 9.512584637699927e-09
2820 9.602604336937831e-09
2830 9.694442197009422e-09
2840 9.787471412667325e-09
2850 9.881783197252707e-09
2860 9.977670332546721e-09
2870 1.007522591604913e-08
2880 1.017442564008361e-08
2890 1.02751451473502e-08
2900 1.037720002891667e-08
2910 1.048042664220932e-08
2920 1.058486462176898e-08
2930 1.069055634213054e-08
2940 1.079757226403098e-08
2950 1.090613550010891e-08
2960 1.101632419571854e-08
2970 1.112797455943019e-08
2980 1.124082404836939e-08
2990 1.135485796754723e-08
3000 1.146996527933202e-08
3010 1.158616079301976e-08
3020 1.170349940035832e-08
3030 1.182180337060861e-08
3040 1.194058830855853e-08
3050 1.20596019450644e-08
3060 1.217893498181347e-08
3070 1.229901469531752e-08
3080 1.242033454869846e-08
3090 1.254323625317801e-08
3100 1.266808893822224e-08
3110 1.279531200416513e-08
3120 1.292531598813887e-08
3130 1.305859238448568e-08
3140 1.319552502662953e-08
3150 1.33363053580331e-08
3160 1.34812950676045e-08
3170 1.363107067321681e-08
3180 1.378615913363384e-08
3190 1.394712932463644e-08
3200 1.411407414678864e-08
3210 1.428688163720789e-08
3220 1.446591320502415e-08
3230 1.465095294318819e-08
3240 1.484216511344968e-08
3250 1.503945718612662e-08
3260 1.524300527167873e-08
3270 1.545287475654414e-08
3280 1.566887027906941e-08
3290 1.589055331023628e-08
3300 1.611760781141304e-08
3310 1.634971698762423e-08
3320 1.658638601936857e-08
3330 1.682715387974542e-08
3340 1.707186781668517e-08
3350 1.731949641868037e-08
3360 1.756990174311263e-08
3370 1.782258077157635e-08
3380 1.807724588731926e-08
3390 1.833335552592519e-08
3400 1.859083614807845e-08
3410 1.884931519422193e-08
3420 1.910882740499235e-08
3430 1.936933453656405e-08
3440 1.963077781410961e-08
3450 1.989330402115791e-08
3460 2.015682159113876e-08
3470 2.042007413772002e-08
3480 2.068244649921012e-08
3490 2.094359723027495e-08
3500 2.120277803768101e-08
3510 2.146008599097896e-08
3520 2.171546902011484e-08
3530 2.196886298479459e-08
3540 2.222031942598249e-08
3550 2.247030028919846e-08
3560 2.271876154274111e-08
3570 2.296526724802443e-08
3580 2.320930754263935e-08
3590 2.345061000363626e-08
3600 2.368938764285465e-08
3610 2.392557516233205e-08
3620 2.415943287682201e-08
3630 2.439064327963927e-08
3640 2.461817941072907e-08
3650 2.484151793535326e-08
