TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.02581,0.032652056,2.931218936,0.025,-0.02476,0.035186053,0.330316788,0.03,-0.023975369,0.038403376,0.388918244,0.035,-0.02296,0.041858839,0.028717483,0.004062431,0.990815332,0.004062507,0.870452577
0.02,-0.025837181,0.032673539,3.011998529,0.025,-0.024799262,0.035213694,0.53686204,0.03,-0.024142805,0.038508143,0.673176341,0.035,-0.023023423,0.04189366,0.294434837,0.004265656,0.696744576,0.004265575,0.549537829
0.02,-0.025864362,0.032695039,3.077116257,0.025,-0.024838523,0.035241357,0.659161428,0.03,-0.024310242,0.038613335,0.81384547,0.035,-0.023086846,0.04192855,0.425968103,0.004468644,0.597744963,0.004468768,0.490716555
0.02,-0.025891544,0.032716568,3.108284371,0.025,-0.024877785,0.035269039,0.741827048,0.03,-0.024477678,0.038718975,0.858851175,0.035,-0.023150268,0.041963506,0.472922686,0.004671857,0.588318765,0.004671901,0.483067717
0.02,-0.025918725,0.032738089,3.136993419,0.025,-0.024917047,0.035296744,0.794844014,0.03,-0.024645114,0.038825046,0.895980182,0.035,-0.023213691,0.041998525,0.502721375,0.00487497,0.600270341,0.00487497,0.495240824
0.02,-0.025945906,0.032759615,3.157874665,0.025,-0.024956309,0.035324464,0.865286783,0.03,-0.02481255,0.038931559,0.926726387,0.035,-0.023277114,0.04203362,0.532043299,0.005077937,0.60343737,0.005077937,0.503671384
0.02,-0.025973087,0.032781143,3.172994298,0.025,-0.02499557,0.035352216,0.912993949,0.03,-0.024979987,0.039038497,1.018556048,0.035,-0.023340537,0.04206877,0.555887389,0.005282009,0.601519893,0.005282009,0.510476422
0.02,-0.026000268,0.03280268,3.186806339,0.025,-0.025034832,0.035380004,0.947117171,0.03,-0.025147423,0.039145899,1.130255114,0.035,-0.02340396,0.042103998,0.584280619,0.005484517,0.592968654,0.005484517,0.516425375
0.02,-0.02602745,0.032824224,3.195358555,0.025,-0.025074094,0.035407801,0.991078122,0.03,-0.025314859,0.039253746,1.251160626,0.035,-0.023467383,0.042139306,0.600879182,0.005687853,0.577908113,0.005687853,0.520167938
0.02,-0.026054631,0.03284577,3.198820236,0.025,-0.025113356,0.035435592,1.029734697,0.03,-0.025482295,0.03936189,1.41238307,0.035,-0.023530805,0.042174641,0.619862733,0.005891201,0.553648963,0.005891201,0.517946703
