"point-pressure-b"
"Time Step" "point-pressure-b"
("Time Step" "point-pressure-b")
0 -7090.83935546875
10 -9922.2236328125
20 -9252.0537109375
30 -9642.83984375
40 -8790.9248046875
50 -7598.658203125
60 -6365.2001953125
70 -5275.16943359375
80 -4772.11669921875
90 -4833.18994140625
100 -5154.298828125
110 -5569.099609375
120 -6159.17578125
130 -6944.52685546875
140 -7272.642578125
150 -7299.98291015625
160 -7453.42578125
170 -7901.15478515625
180 -7737.32666015625
190 -7134.52685546875
200 -6893.1142578125
210 -6889.203125
220 -7342.107421875
230 -9168.8779296875
240 -10386.5205078125
250 -9821.0673828125
260 -9081.1513671875
270 -9648.48828125
280 -7773.85205078125
290 -9268.158203125
300 -8534.4638671875
310 -6607.443359375
320 -6530.06884765625
330 -6060.529296875
340 -6598.896484375
350 -6851.38916015625
360 -7172.28515625
370 -8126.3828125
380 -7635.16259765625
390 -7827.236328125
400 -9210.06640625
410 -10513.787109375
420 -10715.8828125
430 -9743.052734375
440 -8394.3916015625
450 -7182.521484375
460 -7332.4560546875
470 -8021.22412109375
480 -8869.3681640625
490 -8131.41259765625
500 -7562.6435546875
510 -8111.71337890625
520 -8308.40625
530 -7286.24267578125
540 -6544.640625
550 -7088.84619140625
560 -6903.13232421875
570 -8224.400390625
580 -8703.9365234375
590 -9453.611328125
600 -9484.267578125
610 -9564.857421875
620 -9451.4580078125
630 -9961.263671875
640 -10534.7138671875
650 -10740.4482421875
660 -9928.724609375
670 -9748.9375
680 -9794.115234375
690 -9345.953125
700 -9162.748046875
710 -9737.626953125
720 -10976.5595703125
730 -10373.890625
740 -9686.4375
750 -9069.7021484375
760 -9029.1787109375
770 -9437.8251953125
780 -9458.845703125
790 -8889.4951171875
800 -8775.9228515625
810 -8333.36328125
820 -8612.67578125
830 -8387.138671875
840 -9038.4326171875
850 -8858.1767578125
860 -9247.220703125
870 -8414.7451171875
880 -8464.994140625
890 -9326.9365234375
900 -10508.6162109375
910 -10276.9228515625
920 -9770.6962890625
930 -9425.142578125
940 -8950.7431640625
950 -8852.8935546875
960 -9082.2421875
970 -9621.8408203125
980 -8763.0458984375
990 -8082.22216796875
1000 -7928.18359375
1010 -7881.04296875
1020 -7352.65478515625
1030 -7660.6162109375
1040 -7367.515625
1050 -8511.7490234375
1060 -8414.2578125
1070 -9451.384765625
1080 -10589.4580078125
1090 -11960.490234375
1100 -11525.9580078125
1110 -11592.931640625
1120 -10993.734375
1130 -10988.3720703125
1140 -10417.8251953125
1150 -10483.7509765625
1160 -9462.2646484375
1170 -9484.3232421875
1180 -9681.3759765625
1190 -9890.962890625
1200 -10153.8828125
1210 -9625.3212890625
1220 -10800.599609375
1230 -9690.9580078125
1240 -8591.375
1250 -8839.3173828125
1260 -7600.6611328125
1270 -6353.19775390625
1280 -7008.5537109375
1290 -7451.921875
1300 -7673.16943359375
1310 -7784.75341796875
1320 -7964.89599609375
1330 -8022.93408203125
1340 -7724.79736328125
1350 -8392.5078125
1360 -8934.498046875
1370 -9294.369140625
1380 -9863.6904296875
1390 -9218.2021484375
1400 -9034.490234375
1410 -9479.1728515625
1420 -9308.642578125
1430 -9007.896484375
1440 -8629.09765625
1450 -9817.416015625
1460 -7946.1259765625
1470 -8333.18359375
1480 -7351.5166015625
1490 -7096.21875
1500 -6879.61279296875
1510 -6636.12744140625
1520 -6174.3076171875
1530 -7184.75732421875
1540 -7928.6826171875
1550 -8013.3857421875
1560 -8500.376953125
1570 -9284.92578125
1580 -9709.36328125
1590 -10848.5869140625
1600 -10327.37890625
1610 -9931.3955078125
1620 -10402.1767578125
1630 -9973.537109375
1640 -9813.7705078125
1650 -10028.736328125
1660 -10448.7705078125
1670 -10831.28125
1680 -11743.6484375
1690 -11658.1083984375
1700 -13605.52734375
1710 -13039.83203125
1720 -11039.55859375
1730 -9652.8291015625
1740 -8035.70849609375
1750 -6612.46044921875
1760 -6726.125
1770 -7121.076171875
1780 -7532.3291015625
1790 -8082.595703125
1800 -7882.56884765625
1810 -6834.29052734375
1820 -6590.67431640625
1830 -7088.61669921875
1840 -7384.90234375
1850 -7941.97802734375
1860 -8772.5185546875
1870 -9462.6943359375
1880 -9818.73046875
1890 -9705.212890625
1900 -9280.287109375
1910 -9789.4599609375
1920 -9544.19921875
1930 -8565.2880859375
1940 -9410.9072265625
1950 -8461.5205078125
1960 -9544.7822265625
1970 -7672.62744140625
1980 -6974.923828125
1990 -6083.203125
2000 -6751.9794921875
2010 -7360.99609375
2020 -8056.79052734375
2030 -8492.9267578125
2040 -8784.27734375
2050 -9390.0078125
2060 -9752.3125
2070 -10217.8154296875
2080 -10217.0302734375
2090 -10001.421875
2100 -9772.0361328125
2110 -9769.5556640625
2120 -9589.033203125
2130 -9961.2314453125
2140 -10248.97265625
2150 -11885.287109375
2160 -11964.12109375
2170 -10993.5400390625
2180 -11112.9521484375
2190 -11694.5283203125
2200 -10385.60546875
2210 -9452.404296875
2220 -7504.3505859375
2230 -7239.30908203125
2240 -6514.29638671875
2250 -7976.3896484375
2260 -7776.29541015625
2270 -8041.99951171875
2280 -8732.599609375
2290 -10308.6396484375
2300 -10054.92578125
2310 -9077.962890625
2320 -9588.4619140625
2330 -9596.2041015625
2340 -8284.8076171875
2350 -8148.93359375
2360 -8237.1396484375
2370 -8604.35546875
2380 -8728.052734375
2390 -10237.384765625
2400 -10825.7451171875
2410 -11393.86328125
2420 -10935.0439453125
2430 -9621.591796875
2440 -9157.7880859375
2450 -8658.2109375
2460 -7902.1220703125
2470 -7615.49267578125
2480 -6902.78125
2490 -7469.9228515625
2500 -8538.18359375
2510 -9852.04296875
2520 -9952.591796875
2530 -9797.0947265625
2540 -9922.0263671875
2550 -9607.259765625
2560 -9324.091796875
2570 -8960.3671875
2580 -8831.6064453125
2590 -8461.291015625
2600 -7950.25927734375
2610 -8181.15234375
2620 -9527.0361328125
2630 -10606.8759765625
2640 -11714.44921875
2650 -12074.8681640625
2660 -9682.9892578125
2670 -8892.2353515625
2680 -9107.830078125
2690 -7772.828125
2700 -7915.8291015625
2710 -7316.32373046875
2720 -7095.31884765625
2730 -7369.76123046875
2740 -7543.43603515625
2750 -7541.21142578125
2760 -7952.1826171875
2770 -9026.73046875
2780 -9790.5869140625
2790 -9997.287109375
2800 -10079.09765625
2810 -10083.849609375
2820 -10745.279296875
2830 -11052.984375
2840 -10921.078125
2850 -10965.142578125
2860 -10746.640625
2870 -11365.3916015625
2880 -11057.361328125
2890 -11755.39453125
2900 -11211.232421875
2910 -11179.80078125
2920 -11297.4892578125
2930 -10307.7607421875
2940 -9770.1904296875
2950 -9448.103515625
2960 -8058.45068359375
2970 -7377.6328125
2980 -7639.88330078125
2990 -8251.029296875
3000 -7941.451171875
3010 -8816.6689453125
3020 -9587.1650390625
3030 -10561.04296875
3040 -10423.64453125
3050 -10140.015625
3060 -10120.8916015625
3070 -9866.5048828125
3080 -9515.6298828125
3090 -9567.5859375
3100 -9980.36328125
3110 -10966.3876953125
3120 -11150.958984375
3130 -10123.16015625
3140 -10539.6923828125
3150 -11748.2373046875
3160 -10722.833984375
3170 -9360.9521484375
3180 -7579.77099609375
3190 -7261.099609375
3200 -7403.8623046875
3210 -7726.06591796875
3220 -8104.0869140625
3230 -8166.23779296875
3240 -8263.6748046875
3250 -8640.052734375
3260 -10333.0673828125
3270 -11043.033203125
3280 -9368.3330078125
3290 -8715.310546875
3300 -8792.712890625
3310 -8842.5048828125
3320 -8602.2939453125
3330 -8397.1181640625
3340 -9302.19921875
3350 -9942.90625
3360 -10553.7490234375
3370 -10723.7041015625
3380 -10955.3125
3390 -10534.109375
3400 -10775.1708984375
3410 -10119.9892578125
3420 -10123.873046875
3430 -9273.0361328125
3440 -8920.884765625
3450 -9274.3359375
3460 -9096.0947265625
3470 -9331.2333984375
3480 -9137.25390625
3490 -9361.4921875
3500 -9537.5234375
3510 -10619.8876953125
3520 -11230.498046875
3530 -11335.8125
3540 -10513.9677734375
3550 -10218.64453125
3560 -9807.134765625
3570 -9378.451171875
3580 -9222.7666015625
3590 -10084.0869140625
3600 -10726.3798828125
3610 -10431.0703125
3620 -9446.1396484375
3630 -8764.66015625
3640 -8507.541015625
3650 -7990.904296875
3660 -7606.091796875
3670 -6125.50341796875
3680 -6638.89306640625
3690 -7404.3515625
3700 -8407.6669921875
3710 -8076.20263671875
3720 -8644.7705078125
3730 -9290.6162109375
3740 -9682.5458984375
3750 -9572.931640625
3760 -8639.9794921875
3770 -8725.8232421875
3780 -9103.51953125
3790 -9775.9033203125
3800 -9882.484375
3810 -10828.6064453125
3820 -10478.97265625
3830 -10471.3818359375
3840 -10279.603515625
3850 -9658.5380859375
3860 -9953.4052734375
3870 -10803.2783203125
3880 -10453.9384765625
3890 -10541.888671875
3900 -9690.46875
3910 -7953.25390625
3920 -6777.3876953125
3930 -7123.6142578125
3940 -7819.38720703125
3950 -8464.255859375
3960 -9017.2001953125
3970 -9601.998046875
3980 -9667.09375
3990 -9743.6044921875
4000 -9420.119140625
4010 -9221.0908203125
4020 -10069.9609375
4030 -10398.06640625
4040 -11084.22265625
4050 -10757.3896484375
4060 -10850.2021484375
4070 -11422.302734375
4080 -12644.525390625
4090 -11817.3330078125
4100 -11075.751953125
4110 -9244.0498046875
4120 -8586.3515625
4130 -8749.087890625
4140 -7962.56396484375
4150 -7677.9228515625
4160 -8293.0009765625
4170 -8879.0380859375
4180 -9361.5439453125
4190 -9376.0517578125
4200 -9802.5283203125
4210 -10687.0087890625
4220 -11477.0595703125
4230 -10585.451171875
4240 -11210.1064453125
4250 -11696.376953125
4260 -11634.9072265625
4270 -10371.3037109375
4280 -9417.61328125
4290 -9007.32421875
4300 -8735.6591796875
4310 -9053.3623046875
4320 -11291.7666015625
4330 -11224.9033203125
4340 -10972.736328125
4350 -10708.177734375
4360 -8953.087890625
4370 -8363.71875
4380 -7677.509765625
4390 -6815.935546875
4400 -7602.96875
4410 -8600.0595703125
4420 -9657.5185546875
4430 -10222.763671875
4440 -12163.099609375
4450 -11711.2744140625
4460 -12110.2685546875
4470 -11173.1708984375
4480 -10362.21484375
4490 -10823.923828125
4500 -11276.56640625
4510 -10329.267578125
4520 -9567.533203125
4530 -9321.0166015625
4540 -9345.048828125
4550 -9523.1376953125
4560 -11322.1240234375
4570 -9924.21484375
4580 -10495.6591796875
4590 -9892.591796875
4600 -10739.5361328125
4610 -10040.0693359375
4620 -8630.4541015625
4630 -7953.99462890625
4640 -7483.95361328125
4650 -8038.4072265625
4660 -8063.65087890625
4670 -8591.10546875
4680 -8862.8115234375
4690 -9280.9892578125
4700 -9312.5439453125
4710 -10280.1669921875
4720 -10955.740234375
4730 -10771.4541015625
4740 -9743.6494140625
4750 -10099.9267578125
4760 -9292.8037109375
4770 -8465.248046875
4780 -8150.72021484375
4790 -8613.8310546875
4800 -9498.154296875
