"p-in"
"Time Step" "p-in"
("Time Step" "p-in")
0 -24222.01252104514
10 -26702.41559560613
20 -26501.68037404861
30 -26067.72229571912
40 -25372.59517639007
50 -24308.89493570068
60 -23152.13162535804
70 -22126.28622179453
80 -21695.8035140302
90 -21891.41459950576
100 -22383.36548840013
110 -22870.19884912096
120 -23513.2987398529
130 -24296.66952858306
140 -24663.53365733744
150 -24699.08568717441
160 -24880.77268138683
170 -25357.75016846295
180 -25214.32724969103
190 -24657.23960764738
200 -24472.45540861855
210 -24551.15004455942
220 -25025.93963813263
230 -25873.68340043034
240 -26321.7173475754
250 -26531.81783199987
260 -25939.60258937649
270 -25151.05016884666
280 -24643.33506983194
290 -24662.7342711986
300 -23736.9692284661
310 -22876.16142620547
320 -22589.57697200058
330 -23153.97628401579
340 -23671.0430474959
350 -23891.98435259096
360 -23980.83802348565
370 -24471.48659089624
380 -24314.24374676691
390 -24511.03865019888
400 -25175.60052720813
410 -26627.32064963608
420 -27392.91851496637
430 -26882.54320623025
440 -25564.56810665925
450 -24452.29189339102
460 -24519.83170335693
470 -24234.05583477343
480 -23960.80477077655
490 -23670.95048086924
500 -23421.03100944414
510 -23346.67757405041
520 -23849.85483942591
530 -23470.95086124455
540 -23144.824285913
550 -23053.36847400748
560 -23323.19624884514
570 -24158.4414526166
580 -25258.57887789626
590 -26108.41162693057
600 -26212.07810511152
610 -26279.81228651047
620 -26331.49593919798
630 -26811.61906354121
640 -27365.94550392023
650 -27362.684577016
660 -27123.18381935193
670 -27011.10382571663
680 -26989.354162751
690 -26632.71260389067
700 -26318.89240416481
710 -26060.1467819005
720 -26050.78540750781
730 -26127.13067949356
740 -25926.32352344375
750 -25792.08775850306
760 -25716.01312943685
770 -25238.20618972242
780 -24723.8950018714
790 -23995.90034677836
800 -24112.79075368813
810 -24589.59129900061
820 -25067.83845023871
830 -25296.82200789116
840 -25808.85013809938
850 -25761.26801009194
860 -26251.09184732907
870 -25572.41856011405
880 -25754.05950284786
890 -26558.00918773915
900 -27730.88924615175
910 -27860.24064803364
920 -27274.17979015629
930 -26951.66508665302
940 -26526.23546792273
950 -25499.93503811936
960 -24745.67897410451
970 -24758.47739168277
980 -24412.73822806908
990 -24078.74096139823
1000 -24335.28094973819
1010 -24736.21922147239
1020 -24267.48036938075
1030 -23917.37156608655
1040 -23624.8460806723
1050 -24322.40529652432
1060 -25321.72808979957
1070 -26535.09550146208
1080 -27733.30485867326
1090 -28740.6368647051
1100 -28573.79972711597
1110 -28314.45599106248
1120 -28159.800711332
1130 -28418.60102433958
1140 -27938.97443665627
1150 -27596.97486878649
1160 -27226.65486671756
1170 -26866.84456990805
1180 -26956.19438861092
1190 -26218.14054165921
1200 -25907.52209743137
1210 -26073.61993847936
1220 -25151.54865898455
1230 -24721.13586253245
1240 -24407.31651612186
1250 -24344.47595739526
1260 -23531.38342846521
1270 -22967.49393341738
1280 -23164.06923740714
1290 -23936.09682915706
1300 -24476.70306533335
1310 -24784.42851397719
1320 -24703.91453591012
1330 -24639.73962401448
1340 -24655.00115785769
1350 -25246.87463333659
1360 -26174.70304660275
1370 -26881.12708867
1380 -27162.23888632458
1390 -26475.20894946011
1400 -26391.89502961317
1410 -26625.32716178724
1420 -26054.15078572883
1430 -25228.96956112996
1440 -24642.86542610752
1450 -24342.53883170497
1460 -24116.77741123383
1470 -24486.75752486716
1480 -24089.18457349387
1490 -23675.34840884614
1500 -23322.96943045255
1510 -22692.17035975015
1520 -22452.92580622224
1530 -23027.20095090503
1540 -23988.41507621358
1550 -24519.03333802728
1560 -24926.3546084768
1570 -25596.96216100119
1580 -26228.46941965994
1590 -27301.63954466697
1600 -27211.05708536997
1610 -26869.46277815594
1620 -27396.29368842231
1630 -26976.00258771509
1640 -27101.94576240177
1650 -27244.60551503469
1660 -27480.312000919
1670 -27090.38931513801
1680 -26894.75569127664
1690 -27625.37919601513
1700 -27979.76079053043
1710 -27874.16428843905
1720 -26850.04042880194
1730 -25438.14848202238
1740 -24342.24607705409
1750 -23473.05919885711
1760 -23247.4004705142
1770 -23925.12866962775
1780 -24299.07438773443
1790 -24700.93170390713
1800 -24960.84652341399
1810 -24028.93543375268
1820 -23307.40325426099
1830 -23611.84853268546
1840 -24273.10527340479
1850 -24921.84929849038
1860 -25951.91426074
1870 -26932.42871736466
1880 -26916.90050172799
1890 -27059.02729573715
1900 -26854.57712749267
1910 -26284.87498187434
1920 -25341.93376876638
1930 -25012.26070243516
1940 -25460.17963437779
1950 -25883.33686967538
1960 -25450.47163623367
1970 -24796.43510710011
1980 -23705.27361324813
1990 -23067.65162609346
2000 -23505.458981214
2010 -24151.28804928007
2020 -25008.41338864292
2030 -25352.51385972398
2040 -26075.72441913201
2050 -26651.6812632251
2060 -26882.75283434703
2070 -27109.25500635529
2080 -27280.04132500977
2090 -27136.63149094822
2100 -26877.44358389399
2110 -26664.70794747102
2120 -26965.56901241689
2130 -27417.28774909793
2140 -27731.61086991853
2150 -28197.09667480211
2160 -28041.2118972501
