"point-gw-a"
"Time Step" "point-gw-a"
("Time Step" "point-gw-a")
2410 1.408129861601992e-07
2420 1.416553629951522e-07
2430 1.420963968712385e-07
2440 1.423597524308207e-07
2450 1.425653692876949e-07
2460 1.427230529316148e-07
2470 1.426999460818479e-07
2480 1.423945548140182e-07
2490 1.417857049546001e-07
2500 1.409103447258531e-07
2510 1.399475308971887e-07
2520 1.391656780924677e-07
2530 1.386757446653064e-07
2540 1.384588870223524e-07
2550 1.383121173148538e-07
2560 1.379584659844113e-07
2570 1.372842319824485e-07
2580 1.363931829700959e-07
2590 1.356504384375512e-07
2600 1.354566308009453e-07
2610 1.359904757691766e-07
2620 1.369894704339458e-07
2630 1.381379348686096e-07
2640 1.391485255908265e-07
2650 1.397875024622408e-07
2660 1.399050972850091e-07
2670 1.394811590671452e-07
2680 1.385635357564752e-07
2690 1.373279587824072e-07
2700 1.359988175408944e-07
2710 1.346783591316125e-07
2720 1.334354351456568e-07
2730 1.323430609545539e-07
2740 1.314515856165599e-07
2750 1.308426362811588e-07
2760 1.304980514760246e-07
2770 1.302827996596534e-07
2780 1.300697078931989e-07
2790 1.298489138434888e-07
2800 1.297562164381816e-07
2810 1.299780052477217e-07
2820 1.307732730992939e-07
2830 1.323167566624761e-07
2840 1.345247824247053e-07
2850 1.371041236097881e-07
2860 1.396955724430882e-07
2870 1.420033299837087e-07
2880 1.438368570916282e-07
2890 1.451482631864565e-07
2900 1.459894320987587e-07
2910 1.464950685203803e-07
2920 1.466957826323778e-07
2930 1.466615628942236e-07
2940 1.465348304918734e-07
2950 1.462461511891888e-07
2960 1.457647442748566e-07
2970 1.4504330181353e-07
2980 1.440389638673878e-07
2990 1.429042271183789e-07
3000 1.418872130898308e-07
3010 1.411275860618844e-07
3020 1.406181837637632e-07
3030 1.402601839117779e-07
3040 1.397806386194134e-07
3050 1.389493888837023e-07
3060 1.377682252723389e-07
3070 1.365299198141656e-07
3080 1.356609971026046e-07
3090 1.354791123731047e-07
3100 1.35917403554231e-07
3110 1.367201889479475e-07
3120 1.375959470806265e-07
3130 1.383341441396624e-07
3140 1.387469268365749e-07
3150 1.387289785270696e-07
3160 1.382928189741506e-07
3170 1.375664737679472e-07
3180 1.367535560348188e-07
3190 1.359564976155525e-07
3200 1.351816507622061e-07
3210 1.344124171964722e-07
3220 1.336614303681927e-07
3230 1.330324579384978e-07
3240 1.325326337564547e-07
3250 1.320535147897317e-07
3260 1.315122659661938e-07
3270 1.309398669491202e-07
3280 1.304749730479671e-07
3290 1.302643539702331e-07
3300 1.305574244270247e-07
3310 1.315676172453095e-07
3320 1.332670791498458e-07
3330 1.354045622292688e-07
3340 1.376389775487041e-07
3350 1.396777946638394e-07
3360 1.413422694440669e-07
3370 1.42571551009496e-07
3380 1.434055008076029e-07
3390 1.43940553698485e-07
3400 1.442656980543688e-07
3410 1.445263109189909e-07
3420 1.447528603648607e-07
3430 1.44836874937937e-07
3440 1.446789923420511e-07
3450 1.442252113292852e-07
3460 1.434859626670004e-07
3470 1.426008111593546e-07
3480 1.41822781074552e-07
3490 1.413017258755644e-07
3500 1.409925118878164e-07
3510 1.407272520737024e-07
3520 1.402504494762979e-07
3530 1.394303978941025e-07
3540 1.383181995606719e-07
3550 1.372081470663034e-07
3560 1.365224449045854e-07
3570 1.365731776559187e-07
3580 1.372095255192107e-07
3590 1.381029477443008e-07
3600 1.389206403246135e-07
3610 1.394312079128213e-07
3620 1.395370219370307e-07
3630 1.392165813740576e-07
3640 1.384918135727276e-07
3650 1.374826013034181e-07
3660 1.364331296827004e-07
3670 1.354745648995959e-07
3680 1.346957958503481e-07
3690 1.341332165338827e-07
3700 1.3376235585838e-07
3710 1.336123176542969e-07
3720 1.336520227823712e-07
3730 1.337503761078551e-07
3740 1.338026009989335e-07
3750 1.337953676738834e-07
3760 1.33769191279498e-07
3770 1.338683262019913e-07
3780 1.343835123179815e-07
3790 1.355514172018957e-07
3800 1.374273210785759e-07
3810 1.398174447331257e-07
3820 1.423629356622769e-07
3830 1.44693615311553e-07
3840 1.465414243284613e-07
3850 1.478415754263551e-07
3860 1.486252187987702e-07
3870 1.490329282205494e-07
3880 1.493138057639953e-07
3890 1.49576337094004e-07
3900 1.497769233083091e-07
3910 1.497178061526938e-07
3920 1.492993675356047e-07
3930 1.485677785240114e-07
3940 1.476497999419735e-07
3950 1.467632557705656e-07
3960 1.461286274206941e-07
3970 1.457647158531472e-07
3980 1.455460392207897e-07
3990 1.453261972983455e-07
4000 1.449228221872545e-07
4010 1.442209196511612e-07
4020 1.433043195220307e-07
4030 1.424376705472241e-07
4040 1.419540467395564e-07
4050 1.421005038082512e-07
4060 1.427737856829481e-07
4070 1.43649998562978e-07
4080 1.443681867385749e-07
4090 1.447143063160183e-07
4100 1.445383475129347e-07
4110 1.43839059774109e-07
4120 1.427556384214768e-07
4130 1.415434383034153e-07
4140 1.40430529427249e-07
4150 1.394640491980681e-07
4160 1.386612353826422e-07
4170 1.380137746309629e-07
4180 1.375053813035265e-07
4190 1.372315807657287e-07
4200 1.372109466046822e-07
4210 1.373061309095647e-07
4220 1.374234983586575e-07
4230 1.37533049837657e-07
4240 1.376999279045776e-07
4250 1.381028198466083e-07
4260 1.38988625053571e-07
4270 1.405394414177863e-07
4280 1.427760167871384e-07
4290 1.454838098879918e-07
4300 1.482942337815985e-07
4310 1.508673506123159e-07
4320 1.529512019260437e-07
4330 1.544626684335526e-07
4340 1.554271591430734e-07
4350 1.559667026640454e-07
4360 1.563431766271606e-07
4370 1.567299250382348e-07
4380 1.570916339233008e-07
4390 1.572090582158125e-07
4400 1.569226810715918e-07
4410 1.562388547426963e-07
4420 1.552674859794934e-07
4430 1.542663454756621e-07
4440 1.535512552663931e-07
4450 1.531751365746459e-07
4460 1.530283384454378e-07
4470 1.529210180706286e-07
4480 1.525094006638028e-07
4490 1.516712444527002e-07
4500 1.506071498624806e-07
4510 1.497645456538521e-07
4520 1.495738644052835e-07
4530 1.501968540651433e-07
4540 1.513301981503901e-07
4550 1.526060486867209e-07
4560 1.537200517987003e-07
4570 1.545306531625101e-07
4580 1.548833097331226e-07
4590 1.547616506059057e-07
4600 1.542389469477712e-07
4610 1.53424920767975e-07
4620 1.524631585425595e-07
4630 1.514139853497909e-07
4640 1.503103419508989e-07
4650 1.491970351708005e-07
4660 1.482133455965595e-07
4670 1.475282118690302e-07
4680 1.47225691193853e-07
4690 1.472263306823152e-07
4700 1.474179782690044e-07
4710 1.477423978712977e-07
4720 1.482583371625878e-07
4730 1.490876684329123e-07
4740 1.505133013779414e-07
4750 1.527167512449523e-07
4760 1.556312980710572e-07
4770 1.589420719483314e-07
4780 1.621189653633337e-07
4790 1.647652254632703e-07
4800 1.667460480803129e-07
4810 1.680729724284902e-07
4820 1.688779178721234e-07
4830 1.693374116484847e-07
4840 1.696288762786935e-07
4850 1.699410034916582e-07
4860 1.702194794006573e-07
4870 1.701040162060963e-07
4880 1.694294695653298e-07
4890 1.682550134773919e-07
4900 1.667407616423588e-07
4910 1.652584558087256e-07
4920 1.641995055479128e-07
4930 1.636192905607459e-07
4940 1.634790578464163e-07
4950 1.636068134303059e-07
4960 1.636415731809393e-07
4970 1.63304576972223e-07
4980 1.627039978302491e-07
4990 1.622371001985812e-07
5000 1.622609886453574e-07
5010 1.628250174690038e-07
5020 1.636728796938769e-07
5030 1.64673281233263e-07
5040 1.659136046328058e-07
5050 1.67250760796378e-07
5060 1.682739991792914e-07
5070 1.686510415765952e-07
5080 1.683963972709535e-07
5090 1.677834120528132e-07
5100 1.670919118623715e-07
5110 1.663818238739623e-07
5120 1.656006674011223e-07
5130 1.646404257371614e-07
5140 1.635595197058137e-07
5150 1.627377628210525e-07
5160 1.624836158953258e-07
5170 1.627053762831565e-07
5180 1.631248807143493e-07
5190 1.634528814520309e-07
