"gw-eds-hemolysis"
"Time_Step" "eds-hemolysis"
("Time_Step" "eds-hemolysis")
0 0
10 1.348278323482781e-11
20 2.763146940340216e-11
30 4.175164787845085e-11
40 5.584591094087132e-11
50 6.991182835027489e-11
60 8.394628066106734e-11
70 9.794714895439458e-11
80 1.119139833157047e-10
90 1.258470271382825e-10
100 1.397484201067734e-10
110 1.536195825827043e-10
120 1.674631816913814e-10
130 1.812806055396576e-10
140 1.950729315565101e-10
150 2.088429358215428e-10
160 2.22590864823293e-10
170 2.363162892995222e-10
180 2.500197432941094e-10
190 2.637020420978772e-10
200 2.77362879241307e-10
210 2.910018295672256e-10
220 3.046186075199211e-10
230 3.182126816333226e-10
240 3.3178319079361e-10
250 3.453321411655474e-10
260 3.588583113528486e-10
270 3.723626240439234e-10
280 3.858450210156408e-10
290 3.993054473831897e-10
300 4.127418733183293e-10
310 4.261576262979872e-10
320 4.395512833093484e-10
330 4.529242611717558e-10
340 4.662728851710063e-10
350 4.795986230476311e-10
360 4.929031049486637e-10
370 5.061830950657745e-10
380 5.194390066751164e-10
390 5.326737143839399e-10
400 5.45884663724293e-10
410 5.590713388949781e-10
420 5.722343114402586e-10
430 5.853730621987952e-10
440 5.984912432542725e-10
450 6.115881549819884e-10
460 6.246642257093572e-10
470 6.377173272207471e-10
480 6.507526065345968e-10
490 6.637686940821158e-10
500 6.767665761493242e-10
510 6.897482051847747e-10
520 7.027111656236621e-10
530 7.15656288022439e-10
540 7.285879472707802e-10
550 7.415031192001629e-10
560 7.544032054647075e-10
570 7.672858994914136e-10
580 7.801537628153695e-10
590 7.930045998285055e-10
600 8.058391484812284e-10
610 8.186557645899639e-10
620 8.314606865490492e-10
630 8.442474587135663e-10
640 8.570175107032927e-10
650 8.6976934711469e-10
660 8.825069457047178e-10
670 8.952306462597651e-10
680 9.079378187832739e-10
690 9.206303126188519e-10
700 9.333105534244797e-10
710 9.45976927255068e-10
720 9.586310400209873e-10
730 9.712754548810323e-10
740 9.83905939079224e-10
750 9.965285944393251e-10
760 1.009141546751549e-09
770 1.021744965783937e-09
780 1.034339912824939e-09
790 1.046927292814778e-09
800 1.059509524880113e-09
810 1.072081819884904e-09
820 1.084645611068067e-09
830 1.097203809638225e-09
840 1.109753142877661e-09
850 1.122293215641419e-09
860 1.134830942853813e-09
870 1.14735728602487e-09
880 1.159876462048147e-09
890 1.172382262762751e-09
900 1.18487640688631e-09
910 1.197362952283484e-09
920 1.209841021133542e-09
930 1.222309270635244e-09
940 1.234767807961804e-09
950 1.24721814642479e-09
960 1.259661515967673e-09
970 1.2720967551607e-09
980 1.284523496775398e-09
990 1.296945838619403e-09
1000 1.309364873747723e-09
1010 1.321776138127279e-09
1020 1.334183799426725e-09
1030 1.346592622896204e-09
1040 1.358999906499351e-09
1050 1.371406709196921e-09
1060 1.383815327596253e-09
1070 1.396219975250761e-09
1080 1.40863151432876e-09
1090 1.421047706575873e-09
1100 1.433459362343655e-09
1110 1.44588199676615e-09
1120 1.458313365159544e-09
1130 1.470743907982636e-09
1140 1.483178809821938e-09
1150 1.495621296731992e-09
1160 1.508072027186559e-09
1170 1.520528092588549e-09
1180 1.53298822457955e-09
1190 1.54545747886686e-09
1200 1.55793416090796e-09
1210 1.570414617891388e-09
1220 1.582909353498223e-09
1230 1.595401550654352e-09
1240 1.607909047677104e-09
1250 1.620420917984764e-09
1260 1.632942280115376e-09
1270 1.645476783586655e-09
1280 1.658020188066298e-09
1290 1.670571777054509e-09
1300 1.683135331022154e-09
1310 1.695708927206169e-09
1320 1.708294362065862e-09
1330 1.720895440815694e-09
1340 1.733510737710467e-09
1350 1.746142190354396e-09
1360 1.758785373503056e-09
1370 1.771443856221788e-09
1380 1.784115966554431e-09
1390 1.796805529957528e-09
1400 1.809518350545826e-09
1410 1.822244650096782e-09
1420 1.834987898745163e-09
1430 1.847751279554185e-09
1440 1.860537053478603e-09
1450 1.873339051677431e-09
1460 1.886165376244044e-09
1470 1.899008359297462e-09
1480 1.91186601587422e-09
1490 1.924753654201691e-09
1500 1.937659591817483e-09
1510 1.950589202694787e-09
1520 1.963538067460275e-09
1530 1.976513438907352e-09
1540 1.989504305286983e-09
1550 2.002521083654285e-09
1560 2.015560664635776e-09
1570 2.028624373669327e-09
1580 2.041702869267471e-09
1590 2.05480862896844e-09
1600 2.067938848865904e-09
1610 2.08109443131753e-09
1620 2.094277673651544e-09
1630 2.107478023641239e-09
1640 2.120709855759576e-09
1650 2.133966591486647e-09
1660 2.147257157790426e-09
1670 2.160565630099035e-09
1680 2.173909630862421e-09
1690 2.187279819251056e-09
1700 2.200674248962379e-09
1710 2.214103397916632e-09
1720 2.227560640694431e-09
1730 2.241041443232225e-09
1740 2.254556808642527e-09
1750 2.268100427916141e-09
1760 2.281680485667047e-09
1770 2.295287495519276e-09
1780 2.308915158816491e-09
1790 2.322574622224476e-09
1800 2.336256227715457e-09
1810 2.34997312521554e-09
