"mass-flux"
"Time Step" "mass-flux"
("Time Step" "mass-flux")
0 -0.0001096875757679236
10 1.894077907294012e-07
20 7.617007810600818e-08
30 8.046535242278718e-08
40 6.69688684784564e-08
50 1.525332165228099e-07
60 3.666033175434014e-07
70 5.540228128347868e-07
80 -1.526929970310786e-07
90 1.557931285645076e-07
100 -6.578498175299763e-07
110 -5.715168065537068e-07
120 -1.000506898475584e-06
130 -8.752143173251792e-07
140 4.324662475074792e-07
150 1.074174174608977e-08
160 -8.098857718005781e-07
170 -3.272934653228421e-07
180 7.327740797619109e-07
190 8.458242506878544e-07
200 4.55124452396205e-07
210 -1.152797971665231e-07
220 -8.712736896537843e-07
230 -1.116120409677679e-06
240 6.320689954070202e-08
250 1.61872611870173e-07
260 5.684197137353908e-07
270 4.072410972125184e-07
280 -8.633937981922246e-08
290 -4.891371192528027e-07
300 8.166120972832869e-07
310 8.205450668444247e-07
320 2.628305349125504e-07
330 -1.010450726791901e-06
340 -6.262551338620526e-07
350 -2.321875918823157e-07
360 -9.674428393946499e-07
370 -4.306399936440664e-07
380 5.781803598323143e-07
390 -3.489246054172446e-07
400 -8.741759754751777e-07
410 -9.382790326223356e-07
420 -5.949362058763064e-07
430 5.659532852156368e-07
440 6.14992706780837e-07
450 3.081883825639675e-07
460 -2.698278425347644e-07
470 6.501497625821528e-07
480 3.533459574101006e-07
490 2.092993433497337e-07
500 3.456086454037277e-07
510 -4.226804065504686e-07
520 -3.358565245914491e-07
530 4.937753165998315e-07
540 1.602496676952891e-07
550 4.704566124169585e-08
560 -6.240394869669319e-07
570 -4.340699238936097e-07
580 -6.645166658880708e-07
590 -3.749192039187443e-07
600 -2.818017594552469e-07
610 7.007270458464498e-07
620 -3.414761960696122e-07
630 -3.685303370873361e-07
640 -4.958668549798206e-07
650 1.849089733413356e-07
660 3.63003998804512e-07
670 5.211619601847017e-08
680 2.235457976298982e-07
690 3.569434098293911e-07
700 3.950446388067963e-08
710 1.913099570358123e-07
720 3.107067753915782e-07
730 -3.911168641665408e-07
740 2.237293134296769e-07
750 1.932320363509654e-07
760 2.780087265882858e-07
770 4.126793462996825e-07
780 6.058961412869213e-07
790 5.398236771411713e-07
800 -3.852511078136778e-07
810 -6.033107531125403e-07
820 -3.397782257288928e-07
830 -4.897969473546815e-07
840 2.207256649053302e-07
850 7.968034457864204e-07
860 4.674185120345786e-07
870 3.173564926198247e-07
880 -4.622521444369587e-07
890 -4.456338716374297e-07
900 1.098089637482924e-07
910 3.50670958500221e-07
920 3.207785531297858e-07
930 2.555844190732515e-07
940 3.784664122583048e-07
950 4.713482817317316e-07
960 3.589526423458667e-07
970 3.441888700925211e-07
980 5.016846495245475e-07
990 3.550797687268403e-07
1000 -3.98891171884963e-07
1010 9.384106686854965e-08
1020 4.033445187776041e-07
1030 -8.942425524377517e-08
1040 -3.196460366464149e-07
1050 -4.291376721754503e-07
1060 -8.918195423326947e-07
1070 -6.421036504583588e-08
1080 -3.773610598584165e-07
1090 -8.095982650946354e-07
1100 4.951984173343082e-07
1110 2.596403854485119e-07
1120 -7.394659537821036e-07
1130 -2.722940948066133e-07
1140 3.638851867951431e-07
1150 5.439949119362408e-07
1160 2.711198415980554e-07
1170 1.664421739114297e-07
1180 6.038000700606116e-07
1190 3.210549537543961e-07
1200 8.680508635505735e-08
1210 5.44776709597572e-07
1220 -4.323776516892974e-07
1230 4.401976341564251e-07
1240 2.073496042920286e-08
1250 3.383510067539452e-07
1260 4.994104928143783e-07
1270 -9.982802343100339e-08
1280 -3.000630036872898e-07
1290 -2.782648808805077e-07
1300 -4.476817333093353e-07
1310 -1.709972176980323e-07
1320 2.835005845289174e-07
1330 1.571488828927547e-07
1340 -3.633576051847998e-08
1350 -4.902694862446433e-07
1360 -5.3339253951179e-07
1370 -5.388765726352385e-07
1380 1.214435710050754e-07
1390 5.663037627029466e-07
1400 -2.966532291898138e-07
1410 4.477462609009386e-09
1420 5.026992454457146e-07
1430 5.59575798884937e-07
1440 4.115038648028202e-08
1450 3.119374974228095e-07
1460 -4.49252527394417e-07
1470 -3.148816119513675e-07
1480 7.825427874030844e-07
1490 1.040910509314541e-07
1500 3.128568282495525e-07
1510 -1.360986365966932e-08
1520 2.451899130603841e-07
1530 -5.384963623483729e-07
1540 -1.304079591882279e-07
1550 -2.784588862825288e-07
1560 -5.337375926922627e-07
1570 -9.357210290911189e-07
1580 -2.906056718529615e-07
1590 -2.199018595480662e-07
1600 3.242735861636037e-07
1610 2.24362071706008e-07
1620 -4.454343503212943e-07
1630 2.693237136711102e-07
1640 -8.789980848744605e-08
1650 5.168058011192911e-07
1660 -3.851199278856465e-07
1670 4.461907440050927e-07
1680 -3.610732909817282e-07
1690 -5.993811067750432e-07
1700 2.040276050399581e-07
1710 9.964391729094801e-08
1720 1.196017566443275e-07
1730 7.248697209971677e-07
1740 6.495991672558765e-07
1750 7.140694079157961e-07
1760 -1.947435212187876e-07
1770 -6.219275399052537e-07
1780 -2.047581846506552e-07
1790 -4.081451774676226e-07
1800 5.575205496780034e-07
1810 1.449089848740148e-07
1820 4.78306790986649e-07
1830 -3.728675556993744e-07
1840 -5.613173494969925e-07
1850 -4.035396364079902e-07
1860 -6.952921860828298e-07
1870 -1.49179947235567e-07
1880 3.07576826660827e-07
1890 -2.39277250936587e-07
1900 3.564750750903456e-07
1910 5.785208845379697e-07
1920 7.607853962088296e-08
1930 -3.903400569230109e-07
1940 -4.469616714242175e-07
1950 -1.673734389973092e-08
1960 3.214844736462719e-07
1970 8.845171052818124e-07
1980 4.645556560822772e-07
1990 2.039414091770109e-07
2000 -3.478724743197215e-07
2010 -3.380903721081352e-07
2020 -3.414894106448796e-07
2030 -3.920770293847076e-08
2040 -9.945643164449569e-07
2050 3.980332645911466e-07
2060 -6.061141334043341e-07
2070 -4.179364399906071e-07
2080 -4.39354453603269e-07
2090 1.395247174740266e-07
2100 5.123879895096994e-07
2110 -2.462190651364438e-08
2120 -2.72054080437123e-07
2130 -2.191998080408597e-07
2140 -3.102413452804598e-07
2150 -3.882368723728824e-07
2160 5.311767238558307e-07
2170 -2.576391370523456e-07
2180 2.489405680969337e-07
2190 1.302979810158256e-07
2200 6.235826413361623e-07
2210 3.782655806569557e-07
2220 2.809822463797906e-07
2230 2.771661873346432e-07
2240 -3.726094081751841e-07
2250 -2.274365876742124e-07
2260 -4.125723140138704e-07
2270 -4.138353805818729e-07
2280 -2.214701457503576e-07
2290 -6.048461489160939e-07
2300 4.289491249628852e-07
2310 4.404467086327468e-07
2320 -3.945307513741891e-07
2330 5.326584178663718e-07
2340 1.144744893460947e-07
2350 2.92663251667824e-07
2360 -1.630258409102137e-07
2370 1.706837697221242e-07
2380 -7.612081371483059e-07
2390 -7.549650873628355e-07
2400 2.640303782622255e-07
2410 1.37100961035419e-07
2420 2.290725165249308e-07
2430 3.209290592928737e-07
2440 3.578573357504444e-07
2450 2.964674504848941e-07
2460 3.269511559267357e-07
2470 2.897283660555083e-07
2480 -2.621667826441243e-07
