"point-gw-a"
"Time Step" "point-gw-a"
("Time Step" "point-gw-a")
0 0
10 1.92430746892569e-08
20 3.760100142358169e-08
30 5.397743763069229e-08
40 6.858384438146459e-08
50 8.167520348933976e-08
60 9.34799544438647e-08
70 1.041653590050373e-07
80 1.138132645905898e-07
90 1.224544661226901e-07
100 1.301042260593022e-07
110 1.367689890230395e-07
120 1.424902933422345e-07
130 1.473192270395884e-07
140 1.513034817435255e-07
150 1.545185313034381e-07
160 1.570373484582888e-07
170 1.589185245620683e-07
180 1.602006136636192e-07
190 1.60922894565374e-07
200 1.611139310853105e-07
210 1.608106572348333e-07
220 1.600555492586864e-07
230 1.589196187978814e-07
240 1.574924937131073e-07
250 1.558702251713839e-07
260 1.541323513265525e-07
270 1.523524559843281e-07
280 1.505865441231435e-07
290 1.488787546577441e-07
300 1.47243156334298e-07
310 1.456850924341779e-07
320 1.441880073116408e-07
330 1.427291778099971e-07
340 1.412922330246147e-07
350 1.398772013772032e-07
360 1.385148067356567e-07
370 1.372546734046409e-07
380 1.361516410725017e-07
390 1.352503744556088e-07
400 1.345778457562119e-07
410 1.341119713060834e-07
420 1.338137849415943e-07
430 1.336383661509899e-07
440 1.335545505298796e-07
450 1.335607606733902e-07
460 1.336510990768147e-07
470 1.338123780669775e-07
480 1.340260524784753e-07
490 1.342605315812762e-07
500 1.344779008149999e-07
510 1.346490421383351e-07
520 1.347456333178343e-07
530 1.347464007039889e-07
540 1.346467968232901e-07
550 1.344542255310444e-07
560 1.341973216995029e-07
570 1.3392103426213e-07
580 1.336668304929844e-07
590 1.334699248900506e-07
600 1.333555417204479e-07
610 1.333168597739132e-07
620 1.333310422069189e-07
630 1.333613397491717e-07
640 1.333668819825107e-07
650 1.333090580146745e-07
660 1.331687542460713e-07
670 1.329502907765345e-07
680 1.326920369137952e-07
690 1.324480791708993e-07
700 1.322520688518125e-07
710 1.320990179465298e-07
720 1.319571651947626e-07
730 1.317845459425371e-07
740 1.315550548497413e-07
750 1.312592132762802e-07
760 1.309082620082336e-07
770 1.30522579411263e-07
780 1.30135319409419e-07
790 1.29764330836224e-07
800 1.294166054321977e-07
810 1.291160174332617e-07
820 1.288839968083266e-07
830 1.287803854665981e-07
840 1.288674269517287e-07
850 1.291925855184672e-07
860 1.297757705742697e-07
870 1.306253096799992e-07
880 1.317170728043493e-07
890 1.330039651747938e-07
900 1.344100581945895e-07
910 1.358516783511732e-07
920 1.372623898987513e-07
930 1.385992334235198e-07
940 1.398169473532107e-07
950 1.408848646633487e-07
960 1.417963915173459e-07
970 1.425670461685513e-07
980 1.431944269825181e-07
990 1.436851135849793e-07
1000 1.440853338863235e-07
1010 1.444255701699149e-07
1020 1.447446891233994e-07
1030 1.450647886258594e-07
1040 1.453773421644655e-07
1050 1.456574523217569e-07
1060 1.45889970326607e-07
1070 1.460464744695855e-07
1080 1.460835648003922e-07
1090 1.459666520986502e-07
1100 1.456653677678332e-07
1110 1.451789870543507e-07
1120 1.445271351485644e-07
1130 1.437268366544231e-07
1140 1.428107339052076e-07
1150 1.418220705318163e-07
1160 1.408114655987447e-07
1170 1.39852758707093e-07
1180 1.390157109426582e-07
1190 1.383494065976265e-07
1200 1.37889969664684e-07
1210 1.37642928166315e-07
1220 1.375693869931638e-07
1230 1.376154585841505e-07
1240 1.377165403937397e-07
1250 1.378214022906832e-07
1260 1.378747640501388e-07
1270 1.378052161271626e-07
1280 1.375780129819759e-07
1290 1.37190951932098e-07
1300 1.366779827094433e-07
1310 1.361009935862967e-07
1320 1.355371352929069e-07
1330 1.350620237872135e-07
1340 1.347474807289473e-07
1350 1.346516711464574e-07
1360 1.348014677660103e-07
1370 1.351623666323576e-07
1380 1.356663261731228e-07
1390 1.362410131378056e-07
1400 1.368305220239563e-07
1410 1.374265963249854e-07
1420 1.380196152922508e-07
1430 1.385861594371818e-07
1440 1.390994270877854e-07
1450 1.39526278530866e-07
1460 1.398422426746038e-07
1470 1.400220384084605e-07
1480 1.400376845595019e-07
1490 1.398767039972881e-07
1500 1.395477937649048e-07
1510 1.390765760334034e-07
1520 1.385198089565165e-07
1530 1.379503089538048e-07
1540 1.374242941665216e-07
1550 1.369791249317132e-07
1560 1.366329627217056e-07
1570 1.363680581789595e-07
1580 1.361544264000258e-07
1590 1.359475447770819e-07
1600 1.357018959424749e-07
1610 1.353730283426557e-07
1620 1.349431784092303e-07
1630 1.34426798581444e-07
1640 1.338669761707934e-07
1650 1.333204693310108e-07
1660 1.328272531964103e-07
1670 1.323910225892178e-07
1680 1.319903759622321e-07
1690 1.315952147251664e-07
1700 1.311870505560364e-07
1710 1.307612791379142e-07
1720 1.303298375887607e-07
1730 1.299082441619248e-07
1740 1.295232010534164e-07
1750 1.291917044454749e-07
1760 1.289176481122922e-07
1770 1.287094875124239e-07
1780 1.285894626334994e-07
1790 1.28622360762165e-07
1800 1.288753281869504e-07
1810 1.293891642717426e-07
1820 1.301767724726233e-07
1830 1.312276083353936e-07
1840 1.325047378486488e-07
1850 1.339552682111389e-07
1860 1.355106746814272e-07
1870 1.37095597096959e-07
1880 1.386480192877571e-07
1890 1.401189706484729e-07
1900 1.414639427821385e-07
1910 1.426574129936853e-07
1920 1.437007313143113e-07
1930 1.446141197902762e-07
1940 1.454121871802272e-07
1950 1.461201293295744e-07
1960 1.467730754711738e-07
1970 1.473855348876896e-07
1980 1.479442772733819e-07
1990 1.484055331957279e-07
2000 1.487376124487128e-07
2010 1.489251530983893e-07
2020 1.489698462364686e-07
2030 1.488765946078274e-07
2040 1.486396428163062e-07
2050 1.482798666074814e-07
2060 1.478067730431576e-07
2070 1.472129440571734e-07
2080 1.464923258254203e-07
2090 1.456532459087612e-07
2100 1.447092756734492e-07
2110 1.436897747453258e-07
2120 1.426285223260493e-07
2130 1.415855450659365e-07
2140 1.406234986234267e-07
2150 1.397918794054931e-07
2160 1.391425570318461e-07
2170 1.386880512654898e-07
2180 1.383992724868222e-07
2190 1.382288417062227e-07
2200 1.381224592478247e-07
2210 1.380259107008897e-07
2220 1.378637648485892e-07
2230 1.375783398316344e-07
2240 1.371333553379372e-07
2250 1.365227717542439e-07
2260 1.35780879872982e-07
2270 1.349625193824977e-07
2280 1.341409756605572e-07
2290 1.33393712076213e-07
2300 1.328033221170699e-07
2310 1.324311966754976e-07
2320 1.323137013287123e-07
2330 1.324303440242147e-07
2340 1.327237129089553e-07
2350 1.331281964667141e-07
2360 1.335938577540219e-07
2370 1.34111544980442e-07
2380 1.346755169606695e-07
2390 1.352629794837412e-07
2400 1.358436207965497e-07
2410 1.363824395639313e-07
2420 1.368450313066205e-07
2430 1.371937088379127e-07
2440 1.373934424009349e-07
2450 1.374214093630144e-07
2460 1.372783771103059e-07
2470 1.36981725518126e-07
2480 1.365825710308854e-07
2490 1.361554637924201e-07
2500 1.35764764763735e-07
2510 1.354550107635077e-07
2520 1.352397163145724e-07
2530 1.350983467318656e-07
2540 1.350000644606553e-07
2550 1.349025353647448e-07
2560 1.347580962374195e-07
2570 1.345173501476893e-07
2580 1.341569202395476e-07
2590 1.336782133876113e-07
2600 1.331273153937218e-07
2610 1.325593927958835e-07
2620 1.320149038974705e-07
2630 1.315014230840461e-07
2640 1.309994672737957e-07
2650 1.304926655620875e-07
2660 1.299762999451559e-07
2670 1.294532268047988e-07
2680 1.289374864654746e-07
2690 1.284459898442947e-07
2700 1.279989447766638e-07
2710 1.276145553674723e-07
2720 1.272955643116802e-07
2730 1.270527860697257e-07
2740 1.269179250584784e-07
2750 1.269433340667092e-07
2760 1.271712761763411e-07
2770 1.276198844379905e-07
2780 1.282923136614045e-07
2790 1.291722639962245e-07
2800 1.302350085552462e-07
2810 1.314438264898854e-07
2820 1.327460807942771e-07
2830 1.340821143003268e-07
2840 1.354045764401235e-07
2850 1.366693851423406e-07
2860 1.37827697699322e-07
2870 1.388444417216306e-07
2880 1.39712795999003e-07
2890 1.404428928708512e-07
2900 1.410451346828268e-07
2910 1.415332633314392e-07
2920 1.419411006509108e-07
2930 1.422950077767382e-07
2940 1.426383704483669e-07
2950 1.429855984724782e-07
2960 1.433255363281205e-07
2970 1.436429784007487e-07
2980 1.439320129748012e-07
2990 1.441646588773438e-07
3000 1.442950008367916e-07
3010 1.442804489215632e-07
3020 1.440890287085494e-07
3030 1.437263819070722e-07
3040 1.432072593843259e-07
3050 1.425434845714335e-07
3060 1.41753673688072e-07
3070 1.408769776389818e-07
3080 1.399663034362675e-07
3090 1.39088172090851e-07
3100 1.383241681196523e-07
3110 1.377280369752043e-07
3120 1.373367979340401e-07
3130 1.371551263673609e-07
3140 1.371457329923942e-07
3150 1.372552844713937e-07
3160 1.374180982338657e-07
