"point-pressure-a"
"Time Step" "point-pressure-a"
("Time Step" "point-pressure-a")
0 -24331.990234375
10 -26811.5625
20 -26610.111328125
30 -26177.416015625
40 -25480.45703125
50 -24416.099609375
60 -23260.248046875
70 -22229.748046875
80 -21806.34765625
90 -22004.275390625
100 -22482.8203125
110 -22980.927734375
120 -23612.205078125
130 -24411.150390625
140 -24762.26171875
150 -24809.140625
160 -24987.734375
170 -25462.5
180 -25321.236328125
190 -24765.189453125
200 -24580.181640625
210 -24652.0625
220 -25134.9609375
230 -25983.2734375
240 -26429.61328125
250 -26640.23828125
260 -26052.064453125
270 -25254.828125
280 -24756.763671875
290 -24773.646484375
300 -23852.369140625
310 -22987.9296875
320 -22701.390625
330 -23264.982421875
340 -23779.78515625
350 -24001.978515625
360 -24092.251953125
370 -24580.767578125
380 -24423.861328125
390 -24622.66015625
400 -25287.912109375
410 -26737.630859375
420 -27503.873046875
430 -26992.12890625
440 -25675.9140625
450 -24561.826171875
460 -24626.841796875
470 -24345.486328125
480 -24074.666015625
490 -23781.169921875
500 -23532.328125
510 -23457.447265625
520 -23958.5546875
530 -23580.392578125
540 -23256.693359375
550 -23163.580078125
560 -23435.37109375
570 -24270.72265625
580 -25367.44921875
590 -26218.912109375
600 -26323.525390625
610 -26391.154296875
620 -26443.388671875
630 -26922.771484375
640 -27476.615234375
650 -27473.509765625
660 -27233.55078125
670 -27121.83203125
680 -27101.5546875
690 -26746.19140625
700 -26430.67578125
710 -26172.70703125
720 -26161.06640625
730 -26237.12890625
740 -26037.201171875
750 -25902.361328125
760 -25827.48828125
770 -25348.833984375
780 -24833.8828125
790 -24107.509765625
800 -24222.6875
810 -24701.203125
820 -25179.140625
830 -25406.197265625
840 -25919.78125
850 -25870.025390625
860 -26362.67578125
870 -25681.69921875
880 -25863.49609375
890 -26665.5078125
900 -27842.78515625
910 -27972.119140625
920 -27385.1796875
930 -27061.345703125
940 -26636.435546875
950 -25612.1328125
960 -24858.1015625
970 -24869.7578125
980 -24522.11328125
990 -24189.078125
1000 -24444.787109375
1010 -24846.216796875
1020 -24376.642578125
1030 -24025.833984375
1040 -23734.96875
1050 -24437.232421875
1060 -25437.46484375
1070 -26646.322265625
1080 -27843.79296875
1090 -28850.60546875
1100 -28682.75390625
1110 -28422.919921875
1120 -28271.14453125
1130 -28527.90234375
1140 -28052.486328125
1150 -27707.544921875
1160 -27338.357421875
1170 -26976.181640625
1180 -27069.666015625
1190 -26329.2734375
1200 -26017.228515625
1210 -26183.763671875
1220 -25262.26953125
1230 -24832.4375
1240 -24515.86328125
1250 -24458.02734375
1260 -23640.0546875
1270 -23078.396484375
1280 -23272.845703125
1290 -24045.236328125
1300 -24588.6953125
1310 -24895.921875
1320 -24812.775390625
1330 -24751.23828125
1340 -24765.7890625
1350 -25358.38671875
1360 -26285.34375
1370 -26991.833984375
1380 -27273.78125
1390 -26589.9140625
1400 -26504.779296875
1410 -26735.583984375
1420 -26164.234375
1430 -25340.341796875
1440 -24751.37109375
1450 -24453.8359375
1460 -24228.390625
1470 -24597.40625
1480 -24199.017578125
1490 -23786.646484375
1500 -23434.400390625
1510 -22803.70703125
1520 -22564.876953125
1530 -23138.015625
1540 -24098.755859375
1550 -24629.755859375
1560 -25036.751953125
1570 -25707.01171875
1580 -26339.115234375
1590 -27411.48046875
1600 -27319.822265625
1610 -26977.435546875
1620 -27507.162109375
1630 -27082.9609375
1640 -27210.416015625
1650 -27350.880859375
1660 -27591.0546875
1670 -27205.55078125
1680 -27006.18359375
1690 -27735.7421875
1700 -28091.61328125
1710 -27982.59765625
1720 -26960.76171875
1730 -25549.6484375
1740 -24452.28515625
1750 -23581.990234375
1760 -23352.92578125
1770 -24033.517578125
1780 -24409.765625
1790 -24812.208984375
1800 -25070.173828125
1810 -24139.013671875
1820 -23417.90625
1830 -23719.216796875
1840 -24382.87890625
1850 -25032.353515625
1860 -26062.97265625
1870 -27042.578125
1880 -27027.84375
1890 -27169.828125
1900 -26964.775390625
1910 -26395.078125
1920 -25452.083984375
1930 -25123.6640625
1940 -25568.625
1950 -25993.919921875
1960 -25561.01171875
1970 -24906.51953125
1980 -23817.400390625
1990 -23181.154296875
2000 -23615.748046875
2010 -24259.32421875
2020 -25122.28125
2030 -25464.318359375
2040 -26187.328125
2050 -26761.3515625
2060 -26991.640625
2070 -27218.884765625
2080 -27391.396484375
2090 -27247.47265625
2100 -26984.7734375
2110 -26775.375
2120 -27075.30078125
2130 -27528.759765625
2140 -27841.1328125
2150 -28307.61328125
2160 -28151.546875
2170 -28202.638671875
2180 -27845.875
2190 -27045.265625
2200 -25904.20703125
2210 -24803.8046875
2220 -23980.13671875
2230 -23675.123046875
2240 -23869.19921875
2250 -24188.419921875
2260 -24622.130859375
2270 -25175.5859375
2280 -25882.376953125
2290 -27117.94921875
2300 -27145.8984375
2310 -26398.970703125
2320 -26585.158203125
2330 -26563.513671875
2340 -25883.2890625
2350 -25523.6640625
2360 -25592.71875
2370 -25467.232421875
2380 -25993.306640625
2390 -26840.125
2400 -27073.7734375
2410 -27035.16015625
2420 -26977.45703125
2430 -26551.326171875
2440 -26185.818359375
2450 -25386.5234375
2460 -24704.1171875
2470 -24142.169921875
2480 -24007.8125
2490 -24781.041015625
2500 -25453.392578125
2510 -26249.4296875
2520 -26606.9453125
2530 -26654.0078125
2540 -26774.5703125
2550 -26507.09765625
2560 -26226.05859375
2570 -25977.91796875
2580 -26022.1796875
2590 -25797.13671875
2600 -25238.59765625
2610 -25556.294921875
2620 -26923.58984375
2630 -27302.2734375
2640 -27745.82421875
2650 -27479.544921875
2660 -26374.642578125
2670 -25206.076171875
2680 -25107.853515625
2690 -24697.1171875
2700 -25011.322265625
2710 -24415.154296875
2720 -24364.6796875
2730 -24522.73046875
2740 -24530.806640625
2750 -24400.849609375
2760 -25229.505859375
2770 -26451.904296875
2780 -27091.5625
2790 -27216.728515625
2800 -27412.28515625
2810 -27427.99609375
2820 -28041.548828125
2830 -28544.060546875
2840 -28900.287109375
2850 -28747.44140625
2860 -28249.7109375
2870 -27794.625
2880 -26987.287109375
2890 -26410.9921875
2900 -26479.1796875
2910 -26970.234375
2920 -26545.12109375
2930 -25930.36328125
2940 -25491.177734375
2950 -25134.5859375
2960 -24750.81640625
2970 -24624.01953125
2980 -24704.1328125
2990 -24817.66796875
3000 -24978.798828125
3010 -25719.4609375
3020 -26683.22265625
3030 -27523.404296875
3040 -27439.8671875
3050 -27422.5625
3060 -27638.0703125
3070 -27493.703125
3080 -27009.423828125
3090 -26747.306640625
3100 -27175.240234375
3110 -27307.638671875
3120 -27004.091796875
3130 -26805.8671875
3140 -27099.3203125
3150 -27386.732421875
3160 -26905.9765625
3170 -25782.4296875
3180 -24832.404296875
3190 -24292.58984375
3200 -24081.42578125
3210 -24431.513671875
3220 -25006.81640625
3230 -25358.375
3240 -25313.10546875
3250 -25678.3125
3260 -27102.330078125
3270 -27533.7578125
3280 -26549.640625
3290 -26402.68359375
3300 -26533.400390625
3310 -26552.919921875
3320 -26116.7734375
3330 -25963.044921875
3340 -26377.3046875
3350 -26390.1484375
3360 -26290.96484375
3370 -26730.375
3380 -26725.8203125
3390 -26007.765625
3400 -26171.33984375
3410 -26933.900390625
3420 -27401.1796875
3430 -26538.470703125
3440 -25986.27734375
3450 -26107.044921875
3460 -26014.267578125
3470 -26183.4609375
3480 -26164.404296875
3490 -26491.66796875
3500 -26767.185546875
3510 -27760.248046875
3520 -28293.703125
3530 -28537.291015625
3540 -27710.5
3550 -27615.939453125
3560 -27265.033203125
3570 -27112.107421875
3580 -26932.3515625
3590 -26846.62109375
3600 -26927.224609375
3610 -26618.29296875
3620 -25773.814453125
3630 -25220.798828125
3640 -24640.89453125
3650 -24203.080078125
3660 -23723.8359375
3670 -23436.283203125
3680 -23976.607421875
3690 -24754.708984375
3700 -25255.8359375
3710 -25824.8515625
3720 -26376.234375
3730 -26827.86328125
3740 -27308.630859375
3750 -27071.8515625
3760 -26271.033203125
3770 -26157.76171875
3780 -26460.82421875
3790 -27017.5234375
3800 -27212.484375
3810 -27920.1015625
3820 -27375.17578125
3830 -26874.44921875
3840 -26427.650390625
3850 -26428.322265625
3860 -26595.794921875
3870 -26781.09375
3880 -26358.552734375
3890 -25656.4140625
3900 -25283.095703125
3910 -24479.501953125
3920 -23843.62109375
3930 -24131.732421875
3940 -24700.34375
3950 -25477.28515625
3960 -26076.09375
3970 -26510.958984375
3980 -26511.587890625
3990 -26551.869140625
4000 -26620.099609375
4010 -26756.861328125
4020 -27358.060546875
4030 -27887.921875
4040 -28049.880859375
4050 -27818.4609375
4060 -27738.76171875
4070 -27572.51171875
4080 -27346.908203125
4090 -27131.095703125
4100 -26777.71484375
4110 -26100.91796875
4120 -25587.748046875
4130 -25445.298828125
4140 -25065
4150 -24457.171875
4160 -24395.33984375
4170 -25235.234375
4180 -25949.482421875
4190 -26222.3203125
4200 -26858.4921875
4210 -27563.341796875
4220 -27670.9296875
4230 -27434.353515625
4240 -28380.578125
4250 -28880.861328125
4260 -28493.99609375
4270 -27598.193359375
4280 -27033.75
4290 -26051.958984375
4300 -25642.181640625
