"point-pressure-d"
"Time_Step" "point-pressure-d"
("Time_Step" "point-pressure-d")
0 -7007.8759765625
10 -6658.7451171875
20 -6592.69921875
30 -6402.6484375
40 -6101.93017578125
50 -5652.7001953125
60 -5111.0673828125
70 -4269.0400390625
80 -3734.22216796875
90 -3558.87890625
100 -3761.03857421875
110 -4804.31689453125
120 -5951.6181640625
130 -5578.6474609375
140 -5813.6572265625
150 -6039.01611328125
160 -5841.4404296875
170 -5853.62451171875
180 -6075.4013671875
190 -5528.15625
200 -5565.072265625
210 -5481.814453125
220 -5846.79296875
230 -6668.7119140625
240 -6805.30859375
250 -6536.9921875
260 -6620.8896484375
270 -6320.8955078125
280 -6063.8935546875
290 -6062.6484375
300 -5364.6142578125
310 -4286.482421875
320 -3959.7138671875
330 -4710.89892578125
340 -5193.9609375
350 -6657.0546875
360 -6142.67626953125
370 -5443.2314453125
380 -5039.72607421875
390 -5369.447265625
400 -6535.05859375
410 -7930.0283203125
420 -7797.50146484375
430 -7212.10546875
440 -5929.8671875
450 -5003.58642578125
460 -5541.9736328125
470 -5154.4521484375
480 -4660.921875
490 -4279.82421875
500 -4354.966796875
510 -4665.64794921875
520 -5360.1064453125
530 -5391.150390625
540 -4938.4873046875
550 -4437.1328125
560 -4803.8916015625
570 -5757.4287109375
580 -6985.99462890625
590 -7475.01953125
600 -7514.19921875
610 -7269.296875
620 -7656.1689453125
630 -8568.76171875
640 -8462.9921875
650 -8299.533203125
660 -7793.67578125
670 -7714.361328125
680 -7621.5576171875
690 -6986.716796875
700 -6519.984375
710 -6249.3701171875
720 -6185.658203125
730 -6207.9814453125
740 -5958.9384765625
750 -6222.279296875
760 -5949.30078125
770 -6132.791015625
780 -6133.322265625
790 -5619.7021484375
800 -5450.02734375
810 -5761.6279296875
820 -5874.5361328125
830 -6122.9833984375
840 -6790.7177734375
850 -7101.4716796875
860 -6999.1494140625
870 -6120.71484375
880 -5922.80126953125
890 -6679.0693359375
900 -7847.55712890625
910 -7524.3408203125
920 -7590.2431640625
930 -7145.97802734375
940 -6761.666015625
950 -5841.607421875
960 -5212.0810546875
970 -4956.77392578125
980 -4552.7724609375
990 -4551.1875
1000 -4790.68603515625
1010 -5911.30517578125
1020 -5894.6181640625
1030 -5415.9130859375
1040 -4920.2421875
1050 -5210.0751953125
1060 -5506.5615234375
1070 -6934.408203125
1080 -7703.83837890625
1090 -8323.630859375
1100 -8409.0712890625
1110 -8302.587890625
1120 -8258.6279296875
1130 -8725.677734375
1140 -7948.10546875
1150 -7702.486328125
1160 -7637.8076171875
1170 -7021.8173828125
1180 -6825.9091796875
1190 -6809.87109375
1200 -6450.82958984375
1210 -6353.3232421875
1220 -5716.9560546875
1230 -5623.8935546875
1240 -5783.4580078125
1250 -6256.4130859375
1260 -5823.45361328125
1270 -4992.818359375
1280 -4672.486328125
1290 -4869.35302734375
1300 -5599.4013671875
1310 -6357.43798828125
1320 -5615.431640625
1330 -5249.642578125
1340 -5372.7744140625
1350 -5656.5849609375
1360 -6618.779296875
1370 -6971.1552734375
1380 -7018.47216796875
1390 -6431.4150390625
1400 -6756.015625
1410 -7257.861328125
1420 -7174.7685546875
1430 -5929.916015625
1440 -5458.51953125
1450 -5329.00927734375
1460 -5196.91796875
1470 -5360.26416015625
1480 -5221.244140625
1490 -5126.14404296875
1500 -4751.587890625
1510 -4120.03076171875
1520 -3741.79248046875
1530 -4072.04052734375
1540 -5040.88916015625
1550 -5326.4501953125
1560 -6439.93603515625
1570 -7567.35888671875
1580 -7494.7294921875
1590 -7920.16162109375
1600 -8191.24365234375
1610 -7383.81396484375
1620 -7649.271484375
1630 -7072.33203125
1640 -7179.09765625
1650 -7160.92041015625
1660 -7400.19140625
1670 -7270.36328125
1680 -7116.20703125
1690 -7862.6591796875
1700 -8046.6865234375
1710 -8162.0751953125
1720 -7516.6240234375
1730 -6277.17333984375
1740 -5266.8212890625
1750 -4462.8759765625
1760 -3749.521484375
1770 -5612.6708984375
1780 -5841.8564453125
1790 -5389.1103515625
1800 -5590.47998046875
1810 -4886.82373046875
1820 -4090.87744140625
1830 -4033.10888671875
1840 -4659.169921875
1850 -5449.32666015625
1860 -6181.14453125
1870 -6914.396484375
1880 -8894.7509765625
1890 -8171.958984375
1900 -7242.46484375
1910 -6820.10888671875
1920 -5899.0322265625
1930 -5458.84912109375
1940 -5769.189453125
1950 -6486.7978515625
1960 -5877.1298828125
1970 -5796.3837890625
1980 -4750.9443359375
1990 -4178.197265625
2000 -4474.57177734375
2010 -5552.5068359375
2020 -6379.9296875
2030 -6640.63671875
2040 -6495.06396484375
2050 -6715.630859375
2060 -7425.568359375
2070 -7151.80419921875
2080 -7189.4208984375
2090 -7130.5576171875
2100 -7249.6123046875
2110 -7015.0341796875
2120 -6994.9833984375
2130 -7723.080078125
2140 -7494.314453125
2150 -7902.4990234375
2160 -7830.7451171875
2170 -8102.0029296875
2180 -8103.58154296875
2190 -7479.703125
2200 -6544.7666015625
