"point-pressure-e"
"Time_Step" "point-pressure-e"
("Time_Step" "point-pressure-e")
0 -1485.52392578125
10 -1089.361328125
20 -983.5909423828125
30 -844.3716430664062
40 -723.29345703125
50 -582.9771118164062
60 -498.252197265625
70 -398.6058654785156
80 -312.7615966796875
90 -221.0557861328125
100 -79.13277435302734
110 33.55436706542969
120 30.48630142211914
130 -0.4357442855834961
140 -33.17108535766602
150 -43.99386978149414
160 -120.2767181396484
170 -153.1924438476562
180 -275.2456970214844
190 -345.7195129394531
200 -509.1226806640625
210 -726.1531372070312
220 -864.8286743164062
230 -871.4287109375
240 -890.7713623046875
250 -1036.811157226562
260 -1307.947143554688
270 -1541.125244140625
280 -1422.575561523438
290 -1083.71533203125
300 -355.1233825683594
310 498.9476928710938
320 286.6653137207031
330 -355.818603515625
340 -1123.942749023438
350 -1417.142944335938
360 -1242.63818359375
370 -1495.956787109375
380 -1615.30126953125
390 -1457.665161132812
400 -1055.206665039062
410 -1796.1494140625
420 -1813.580078125
430 -375.7233276367188
440 173.6976013183594
450 123.225715637207
460 -602.1674194335938
470 -1207.156005859375
480 -163.3923034667969
490 -168.577880859375
500 -251.1261291503906
510 -375.9872436523438
520 -716.2431030273438
530 -1075.78955078125
540 -928.9634399414062
550 -996.5556640625
560 -1241.9755859375
570 -1146.85546875
580 -1070.558471679688
590 -1357.616577148438
600 -1396.473510742188
610 -1694.5986328125
620 -1980.81591796875
630 -2008.020141601562
640 -1616.194702148438
650 -1407.0302734375
660 -1140.66259765625
670 -995.9869995117188
680 -1023.868957519531
690 -1121.099243164062
700 -1345.320434570312
710 -1507.200561523438
720 -1358.4130859375
730 -755.328369140625
740 -751.8590087890625
750 -1567.6669921875
760 -1798.534912109375
770 -2012.253662109375
780 -2203.049072265625
790 -2353.917236328125
800 -2606.30078125
810 -2636.499755859375
820 -1796.04052734375
830 -1293.52783203125
840 -1307.872192382812
850 -744.5994873046875
860 -399.42822265625
870 -529.3638305664062
880 -496.9078979492188
890 -497.3410949707031
900 -708.4825439453125
910 -925.7109985351562
920 -1052.676391601562
930 -1077.62548828125
940 -1168.380004882812
950 -1329.64453125
960 -1466.606201171875
970 -1693.361328125
980 -1896.884643554688
990 -1872.9248046875
1000 -1876.042724609375
1010 -1959.793212890625
1020 -1879.32666015625
1030 -1370.2626953125
1040 -1116.261596679688
1050 -1278.44580078125
1060 -1461.748168945312
1070 -1518.718872070312
1080 -1220.822631835938
1090 -937.83056640625
1100 -914.3392944335938
1110 -972.923095703125
1120 -1098.17578125
1130 -1657.34228515625
1140 -2701.921875
1150 -1823.47119140625
1160 -984.803955078125
1170 -893.4931640625
1180 -1183.640747070312
1190 -703.745849609375
1200 -459.6514282226562
1210 -781.64013671875
1220 -656.5742797851562
1230 -864.46923828125
1240 -1464.536865234375
1250 -1669.111450195312
1260 -2347.300537109375
1270 -1446.598022460938
1280 -855.9053955078125
1290 -1072.49365234375
1300 -1001.706909179688
1310 -777.468017578125
1320 -1010.810852050781
1330 -1195.200073242188
1340 -1523.304809570312
1350 -1711.686889648438
1360 -1588.6162109375
1370 -1612.915405273438
1380 -1197.641479492188
1390 -1093.517700195312
1400 -968.3499755859375
1410 -1036.730834960938
1420 -1163.884155273438
1430 -1525.47216796875
1440 -1876.53857421875
1450 -2280.515625
1460 -2126.496337890625
1470 -1463.412353515625
1480 -1113.019653320312
1490 -999.69091796875
1500 -1388.277587890625
1510 -1233.34765625
1520 -1194.165649414062
1530 -1486.8974609375
1540 -1911.42236328125
1550 -1502.470947265625
1560 -1546.705200195312
1570 -1738.575317382812
1580 -1752.662719726562
1590 -1565.812622070312
1600 -1488.044555664062
1610 -1328.453735351562
1620 -1386.063354492188
1630 -1386.734252929688
1640 -1834.424926757812
1650 -1502.399291992188
1660 -1451.453491210938
1670 -1405.998779296875
1680 -1239.709838867188
1690 -1227.464233398438
1700 -1286.775390625
1710 -1348.334838867188
1720 -1179.600952148438
1730 -1378.9189453125
1740 -1590.271850585938
1750 -1711.554321289062
1760 -1718.041259765625
1770 -1759.210693359375
1780 -1500.109130859375
1790 -1514.32666015625
1800 -1613.7080078125
1810 -1680.115966796875
1820 -1748.149658203125
1830 -1708.53955078125
1840 -1626.175048828125
1850 -1476.71337890625
1860 -1497.05029296875
1870 -1870.822998046875
1880 -1597.209228515625
1890 -1465.483520507812
1900 -985.9094848632812
1910 -1951.031494140625
1920 -2097.4765625
1930 -1503.322387695312
1940 -1685.394775390625
1950 -1918.2412109375
1960 -1805.256469726562
1970 -1521.330932617188
1980 -1511.892822265625
1990 -1613.71630859375
2000 -2059.86865234375
2010 -2066.05029296875
2020 -1786.821411132812
2030 -1745.766479492188
2040 -1499.08203125
2050 -1510.751586914062
2060 -1462.7783203125
2070 -1327.582275390625
2080 -1168.681396484375
2090 -1098.57177734375
2100 -1111.687866210938
2110 -1061.264526367188
2120 -1098.986694335938
2130 -1171.259521484375
2140 -1138.234985351562
2150 -1512.980224609375
2160 -2085.5517578125
2170 -1569.431640625
2180 -1237.318603515625
2190 -1277.518798828125
2200 -1399.369873046875
2210 -1268.687255859375
2220 -1108.675659179688
2230 -1061.669311523438
2240 -1153.442749023438
2250 -1445.428344726562
2260 -1524.837158203125
2270 -1424.688354492188
2280 -1341.560546875
2290 -1181.84130859375
2300 -1090.869262695312
2310 -1253.118041992188
2320 -1519.331298828125
2330 -1984.78857421875
2340 -1750.327758789062
2350 -1530.345825195312
2360 -1564.4873046875
2370 -1502.351806640625
2380 -1331.75390625
2390 -1290.465576171875
2400 -1315.0927734375
2410 -1337.193603515625
2420 -1449.328369140625
2430 -1460.196899414062
2440 -1626.070556640625
2450 -1452.851196289062
2460 -1256.782348632812
2470 -1374.637939453125
2480 -1351.66162109375
