"point-shear-d"
"Time_Step" "point-shear-d"
("Time_Step" "point-shear-d")
0 1513.573486328125
10 1552.714233398438
20 1567.73828125
30 1576.239501953125
40 1626.982666015625
50 1680.023315429688
60 1881.425048828125
70 3306.287841796875
80 2545.29443359375
90 2019.89794921875
100 4184.509765625
110 1583.680419921875
120 1703.6044921875
130 2323.948974609375
140 2989.69677734375
150 1837.735595703125
160 977.307373046875
170 1919.595581054688
180 1925.144775390625
190 2208.26953125
200 974.1895751953125
210 1336.56103515625
220 2204.80322265625
230 2586.1005859375
240 3202.79833984375
250 3943.91796875
260 3684.316650390625
270 2791.2724609375
280 1304.000244140625
290 826.4176025390625
300 633.6287841796875
310 2073.88037109375
320 3442.7001953125
330 1862.705810546875
340 4263.2919921875
350 3350.372802734375
360 4320.4580078125
370 4275.943359375
380 3661.88232421875
390 3955.32958984375
400 2355.804931640625
410 2740.46435546875
420 1932.156005859375
430 2386.02783203125
440 3319.829833984375
450 2639.27783203125
460 2158.12451171875
470 3675.8828125
480 2303.6142578125
490 2622.48388671875
500 2159.42529296875
510 1418.48486328125
520 596.502685546875
530 849.6573486328125
540 1768.15625
550 2538.21826171875
560 2503.976806640625
570 2803.236572265625
580 1735.61181640625
590 2496.81787109375
600 2551.97021484375
610 2177.048583984375
620 3756.04736328125
630 2154.42822265625
640 2627.18359375
650 2332.3505859375
660 1547.96337890625
670 1670.385620117188
680 1679.610961914062
690 993.9901123046875
700 988.026611328125
710 1385.372314453125
720 1977.25732421875
730 1701.824584960938
740 3252.797119140625
750 2654.26220703125
760 4998.4736328125
770 3555.00927734375
780 2924.4931640625
790 2138.35009765625
800 2682.015380859375
810 3598.654296875
820 2140.49609375
830 2348.94482421875
840 1658.623657226562
850 2539.75537109375
860 2501.91552734375
870 2782.18994140625
880 1731.205078125
890 2453.84130859375
900 1094.4208984375
910 2198.212890625
920 1465.65576171875
930 2975.33154296875
940 2124.14990234375
950 2006.254760742188
960 2541.74365234375
970 2573.1123046875
980 1786.8193359375
990 1813.218994140625
1000 2814.53076171875
1010 2225.021728515625
1020 4250.95947265625
1030 3704.460693359375
1040 1757.121826171875
1050 1451.42578125
1060 3563.7255859375
1070 5397.3271484375
1080 2987.439697265625
1090 2708.8623046875
1100 2034.801391601562
1110 2577.9873046875
1120 2168.185546875
1130 2252.550537109375
1140 3110.44677734375
1150 1470.40087890625
1160 1594.152587890625
1170 2198.21923828125
1180 4148.220703125
1190 2445.791015625
1200 1889.48583984375
1210 2596.76416015625
1220 2080.073974609375
1230 1981.074462890625
1240 1932.015625
1250 1403.244750976562
1260 1846.551391601562
1270 1378.997802734375
1280 1460.951171875
1290 2558.94873046875
1300 3022.018798828125
1310 2653.591064453125
1320 3346.064453125
1330 3108.10693359375
1340 2338.882080078125
1350 2446.53662109375
1360 1974.364135742188
1370 2683.46630859375
1380 2025.044189453125
1390 2714.96484375
1400 1598.658813476562
1410 1618.495361328125
1420 1439.615478515625
1430 2025.432861328125
1440 865.5224609375
1450 2350.329345703125
1460 1242.453369140625
1470 1700.07568359375
1480 1169.3876953125
1490 2516.5595703125
1500 2119.3603515625
1510 1454.39013671875
1520 2262.427734375
1530 2577.396484375
1540 4372.39453125
1550 2378.89892578125
1560 1812.9794921875
1570 3040.46630859375
1580 4434.974609375
1590 2056.3759765625
1600 2954.220703125
1610 2558.85400390625
1620 2212.306884765625
1630 1064.746459960938
1640 1382.352294921875
1650 1683.74267578125
1660 3630.98828125
1670 1537.070068359375
1680 2496.552001953125
1690 2276.11767578125
1700 1978.787719726562
1710 1596.438354492188
1720 1346.63330078125
1730 2114.5234375
1740 2114.3720703125
1750 2334.8427734375
1760 2917.53662109375
1770 2529.0146484375
1780 3710.06591796875
1790 2928.53125
1800 842.7142333984375
1810 1328.040405273438
1820 1441.88623046875
1830 2089.441650390625
1840 2229.885009765625
1850 1909.642456054688
1860 2874.05224609375
1870 4917.326171875
1880 2917.8369140625
1890 2323.25634765625
1900 1974.579833984375
1910 1598.92724609375
1920 1542.0302734375
1930 974.05810546875
1940 1985.73583984375
1950 1371.217041015625
1960 2125.63037109375
1970 2029.558349609375
1980 2824.74755859375
1990 2146.48388671875
2000 2660.977294921875
2010 2629.909912109375
2020 4444.6435546875
2030 2899.189453125
2040 4172.36767578125
2050 3187.36572265625
2060 2105.696044921875
2070 1630.538330078125
2080 1323.948852539062
2090 1074.683227539062
2100 2268.4853515625
2110 1843.302490234375
2120 2426.24267578125
2130 3326.37109375
2140 2182.51806640625
2150 1725.158569335938
2160 1832.710815429688
2170 1566.723754882812
2180 2603.17236328125
2190 1372.342529296875
2200 1106.664428710938
2210 1492.088623046875
2220 1622.81689453125
2230 1698.231567382812
2240 1054.211059570312
2250 1874.66650390625
2260 3175.54931640625
2270 3412.283447265625
2280 3588.115234375
2290 2423.25537109375
2300 3875.22412109375
2310 1926.586669921875
2320 4944.404296875
2330 3891.580078125
2340 3527.268310546875
2350 2401.8037109375
2360 2690.617919921875
2370 2094.5537109375
2380 1629.496704101562
2390 2638.1689453125
2400 2554.697998046875
2410 2372.74755859375
2420 3009.82861328125
2430 2477.35498046875
2440 1743.038696289062
2450 1988.927978515625
2460 2028.112915039062
2470 1724.154418945312
2480 1604.93310546875
2490 1242.40673828125
2500 1073.190673828125
2510 1532.846557617188
2520 2018.370361328125
2530 1066.579956054688
2540 1506.745971679688
2550 1150.200439453125
2560 3484.33154296875
2570 2730.6552734375
2580 1919.930908203125
2590 1540.256103515625
2600 2178.60205078125
2610 2583.1044921875
2620 2117.14404296875
2630 2377.20947265625
2640 1833.464965820312
2650 2011.510009765625
2660 1992.21875
2670 1610.001220703125
2680 1732.283081054688
2690 1295.2548828125
2700 1808.41650390625
2710 1368.681884765625
2720 2954.9052734375
2730 1628.852294921875
2740 2072.73974609375
2750 2415.83544921875
2760 2262.2919921875
2770 4407.55126953125
2780 3131.408935546875
2790 1470.67578125
2800 2260.8603515625
2810 1411.639404296875
2820 2513.829345703125
2830 2352.31005859375
2840 2676.29052734375
2850 1230.2578125
2860 1150.716552734375
2870 1950.581176757812
2880 4456.55078125
2890 2602.49658203125
2900 2084.506591796875
2910 2184.037841796875
2920 1967.17822265625
2930 762.2857666015625
2940 947.708251953125
2950 1375.663818359375
2960 1124.959716796875
2970 2270.926513671875
2980 2031.139892578125
2990 3152.604736328125
3000 1269.691162109375
3010 3031.48046875
3020 4188.193359375
3030 3121.1953125
3040 2799.27197265625
3050 2974.336669921875
3060 2231.80029296875
3070 1272.788940429688
3080 926.6189575195312
3090 1207.708251953125
3100 1878.76318359375
3110 2343.732666015625
3120 1508.240478515625
3130 2368.281494140625
3140 2659.60595703125
3150 2031.40234375
3160 2400.00830078125
3170 3731.2490234375
3180 3204.262451171875
3190 2884.1787109375
3200 2463.1796875
3210 3999.392822265625
3220 3330.689453125
3230 4098.56640625
3240 6783.7802734375
3250 6415.2783203125
3260 2665.2060546875
3270 2120.009765625
3280 2413.9111328125
3290 5123.552734375
3300 2240.08251953125
3310 2204.41845703125
3320 1973.04541015625
3330 2447.1015625
3340 3202.941650390625
3350 1508.053100585938
3360 1332.603637695312
3370 1792.5029296875
3380 1899.86669921875
3390 1713.719482421875
3400 1220.77978515625
3410 1843.215576171875
3420 1508.654907226562
3430 979.1417236328125
3440 765.537109375
3450 3069.45263671875
3460 1769.40087890625
3470 3325.45263671875
3480 1920.1865234375
3490 2736.705078125
3500 4113.796875
3510 1685.259765625
3520 1941.40185546875
3530 2071.73828125
3540 3510.6611328125
3550 1569.396240234375
3560 1587.759643554688
3570 1530.592651367188
3580 2258.669921875
3590 2154.68408203125
3600 1982.7578125
3610 1134.563110351562
3620 2450.10009765625
3630 2032.001220703125
3640 1809.220947265625
3650 1087.349609375
3660 2010.655395507812
3670 1799.17333984375
3680 1346.854736328125
3690 2288.740966796875
3700 4356.1083984375
3710 2533.7841796875
3720 4982.26171875
3730 4359.828125
3740 1996.550537109375
3750 1081.463623046875
3760 2182.3916015625
3770 3005.202880859375
3780 3250.57763671875
3790 2975.68359375
3800 1711.613037109375
3810 1833.563720703125
3820 1590.005004882812
3830 2123.271484375
3840 1962.10107421875
3850 2188.2294921875
3860 2177.7548828125
3870 1716.638061523438
3880 1404.0126953125
3890 1000.015502929688
3900 1819.498046875
3910 2831.034423828125
3920 2200.923828125
3930 1086.144409179688
3940 1944.649291992188
3950 2140.103515625
3960 2561.63671875
3970 2357.25341796875
3980 2376.27783203125
3990 2032.299560546875
4000 1372.96826171875
4010 1210.781982421875
4020 2459.01123046875
4030 1635.17236328125
4040 2127.0244140625
4050 1649.49169921875
4060 2258.57666015625
4070 1592.315673828125
4080 2157.5791015625
4090 1271.4130859375
4100 1480.342041015625
4110 1347.947509765625
4120 2143.46435546875
4130 1185.267822265625
4140 940.68359375
4150 1492.067138671875
4160 1934.8525390625
4170 2063.940185546875
4180 3073.5810546875
4190 1651.7158203125
4200 3895.533203125
4210 2525.93212890625
4220 3644.939453125
4230 2642.711669921875
4240 3533.76171875
4250 2281.09521484375
4260 1229.736572265625
4270 1555.41552734375
4280 1736.25390625
4290 2038.665893554688
4300 2114.03271484375
4310 1903.248413085938
4320 1056.412231445312
4330 1427.781616210938
4340 1596.237426757812
4350 2215.34033203125
4360 1932.59033203125
4370 1090.559326171875
4380 2375.185546875
4390 2935.9716796875
4400 2631.23193359375
4410 4000.961669921875
4420 3278.4111328125
4430 2262.687744140625
4440 1700.610107421875
4450 3253.431640625
4460 2584.77001953125
4470 2059.7861328125
4480 1411.344482421875
4490 2494.7744140625
4500 3210.32568359375
4510 5346.5498046875
4520 1839.147216796875
4530 1066.953857421875
4540 1261.916015625
4550 1317.787841796875
4560 1341.361572265625
4570 1701.262939453125
4580 1272.9375
4590 1518.47119140625
4600 1523.893676757812
4610 1526.306640625
4620 986.993896484375
4630 1225.773315429688
4640 2641.41259765625
4650 1792.8046875
4660 4085.2099609375
4670 2635.3583984375
4680 756.0471801757812
4690 2050.5791015625
4700 2244.63232421875
4710 4107.97705078125
4720 3304.38818359375
4730 2471.796875
