"mass-flux"
"Time Step" "mass-flux"
("Time Step" "mass-flux")
0 -0.0001096875757678542
10 2.587016267180386e-08
20 1.242203822582333e-07
30 1.926426531143055e-07
40 8.287841264525975e-07
50 -1.452412156953409e-06
60 -2.257784624225267e-06
70 4.429974705122408e-08
80 3.733869079550201e-07
90 4.006983327781155e-07
100 7.037997808503893e-07
110 -1.564962294857419e-06
120 -1.165296393192128e-06
130 2.638510560454277e-07
140 1.027084969233705e-06
150 1.068796218750556e-06
160 2.928642767532907e-07
170 -1.906403999905881e-06
180 -2.615046110696073e-07
190 8.394396564317952e-07
200 -1.926205725727437e-06
210 -6.788753916311951e-07
220 7.815902493477078e-07
230 4.26950299572959e-07
240 1.591974738819613e-06
250 1.138943703168915e-06
260 -9.028073230388234e-07
270 8.757401850287283e-07
280 -1.357458349691976e-06
290 -1.584387375470897e-06
300 1.723442465170755e-06
310 -9.39455384874055e-07
320 -1.031137354029488e-06
330 -2.427033061816464e-07
340 5.926005829520742e-07
350 7.37793164388989e-07
360 -1.301109052470606e-06
370 6.72361550255185e-07
380 -1.739622095195403e-07
390 8.158862700655134e-07
400 5.767504879516938e-07
410 7.684238791036413e-07
420 -5.200099104582523e-07
430 -8.605535746566972e-07
440 -1.256838700176843e-06
450 -3.9324770369914e-07
460 -5.008501306053015e-07
470 1.515433485525797e-06
480 1.234446681541712e-06
490 1.904659378063056e-06
500 4.283294285437056e-07
510 -1.323676670737794e-06
520 -1.590521486967422e-06
530 -1.67514081220177e-06
540 9.053319552365657e-07
550 1.249642875011947e-06
560 2.246758027846241e-06
570 -1.66074895063123e-06
580 -5.085507708765813e-07
590 7.403597318267341e-07
600 5.623069053786733e-07
610 4.400776545954166e-07
620 1.481350132288839e-06
630 1.41999797827197e-06
640 -3.235533796233647e-07
650 -6.181369282265425e-07
660 -7.516200146995278e-07
670 -1.175969771421981e-06
680 -7.488991081022744e-07
690 7.701841214166616e-07
700 9.463250978877791e-07
710 1.114189687442813e-06
720 -1.126305177075182e-06
730 3.174573179678952e-07
740 2.017884138325043e-07
750 9.642970145995466e-07
760 2.949549860464806e-07
770 7.090315338811881e-07
780 -1.162367114920793e-06
790 -1.583721888222256e-06
800 7.33255438610525e-07
810 1.093150241091023e-06
820 5.190924927400697e-07
830 3.51212611042484e-07
840 -7.795214105460468e-07
850 3.612717162926327e-07
860 1.254236684566923e-06
870 1.450169958013003e-06
880 -8.501274425393168e-07
890 -1.37012458428093e-06
900 -1.106393238262116e-06
910 -1.1260420142295e-06
920 -1.195972052586702e-06
930 -1.210361574917329e-06
940 -9.459931355482176e-07
950 1.24573605659456e-06
960 1.281610324740945e-06
970 5.66503698930243e-07
980 8.996950004031001e-07
990 2.784083776782853e-07
1000 -1.253714059595845e-06
1010 -3.819652131739626e-07
1020 -8.200481216164013e-07
1030 -5.550548403676636e-07
1040 8.529672570894986e-07
1050 -5.051600055483441e-07
1060 -5.559229364834883e-07
1070 2.144320852826009e-08
1080 1.08570821246573e-06
1090 5.940589932196261e-07
1100 1.992644112422393e-07
1110 1.602646679227382e-06
1120 -8.048261725332462e-07
1130 -8.05619400912061e-07
1140 3.703488692247126e-07
1150 -8.607462992707426e-07
1160 3.821990765193184e-07
1170 -9.122155121138453e-07
1180 1.263525520045494e-07
1190 -9.670066239905739e-07
1200 -9.100677507978272e-07
1210 5.941836843728621e-07
1220 4.495806785187462e-07
1230 7.67753014448147e-07
1240 9.41086775244071e-08
1250 -1.283715376637629e-07
1260 -8.083518946919166e-07
1270 -4.977935668809552e-07
1280 5.750775799590047e-07
1290 -4.533423423325189e-07
1300 5.6480154204952e-07
1310 -6.575029406624688e-07
1320 3.94834775208075e-07
1330 -6.803843387859221e-07
1340 1.191780844039814e-06
1350 -9.280631504404724e-07
1360 -2.856532408945789e-07
1370 -8.450539298807125e-07
1380 -5.551046105695123e-07
1390 5.00225838973023e-07
1400 -1.988108119244103e-07
1410 -6.403270024560315e-07
1420 -7.364522807626339e-07
1430 9.766762181506738e-07
1440 -1.292129451116453e-06
1450 1.543928691283281e-07
1460 1.859960922917514e-07
1470 9.642656709565878e-07
1480 -2.858012841111535e-07
1490 2.207981447954754e-07
1500 -4.949972992607243e-07
1510 -1.090555400803939e-06
1520 1.126819001093238e-07
1530 -1.035206276561729e-06
1540 1.053840557763142e-06
1550 2.667017806462502e-07
1560 -9.803640498018407e-07
1570 5.975667159915932e-07
1580 3.793207325394898e-07
1590 8.018454365488203e-07
1600 6.708552681283786e-07
1610 -7.156642020805792e-07
1620 -1.099175343986791e-06
1630 6.995206013743482e-08
1640 -2.162125671056891e-06
1650 3.937928104644217e-07
1660 -6.631563681386288e-07
1670 -9.728104805942217e-07
1680 1.001852571513862e-06
1690 8.819583888902693e-07
1700 -1.429958703974554e-06
1710 1.07888955684643e-06
1720 -2.888914956006294e-07
1730 -7.002453999427338e-07
1740 7.462808305006008e-07
1750 4.459058073474909e-08
1760 -6.271796887391545e-08
1770 -3.877391049136869e-07
1780 1.057817221407353e-06
1790 -4.334207964334924e-07
1800 7.818238548298884e-07
1810 -6.92168368433832e-07
1820 6.147943475975914e-07
1830 1.144653564835729e-06
1840 -9.980823080305012e-07
1850 -1.42891461766409e-06
1860 5.844764874793351e-07
1870 7.982839257611452e-07
1880 -9.199197881365473e-07
1890 -7.570564842171446e-07
1900 -9.919561419283185e-07
1910 9.649091567837109e-07
1920 -1.333575477747984e-06
1930 8.129800017700473e-07
1940 1.093835362925288e-06
1950 1.547487342767884e-06
1960 1.01244526849037e-06
1970 -9.210649998675491e-07
1980 1.055830153161297e-06
1990 -7.724591517335733e-07
2000 -9.019604151477845e-07
2010 8.903435917903546e-07
2020 -1.230761637209532e-06
2030 -8.999071432619354e-07
2040 1.030727401776788e-06
2050 -9.192533618682108e-07
2060 1.07807215890543e-06
2070 1.444593248113579e-06
2080 -1.041587294518809e-06
2090 8.415776725084756e-07
2100 -7.500576323926644e-07
2110 -1.295118866914691e-06
2120 4.807010252280697e-07
2130 6.444483784187605e-07
2140 -9.056021612885434e-07
2150 6.088866619721744e-07
2160 4.973538627675578e-07
2170 1.134724925154484e-06
2180 5.130250093840494e-07
2190 4.873517972098229e-07
2200 -2.223314850904878e-07
2210 -5.7695618427972e-07
2220 1.268810312898827e-06
2230 -1.180974357063713e-06
2240 5.168627367699297e-07
2250 -1.583011124038636e-06
2260 1.116472288141546e-06
2270 1.071209429284736e-07
2280 3.756154684994573e-07
2290 -1.754713113921724e-06
2300 1.469033905174277e-06
2310 1.581017989894795e-06
2320 4.910342104383347e-07
2330 -1.137095454933901e-06
2340 -6.213155211362564e-07
2350 1.133135863549961e-06
2360 -5.378289083812771e-07
2370 -7.983134261424496e-07
2380 1.522418355381916e-06
2390 -1.238001364409214e-06
2400 -6.077675354584922e-07
