"point-gw-a"
"Time_Step" "point-gw-a"
("Time_Step" "point-gw-a")
0 0
10 3.595533115685612e-08
20 6.629441173799933e-08
30 9.007838031038773e-08
40 1.08745439320046e-07
50 1.232741340118082e-07
60 1.340854396403302e-07
70 1.415697425954932e-07
80 1.463661902789681e-07
90 1.491904413342127e-07
100 1.504763247339724e-07
110 1.50500000017928e-07
120 1.495175609989019e-07
130 1.477584703479806e-07
140 1.456075437999971e-07
150 1.433747343071445e-07
160 1.410720642525121e-07
170 1.385814272225616e-07
180 1.359314012461255e-07
190 1.334157957444404e-07
200 1.315069368956756e-07
210 1.305409824681192e-07
220 1.304672565538567e-07
230 1.309960850903735e-07
240 1.317378632847976e-07
250 1.323420804055786e-07
260 1.326703369386451e-07
270 1.326649794464174e-07
280 1.323375755646339e-07
290 1.317907987186118e-07
300 1.312496635819116e-07
310 1.30852157553818e-07
320 1.30658150965246e-07
330 1.306353283325734e-07
340 1.30708201595553e-07
350 1.309314541231288e-07
360 1.31310670781204e-07
370 1.316832936026913e-07
380 1.318574049946619e-07
390 1.317279867407706e-07
400 1.313591440066375e-07
410 1.308940653643731e-07
420 1.306473080830983e-07
430 1.310110491203886e-07
440 1.321265443721131e-07
450 1.338690509555818e-07
460 1.358987873345541e-07
470 1.37891618123831e-07
480 1.396275024490023e-07
490 1.410053300787695e-07
500 1.419154358472952e-07
510 1.424165105845532e-07
520 1.427318210289741e-07
530 1.429166900379641e-07
540 1.429105793704366e-07
550 1.425942599553309e-07
560 1.41954814125711e-07
570 1.410367076459806e-07
580 1.399122311340761e-07
590 1.387928563190144e-07
600 1.379624450237316e-07
610 1.375549487647731e-07
620 1.374097280404385e-07
630 1.372230542528996e-07
640 1.367390325412998e-07
650 1.358580874466497e-07
660 1.347254681149934e-07
670 1.337755861641199e-07
680 1.33475495545099e-07
690 1.340094257784585e-07
700 1.350782952158625e-07
710 1.363144548349737e-07
720 1.373784783709198e-07
730 1.381082057605454e-07
740 1.38403621008365e-07
750 1.382556007456515e-07
760 1.377134850599759e-07
770 1.368877491358944e-07
780 1.359583308158108e-07
790 1.350141332068233e-07
800 1.34105007987273e-07
810 1.332445691559769e-07
820 1.324890206433338e-07
830 1.31941078507225e-07
840 1.316253701588721e-07
850 1.313969022476158e-07
860 1.311156268002378e-07
870 1.307464856381557e-07
880 1.303268959418347e-07
890 1.300165592965641e-07
900 1.301396252983977e-07
910 1.309564794382823e-07
920 1.325519747297221e-07
930 1.347221711966995e-07
940 1.370983113702096e-07
950 1.393612194533489e-07
960 1.413215784396016e-07
970 1.429248044360065e-07
980 1.441211452402058e-07
990 1.44919056310755e-07
1000 1.453443019272527e-07
1010 1.454706506365255e-07
1020 1.45378663773954e-07
1030 1.449566155997672e-07
1040 1.441691921399979e-07
1050 1.430808822533436e-07
1060 1.417809016857063e-07
1070 1.404366116730671e-07
1080 1.392849071635283e-07
1090 1.384859160680207e-07
1100 1.379743252982735e-07
1110 1.375694580474374e-07
1120 1.369822371088958e-07
1130 1.35955076530081e-07
1140 1.345229065918829e-07
1150 1.330844270341913e-07
1160 1.321500917583762e-07
1170 1.320392897241618e-07
1180 1.32621039483638e-07
1190 1.335844501682004e-07
1200 1.345960782828115e-07
1210 1.354469247871748e-07
1220 1.359722290317222e-07
1230 1.360759256385791e-07
1240 1.357913959054713e-07
1250 1.3523684572192e-07
1260 1.345953819509305e-07
1270 1.339407162959105e-07
1280 1.333020946958641e-07
1290 1.326522607314473e-07
1300 1.32000806729593e-07
1310 1.314450059908268e-07
1320 1.309905997004535e-07
1330 1.305125607586888e-07
1340 1.298996465948221e-07
1350 1.291674607273308e-07
1360 1.284684429947447e-07
1370 1.27990503528963e-07
1380 1.28001829580171e-07
1390 1.287544080241787e-07
1400 1.302358469956744e-07
1410 1.322183322827186e-07
1420 1.343639439710387e-07
1430 1.363734156711871e-07
1440 1.380633136705001e-07
1450 1.393498223478673e-07
1460 1.402303269060212e-07
1470 1.407679093290426e-07
1480 1.411242323001716e-07
1490 1.414477708294726e-07
1500 1.418005410869227e-07
1510 1.420453088485374e-07
1520 1.420333433088672e-07
1530 1.417114390278584e-07
1540 1.410920162925322e-07
1550 1.403199405558553e-07
1560 1.396497424366316e-07
1570 1.391722150856367e-07
1580 1.388885380038118e-07
1590 1.386821963933471e-07
1600 1.383001091426195e-07
1610 1.376209297632158e-07
1620 1.367492927784042e-07
1630 1.359894667984918e-07
1640 1.35674497414584e-07
1650 1.359800592126703e-07
1660 1.367385209505301e-07
1670 1.376914724460221e-07
1680 1.385175352197621e-07
1690 1.389727373179994e-07
1700 1.38910237978962e-07
1710 1.383012033784325e-07
1720 1.372146982703271e-07
1730 1.358563537223745e-07
1740 1.344591424867758e-07
1750 1.33150805936566e-07
1760 1.320071589816507e-07
1770 1.310746142735297e-07
1780 1.303603767155437e-07
1790 1.299121947795356e-07
1800 1.297105143294175e-07
1810 1.29611294141796e-07
1820 1.294976925692026e-07
1830 1.293156515203009e-07
1840 1.291087414756475e-07
1850 1.290506901341359e-07
1860 1.294488782832559e-07
1870 1.305394050632458e-07
1880 1.323827376609188e-07
1890 1.347535771856201e-07
1900 1.372692679524334e-07
1910 1.395615498722691e-07
1920 1.41414020049524e-07
1930 1.427483198312984e-07
1940 1.435700767160597e-07
1950 1.439597099306411e-07
1960 1.440390917650802e-07
1970 1.439855736862228e-07
1980 1.438353791627378e-07
1990 1.43488776416234e-07
2000 1.429388305496104e-07
2010 1.421936133283452e-07
2020 1.412982300053045e-07
2030 1.404117142556061e-07
2040 1.397510516198963e-07
2050 1.39351783445818e-07
2060 1.391456123656098e-07
2070 1.389872892332278e-07
2080 1.386186454510607e-07
2090 1.3790888431231e-07
2100 1.369355970837205e-07
2110 1.360111667736419e-07
2120 1.355111862721969e-07
2130 1.356810770403172e-07
2140 1.364099802003693e-07
2150 1.374143749899304e-07
2160 1.38390149118095e-07
2170 1.39118810693617e-07
2180 1.394293178691441e-07
2190 1.392527195775983e-07
2200 1.386061256880566e-07
2210 1.376364053840007e-07
2220 1.365733481861753e-07
2230 1.355593468588268e-07
2240 1.346733711216075e-07
2250 1.338963926400538e-07
2260 1.332246455376662e-07
2270 1.327296956787904e-07
2280 1.324320493267805e-07
2290 1.321954954391913e-07
2300 1.318724827115147e-07
2310 1.31413358417376e-07
2320 1.308594050897227e-07
2330 1.303483401215999e-07
2340 1.301973071576867e-07
2350 1.307157191376973e-07
2360 1.320022846584834e-07
2370 1.338769806125129e-07
2380 1.359529022693096e-07
2390 1.379020915237561e-07
2400 1.39539750421136e-07
