"Time_Step" "point-pressure-a"
0 -24331.990234375
10 -26591.91796875
20 -25473.109375
30 -23259.6484375
40 -21703.43359375
50 -22547.29296875
60 -23570.23828125
70 -24962.09375
80 -24871.16015625
90 -25333.740234375
100 -24606.16015625
110 -25057.296875
120 -26231.61328125
130 -26349.71875
140 -24716.9765625
150 -23958.14453125
160 -22834.75390625
170 -24021.98828125
180 -24990.20703125
190 -24407.845703125
200 -24669.640625
210 -26794.828125
220 -25849.712890625
230 -24357.66015625
240 -24096.15625
250 -23323.90234375
260 -23703.3203125
270 -23409.3515625
280 -23801.732421875
290 -25625.1328125
300 -26326.9375
310 -26565.96484375
320 -26939.4921875
330 -27408.94140625
340 -26574.931640625
350 -25607.916015625
360 -26083.66796875
370 -26431.5703125
380 -26131.73828125
390 -26451.44921875
400 -24803.919921875
410 -24880.244140625
420 -26386.109375
430 -26231.435546875
440 -26176.39453125
450 -27297.6875
460 -27873.693359375
470 -26731.2734375
480 -25862.759765625
490 -23751.814453125
500 -22643.98828125
510 -23177.125
520 -23547.693359375
530 -25692.08984375
540 -27483.1484375
550 -26911.43359375
560 -25129.44140625
570 -26014.341796875
580 -27147.693359375
590 -25723.66015625
600 -24633.76171875
610 -24681.4453125
620 -23544.28125
630 -22964.501953125
640 -22715.263671875
650 -23738.90625
660 -25960.658203125
670 -26945.8359375
680 -26966.1640625
690 -27146.30078125
700 -26207.9765625
710 -25413.642578125
720 -25153.09765625
730 -25112.8359375
740 -24951.75
750 -24446.25390625
760 -23403.42578125
770 -23093.77734375
780 -23141.390625
790 -25872.77734375
800 -27543.34765625
810 -26460.109375
820 -26150.05078125
830 -25898.578125
840 -26612.607421875
850 -26220.5625
860 -24845.0078125
870 -23294.3671875
880 -23141.0234375
890 -23557.322265625
900 -24482.94921875
910 -25061.173828125
920 -25657.064453125
930 -26682.02734375
940 -27910.517578125
950 -27384.12890625
960 -26000.3515625
970 -25042.3203125
980 -23491.98828125
990 -22750.8203125
1000 -23629.1953125
1010 -25412.06640625
1020 -26177.68359375
1030 -26363.75390625
1040 -25901.150390625
1050 -26642.49609375
1060 -27493.91015625
1070 -27430.580078125
1080 -27725.32421875
1090 -27527.921875
1100 -26253.37890625
1110 -25299.2265625
1120 -24571.109375
1130 -26167.0078125
1140 -26722.0390625
1150 -27020.345703125
1160 -26400.294921875
1170 -25756.599609375
1180 -25199.82421875
1190 -25979.546875
1200 -26021.11328125
1210 -25417.25390625
1220 -25618.9296875
1230 -25122.08984375
1240 -24673.96484375
1250 -25770.53515625
1260 -26483.021484375
1270 -27486.640625
1280 -27649.96875
1290 -28140.34765625
1300 -26396.681640625
1310 -26806.1015625
1320 -25902.32421875
1330 -26151.171875
1340 -24917.482421875
1350 -24236.078125
1360 -24818.607421875
1370 -25622.294921875
1380 -25853.4140625
1390 -25714.41015625
1400 -25533.83984375
1410 -25579.341796875
1420 -26694.8828125
1430 -25666.244140625
1440 -25232.4765625
1450 -25837.880859375
1460 -25850.6171875
1470 -24558.373046875
1480 -25318.27734375
1490 -25395.66796875
1500 -26183.1328125
1510 -26663.55859375
1520 -25625.525390625
1530 -26894.91015625
1540 -26704.8984375
1550 -26352.357421875
1560 -26680.798828125
1570 -27715.12890625
1580 -26683.26171875
1590 -25499.78125
1600 -23817.4765625
1610 -23989.701171875
1620 -25363.07421875
1630 -26565.62109375
1640 -25739.107421875
1650 -26181.28515625
1660 -27084.15234375
1670 -27621.294921875
1680 -27073.3515625
1690 -25714.484375
1700 -25400.96875
1710 -25402.029296875
1720 -25014.87890625
1730 -25451.984375
1740 -25364.875
1750 -25623.69140625
1760 -26200.4609375
1770 -26438.58984375
1780 -26629.93359375
1790 -26280.5703125
1800 -26494.83203125
1810 -26383.78515625
1820 -26191.69140625
1830 -24432.060546875
1840 -24506.357421875
1850 -26239.263671875
1860 -26606.833984375
1870 -25933.67578125
1880 -26400.13671875
1890 -26737.99609375
1900 -27201.228515625
1910 -26712.14453125
1920 -27278.572265625
1930 -26959.232421875
1940 -26397.044921875
1950 -25311.85546875
1960 -24361.82421875
1970 -24489.1640625
1980 -24757.732421875
1990 -25342.6171875
2000 -26836.845703125
2010 -26100.08984375
2020 -26394.919921875
2030 -27201.5078125
2040 -26451.595703125
2050 -26372.30078125
2060 -25994.33203125
2070 -24656.697265625
2080 -24057.609375
2090 -24464.05078125
2100 -25318.205078125
2110 -26990.40234375
2120 -27161.67578125
2130 -26541.4609375
2140 -27499.42578125
2150 -27378.455078125
2160 -27318.2421875
2170 -26433.30078125
2180 -25537.330078125
2190 -25341.982421875
2200 -24657.01171875
2210 -25307.595703125
2220 -24696.001953125
2230 -25567.009765625
2240 -26597.54296875
2250 -26770.08984375
2260 -26532.865234375
2270 -26180.33984375
2280 -25903.697265625
2290 -26283.322265625
2300 -26005.173828125
2310 -24890.50390625
2320 -24114.908203125
2330 -25064.126953125
2340 -25568.361328125
2350 -25844.541015625
2360 -26314.15625
2370 -26473.857421875
2380 -26009.076171875
2390 -25941.85546875
2400 -27201.1484375
