"point-pressure-b"
"Time Step" "point-pressure-b"
("Time Step" "point-pressure-b")
0 -7090.83984375
10 -9190.67578125
20 -8798.2587890625
30 -6365.15673828125
40 -4655.71435546875
50 -5225.642578125
60 -6118.861328125
70 -7480.4677734375
80 -7341.4267578125
90 -7747.77099609375
100 -6925.11181640625
110 -7263.03173828125
120 -10197.2470703125
130 -9869.2802734375
140 -7565.2978515625
150 -8317.2666015625
160 -5418.8486328125
170 -7184.15380859375
180 -7988.18115234375
190 -7963.02294921875
200 -8009.8349609375
210 -9553.0283203125
220 -8281.111328125
230 -7040.58251953125
240 -9473.076171875
250 -7260.54248046875
260 -7396.130859375
270 -7426.21142578125
280 -7325.9091796875
290 -9114.0546875
300 -9701.4716796875
310 -9861.58203125
320 -9835.0478515625
330 -10138.078125
340 -9473.6806640625
350 -8649.845703125
360 -11038.3544921875
370 -9569.5693359375
380 -10405.9013671875
390 -10680.19921875
400 -9596.0771484375
410 -8330.083984375
420 -9164.0185546875
430 -9015.6328125
440 -8838.208984375
450 -9984.7060546875
460 -10345.099609375
470 -9295.662109375
480 -9160.265625
490 -7112.33984375
500 -6017.1630859375
510 -5881.5234375
520 -6740.2509765625
530 -9225.4697265625
540 -11385.4521484375
550 -10036.8896484375
560 -7560.24853515625
570 -8577.0498046875
580 -9915.546875
590 -8133.99560546875
600 -8819.9560546875
610 -8577.48046875
620 -6856.58740234375
630 -6343.3720703125
640 -5461.80615234375
650 -7008.857421875
660 -9269.6123046875
670 -10543.986328125
680 -9967.482421875
690 -9790.0693359375
700 -8759.4873046875
710 -7943.8427734375
720 -10173.1953125
730 -10850.39453125
740 -9014.1552734375
750 -7567.2138671875
760 -7714.4716796875
770 -6752.2099609375
780 -6282.30224609375
790 -8933.6650390625
800 -10610.4794921875
810 -8842.1416015625
820 -9107.4228515625
830 -8965.2353515625
840 -11959.44140625
850 -10015.8740234375
860 -8294.712890625
870 -8263.9892578125
880 -6464.11767578125
890 -6732.64990234375
900 -7300.5546875
910 -8210.9140625
920 -8256.1123046875
930 -9852.8955078125
940 -10689.978515625
950 -10488.09765625
960 -10654.626953125
970 -9560.5478515625
980 -7246.70556640625
990 -5887.17529296875
1000 -6616.2685546875
1010 -8506.86328125
1020 -9470.09375
1030 -9211.5234375
1040 -8591.9521484375
1050 -9053.177734375
1060 -9910.5302734375
1070 -10043.9716796875
1080 -12900.0419921875
1090 -10338.5830078125
1100 -10490.87109375
1110 -8309.1826171875
1120 -7860.90673828125
1130 -9615.2216796875
1140 -9567.0673828125
1150 -9759.6259765625
1160 -8887.0205078125
1170 -8395.7431640625
1180 -7431.3173828125
1190 -8282.3603515625
1200 -9613.4814453125
1210 -8573.681640625
1220 -10418.0439453125
1230 -8137.5244140625
1240 -7376.22021484375
1250 -8840.244140625
1260 -9634.48828125
1270 -10353.498046875
1280 -10619.130859375
1290 -10867.7197265625
1300 -8632.33984375
1310 -9027.0185546875
1320 -9647.869140625
1330 -10069.4697265625
1340 -7870.29736328125
1350 -6657.71240234375
1360 -7662.10107421875
1370 -8689.35546875
1380 -8776.171875
1390 -8024.79345703125
1400 -7915.9306640625
1410 -7966.6982421875
1420 -8748.8701171875
1430 -8049.28662109375
1440 -9285.884765625
1450 -9857.4560546875
1460 -9257.7626953125
1470 -7667.66259765625
1480 -8083.18115234375
1490 -8479.2607421875
1500 -9257.5517578125
1510 -9101.2314453125
1520 -8332.85546875
1530 -9180.19140625
1540 -9019.6669921875
1550 -9166.5283203125
1560 -11253.1552734375
1570 -12438.341796875
1580 -10267.0361328125
1590 -8426.8486328125
1600 -6418.3251953125
1610 -6399.4658203125
1620 -8242.4677734375
1630 -9397.9677734375
1640 -8056.9853515625
1650 -8708.75390625
1660 -10056.55859375
1670 -10477.50390625
1680 -11457.6923828125
1690 -9534.4140625
1700 -9109.87109375
1710 -8001.6689453125
1720 -8099.7802734375
1730 -8472.546875
1740 -8239.8818359375
1750 -8497.2939453125
1760 -8471.7236328125
1770 -9310.1171875
1780 -8817.7451171875
1790 -8606.392578125
1800 -10551.16796875
1810 -9342.2119140625
1820 -9837.7197265625
1830 -7141.01953125
1840 -6903.4287109375
1850 -9217.640625
1860 -9414.6689453125
1870 -8776.7998046875
1880 -8892.5400390625
1890 -9256.1962890625
1900 -9814.150390625
1910 -9980.7509765625
1920 -11632.8623046875
1930 -11087.8466796875
1940 -10406.197265625
1950 -9086.95703125
1960 -7685.20166015625
1970 -7382.71826171875
1980 -7502.8193359375
1990 -7992.80712890625
2000 -10052.6494140625
2010 -9027.3779296875
2020 -9407.1552734375
2030 -10226.1484375
2040 -10799.0869140625
2050 -9791.1396484375
2060 -11161.2509765625
2070 -8265.7734375
2080 -7365.39892578125
2090 -7622.26318359375
2100 -8198.013671875
2110 -9796.3271484375
2120 -9902.205078125
2130 -9003.642578125
2140 -10032.30078125
2150 -9922.96484375
2160 -11952.4228515625
2170 -10486.4501953125
2180 -9289.7802734375
2190 -8392.46484375
2200 -7641.171875
2210 -8930.2529296875
2220 -8876.19140625
2230 -8559.1572265625
2240 -9024.408203125
2250 -8967.7392578125
2260 -8956.626953125
2270 -8692.833984375
2280 -10066.625
2290 -11148.96875
2300 -9517.2021484375
2310 -7946.4248046875
2320 -6992.05712890625
2330 -7778.623046875
2340 -8805.4228515625
2350 -8674.2548828125
2360 -8919.208984375
2370 -9157.6337890625
2380 -8617.0888671875
2390 -8365.5693359375
2400 -11218.162109375

