"point-pressure-c"
"Time_Step" "point-pressure-c"
("Time_Step" "point-pressure-c")
0 -9063.9560546875
10 -11713.19140625
20 -10491.2041015625
30 -8066.70751953125
40 -6173.61181640625
50 -6980.7978515625
60 -7818.2734375
70 -8748.5419921875
80 -8822.7666015625
90 -8802.4658203125
100 -8951.2900390625
110 -8454.185546875
120 -11381.1142578125
130 -10868.9580078125
140 -10985.4892578125
150 -8673.015625
160 -6962.61328125
170 -7958.35693359375
180 -8625.04296875
190 -7931.70361328125
200 -8040.58984375
210 -10165.2265625
220 -9176.80859375
230 -8119.89990234375
240 -10074.03515625
250 -8801.56640625
260 -9048.5107421875
270 -8527.4189453125
280 -8739.833984375
290 -9947.060546875
300 -9785.298828125
310 -9923.0869140625
320 -10116.736328125
330 -10943.6435546875
340 -9629.677734375
350 -8953.7666015625
360 -9918.87890625
370 -10552.240234375
380 -10708.2197265625
390 -10654.2265625
400 -8875.080078125
410 -8262.1318359375
420 -9159.7724609375
430 -9054.177734375
440 -8866.9365234375
450 -9910.0302734375
460 -10408.0556640625
470 -10367.96875
480 -9718.349609375
490 -6448.11328125
500 -6327.67529296875
510 -6552.73486328125
520 -6590.1005859375
530 -8574.3798828125
540 -10630.896484375
550 -9727.7978515625
560 -7956.1025390625
570 -9229.8818359375
580 -9767.8447265625
590 -9597.9501953125
600 -8508.5615234375
610 -7329.08740234375
620 -6526.0400390625
630 -6736.2333984375
640 -5646.73046875
650 -6641.662109375
660 -8783.908203125
670 -9828.0654296875
680 -9631.5146484375
690 -9676.013671875
700 -9004.7080078125
710 -8908.3603515625
720 -8672.859375
730 -8574.306640625
740 -8315.287109375
750 -7921.2041015625
760 -6088.275390625
770 -6277.1015625
780 -5982.28271484375
790 -8882.9794921875
800 -10466.125
810 -9447.6376953125
820 -9405.16015625
830 -8905.5078125
840 -10871.0576171875
850 -9743.640625
860 -7855.10107421875
870 -6167.4267578125
880 -6091.94287109375
890 -6990.4287109375
900 -7142.4375
910 -8155.1103515625
920 -8254.23828125
930 -10074.1953125
940 -10634.1962890625
950 -10414.583984375
960 -9784.638671875
970 -8037.06982421875
980 -7017.1728515625
990 -6153.69384765625
1000 -6497.845703125
1010 -8164.80859375
1020 -8943.830078125
1030 -8644.232421875
1040 -8221.1796875
1050 -9012.62890625
1060 -10287.2412109375
1070 -10399.38671875
1080 -11268.2412109375
1090 -10468.859375
1100 -9284.1787109375
1110 -8055.05322265625
1120 -7883.31103515625
1130 -8974.275390625
1140 -9240.30859375
1150 -9316.14453125
1160 -8694.533203125
1170 -8409.7080078125
1180 -8420.7783203125
1190 -8888.28515625
1200 -9799.1669921875
1210 -8793.8359375
1220 -8784.0966796875
1230 -7768.8193359375
1240 -7841.45654296875
1250 -9316.8017578125
1260 -9449.255859375
1270 -10270.181640625
1280 -10266.625
1290 -10799.3837890625
1300 -8688.080078125
1310 -9394.830078125
1320 -9712.87890625
1330 -9079.0107421875
1340 -7726.10693359375
1350 -7215.9375
1360 -7528.83154296875
1370 -8059.23828125
1380 -8406.0615234375
1390 -8800.1630859375
1400 -8580.859375
1410 -8286.6435546875
1420 -9394.728515625
1430 -8277.8671875
1440 -8762.361328125
1450 -9676.2138671875
1460 -9062.01953125
1470 -7966.1005859375
1480 -8269.796875
1490 -8081.49365234375
1500 -9045.669921875
1510 -9498.8818359375
1520 -8711.9375
1530 -9332.001953125
1540 -9297.1650390625
1550 -9251.6259765625
1560 -10146.86328125
1570 -10313.984375
1580 -10848.876953125
1590 -9115.08984375
1600 -7087.21484375
1610 -6906.93505859375
1620 -7805.0771484375
1630 -9631.0302734375
1640 -8191.732421875
1650 -8664.3525390625
1660 -9541.05859375
1670 -10349.4111328125
1680 -11154.5009765625
1690 -8891.9453125
1700 -8284.17578125
1710 -7711.38427734375
1720 -7674.7265625
1730 -8999.05859375
1740 -8999.4541015625
1750 -8542.31640625
1760 -8704.4306640625
1770 -9085.212890625
1780 -8868.6181640625
1790 -8889.34765625
1800 -9627.8232421875
1810 -9610.404296875
1820 -9413.005859375
1830 -7539.0263671875
1840 -7079.162109375
1850 -8859.3994140625
1860 -9682.4951171875
1870 -9090.8203125
1880 -9020.3662109375
1890 -9398.205078125
1900 -9844.41796875
1910 -9416.9443359375
1920 -11150.0234375
1930 -9899.9638671875
1940 -9849.96875
1950 -8820.1982421875
1960 -7598.30224609375
1970 -7877.0634765625
1980 -7694.75634765625
1990 -7859.41796875
2000 -9224.951171875
2010 -8661.525390625
2020 -9277.8798828125
2030 -10110.1005859375
2040 -10506.1220703125
2050 -9524.6328125
2060 -9047.9296875
2070 -7686.66015625
2080 -7574.2294921875
2090 -7355.8759765625
2100 -8436.828125
2110 -9421.138671875
2120 -9845.9501953125
2130 -9188.548828125
2140 -10117.1171875
2150 -10451.4423828125
2160 -10900.287109375
2170 -9684.125
2180 -8144.060546875
2190 -8152.732421875
2200 -7566.232421875
2210 -8005.212890625
2220 -7428.78857421875
2230 -8362.88671875
2240 -9406.65234375
2250 -8980.306640625
2260 -9347.955078125
2270 -9977.025390625
2280 -9891.693359375
2290 -9274.3095703125
2300 -10366.921875
2310 -8555.1123046875
2320 -7228.576171875
2330 -7937.54248046875
2340 -8467.1240234375
2350 -8778.353515625
2360 -8972.248046875
2370 -9332.970703125
2380 -8872.05859375
2390 -8983.4365234375
2400 -10820.7109375
