"point-pressure-d"
"Time Step" "point-pressure-d"
("Time Step" "point-pressure-d")
0 -7007.8759765625
10 -6584.1826171875
20 -6104.373046875
30 -5117.755859375
40 -3655.9404296875
50 -3554.88330078125
60 -5939.369140625
70 -5818.669921875
80 -5801.87841796875
90 -5899.65478515625
100 -5446.1611328125
110 -5737.53515625
120 -6750.46435546875
130 -6771.46435546875
140 -6033.8310546875
150 -5540.1826171875
160 -4393.32568359375
170 -5130.14501953125
180 -6810.16162109375
190 -6115.7841796875
200 -5633.845703125
210 -7328.78076171875
220 -6227.2685546875
230 -5257.7666015625
240 -4752.697265625
250 -4159.271484375
260 -5137.8251953125
270 -5102.42138671875
280 -4930.662109375
290 -7035.8125
300 -7847.58203125
310 -7858.2861328125
320 -7694.482421875
330 -8325.171875
340 -7445.0390625
350 -5786.51123046875
360 -6003.27734375
370 -6458.904296875
380 -6887.2529296875
390 -7374.458984375
400 -5978.30712890625
410 -5849.38720703125
420 -8141.3408203125
430 -6364.6171875
440 -6114.3291015625
450 -7280.208984375
460 -8322.3388671875
470 -6541.17626953125
480 -6526.970703125
490 -4348.63623046875
500 -3350.333984375
510 -4586.0673828125
520 -4337.3173828125
530 -5831.068359375
540 -7622.6064453125
550 -7264.37548828125
560 -5802.787109375
570 -6182.5078125
580 -7631.3056640625
590 -6196.19677734375
600 -5599.93310546875
610 -5300.04150390625
620 -4569.125
630 -4617.16845703125
640 -4000.63037109375
650 -4212.54638671875
660 -7064.94775390625
670 -6993.15283203125
680 -7577.1953125
690 -6955.759765625
700 -6502.68798828125
710 -5750.2646484375
720 -5258.884765625
730 -5138.58203125
740 -5669.9599609375
750 -5696.888671875
760 -4803.5224609375
770 -4166.6845703125
780 -5445.73828125
790 -6648.1240234375
800 -7723.25244140625
810 -6790.470703125
820 -6687.06640625
830 -6044.48974609375
840 -6857.1943359375
850 -7250.91796875
860 -6500.43798828125
870 -5072.033203125
880 -4453.833984375
890 -4455.0107421875
900 -5411.97216796875
910 -5450.1181640625
920 -5641.21484375
930 -7212.22265625
940 -8073.3173828125
950 -7814.732421875
960 -6484.2421875
970 -5591.6904296875
980 -4644.22265625
990 -4067.06201171875
1000 -4540.4033203125
1010 -5926.623046875
1020 -6645.97314453125
1030 -6522.0087890625
1040 -6245.24365234375
1050 -6720.716796875
1060 -7285.8125
1070 -7289.43701171875
1080 -7550.3798828125
1090 -7413.638671875
1100 -6483.8623046875
1110 -6191.89697265625
1120 -4949.10302734375
1130 -7974.9677734375
1140 -7171.025390625
1150 -6874.44921875
1160 -7152.5146484375
1170 -6254.5048828125
1180 -5557.27294921875
1190 -6021.2900390625
1200 -6223.65869140625
1210 -5565.11181640625
1220 -6095.64697265625
1230 -6125.75244140625
1240 -5390.7255859375
1250 -6545.05908203125
1260 -6951.1357421875
1270 -6988.91943359375
1280 -7917.6171875
1290 -8847.681640625
1300 -6941.1689453125
1310 -7415.0234375
1320 -6268.142578125
1330 -6463.50244140625
1340 -5373.6455078125
1350 -5075.15625
1360 -5306.9951171875
1370 -5864.1474609375
1380 -5820.451171875
1390 -5865.8115234375
1400 -5172.654296875
1410 -5429.1611328125
1420 -6747.7197265625
1430 -5397.2216796875
1440 -5321.6611328125
1450 -6273.71484375
1460 -6340.97509765625
1470 -5829.5009765625
1480 -5614.2275390625
1490 -5097.20556640625
1500 -6769.2880859375
1510 -6891.9775390625
1520 -6009.07421875
1530 -6763.94970703125
1540 -6978.32861328125
1550 -6359.48291015625
1560 -6567.75
1570 -7403.193359375
1580 -7061.7490234375
1590 -6840.529296875
1600 -5176.3486328125
1610 -4532.14697265625
1620 -6011.31103515625
1630 -7479.14453125
1640 -7517.69921875
1650 -7456.9912109375
1660 -7308.64697265625
1670 -7416.5361328125
1680 -7280.8193359375
1690 -5676.65625
1700 -5491.625
1710 -6120.568359375
1720 -5719.4560546875
1730 -6430.4873046875
1740 -6053.875
1750 -5827.7822265625
1760 -6416.2666015625
1770 -7647.1943359375
1780 -6703.2392578125
1790 -6480.4521484375
1800 -6322.73828125
1810 -6409.48046875
1820 -6298.125
1830 -5121.7275390625
1840 -5009.83154296875
1850 -6295.40625
1860 -6809.873046875
1870 -6174.8369140625
1880 -6327.7451171875
1890 -6651.58203125
1900 -6947.076171875
1910 -6810.25390625
1920 -7239.736328125
1930 -7034.4677734375
1940 -6718.6884765625
1950 -6116.41748046875
1960 -5288.5087890625
1970 -5414.01171875
1980 -5531.310546875
1990 -5485.7529296875
2000 -7078.8251953125
2010 -6271.41357421875
2020 -6444.9755859375
2030 -7450.10986328125
2040 -6608.8134765625
2050 -6556.55908203125
2060 -6565.0029296875
2070 -6032.736328125
2080 -5294.8740234375
2090 -4961.7705078125
2100 -6265.181640625
2110 -7390.85107421875
2120 -7092.08154296875
2130 -6400.7392578125
2140 -7685.48291015625
2150 -7401.6552734375
2160 -7703.6923828125
2170 -6465.5654296875
2180 -5871.9345703125
2190 -6674.2177734375
2200 -5459.2392578125
2210 -5557.869140625
2220 -5153.1103515625
2230 -5920.7080078125
2240 -7070.64990234375
2250 -6972.953125
2260 -7028.6220703125
2270 -6852.8623046875
2280 -6235.2998046875
2290 -6639.74169921875
2300 -6687.67626953125
2310 -6341.15966796875
2320 -5283.02099609375
2330 -6083.1982421875
2340 -6610.54931640625
2350 -6978.3583984375
2360 -6360.732421875
2370 -6627.0546875
2380 -6736.88671875
2390 -6611.7294921875
2400 -7327.466796875
