"point-pressure-e"
"Time_Step" "point-pressure-e"
("Time_Step" "point-pressure-e")
0 -1485.523681640625
10 -980.2208862304688
20 -741.673828125
30 -512.4396362304688
40 -257.3820190429688
50 -120.3546981811523
60 50.51557159423828
70 -92.80776977539062
80 -110.7889785766602
90 -207.3495941162109
100 -497.5218200683594
110 -915.6856689453125
120 -895.5872802734375
130 -1215.517333984375
140 -1322.635498046875
150 -310.3421630859375
160 27.08123588562012
170 -1093.597290039062
180 -807.8644409179688
190 -2579.9736328125
200 -1562.316650390625
210 -1057.196899414062
220 -258.8709411621094
230 304.6597900390625
240 175.9104614257812
250 -681.6763305664062
260 -751.5673217773438
270 -805.743408203125
280 -1466.137451171875
290 -1271.239013671875
300 -1181.762817382812
310 -1354.6748046875
320 -1364.59033203125
330 -1303.311279296875
340 -1346.574951171875
350 -1298.3955078125
360 -1479.59619140625
370 -1875.815673828125
380 -1840.234375
390 -1700.12890625
400 -1320.44384765625
410 -1368.5107421875
420 -1582.395141601562
430 -1970.505859375
440 -1263.45458984375
450 -981.10888671875
460 -805.6990356445312
470 -1174.745971679688
480 -1200.728271484375
490 -1549.925659179688
500 -1514.106811523438
510 -1643.976196289062
520 -1407.061279296875
530 -1718.740966796875
540 -1725.458251953125
550 -1338.308715820312
560 -1248.129150390625
570 -514.2888793945312
580 -1448.492919921875
590 -1701.677124023438
600 -1227.128051757812
610 -973.134521484375
620 -1174.796752929688
630 -1420.320068359375
640 -1598.791015625
650 -1773.144409179688
660 -2292.4521484375
670 -2145.94091796875
680 -2060.050537109375
690 -947.729248046875
700 -1661.611694335938
710 -1322.912719726562
720 -903.8603515625
730 -1197.721923828125
740 -1831.204223632812
750 -2006.963745117188
760 -943.375244140625
770 -909.9428100585938
780 -653.427978515625
790 -768.2688598632812
800 -842.6461181640625
810 -1323.788696289062
820 -1256.216552734375
830 -1242.708129882812
840 -1474.994140625
850 -1417.564331054688
860 -960.2693481445312
870 -1083.77001953125
880 -1108.751953125
890 -1233.185546875
900 -1604.876586914062
910 -1990.010986328125
920 -1526.496337890625
930 -1055.957275390625
940 -1203.596069335938
950 -1262.6376953125
960 -1228.84130859375
970 -1318.10009765625
980 -1467.2548828125
990 -1597.919799804688
1000 -1111.560546875
1010 -1126.452392578125
1020 -1839.553833007812
1030 -1579.598999023438
1040 -1569.883056640625
1050 -1138.473510742188
1060 -871.7020263671875
1070 -824.614990234375
1080 -813.7919921875
1090 -1143.472045898438
1100 -1572.815551757812
1110 -1611.060913085938
1120 -1481.161865234375
1130 -1054.667602539062
1140 -1009.05224609375
1150 -1910.161743164062
1160 -1084.5
1170 -1316.858276367188
1180 -1045.10595703125
1190 -1405.849365234375
1200 -1613.272705078125
1210 -2474.40771484375
1220 -2259.013671875
1230 -1322.603759765625
1240 -1106.804321289062
1250 -1195.90673828125
1260 -1410.759643554688
1270 -1677.1328125
1280 -1680.577270507812
1290 -1463.249633789062
1300 -1398.355712890625
1310 -1797.379150390625
1320 -1966.822875976562
1330 -1690.160522460938
1340 -1976.89111328125
1350 -2026.841552734375
1360 -1552.130859375
1370 -1953.323486328125
1380 -1970.31591796875
1390 -1852.763671875
1400 -1733.590942382812
1410 -1881.691528320312
1420 -1693.51123046875
1430 -1738.531005859375
1440 -1450.635375976562
1450 -832.4510498046875
1460 -1106.246337890625
1470 -1264.738525390625
1480 -1891.176147460938
1490 -1921.66552734375
1500 -1534.462158203125
1510 -1487.890380859375
1520 -1330.177734375
1530 -1834.416015625
1540 -1032.574340820312
1550 -1032.378540039062
1560 -1129.606079101562
1570 -1206.960693359375
1580 -1209.944091796875
1590 -1712.419921875
1600 -1485.76904296875
1610 -1591.249145507812
1620 -1622.720947265625
1630 -1351.564208984375
1640 -1371.50634765625
1650 -1670.148315429688
1660 -2035.9697265625
1670 -1897.955078125
1680 -1814.83984375
1690 -1500.3955078125
1700 -1550.143188476562
1710 -1646.997680664062
1720 -1695.1337890625
1730 -1946.3076171875
1740 -1715.586669921875
1750 -1586.14501953125
1760 -2124.210205078125
1770 -1950.130859375
1780 -1820.4384765625
1790 -1578.165161132812
1800 -1335.659790039062
1810 -1666.4541015625
1820 -1348.561157226562
1830 -1423.5380859375
1840 -1683.5087890625
1850 -1973.465087890625
1860 -1608.839721679688
1870 -2223.9072265625
1880 -2227.7353515625
1890 -1630.782836914062
1900 -1348.4755859375
1910 -1374.102294921875
1920 -1407.534545898438
1930 -1742.522583007812
1940 -1439.421752929688
1950 -1879.463256835938
1960 -1447.085815429688
1970 -1353.489013671875
1980 -1481.2099609375
1990 -1751.920532226562
2000 -2042.23828125
2010 -2163.32568359375
2020 -2113.646728515625
2030 -1617.00146484375
2040 -1630.08154296875
2050 -1497.491821289062
2060 -1326.608276367188
2070 -1441.622436523438
2080 -1752.344848632812
2090 -1832.849975585938
2100 -1808.90234375
2110 -1539.013671875
2120 -1970.212036132812
2130 -1904.737548828125
2140 -1432.848999023438
2150 -1774.478515625
2160 -1447.497192382812
2170 -1264.90771484375
2180 -1439.663452148438
2190 -1581.169555664062
2200 -1788.13818359375
2210 -1644.012817382812
2220 -1470.483764648438
2230 -1738.38330078125
2240 -2080.2939453125
2250 -1412.76220703125
2260 -1395.606201171875
2270 -1953.096801757812
2280 -1599.65478515625
2290 -1792.670776367188
2300 -1793.7216796875
2310 -1305.510620117188
2320 -1419.062255859375
2330 -1551.19873046875
2340 -1817.583251953125
2350 -2061.260498046875
2360 -2239.30078125
2370 -1357.01904296875
2380 -1375.6904296875
2390 -1006.954467773438
2400 -1504.760620117188
