"point-shear-b"
"Time Step" "point-shear-b"
("Time Step" "point-shear-b")
0 1370.16748046875
10 3118.481689453125
20 1059.624145507812
30 982.7169189453125
40 1260.811157226562
50 2134.863525390625
60 1569.716064453125
70 479.9390258789062
80 512.1368408203125
90 763.4345703125
100 608.3342895507812
110 907.9808349609375
120 1623.485595703125
130 2444.412841796875
140 5978.078125
150 3268.655517578125
160 7848.84814453125
170 2719.157470703125
180 933.2285766601562
190 894.2774658203125
200 2107.02490234375
210 3233.89892578125
220 1775.898803710938
230 2106.990966796875
240 3928.59033203125
250 5164.25146484375
260 4490.662109375
270 2618.211669921875
280 2729.496337890625
290 1067.3486328125
300 2785.87939453125
310 2750.2998046875
320 1433.088745117188
330 1290.810180664062
340 1061.478393554688
350 1148.79296875
360 7075.2861328125
370 6302.61572265625
380 2145.7548828125
390 3983.85498046875
400 3995.594482421875
410 1953.785034179688
420 3859.180908203125
430 2049.07421875
440 1139.760498046875
450 1239.136108398438
460 2713.9931640625
470 1077.722290039062
480 1403.672607421875
490 1146.2861328125
500 1291.2685546875
510 1128.687866210938
520 1143.76171875
530 1799.939575195312
540 3012.912841796875
550 1295.035522460938
560 608.1203002929688
570 2464.809814453125
580 4307.51025390625
590 3885.7451171875
600 6510.39501953125
610 1325.354248046875
620 2274.505126953125
630 970.3351440429688
640 3495.634765625
650 1664.114013671875
660 1476.487548828125
670 3772.11328125
680 2115.275146484375
690 3497.141357421875
700 2507.636962890625
710 2677.887451171875
720 5615.6171875
730 3272.8154296875
740 4619.56982421875
750 2029.614868164062
760 3005.755615234375
770 3592.8896484375
780 2351.458740234375
790 3822.341796875
800 2436.227783203125
810 2312.637939453125
820 2351.18212890625
830 2208.78662109375
840 2623.596923828125
850 4114.1806640625
860 3443.01220703125
870 2774.614990234375
880 2773.365478515625
890 2643.351318359375
900 2324.26611328125
910 1875.889282226562
920 5337.02978515625
930 1610.833618164062
940 1044.689819335938
950 1025.178588867188
960 8574.861328125
970 3799.9873046875
980 5371.9150390625
990 3320.325927734375
1000 2089.953125
1010 1539.525146484375
1020 2474.823974609375
1030 4609.6875
1040 2205.397705078125
1050 3058.474609375
1060 2022.880981445312
1070 2162.43408203125
1080 2482.24951171875
1090 6580.22802734375
1100 3401.57373046875
1110 2505.753662109375
1120 1133.7001953125
1130 2245.261962890625
1140 3036.561279296875
1150 1159.994873046875
1160 2228.319091796875
1170 1445.686645507812
1180 2031.753540039062
1190 3956.065673828125
1200 1406.989379882812
1210 4096.99365234375
1220 2720.136474609375
1230 1741.815551757812
1240 2775.677001953125
1250 2375.86572265625
1260 2413.2978515625
1270 1216.708984375
1280 1363.609375
1290 997.8613891601562
1300 1742.10546875
1310 3411.606689453125
1320 884.0341186523438
1330 3536.265869140625
1340 3580.787841796875
1350 2573.345458984375
1360 2575.545166015625
1370 2085.712158203125
1380 683.5517578125
1390 1539.87060546875
1400 3888.450927734375
1410 1185.128784179688
1420 2518.80419921875
1430 1164.028686523438
1440 3507.90576171875
1450 3920.1259765625
1460 2755.81396484375
1470 2775.6513671875
1480 5868.2578125
1490 2006.02392578125
1500 1805.714599609375
1510 2181.9208984375
1520 3670.0126953125
1530 4618.74169921875
1540 3064.970703125
1550 1596.481323242188
1560 2370.678466796875
1570 5101.45947265625
1580 3873.216064453125
1590 2430.343505859375
1600 2332.219970703125
1610 3240.266357421875
1620 2031.321411132812
1630 1785.616333007812
1640 1706.755615234375
1650 2621.27783203125
1660 2781.002197265625
1670 1956.820678710938
1680 3089.577880859375
1690 3547.927978515625
1700 3710.64404296875
1710 2849.85107421875
1720 2824.62646484375
1730 3101.763916015625
1740 981.586181640625
1750 2261.902587890625
1760 2633.972900390625
1770 2736.37109375
1780 914.0406494140625
1790 1720.220947265625
1800 5147.16357421875
1810 6691.21728515625
1820 3594.10302734375
1830 3184.89453125
1840 2444.0830078125
1850 1738.776611328125
1860 1787.4482421875
1870 1703.255981445312
1880 734.0947875976562
1890 2572.19775390625
1900 2628.9130859375
1910 2517.257080078125
1920 8563.3359375
1930 4505.53662109375
1940 3041.743408203125
1950 1446.32373046875
1960 2863.778076171875
1970 1739.974731445312
1980 1995.85107421875
1990 3564.201904296875
2000 1410.498657226562
2010 2726.171630859375
2020 2771.035400390625
2030 1670.060302734375
2040 2546.8427734375
2050 5274.43408203125
2060 3143.62158203125
2070 3968.994140625
2080 1730.808837890625
2090 3852.943115234375
2100 2176.57861328125
2110 1552.057861328125
2120 1679.374145507812
2130 2479.985595703125
2140 1841.797973632812
2150 1520.194213867188
2160 2587.627685546875
2170 5297.025390625
2180 3329.40380859375
2190 3033.361572265625
2200 2275.32275390625
2210 1967.600463867188
2220 2030.15087890625
2230 3227.321044921875
2240 1629.946655273438
2250 5091.45703125
2260 872.3204956054688
2270 1524.419067382812
2280 4346.30078125
2290 3764.209228515625
2300 3840.28759765625
2310 1032.00732421875
2320 2903.081298828125
2330 1576.588623046875
2340 3545.797119140625
2350 1663.62255859375
2360 1174.036376953125
2370 2267.220458984375
2380 1189.84228515625
2390 1559.4951171875
2400 4178.06494140625
