"p-in"
"Time Step" "p-in"
("Time Step" "p-in")
0 -24222.01252104513
10 -26479.57877734006
20 -25363.07402030263
30 -23151.09695682356
40 -21605.41019350385
50 -22441.91141943315
60 -23457.35083051134
70 -24856.11597540931
80 -24765.92753987034
90 -25223.50380030161
100 -24498.18406099356
110 -24945.08337136097
120 -26126.48433315128
130 -26241.13390867555
140 -24608.42059197218
150 -23848.86515292797
160 -22730.71466575021
170 -23909.05333816673
180 -24872.23304132905
190 -24294.98752848482
200 -24562.18638965179
210 -26685.04745518349
220 -25741.03923180643
230 -24235.20288876591
240 -23983.60304613274
250 -23217.15485230509
260 -23590.97736212529
270 -23301.0437485809
280 -23690.04624721602
290 -25509.75987090303
300 -26214.56128227676
310 -26451.71991468519
320 -26829.30339471426
330 -27295.62387088909
340 -26468.76384161063
350 -25501.04593368525
360 -25972.37496529461
370 -26321.61324762662
380 -26022.73550799254
390 -26337.85470316268
400 -24691.86825581821
410 -24773.07384700171
420 -26278.55757057303
430 -26118.91565363918
440 -26065.52249785818
450 -27185.09176541923
460 -27762.32562292606
470 -26626.23152719182
480 -25757.69456147297
490 -23645.65091976072
500 -22525.90021018754
510 -23067.67607802546
520 -23435.56157049463
530 -25581.22319364496
540 -27380.10029874608
550 -26798.39400072425
560 -25020.12156006398
570 -25905.56081957073
580 -27038.14983043669
590 -25611.33208250113
600 -24516.49449387834
610 -24567.48980684752
620 -23432.53630950069
630 -22853.92409982981
640 -22602.92117330022
650 -23629.41458894938
660 -25849.67423825556
670 -26832.13861268999
680 -26857.30607048331
690 -27034.50335341392
700 -26093.39177158842
710 -25304.37559250584
720 -25042.14297246343
730 -24996.33852629456
740 -24835.96370390529
750 -24327.27912366911
760 -23292.92691504231
770 -22985.28526276347
780 -23030.72137563505
790 -25762.41692576035
800 -27438.87828013505
810 -26348.63746021091
820 -26038.94202885971
830 -25788.91430163731
840 -26502.64453964799
850 -26108.04327697864
860 -24733.11582934766
870 -23181.55515991752
880 -23031.34117154314
890 -23445.37005596903
900 -24373.53325501764
910 -24952.55989321282
920 -25546.55509280901
930 -26569.43591297154
940 -27797.85367964094
950 -27275.11406074095
960 -25889.62971812034
970 -24928.79006587913
980 -23384.78341669049
990 -22648.79797688001
1000 -23525.27693873893
1010 -25297.64572633946
1020 -26067.35789907411
1030 -26252.79040485333
1040 -25791.46208346287
1050 -26527.89815759344
1060 -27382.64534969827
1070 -27328.05942821535
1080 -27609.24593133304
1090 -27420.13767713992
1100 -26142.28378593289
1110 -25187.72632192354
1120 -24461.38664456908
1130 -26061.20442161068
1140 -26616.79813155604
1150 -26908.96330263347
1160 -26289.05503709052
1170 -25643.25396698944
1180 -25086.04737383746
1190 -25869.17046924954
1200 -25911.34003489902
1210 -25305.73460207749
1220 -25507.09244694211
1230 -25015.84436734678
1240 -24559.38605488408
1250 -25663.2613610358
1260 -26372.23200980897
1270 -27376.29449966537
1280 -27537.90627027041
1290 -28035.61400551702
1300 -26281.66381451494
1310 -26700.74326641133
1320 -25792.2322313614
1330 -26042.649540197
1340 -24806.69578764787
1350 -24130.48867402706
1360 -24704.50758064364
1370 -25516.1643240068
1380 -25740.99202214762
1390 -25608.3047993199
1400 -25425.01572711514
1410 -25463.66267685037
1420 -26582.94744857385
1430 -25556.86051627163
1440 -25118.15763213184
1450 -25726.98171915036
1460 -25737.55581978558
1470 -24426.89097196811
1480 -25201.7378445697
1490 -25286.68344922345
