Time_Step point-gw-e point-gw-d point-pressure-a point-vel-b point-vel-c point-vel-e point-vel-d point-shear-a point-gw-b point-gw-c mass-flux eds-hemolysis point-pressure-b point-pressure-c p-in point-vel-a point-shear-d point-shear-e point-gw-a point-shear-c point-shear-b max-vel-rotor point-pressure-e point-pressure-d
0 0 0 -24331.990234375 3.790547132492065 5.445427894592285 5.15434455871582 5.15434455871582 529.185302734375 0 0 -0.0001096875757678542 0 -7090.83984375 -9063.9560546875 -24222.01252104513 0.1826866269111633 1513.573486328125 1513.573486328125 0 2893.133056640625 1370.16748046875 8.090072299293318 -1485.523681640625 -7007.8759765625
10 1.06597929061536e-06 1.06597929061536e-06 -26591.91796875 4.11857271194458 5.262281894683838 5.122753143310547 5.122753143310547 550.9419555664062 4.178363815299235e-05 8.469750355288852e-06 2.587016267180386e-08 2.692709427718791e-11 -9190.67578125 -11713.19140625 -26479.57877734006 0.1819204837083817 1562.190673828125 1562.190673828125 3.595533115685612e-08 2836.835205078125 3118.481689453125 8.386407853304704 -980.2208862304688 -6584.1826171875
20 2.254533910672762e-06 2.254533910672762e-06 -25473.109375 4.038482189178467 5.993458271026611 4.961462020874023 4.961462020874023 553.9003295898438 -1.030693738357513e-06 6.225671313586645e-06 1.242203822582333e-07 5.514039207859105e-11 -8798.2587890625 -10491.2041015625 -25363.07402030263 0.1810275018215179 1624.65283203125 1624.65283203125 6.629441173799933e-08 2526.88330078125 1059.624145507812 8.607188245341099 -741.673828125 -6104.373046875
30 1.010865162243135e-05 1.010865162243135e-05 -23259.6484375 4.409861087799072 6.000896453857422 4.622326850891113 4.622326850891113 557.5877075195312 1.39368648888194e-06 1.406182263963274e-06 1.926426531143055e-07 8.324487373098383e-11 -6365.15673828125 -8066.70751953125 -23151.09695682356 0.1802596151828766 1843.63671875 1843.63671875 9.007838031038773e-08 1245.307006835938 982.7169189453125 8.7534990175081 -512.4396362304688 -5117.755859375
40 2.089914778480306e-05 2.089914778480306e-05 -21703.43359375 4.566670894622803 5.942813873291016 3.562525749206543 3.562525749206543 562.2035522460938 2.464986437189509e-06 6.586681138287531e-07 8.287841264525975e-07 1.112251481237934e-10 -4655.71435546875 -6173.61181640625 -21605.41019350385 0.1797105073928833 2774.1708984375 2774.1708984375 1.08745439320046e-07 805.240478515625 1260.811157226562 8.524863246634061 -257.3820190429688 -3655.9404296875
50 0.00015544772031717 0.00015544772031717 -22547.29296875 4.410024642944336 5.771522998809814 4.516469955444336 4.516469955444336 567.0874633789062 1.346451608696952e-05 1.030010935210157e-05 -1.452412156953409e-06 1.390755948562662e-10 -5225.642578125 -6980.7978515625 -22441.91141943315 0.1794874370098114 4695.912109375 4695.912109375 1.232741340118082e-07 1373.363525390625 2134.863525390625 8.402284105841824 -120.3546981811523 -3554.88330078125
60 0.0001135424245148897 0.0001135424245148897 -23570.23828125 4.040451049804688 5.226345539093018 4.137146472930908 4.137146472930908 570.9970703125 1.269362473976798e-05 0.0003647643607109785 -2.257784624225267e-06 1.668023719713287e-10 -6118.861328125 -7818.2734375 -23457.35083051134 0.179493710398674 1231.591064453125 1231.591064453125 1.340854396403302e-07 1629.519775390625 1569.716064453125 8.626429234127098 50.51557159423828 -5939.369140625
70 1.887105099740438e-05 1.887105099740438e-05 -24962.09375 3.853899955749512 6.158102989196777 3.802947759628296 3.802947759628296 573.5380859375 2.749719385519711e-07 -0.0001178271122626029 4.429974705122408e-08 1.944175691043021e-10 -7480.4677734375 -8748.5419921875 -24856.11597540931 0.1795762479305267 2333.45068359375 2333.45068359375 1.415697425954932e-07 822.4041137695312 479.9390258789062 8.822843045804198 -92.80776977539062 -5818.669921875
80 6.44833198748529e-06 6.44833198748529e-06 -24871.16015625 3.847831249237061 5.627965450286865 3.743905067443848 3.743905067443848 575.302001953125 3.666703776161739e-07 1.070348480425309e-05 3.733869079550201e-07 2.219353558136236e-10 -7341.4267578125 -8822.7666015625 -24765.92753987034 0.1796449422836304 1476.515991210938 1476.515991210938 1.463661902789681e-07 2716.76513671875 512.1368408203125 8.563981619810836 -110.7889785766602 -5801.87841796875
90 0.0002435721689835191 0.0002435721689835191 -25333.740234375 3.824403762817383 5.449362277984619 4.974287033081055 4.974287033081055 576.1970825195312 8.467926022603933e-07 0.0001485904213041067 4.006983327781155e-07 2.493629405019984e-10 -7747.77099609375 -8802.4658203125 -25223.50380030161 0.1796291172504425 2609.24365234375 2609.24365234375 1.491904413342127e-07 2934.337890625 763.4345703125 8.557613379287607 -207.3495941162109 -5899.65478515625
100 0.0001327419595327228 0.0001327419595327228 -24606.16015625 3.941920042037964 4.894889831542969 4.669531345367432 4.669531345367432 576.0164794921875 1.485418124502758e-06 0.0002337565965717658 7.037997808503893e-07 2.767032192703569e-10 -6925.11181640625 -8951.2900390625 -24498.18406099356 0.17948217689991 1742.206665039062 1742.206665039062 1.504763247339724e-07 2470.78076171875 608.3342895507812 8.88752368117329 -497.5218200683594 -5446.1611328125
110 0.001065623247995973 0.001065623247995973 -25057.296875 3.9201340675354 5.560632705688477 5.156089782714844 5.156089782714844 575.1779174804688 4.340984378359281e-05 0.0003453884564805776 -1.564962294857419e-06 3.039586380606427e-10 -7263.03173828125 -8454.185546875 -24945.08337136097 0.1791600286960602 2017.49755859375 2017.49755859375 1.50500000017928e-07 4524.06494140625 907.9808349609375 8.977009394512756 -915.6856689453125 -5737.53515625
120 4.491424988373183e-05 4.491424988373183e-05 -26231.61328125 3.473816633224487 5.350519180297852 4.648198127746582 4.648198127746582 573.4248657226562 8.400906517636031e-05 0.008554552681744099 -1.165296393192128e-06 3.311245692337559e-10 -10197.2470703125 -11381.1142578125 -26126.48433315128 0.1787310540676117 3236.982421875 3236.982421875 1.495175609989019e-07 2780.632080078125 1623.485595703125 8.835352785974386 -895.5872802734375 -6750.46435546875
