"point-pressure-a"
"Time_Step" "point-pressure-a"
("Time_Step" "point-pressure-a")
2410 -27021.712890625
2420 -26291.140625
2430 -24714.767578125
2440 -23358.1484375
2450 -24668.04296875
2460 -25296.498046875
2470 -25043.6015625
2480 -25745.681640625
2490 -26659.953125
2500 -27172.53515625
2510 -28328.498046875
2520 -26363.8359375
2530 -26542.080078125
2540 -25850.93359375
2550 -24961.896484375
2560 -24823.96875
2570 -25117.041015625
2580 -26058.814453125
2590 -27718.662109375
2600 -28670.826171875
2610 -29035.654296875
2620 -27626.234375
2630 -27408.427734375
2640 -27486.693359375
2650 -26765.9921875
2660 -25896.849609375
2670 -25541.490234375
2680 -25505.849609375
2690 -25629.76953125
2700 -25979.767578125
2710 -26770.5390625
2720 -28669.638671875
2730 -29440.33203125
2740 -29298.763671875
2750 -27494.619140625
2760 -25705.263671875
2770 -26280.447265625
2780 -25591.708984375
2790 -24778.359375
2800 -25269.62890625
2810 -25942.498046875
2820 -26715.951171875
2830 -25225.328125
2840 -26106.498046875
2850 -25640.103515625
2860 -26017.044921875
2870 -26591.654296875
2880 -26744.65234375
2890 -27520.060546875
2900 -27110.376953125
2910 -25964.650390625
2920 -24832.326171875
2930 -25461.15234375
2940 -26428.353515625
2950 -26758.501953125
2960 -27804.5390625
2970 -27543.662109375
2980 -26833.82421875
2990 -26145.375
3000 -27006.86328125
3010 -27363.376953125
3020 -26365.271484375
3030 -26015.59765625
3040 -25207.6875
3050 -24490.966796875
3060 -25427.806640625
3070 -24487.828125
3080 -25058.787109375
3090 -27110.033203125
3100 -26758.015625
3110 -25551.048828125
3120 -26016.53125
3130 -26208.43359375
3140 -25786.185546875
3150 -24859.724609375
3160 -24643.0546875
3170 -25089.884765625
3180 -25811.58203125
3190 -27030.328125
3200 -26783.60546875
3210 -26340.48828125
3220 -27479.77734375
3230 -27031.23828125
3240 -27415.0859375
3250 -26088.6015625
3260 -24946.31640625
3270 -23589.634765625
3280 -23804.375
3290 -25115.71875
3300 -27424.9453125
3310 -27848.38671875
3320 -27406.056640625
3330 -27198.09375
