"point-pressure-b"
"Time_Step" "point-pressure-b"
("Time_Step" "point-pressure-b")
2410 -10985.1650390625
2420 -10658.720703125
2430 -7507.60888671875
2440 -6608.029296875
2450 -7407.66650390625
2460 -7885.1162109375
2470 -7795.9248046875
2480 -8596.0029296875
2490 -8893.87890625
2500 -9600.744140625
2510 -10893.712890625
2520 -11235.595703125
2530 -10564.1865234375
2540 -9663.8740234375
2550 -8098.88671875
2560 -7992.2392578125
2570 -8443.24609375
2580 -8645.3671875
2590 -10795.203125
2600 -11762.830078125
2610 -12422.0087890625
2620 -10659.5673828125
2630 -10128.376953125
2640 -11805.7041015625
2650 -10973.392578125
2660 -9998.193359375
2670 -9967.751953125
2680 -8411.2978515625
2690 -8691.181640625
2700 -8985.9609375
2710 -9417.5087890625
2720 -11253.1162109375
2730 -11982.767578125
2740 -12051.642578125
2750 -10394.87890625
2760 -10527.103515625
2770 -10594.51171875
2780 -8975.91796875
2790 -8009.107421875
2800 -9021.41015625
2810 -9175.1240234375
2820 -9530.1708984375
2830 -8173.4013671875
2840 -8824.84765625
2850 -8109.228515625
2860 -9646.40234375
2870 -9281.3427734375
2880 -11254.494140625
2890 -11689.52734375
2900 -10298.0322265625
2910 -8645.0244140625
2920 -7821.2734375
2930 -8753.58203125
2940 -9042.34375
2950 -9659.587890625
2960 -10328.19140625
2970 -10010.388671875
2980 -9246.2314453125
2990 -8895.8349609375
3000 -11111.2021484375
3010 -12722.197265625
3020 -10238.8017578125
3030 -8843.0849609375
3040 -7938.91064453125
3050 -7127.98974609375
3060 -8260.96484375
3070 -6878.08154296875
3080 -7722.18408203125
3090 -9953.7685546875
3100 -9096.353515625
3110 -8075.49072265625
3120 -10303.8486328125
3130 -10495.12890625
3140 -9886.27734375
3150 -8381.271484375
3160 -7423.33642578125
3170 -8119.00634765625
3180 -8521.615234375
3190 -9575.4931640625
3200 -9314.8154296875
3210 -8674.05078125
3220 -9769.9501953125
3230 -9441.45703125
3240 -10949.8271484375
3250 -9294.603515625
3260 -8224.5986328125
3270 -6499.57958984375
3280 -7977.31787109375
3290 -7802.15380859375
3300 -10216.5615234375
3310 -10906
3320 -10069.0703125
3330 -9802.5859375
3340 -10541.7177734375
3350 -10884.4501953125
3360 -11911.28515625
3370 -9016.46484375
3380 -9330.1435546875
3390 -6939.0634765625
3400 -6545.52197265625
3410 -6877.70703125
3420 -6839.12255859375
3430 -7973.3642578125
3440 -8186.076171875
3450 -8770.908203125
3460 -8742.53515625
3470 -8663.1396484375
3480 -10185.1015625
3490 -8948.84375
3500 -8820.2744140625
3510 -9169.849609375
3520 -6783.20263671875
3530 -8356.146484375
3540 -9152.822265625
3550 -9249.322265625
3560 -9255.9248046875
3570 -9960.2431640625
3580 -10046.0400390625
3590 -11346.7216796875
3600 -13501.791015625
3610 -10588.783203125
3620 -9156.59375
3630 -7192.423828125
3640 -7592.48193359375
3650 -8475.6572265625
3660 -9185.7998046875
3670 -8516.931640625
3680 -8235.6240234375
3690 -9419.1494140625
3700 -9292.51953125
3710 -8897.8642578125
3720 -11088.9443359375
3730 -9806.3154296875
3740 -9392.2353515625
3750 -9528.201171875
3760 -8671.5009765625
3770 -8949.296875
3780 -8507.6708984375
3790 -9216.2646484375
3800 -10209.01171875
3810 -8657.060546875
3820 -8692.5478515625
3830 -9281.357421875
3840 -10705.9931640625
3850 -10319.6064453125
3860 -10815.7421875
3870 -9118.853515625
3880 -7307.05908203125
3890 -8671.916015625
3900 -9645.328125
3910 -9796.87109375
3920 -9642.0771484375
3930 -10023.2509765625
3940 -8885.708984375
3950 -7449.642578125
3960 -10212.6201171875
3970 -11097.24609375
3980 -11961.0478515625
3990 -8389.96484375
4000 -8190.32666015625
4010 -9146.2841796875
4020 -9969.25390625
4030 -9618.6044921875
4040 -10159.3017578125
4050 -9712.7998046875
4060 -9625.044921875
4070 -9352.1923828125
4080 -10924.2177734375
4090 -10082.18359375
4100 -9589.55859375
4110 -8943.0146484375
4120 -7392.67529296875
4130 -7375.70263671875
4140 -8543.7783203125
4150 -9701.591796875
4160 -10374.88671875
4170 -10265.5947265625
4180 -11226.048828125
4190 -9264.435546875
4200 -10320.1123046875
4210 -9142.9541015625
4220 -11526.517578125
4230 -9350.22265625
4240 -7940.873046875
4250 -7456.50927734375
4260 -7138.1943359375
4270 -7972.75146484375
4280 -9054.1845703125
4290 -10043.7509765625
4300 -9090.8798828125
4310 -8086.7275390625
4320 -10173.6630859375
4330 -9032.2763671875
4340 -8737.78515625
4350 -7805.82861328125
4360 -8080.16845703125
4370 -9208.95703125
4380 -10109.2783203125
4390 -10575.30859375
4400 -10669.5771484375
4410 -9591.6845703125
4420 -9338.33203125
4430 -9469.0537109375
4440 -10173.39453125
4450 -8403.9677734375
4460 -9165.12109375
4470 -8361.2294921875
4480 -7102.77880859375
4490 -8192.4892578125
4500 -10082.912109375
4510 -10192.67578125
4520 -11543.9130859375
4530 -10933.337890625
4540 -9484.1416015625
4550 -8402.201171875
4560 -9484.99609375
4570 -8540.6328125
4580 -9147.1689453125
4590 -8992.150390625
4600 -7372.47412109375
4610 -8373.4677734375
4620 -8435.8720703125
4630 -8402.95703125
4640 -8947.6650390625
4650 -8613.287109375
4660 -7392.740234375
4670 -8303.6162109375
4680 -10299.9921875
4690 -11572.189453125
4700 -10003.7900390625
4710 -8591.4619140625
4720 -8434.5419921875
4730 -8635.23046875
4740 -9193.9033203125
4750 -9985.658203125
4760 -11595.32421875
4770 -10864.5615234375
4780 -10290.3525390625
4790 -10176.853515625
4800 -9423.9345703125
4810 -10824.220703125
4820 -10550.103515625
4830 -9512.5849609375
4840 -8735.9091796875
4850 -8524.71875
4860 -10114.376953125
4870 -9565.7978515625
4880 -9238.6279296875
4890 -8993.8056640625
4900 -9983.4765625
4910 -10429.583984375
4920 -12134.818359375
4930 -10301.8544921875
4940 -9466.294921875
4950 -8737.54296875
4960 -8572.7392578125
4970 -10108.7890625
4980 -10924.4375
4990 -12076.9765625
5000 -11873.275390625
5010 -9712.1240234375
5020 -7958.5185546875
5030 -8835.9765625
5040 -10777.4755859375
5050 -10828.4716796875
5060 -9027.0908203125
5070 -7874.8359375
5080 -6337.744140625
5090 -8218.103515625
5100 -9695.2548828125
5110 -10100.060546875
5120 -10688.8701171875
5130 -10318.587890625
5140 -10893.0205078125
5150 -10622.13671875
5160 -9510.166015625
5170 -9994.892578125
5180 -10810.263671875
5190 -9121.990234375
5200 -7398.66259765625
5210 -7559.7177734375
5220 -8396.849609375
5230 -7786.986328125
5240 -6955
5250 -8909.53125
5260 -8603.7001953125
5270 -10026.6396484375
5280 -12159.9189453125
5290 -11504.8515625
5300 -10648.1650390625
5310 -8752.7958984375
5320 -8402.33203125
5330 -11101.208984375
5340 -10122.48046875
5350 -7897.8681640625
5360 -6788.732421875
5370 -6408.99462890625
5380 -7979.7626953125
5390 -10480.158203125
5400 -13003.658203125
5410 -12894.00390625
5420 -10843.1923828125
5430 -8365.2841796875
5440 -6364.865234375
5450 -6564.51953125
5460 -7995.94140625
5470 -8526.9208984375
5480 -8588.21875
5490 -8940.7978515625
5500 -9508.568359375
5510 -11277.60546875
5520 -13290.1845703125
5530 -12262.86328125
5540 -11431.9404296875
5550 -9110.625
5560 -6984.14208984375
5570 -7848.56640625
5580 -7754.328125
5590 -9322.6796875
5600 -10191.2470703125
5610 -9300.1201171875
5620 -9095.19140625
5630 -7997.67333984375
5640 -8883.0068359375
5650 -10124.1533203125
5660 -10215.15234375
5670 -7540.583984375
5680 -6045.82958984375
5690 -7939.65869140625
5700 -8717.28125
