"point-pressure-c"
"Time_Step" "point-pressure-c"
("Time_Step" "point-pressure-c")
2410 -11093.30859375
2420 -9917.349609375
2430 -7867.2646484375
2440 -6358.30859375
2450 -8003.10595703125
2460 -8959.419921875
2470 -8288.8828125
2480 -9070.9775390625
2490 -9442.61328125
2500 -9796.06640625
2510 -11172.2568359375
2520 -10563.4462890625
2530 -10677.75390625
2540 -9805.669921875
2550 -9034.8583984375
2560 -7734.33447265625
2570 -7810.22705078125
2580 -9276.9208984375
2590 -10361.9990234375
2600 -11568.61328125
2610 -11657.994140625
2620 -10515.63671875
2630 -10501.921875
2640 -11338.5390625
2650 -10967.8486328125
2660 -9723.46875
2670 -8975.8603515625
2680 -8641.6904296875
2690 -8613.140625
2700 -8998.8681640625
2710 -9234.30859375
2720 -11705.697265625
2730 -12093.2978515625
2740 -11982.7021484375
2750 -10923.671875
2760 -9437.234375
2770 -10590.0712890625
2780 -8854.48046875
2790 -7860.32666015625
2800 -8171.60986328125
2810 -8581.1669921875
2820 -9475.55078125
2830 -8058.74365234375
2840 -8678.369140625
2850 -8366.4912109375
2860 -8726.6962890625
2870 -9250.0302734375
2880 -10570.76171875
2890 -11476.2607421875
2900 -11056.853515625
2910 -8735.5400390625
2920 -7972.55615234375
2930 -8547.5771484375
2940 -9254.041015625
2950 -9640.994140625
2960 -11089.0078125
2970 -10581.994140625
2980 -9455.8916015625
2990 -9100.056640625
3000 -11437.5771484375
3010 -10859.970703125
3020 -10559.0419921875
3030 -8700.2265625
3040 -8339.0068359375
3050 -7350.18603515625
3060 -8518.4990234375
3070 -7704.9365234375
3080 -8137.25537109375
3090 -10388.9453125
3100 -10214.37890625
3110 -8522.30078125
3120 -9396.4619140625
3130 -9019.8427734375
3140 -9263.5146484375
3150 -8424.0556640625
3160 -7719.2548828125
3170 -8384.208984375
3180 -8725.4794921875
3190 -9582.09375
3200 -9289.3505859375
3210 -9217.2197265625
3220 -9957.9423828125
3230 -9765.5556640625
3240 -11936.98828125
3250 -9421.7744140625
3260 -8829.697265625
3270 -6861.998046875
3280 -6908.9609375
3290 -7860.3564453125
3300 -9533.13671875
3310 -10137.3818359375
3320 -10066.70703125
3330 -9705.36328125
3340 -10432.0107421875
3350 -10959.544921875
3360 -10893.474609375
3370 -8989.1943359375
3380 -7680.3779296875
3390 -6754.4990234375
3400 -6954.294921875
3410 -6697.271484375
3420 -6960.53076171875
3430 -7986.92578125
3440 -7935.6484375
3450 -8498.572265625
3460 -8568.748046875
3470 -8604.0810546875
3480 -9733.65234375
3490 -9453.6435546875
3500 -9165.1162109375
3510 -8465.283203125
3520 -7242.6025390625
3530 -7864.5654296875
3540 -8977.47265625
3550 -8695.92578125
3560 -9065.0830078125
3570 -10053.3154296875
3580 -9934.78515625
3590 -10800.12109375
3600 -11814.18359375
3610 -10504.2900390625
3620 -8070.4423828125
3630 -6939.41552734375
3640 -7452.673828125
3650 -8270.431640625
3660 -8562.921875
3670 -8748.53515625
3680 -8463.6650390625
3690 -9578.318359375
3700 -9367.23828125
3710 -9062.3603515625
3720 -10402.19921875
3730 -8712.353515625
3740 -9222.7578125
3750 -9192.6015625
3760 -8378.1591796875
3770 -8562.037109375
3780 -8641.0625
3790 -9277.455078125
3800 -10266.744140625
3810 -9470.193359375
3820 -10092.47265625
3830 -8886.638671875
3840 -10093.6328125
3850 -9710.783203125
3860 -10177.1962890625
3870 -11120.33984375
3880 -8780.3662109375
3890 -9370.2802734375
3900 -10679.5361328125
3910 -10693.72265625
3920 -9605.806640625
3930 -10009.658203125
3940 -8971.8056640625
3950 -7643.21484375
3960 -9599.5380859375
3970 -9487.7060546875
3980 -10907.5810546875
3990 -9055.623046875
