"point-pressure-d"
"Time_Step" "point-pressure-d"
("Time_Step" "point-pressure-d")
2410 -7078.064453125
2420 -7179.3046875
2430 -5920.2529296875
2440 -4840.072265625
2450 -5418.6962890625
2460 -5996.1318359375
2470 -5254.50146484375
2480 -5793.99560546875
2490 -7079.2724609375
2500 -7547.21875
2510 -9230.056640625
2520 -7253.37109375
2530 -6781.6767578125
2540 -5988.51611328125
2550 -5765.841796875
2560 -5567.2392578125
2570 -5344.38720703125
2580 -6776.7490234375
2590 -7834.802734375
2600 -8568.2265625
2610 -8964.6259765625
2620 -7812.10546875
2630 -7238.37060546875
2640 -7256.9921875
2650 -6677.71240234375
2660 -6039.9736328125
2670 -6430.8134765625
2680 -6702.466796875
2690 -7219.9794921875
2700 -6787.40478515625
2710 -6857.548828125
2720 -8470.208984375
2730 -8972.697265625
2740 -9127.84765625
2750 -7520.4794921875
2760 -5817.708984375
2770 -6441.701171875
2780 -5983.818359375
2790 -5989.529296875
2800 -5238.5029296875
2810 -7970.9921875
2820 -7195.974609375
2830 -5720.7822265625
2840 -6621.6962890625
2850 -6186.70703125
2860 -6451.66015625
2870 -6522.267578125
2880 -6552.2744140625
2890 -7168.2197265625
2900 -7251.1171875
2910 -6921.03857421875
2920 -5651.2998046875
2930 -6453.66748046875
2940 -7094.33203125
2950 -7318.40576171875
2960 -8045.5751953125
2970 -8145.0859375
2980 -7147.42529296875
2990 -6678.05517578125
3000 -7333.587890625
3010 -7611.31689453125
3020 -6948.1787109375
3030 -7103.19970703125
3040 -5716.1240234375
3050 -5714.9443359375
3060 -6643.453125
3070 -5454.5087890625
3080 -5351.2763671875
3090 -7083.142578125
3100 -6808.76123046875
3110 -5926.4052734375
3120 -6447.982421875
3130 -6338.29248046875
3140 -6742.89013671875
3150 -6023.5712890625
3160 -5550.1669921875
3170 -5386.95068359375
3180 -6024.947265625
3190 -7081.681640625
3200 -7081.66552734375
3210 -6395.158203125
3220 -7099.0703125
3230 -6591.849609375
3240 -7259.2939453125
3250 -5980.2119140625
3260 -5170.0361328125
3270 -4870.19482421875
3280 -4460.59521484375
3290 -5117.42578125
3300 -8386.9736328125
3310 -8308.23828125
3320 -8515.6162109375
3330 -7712.3623046875
3340 -7833.9423828125
3350 -7807.83642578125
3360 -7168.642578125
3370 -6187.57275390625
3380 -5717.5302734375
3390 -5110.97119140625
3400 -5075.51171875
3410 -4556.4423828125
3420 -4506.58740234375
3430 -5492.52001953125
3440 -5463.92529296875
3450 -6297.5771484375
3460 -6226.5244140625
3470 -5967.8662109375
3480 -6081.6318359375
3490 -6157.283203125
3500 -6159.17431640625
3510 -6184.845703125
3520 -5390.5908203125
3530 -6288.1611328125
3540 -6875.43408203125
3550 -6539.43115234375
3560 -6883.19140625
3570 -7364.30322265625
3580 -7248.8154296875
3590 -7895.203125
3600 -9128.96875
3610 -7760.2001953125
3620 -5399.63330078125
3630 -5215.87353515625
3640 -5154.32958984375
3650 -5468.9306640625
3660 -5784.0634765625
3670 -6508.1728515625
3680 -5831.01953125
3690 -7279.5576171875
3700 -6922.0966796875
3710 -6471.4609375
3720 -6994.94970703125
3730 -6106.31103515625
