"point-pressure-e"
"Time_Step" "point-pressure-e"
("Time_Step" "point-pressure-e")
2410 -2005.202270507812
2420 -2021.048706054688
2430 -1949.63916015625
2440 -1293.047119140625
2450 -1313.20654296875
2460 -1352.890747070312
2470 -1392.79345703125
2480 -1511.603515625
2490 -1600.803100585938
2500 -1237.191162109375
2510 -1764.401733398438
2520 -1939.64501953125
2530 -1756.481079101562
2540 -1779.939331054688
2550 -1511.116455078125
2560 -1706.043579101562
2570 -1691.495361328125
2580 -1505.324951171875
2590 -1541.928833007812
2600 -1533.504150390625
2610 -1644.505126953125
2620 -1536.715087890625
2630 -1529.24365234375
2640 -1436.507446289062
2650 -1686.810791015625
2660 -1779.909912109375
2670 -1847.98876953125
2680 -1973.981811523438
2690 -1799.475219726562
2700 -1664.511352539062
2710 -1473.577392578125
2720 -1714.794189453125
2730 -1763.776733398438
2740 -2409.423583984375
2750 -2220.76318359375
2760 -2534.275390625
2770 -1942.423583984375
2780 -1268.052124023438
2790 -1551.567504882812
2800 -1643.40576171875
2810 -1353.635620117188
2820 -1522.536499023438
2830 -1938.085205078125
2840 -2093.289794921875
2850 -1614.864868164062
2860 -1373.322998046875
2870 -1401.692626953125
2880 -1639.740356445312
2890 -2731.30419921875
2900 -2505.264404296875
2910 -1746.633544921875
2920 -1673.80859375
2930 -1644.238037109375
2940 -1632.0302734375
2950 -1659.782348632812
2960 -1696.968017578125
2970 -1905.299560546875
2980 -1538.530517578125
2990 -1300.636840820312
3000 -1712.553588867188
3010 -1606.598510742188
3020 -1748.684326171875
3030 -1295.943359375
3040 -1266.877563476562
3050 -1495.593139648438
3060 -1985.303833007812
3070 -1543.447998046875
3080 -1842.309692382812
3090 -1664.663818359375
3100 -1990.226318359375
3110 -2245.44873046875
3120 -2015.916137695312
3130 -1234.218139648438
3140 -1453.975463867188
3150 -1364.9052734375
3160 -1634.67333984375
3170 -1592.671020507812
3180 -1577.714477539062
3190 -1861.567504882812
3200 -1959.479370117188
3210 -1879.6240234375
3220 -2296.916015625
3230 -2481.63427734375
3240 -1297.458862304688
3250 -1178.529296875
3260 -1125.951416015625
3270 -1521.436157226562
3280 -1699.652954101562
3290 -1746.373168945312
3300 -1825.775268554688
3310 -1767.15869140625
3320 -1964.026611328125
3330 -1724.859252929688
3340 -1652.015380859375
3350 -1440.245849609375
3360 -1198.597900390625
3370 -1266.4453125
3380 -1706.32666015625
3390 -1862.21435546875
3400 -2516.447021484375
3410 -2174.9189453125
3420 -1887.197265625
3430 -1588.71044921875
3440 -1974.91455078125
3450 -1694.583129882812
3460 -1540.026733398438
3470 -1699.013793945312
3480 -1564.929931640625
3490 -1291.94677734375
3500 -1036.952880859375
3510 -1264.538330078125
3520 -1359.83154296875
3530 -1427.1572265625
3540 -1392.704467773438
3550 -1571.704711914062
3560 -1925.658935546875
3570 -2773.36572265625
3580 -2040.722778320312
3590 -1476.871826171875
3600 -1413.2412109375
3610 -1620.191650390625
3620 -1787.237915039062
3630 -2251.841552734375
3640 -2006.446899414062
3650 -1690.964233398438
3660 -1664.689453125
3670 -1566.00830078125
3680 -1581.996704101562
3690 -1760.274536132812
3700 -1232.0478515625
3710 -1137.623779296875
3720 -1538.009887695312
3730 -1574.757568359375
3740 -1917.44580078125
3750 -1808.642211914062
3760 -1715.7998046875
3770 -2030.259399414062
3780 -1822.365478515625
3790 -1586.382080078125
3800 -1317.006713867188
3810 -1301.3662109375
3820 -1493.773071289062
3830 -1790.835693359375
3840 -1891.046020507812
3850 -1997.8515625
3860 -1990.45556640625
3870 -1965.5205078125
3880 -1873.182373046875
3890 -1757.846923828125
3900 -1882.507080078125
3910 -1992.64794921875
3920 -2036.029174804688
3930 -2460.0068359375
3940 -2272.0107421875
3950 -1683.308471679688
3960 -1389.096069335938
3970 -1366.602661132812
3980 -1663.15576171875
3990 -1882.390747070312
4000 -1507.336791992188
4010 -1631.194702148438
4020 -1966.427612304688
4030 -1734.163208007812
4040 -1445.340576171875
4050 -1770.927368164062
4060 -1779.876220703125
4070 -1285.808227539062
4080 -1301.2607421875
4090 -1936.163330078125
4100 -1804.7802734375
4110 -1249.981201171875
4120 -1463.6865234375
4130 -1769.950439453125
4140 -1652.500122070312
4150 -1329.042602539062
4160 -1159.55859375
4170 -1074.16748046875
4180 -1190.320922851562
4190 -1278.2314453125
4200 -1485.374633789062
4210 -1686.132934570312
4220 -1914.459106445312
4230 -1691.949340820312
4240 -1955.11279296875
4250 -1693.664916992188
4260 -1678.1171875
4270 -1457.669067382812
4280 -1383.87109375
4290 -2091.0927734375
