"p-in"
"Time Step" "p-in"
("Time Step" "p-in")
2410 -26910.28872352621
2420 -26177.9835462481
2430 -24606.11803104362
2440 -23247.29721859454
2450 -24557.45564275565
2460 -25188.92782457823
2470 -24934.67813355323
2480 -25637.16598541216
2490 -26548.84096817502
2500 -27061.32190263168
2510 -28218.37430962228
2520 -26252.80352528654
2530 -26429.78138713745
2540 -25734.91720212549
2550 -24849.61775028549
2560 -24713.9912928976
2570 -25008.44639236954
2580 -25945.47835185393
2590 -27607.61491978498
2600 -28561.28068760013
2610 -28923.15717776425
2620 -27517.64400933282
2630 -27297.0176586203
2640 -27376.90844903835
2650 -26656.65175439578
2660 -25784.71530666673
2670 -25429.24093553031
2680 -25391.6045235225
2690 -25518.46021353628
2700 -25869.43957050116
2710 -26660.34329099114
2720 -28559.37523926011
2730 -29331.48478663373
2740 -29186.12940711073
2750 -27383.79381881555
2760 -25592.92033992061
2770 -26169.31949896781
2780 -25483.88898172368
2790 -24664.00190903043
2800 -25158.09166028655
2810 -25831.65904283603
2820 -26599.5796808662
2830 -25114.90302704945
2840 -25999.51255491815
2850 -25529.19215422098
2860 -25906.70180896099
2870 -26481.63023221419
2880 -26634.22166133956
2890 -27409.35287281534
2900 -27000.38510080018
2910 -25853.24073779766
2920 -24721.05055415267
2930 -25352.63836960724
2940 -26320.21890267712
2950 -26646.34005762877
2960 -27692.33653775973
2970 -27437.21660744619
2980 -26722.78147792435
2990 -26033.0620437121
3000 -26893.47416664001
3010 -27253.09194298645
3020 -26254.84576600972
3030 -25907.54898742103
3040 -25100.54261124736
3050 -24379.26513093795
3060 -25315.71970904862
3070 -24377.06878101777
3080 -24949.44527188221
3090 -26999.45968761262
3100 -26645.78178650873
3110 -25444.17812156982
3120 -25905.4519051126
3130 -26101.6311649302
3140 -25675.83173332477
3150 -24748.21853538386
3160 -24529.09727311967
3170 -24979.18419116786
3180 -25702.95163022571
3190 -26924.16453024728
3200 -26670.20060971637
3210 -26230.62307910109
3220 -27364.85645849685
3230 -26919.17906295353
3240 -27298.66833828044
3250 -25972.0910806151
3260 -24840.79753798028
3270 -23476.58653854436
3280 -23690.28812854121
3290 -25003.95786734203
3300 -27314.17602358786
3310 -27741.49617568196
3320 -27293.26246220216
3330 -27085.36176934119
3340 -27794.76805853568
3350 -28112.47137385087
3360 -27070.05683203339
3370 -25673.45730651191
3380 -24854.78717540377
3390 -23526.12711865828
3400 -23686.26528825807
3410 -23797.02054918525
3420 -23764.75443253903
3430 -25249.20634656816
3440 -25284.40821409008
3450 -25730.44067656933
3460 -26004.97719686298
3470 -25703.38192007173
3480 -25924.51138943706
3490 -25933.8447659412
3500 -25502.19955237396
3510 -25204.00664881134
3520 -24278.868473444
3530 -25327.97061570371
3540 -26088.00948774393
3550 -25961.3367336498
3560 -26534.49380787304
3570 -27418.91786205838
3580 -27281.26627219575
3590 -28329.76986570147
3600 -28611.74168329059
3610 -27111.73482549883
3620 -24525.20513366732
3630 -23968.76419274574
3640 -24304.0548181842
3650 -25276.98806568004
3660 -25826.3452757761
3670 -25721.43062358151
3680 -25590.82695379175
3690 -26827.63015237705
3700 -26670.55749294521
3710 -26196.7405271341
3720 -26761.848533971
3730 -26083.23405053532
3740 -26214.39683551856
3750 -25930.96144484262
3760 -25447.20433290735
3770 -25792.22223020712
3780 -25731.06674159931
3790 -26237.32265117867
3800 -27473.09099323861
3810 -26557.97356065676
3820 -26319.2440045394
3830 -25778.58823000657
3840 -26137.42504270046
3850 -26868.76694065998
3860 -26958.91744204837
3870 -25757.31231537594
3880 -24503.05298986698
3890 -25567.75166484748
3900 -26807.55279911041
3910 -27054.63313397202
3920 -26851.86875452396
3930 -27201.28043407945
3940 -26338.89188167143
3950 -24848.71792233049
3960 -25297.14026671945
3970 -26162.05782767327
3980 -26976.80829919142
3990 -25406.92401317945
4000 -24228.78995462206
4010 -25129.48359333219
4020 -25993.62184473826
4030 -26880.23827129623
4040 -27352.10884277673
4050 -26722.40501902642
4060 -27047.16516554846
4070 -27132.61190892454
4080 -26039.73363047501
4090 -25948.72728477838
4100 -26266.33499849839
4110 -25762.04694076226
4120 -24461.19557289317
4130 -24389.80219184461
4140 -25463.49682524852
4150 -26678.07564220517
4160 -27515.80980707311
4170 -27723.94324005422
4180 -28432.55905401798
4190 -26946.65482709152
4200 -25802.51486895463
4210 -26011.53115041136
4220 -27308.51444789512
4230 -26003.3984385205
4240 -25228.0992566445
4250 -24772.12897962701
4260 -24368.3860977393
4270 -25314.72241649094
4280 -26155.57977911698
4290 -27441.33635252271
4300 -26605.56800407849
4310 -25036.15141476391
4320 -25846.38201806758
4330 -25726.32766587255
4340 -25339.85065501462
4350 -24351.02705204719
4360 -24591.92297023067
4370 -25769.6023124368
4380 -27146.66253381181
4390 -27757.6492843027
4400 -27902.09684098134
4410 -26924.79869232872
4420 -26852.11520678532
4430 -26770.75637361026
4440 -25980.68506903779
4450 -25173.45087496848
4460 -25562.96787915249
4470 -24996.52782120024
4480 -24290.9907384773
4490 -25281.75458676077
4500 -27257.24387989334
4510 -27439.03746954462
4520 -28437.41011933011
4530 -27960.29125003471
4540 -26490.66183198218
4550 -25456.53493538397
4560 -24449.71134474094
4570 -24788.76352882793
4580 -25698.23317805387
4590 -25478.83855952239
4600 -23980.59518167869
4610 -25031.13738822479
4620 -25441.92841332381
4630 -25521.12145966485
4640 -26285.1083122793
4650 -25791.76240380486
4660 -25219.27837922766
4670 -25973.9751749122
4680 -25457.46589558454
4690 -26266.195194341
4700 -26424.20923283607
4710 -25617.30338392673
4720 -25338.50050168598
4730 -25858.97863542184
4740 -26505.83933748915
4750 -26980.46555049777
4760 -28419.98621700611
4770 -27717.99114622239
4780 -27066.95562622953
4790 -27327.96059744549
4800 -26104.06644656193
4810 -26529.53490182999
4820 -26864.93146445501
4830 -25989.54885861208
4840 -25424.2882597596
4850 -25617.79786274448
4860 -26790.4576367054
4870 -26808.6271772748
4880 -26575.76654718629
4890 -26554.98688432797
4900 -27350.76408718455
4910 -27750.05004034799
4920 -27186.58408334537
4930 -27052.4955150574
4940 -26558.69044538389
4950 -25290.27342712632
4960 -25430.49067138016
4970 -27179.73571856423
4980 -27890.49872893258
4990 -28957.69307058804
5000 -28906.92637053254
5010 -27130.29959398764
5020 -25464.40589102415
5030 -25957.83116275051
5040 -26615.7894084925
5050 -26587.21869047748
5060 -25862.00425635224
5070 -24497.75547859395
5080 -23447.91342013068
5090 -24986.78920261867
5100 -25944.31867099774
5110 -26719.97083701829
5120 -27639.51005804907
5130 -27538.8638085183
5140 -28082.97719228248
5150 -27594.68292774056
5160 -25748.41239251782
5170 -26289.01066727269
5180 -25938.10675684268
5190 -25352.01630901062
